D' B' L U' R' B
B' L U B' U2 B R'
B' L' U' R' D' F B2
B' L' U' R' D' B2 F
B' L' U' R' F D' B2
B' L' U' D' R' F B2
B' L' U' D' R' B2 F
B' L' U' D' F R' B2
B' L' U' F R' D' B2
B' L' U' F D' R' B2
B' L' D' U' R' F B2
B' L' D' U' R' B2 F
B' L' D' U' F R' B2
B' L' D2 R2 U' R F
D' R' B' L U' R' B2
B R' B2 L' U' R' F
B R' B2 L' U' F R'
L' D F L B' L2 R'
L' D F L B' R' L2
L' D' F B' L R' B
L' D' F B' R' L B
R' D' B' L U' R' B
L' D' B' R' F L B
R2 D' B' L U' R' B
L' D' B' F L R' B
L' D' B' F R' L B
R D' B' L U' R' B
L' F D' B' L R' B
L' F D' B' R' L B
D' F B' L U' R' B
L2 F B' L U R' F
L2 F B' L U F R'
D2 F' R B' U' F' R'
D' F' B' L U' R' B
D2 F' B' R U' F' R2
F' D' B' L U' R' B
F2 D' B' L U' R' B
F D' B' L U' R' B
D' F2 B' L U' R' B
D' B' L R U' R2 B
D' B' L U' R' D B
D' B' L U' R' D' B
D' B' L U' R' D2 B
D' B' L U' R' B D
D' B' L U' R' B D'
D' B' L U' R' B D2
D' B' L F U' R' B
D' B' L F' U' R' B
D' B' L F2 U' R' B
D' B' R L U' R2 B
D' B' D2 L U' R' B'
D' B' F L U' R' B
L2 B' F L U R' F
L2 B' F L U F R'
D' B' F' L U' R' B
D2 B' F' R U' F' R2
D' B' F2 L U' R' B
