R U F U B R'
L2 R U' B' U' B2 R'
L2 R U2 B R' D L2
L2 R U2 B D L2 R'
L2 R U2 B D R' L2
B' L D' B R' F' U2
L2 R B R' D L2 F
L2 R B D L2 R' F
L2 R B D L2 F R'
L2 R B D R' L2 F
R L2 U' B' U' B2 R'
R L2 U2 B R' D L2
R L2 U2 B D L2 R'
R L2 U2 B D R' L2
R L2 B R' D L2 F
R L2 B D L2 R' F
R L2 B D L2 F R'
R L2 B D R' L2 F
R U L' U B L R'
R U L' U B R' L
R U F L U B R'
R U F L' U B R'
R U F L2 U B R'
R2 U F U R' B R'
R2 U F U B R' B
R U F U B R' D
R U F U B R' D'
R U F U B R' D2
R U F U B D R'
R U F U B D' R'
R U F U B D2 R'
R2 U F B U R' B
R U F B' U B2 R'
F' R U F2 U B R'
F' R U2 B R' D' L2
F' R U2 B D' L2 R'
R2 U B F U R' B
F' R U2 B D' R' L2
R U B' F U B2 R'
F' R B R' D' L2 F
F' R B D' L2 R' F
F' R B D' L2 F R'
F' R B D' R' L2 F
L2 U' B' R' U L U2
D' R' F' U F2 B U
D' R' F' U B F2 U
D2 R' F' U2 R D' L2
D2 R' F' U2 D' L2 R
D2 R' F' U2 D' R L2
D2 R' F' D R2 U2 R'
D2 R' F' D' U2 L2 R
D2 R' F' D' U2 R L2
R U2 L2 B R' D L2
R U2 L2 B D L2 R'
R U2 L2 B D R' L2
R U2 F U F' B R'
R U2 F U B F' R'
F2 R2 U' B U' R' B
R U2 B R' U' F U
R U2 B U' F U R'
D' U F U2 R F' U'
F2 U D2 F' L' U R
F2 U F' L' B U R'
F2 U F' B L' U R'
F2 U B F' L' U R'
U D' F U2 R F' U'
R' D2 F' U2 R D' L2
R' D2 F' U2 D' L2 R
R' D2 F' U2 D' R L2
R' D2 F' D R2 U2 R'
R' D2 F' D' U2 L2 R
R' D2 F' D' U2 R L2
U F U B R' D B2
U F U2 D' R F' U'
U F D' U2 R F' U'
U F B U R' D B2
U F B U2 R U' R2
D2 F' R D' B L2 F
U F' L' F2 B U R'
U F' L' B F2 U R'
D2 F' R B D' L2 F
R' F' U F2 B U R'
R' F' U B F2 U R'
R F' U F2 U B R'
D2 F' D R2 U2 R' B
D2 F' D' R B L2 F
R F' U2 B R' D' L2
R F' U2 B D' L2 R'
R F' U2 B D' R' L2
U F' B L' F2 U R'
R F' B R' D' L2 F
R F' B D' L2 R' F
R F' B D' L2 F R'
R F' B D' R' L2 F
D2 F2 U F' L' B' U
R F2 U F' U B R'
F2 D2 U F' L' U R
R B R' F' D' L2 F
U' B U2 F L U R'
U B F U R' D B2
U B F U2 R U' R2
U B F' L' F2 U R'
R B F' R' D' L2 F
R B F' D' L2 R' F
R B F' D' L2 F R'
R B F' D' R' L2 F
