B2 L R' U F' L'
B2 R' L U F' L'
D2 R' F2 B' U' F
D2 R' B' F2 U' F
R' D' B' U' F' R2
R' D2 F2 B' U' F
R' D2 B' F2 U' F
B' U2 B' L U F
D2 F2 R' B' U' F'
R' B' L2 F U' F2
R' B' U2 B' U F'
B2 L R' U L F' L'
B2 L R' U L' F' L'
B2 L R' U L2 F' L'
B2 L R' U D F' L'
B2 L R' U D' F' L'
B2 L R' U D2 F' L'
B2 L R' U F' L' D
B2 L R' U F' L' D'
B2 L R' U F' L' D2
B2 L R' U F' D L'
B2 L R' U F' D' L'
B2 L R' U F' D2 L'
D' L R' U' F' L' R'
D' L R' U' F' R' L'
B2 L R' D U F' L'
B2 L R' D' U F' L'
B2 L R' D2 U F' L'
R' L U' D' F' L' R2
R' L U' D' F' R2 L'
R' L U' F' L' D' R2
R' L U' F' D' L' R2
R' L U' F' D' R2 L'
B2 L R2 D' F' R U
B2 L R2 F' R U F'
R' L U2 B2 U F' L'
R' L D' U' F' L' R2
R' L D' U' F' R2 L'
B2 L U2 L B U' F
B2 L U2 B L U' F
B2 L D R' U F' L'
B2 L D' R' U F' L'
B2 L D2 R' U F' L'
B2 L F R' U F' L'
B2 L F' R' U F' L'
D2 L F2 R' U' F' L'
B2 L F2 R' U F' L'
L R' U' D' F' L' R2
L R' U' D' F' R2 L'
L R' U' F' L' D' R2
L R' U' F' D' L' R2
L R' U' F' D' R2 L'
L2 R' U' F' D' L2 R2
L2 R' U' F' D' R2 L2
U L B2 L F R U
L2 R' U2 F B2 U F2
L R' U2 B2 U F' L'
L2 R' U2 B2 F U F2
L R' D' U' F' L' R2
L R' D' U' F' R2 L'
R' L2 U' F' D' L2 R2
R' L2 U' F' D' R2 L2
R' L2 U2 F B2 U F2
R' L2 U2 B2 F U F2
U L2 F B2 L R U
U L2 F B2 R L U
U L2 B2 F L R U
U L2 B2 F R L U
L2 U F B2 L R U
L2 U F B2 R L U
L2 U B2 F L R U
L2 U B2 F R L U
R' U' L2 F' D' L2 R2
R' U' L2 F' D' R2 L2
D2 R F2 R2 B' U' F'
D' R' L U' F' L' R'
D' R' L U' F' R' L'
B2 R' L U L F' L'
B2 R' L U L' F' L'
B2 R' L U L2 F' L'
B2 R' L U D F' L'
B2 R' L U D' F' L'
B2 R' L U D2 F' L'
B2 R' L U F' L' D
B2 R' L U F' L' D'
B2 R' L U F' L' D2
B2 R' L U F' D L'
B2 R' L U F' D' L'
B2 R' L U F' D2 L'
B2 R' L D U F' L'
B2 R' L D' U F' L'
B2 R' L D2 U F' L'
B2 R' U F' L' D' B2
B' R' U2 B' L U F'
B2 R' D L U F' L'
D2 R' D B' U' F' R2
B2 R' D' L U F' L'
D R' D F2 B' U' F
D R' D B' F2 U' F
F' R' D' B' U' F' R2
F2 R' D' B' U' F' R2
B2 R' D2 L U F' L'
F R' D' B' U' F' R2
F' R' D2 F2 B' U' F
F' R' D2 B' F2 U' F
F2 R' D2 F2 B' U' F
F2 R' D2 B' F2 U' F
D R' D2 B' U' F' R2
F R' D2 F2 B' U' F
F R' D2 B' F2 U' F
D2 R' F2 D B' U' F
D2 R' F2 D' B' U' F
D2 R' F2 D2 B' U' F
D2 R' F2 B' U' D F
D2 R' F2 B' U' D' F
D2 R' F2 B' U' D2 F
D2 R' F2 B' U' F D
D2 R' F2 B' U' F D'
D2 R' F2 B' U' F D2
D2 R' F2 B' D U' F
D2 R' F2 B' D' U' F
D2 R' F2 B' D2 U' F
D2 R' B' L F2 U' F
D2 R' B' L' F2 U' F
D2 R' B' L2 F2 U' F
F' R' B' L2 F U' F2
D2 R' B' U' D F' R2
U2 R' B' L U' F R
D' R' B' U' D2 F' R
F2 R' B' L2 F U' F2
D2 R' B' D U' F' R2
U' R' B' U2 R' B' U
F' R' B' U2 B' U F'
D' R' B' D2 U' F' R
D2 R' B' F2 U' D F
D2 R' B' F2 U' D' F
D2 R' B' F2 U' D2 F
D2 R' B' F2 U' F D
D2 R' B' F2 U' F D'
D2 R' B' F2 U' F D2
D2 R' B' F2 D U' F
D2 R' B' F2 D' U' F
D2 R' B' F2 D2 U' F
F2 R' B' U2 B' U F'
D R' B' U L2 U2 F'
F R' B' L2 F U' F2
D R' B' U' D2 F' R2
D R' B' U' F' D2 R2
D R' B' D F2 U' F
D R' B' D2 U' F' R2
F R' B' U2 B' U F'
U R' B' U2 B' R' U
B2 R2 L D' F' R U
B2 R2 L F' R U F'
L2 U2 F B2 L U F
D' R2 U R B' U' F'
D' R2 U B' R U' F'
R' U2 B2 U2 B U' F'
B2 R2 D' L F' R U
L2 U2 B2 F L U F
B2 R2 D' F' L R U
B2 R2 D' F' R L U
B2 R2 F' L R U F'
B2 R2 F' R L U F'
D' R2 B' R U' F' R'
D2 R2 B' R F2 U' F
R' D B' U L2 U2 F'
R' D B' U' D2 F' R2
R' D B' U' F' D2 R2
R' D B' D F2 U' F
R' D B' D2 U' F' R2
R' D' L U' F' L' R2
R' D' L U' F' R2 L'
L D' R' U' F' L' R'
L D' R' U' F' R' L'
R' D' F B' U' R2 F2
R' D' F B' U' F2 R2
R' D' F2 B' U' R2 F
R' D' F2 B' U' F R2
R' D' B' L U' F' R2
R' D' B' L' U' F' R2
R' D' B' L2 U' F' R2
R' D' B' U' F R2 F2
R' D' B' U' F' R2 D
R' D' B' U' F' R2 D'
R' D' B' U' F' R2 D2
R' D' B' U' F2 R2 F
R' D' B' D' F2 U' F
R' D' B' F U' R2 F2
R' D' B' F U' F2 R2
R' D' B' F2 U' R2 F
R' D' B' F2 U' F R2
L' D2 R' F2 B U' F
L' D2 R' B F2 U' F
B' U' B' L R' U L'
B' U' B' R' L U L'
L' D2 F2 R' B U' F'
R' D2 F2 D B' U' F
R' D2 F2 D' B' U' F
R' D2 F2 D2 B' U' F
R' D2 F2 B' U' D F
R' D2 F2 B' U' D' F
R' D2 F2 B' U' D2 F
R' D2 F2 B' U' F D
R' D2 F2 B' U' F D'
R' D2 F2 B' U' F D2
R' D2 F2 B' D U' F
R' D2 F2 B' D' U' F
R' D2 F2 B' D2 U' F
B' U2 R B' L U F
B' U2 R' B' L U F
R' D2 B' L F2 U' F
R' D2 B' L' F2 U' F
L D2 F2 R' U' F' L'
R' D2 B' L2 F2 U' F
R' D2 B' U' D F' R2
R' D2 B' D U' F' R2
R' D2 B' F2 U' D F
R' D2 B' F2 U' D' F
R' D2 B' F2 U' D2 F
R' D2 B' F2 U' F D
R' D2 B' F2 U' F D'
R' D2 B' F2 U' F D2
R' D2 B' F2 D U' F
R' D2 B' F2 D' U' F
R' D2 B' F2 D2 U' F
B' U2 R2 B' L U F
D2 F R' F B' U' F2
D2 F R' B' F U' F2
B' U2 B' L R U F
B' U2 B' L R' U F
B' U2 B' L R2 U F
B' U2 B' L U D F
B' U2 B' L U D' F
B' U2 B' L U D2 F
B' U2 B' L U F D
B' U2 B' L U F D'
B' U2 B' L U F D2
B' U2 B' L D U F
B' U2 B' L D' U F
B' U2 B' L D2 U F
B' U2 B' R L U F
B' U2 B' R' L U F
B' U2 B' R2 L U F
B' U2 B' D L U F
B' U2 B' D' L U F
B' U2 B' D2 L U F
B2 D L R' U F' L'
R' F D' B' L2 U' R2
B2 D R' L U F' L'
R' F B' L2 F U' F
R' F B' U2 B' U F2
R' F B' D' L2 F U'
L2 F B2 L R' U F'
L2 F B2 R' L U F'
B2 D' L R' U F' L'
R' F' D2 F2 B' U' F2
R' F' D2 B' F2 U' F2
B2 D' R' L U F' L'
R' F' B' L2 F U' F'
D2 F2 L R' U' F' L'
D2 F2 R' L U' F' L'
D2 F2 R' D B' U' F'
D2 F2 R' D' B' U' F'
D2 F2 R' D2 B' U' F'
D2 F2 R' B' L U' F'
D2 F2 R' B' L' U' F'
D2 F2 R' B' L2 U' F'
D2 F2 R' B' U' D F'
D2 F2 R' B' U' D' F'
D2 F2 R' B' U' D2 F'
D2 F2 R' B' U' F' D
D2 F2 R' B' U' F' D'
D2 F2 R' B' U' F' D2
D2 F2 R' B' D U' F'
D2 F2 R' B' D' U' F'
D2 F2 R' B' D2 U' F'
D2 F2 R2 B' R U' F'
B2 D2 L R' U F' L'
D2 F2 D R' B' U' F'
D2 F2 D' R' B' U' F'
R' F2 D' B' U' R2 F
R' F2 D' B' U' F R2
D2 F2 D2 R' B' U' F'
R' F2 D2 F2 B' U' F'
R' F2 D2 B' F2 U' F'
B2 D2 R' L U F' L'
F' D2 R' F2 B' U' F
F' D2 R' B' F2 U' F
F2 D2 R' F2 B' U' F
F2 D2 R' B' F2 U' F
R' F2 B' U2 B' U F
F D2 R' F2 B' U' F
F D2 R' B' F2 U' F
F' D2 F2 R' B' U' F'
F2 D2 F2 R' B' U' F'
F D2 F2 R' B' U' F'
B2 F L R' U F' L'
R B U' R2 F' B2 U'
R B U' R2 B2 F' U'
B2 F R' L U F' L'
R' B' L U' F R F2
R' B' L F2 U' F R
R' B' L' U' D F' R
R' B' L' D U' F' R
B' F U2 B' L U F
R' B' L2 U' F' D R2
R' B' L2 D F U' F2
R' B' L2 D' F U' F2
R' B' L2 D2 F U' F2
R' B' L2 F L U' F2
R' B' L2 F L' U' F2
R' B' L2 F L2 U' F2
R' B' L2 F U' F2 D
R' B' L2 F U' F2 D'
R' B' L2 F U' F2 D2
R' B' L2 F D' L2 U'
R2 B' L2 R F U' F2
R2 B' R L2 F U' F2
R2 B' R U2 B' U F'
B2 F' L R' U F' L'
R' B' U' F' U' B' U
U' B' U2 R' B' L U
R B' R2 D L2 F U'
R' B' U2 D B' U F'
R' B' U2 D' B' U F'
R' B' U2 D2 B' U F'
R' B' U2 B' U D F'
R' B' U2 B' U D' F'
R' B' U2 B' U D2 F'
R' B' U2 B' U F' D
R' B' U2 B' U F' D'
R' B' U2 B' U F' D2
R' B' U2 B' D U F'
R' B' U2 B' D' U F'
R' B' U2 B' D2 U F'
R' B' D L2 F U' F2
R' B' D U2 B' U F'
B2 F' R' L U F' L'
R' B' D' L2 F U' F2
R' B' D' U2 B' U F'
R' B' D2 L2 F U' F2
U B' U2 B' L R' U
U B' U2 B' R' L U
R' B' D2 U2 B' U F'
R B' D L2 F U' B2
R' B' F L2 F U' F
R' B' F U2 B' U F2
R' B' F D' L2 F U'
R' B' F' L2 F U' F'
B' F' U2 B' L U F
F' B' U2 B' L U F
R' B' F2 U2 B' U F
F2 B' U2 B' L U F
U2 B2 L R2 F' U F2
U2 B2 L U2 B U' F
F B' U2 B' L U F
L B2 L R' F U F2
U B2 L U2 B L U'
F' B2 L R' U F' L'
L B2 L F R' U F'
B2 F2 L R' U F' L'
F2 B2 L R' U F' L'
F B2 L R' U F' L'
L2 B2 R' F L U F2
U2 B2 R2 L F' U F2
L B2 R' L F U F2
U2 B2 R2 F' L U F
F' B2 R' L U F' L'
B2 F2 R' L U F' L'
F2 B2 R' L U F' L'
F B2 R' L U F' L'
R2 B2 U2 B R U' F'
B' F2 U2 B' L U F
L2 B2 F L R' U F'
L2 B2 F R' L U F'
