D F2 L U2 F L'
D' L U2 F B L B
F2 L U2 F L' D' B2
D' L U2 B F L B
D' L U2 B2 D2 F L'
F2 L F L' D' B2 R'
D L F R F U2 F'
D' L F' L' F2 B2 R'
D' L F' L' B2 R' F2
D' L F' L' B2 F2 R'
D' L F' U2 L' F2 B2
D' L F' U2 L' B2 F2
D' L F' U2 B2 L' F2
D L F2 U2 F L' F2
D' L B U2 F B L
D' L B U2 B F L
D L' D2 B2 R2 F' L'
D L' F2 L2 U2 F L'
D' L' B' L2 F R U2
D' L' B2 D2 R2 F' L'
F2 L2 U F L' F R
F' L2 U' L' U2 F L2
F L2 U F2 L' R F
F L2 U F2 R L' F
F2 L2 U' L' U2 F L'
F L2 U' L' R U2 F
F L2 U' R L' U2 F
B2 L2 F' U L' R' F
B2 L2 F' U L' F R'
B2 L2 F' U R' L' F
F L2 F2 U L' R F
F L2 F2 U R L' F
L U F L F U F'
L U F' L F U F
L U F2 L F U F2
F R U2 D' B2 R' F'
F R D L F2 U2 F'
F R D F2 L U2 F
F R D' L U2 F B2
F R D' L U2 B2 F
F R D' U2 B2 R' F'
D R F2 L U2 F L'
D R' F2 L U2 F L'
L U2 F U' L F U
L U2 F B D L B'
L U2 B D F L B'
L U2 B F D L B'
F R2 D' B2 L R' F
F R2 D' B2 L F R'
F R2 D' B2 R' L F
D R2 F2 L U2 F L'
R' D F2 L U2 F L'
R2 D F2 L U2 F L'
R D F2 L U2 F L'
U2 D' B L B R' F'
D' U2 B L B R' F'
D' F L R U2 F B2
D' F L R U2 B2 F
F' U2 D' B2 L' R' F'
F' U2 D' B2 R' L' F'
D' F R L U2 F B2
D' F R L U2 B2 F
D' F R U2 B2 R' F'
D F R F L U2 F
D' F R2 B2 L R' F
D' F R2 B2 L F R'
D' F R2 B2 R' L F
F' D L U2 F L2 B'
F' D L F2 U2 L2 F'
F' D L F2 U2 F' L2
F D L R F2 U2 F'
F' D L' D2 B2 R2 F'
F D L F2 U2 L' F'
F D R L F2 U2 F'
F D R F2 L U2 F
D' F' L U2 F L2 B2
D' F' L U2 F B2 L2
D' F' L U2 B2 F L2
D' F' L' B2 D2 R2 F'
D F' L F' U2 L2 F2
D F' L F' U2 F2 L2
L F' L U F2 L2 R
L F' L U F2 R L2
L F' L' F2 D' B2 R'
F' D F2 L R U2 F
F' D F2 R L U2 F
F D F2 L U2 F L2
L2 F' U L' F' R F2
L F' U L U L2 F2
L F' U L U F2 L2
F' D' L U2 F L2 B2
F' D' L U2 F B2 L2
F' D' L U2 B2 F L2
D' F' U2 B2 L' R' F'
D' F' U2 B2 R' L' F'
F D' L R U2 F B2
F D' L R U2 B2 F
F' D' L' B2 D2 R2 F'
L F' U2 L' F2 D' B2
F D' R L U2 F B2
F D' R L U2 B2 F
F D' R U2 B2 R' F'
D' F' B2 L R' F L2
D' F' B2 L F L2 R'
D' F' B2 L F R' L2
D' F' B2 R' L F L2
D' F2 L U2 F L' B2
D' F2 L U2 F B2 L'
D' F2 L U2 B2 F L'
D' F2 L F L' B2 R'
F D' R2 B2 L R' F
F D' R2 B2 L F R'
F D' R2 B2 R' L F
D F2 L R U2 F L'
D F2 L R' U2 F L'
D F2 L R2 U2 F L'
F' D' U2 B2 L' R' F'
F' D' U2 B2 R' L' F'
D F2 L U2 F L' D
D F2 L U2 F L' D'
D F2 L U2 F L' D2
D F2 L U2 F D L'
D F2 L U2 F D' L'
D F2 L U2 F D2 L'
D F2 L B U2 F L'
D F2 L B' U2 F L'
D F2 L B2 U2 F L'
D F2 R L U2 F L'
D F2 R' L U2 F L'
D F2 R2 L U2 F L'
F' D' B2 L R' F L2
F' D' B2 L F L2 R'
F' D' B2 L F R' L2
L2 F2 U L' R F L'
F' D' B2 R' L F L2
L2 F2 U R L' F L'
L2 F2 U R F L' F
D' F2 B2 L R' F L'
D' F2 B2 L F L' R'
D' F2 B2 L F R' L'
D' F2 B2 R' L F L'
D' B U2 B L R' F'
D' B U2 B R' L F'
D' B U2 B R' F' L
L' B' L2 U L F U
D' B2 L R' F' L' F2
D' B2 L F R' D2 L2
D' B2 L F' L' R' F2
D' B2 L F' L' F2 R'
D' B2 L F' R' L' F2
D' B2 L2 R' F' L' F
D' B2 L2 F' L' R' F
D' B2 L2 F' L' F R'
D' B2 L2 F' R' L' F
D' B2 R' L F' L' F2
D' B2 R' L2 F' L' F
D' B2 R' F' L F L2
D' B2 R' F2 L F L'
D' B2 F' L R' F L2
D' B2 F' L F L2 R'
D' B2 F' L F R' L2
D' B2 F' R' L F L2
D' B2 F2 L R' F L'
D' B2 F2 L F L' R'
D' B2 F2 L F R' L'
D' B2 F2 R' L F L'
