B L D2 B R' U' R'
D U L2 B2 R' F' B
D U L2 B2 R' B F'
U D L2 B2 R' F' B
U D L2 B2 R' B F'
D' U' L' R2 F B' U2
U' D' L' R2 F B' U2
U' D' L' R2 B' F U2
D' U' L' R2 B' F U2
U' D' L' F R2 B' U2
D' U' L' F R2 B' U2
U' D' L' F B' R2 U2
D' U' L' F B' R2 U2
U' D' L' B' R2 F U2
D' U' L' B' R2 F U2
U' D' L' B' F R2 U2
D' U' L' B' F R2 U2
U' D' R2 L' F B' U2
D' U' R2 L' F B' U2
D' U' R2 L' B' F U2
U' D' R2 L' B' F U2
D2 F2 B' L R' U R2
D2 F2 B' R' L U R2
F2 B L B U' R B
D2 B' R' F2 L U R
D2 B' F2 L R' U R2
D2 B' F2 R' L U R2
B F2 L B U' R B
B2 F2 U' D' R F' B
B2 F2 U' D' R B F'
F2 B2 U' D' R F' B
F2 B2 U' D' R B F'
B2 F2 D' U' R F' B
B2 F2 D' U' R B F'
F2 B2 D' U' R F' B
F2 B2 D' U' R B F'
