U' R U' F' U' B'
U' L2 R F U' F2 U'
U' L2 R F U2 D R2
U' L2 R F D U2 R2
U' L2 R F D' L2 U2
D2 L2 U' R F U2 R
D' L2 U' R F L' U2
U' L2 D' R F L' U2
R U R2 B R U B2
U' R L2 F U' F2 U'
U' R L2 F U2 D R2
U' R L2 F D U2 R2
U' R L2 F D' L2 U2
U' R U' R U' B' R'
U' R U' D F' U' B'
U' R U' D' F' U' B'
U' R U' D2 F' U' B'
U' R U' F' R U' B'
U' R U' F' R' U' B'
U' R U' F' R2 U' B'
U' R U' F' U' D B'
U' R U' F' U' D' B'
U' R U' F' U' D2 B'
U' R U' F' U' B' D
U' R U' F' U' B' D'
U' R U' F' U' B' D2
U' R U' F' D U' B'
U' R U' F' D' U' B'
U' R U' F' D2 U' B'
U2 R U' F' U' F B'
U2 R U' F' U' B' F
U' R U2 R2 B' D' R2
U' R U2 B' U F' U'
U' R D U' F' U' B'
U' R D' U' F' U' B'
U' R D2 U' F' U' B'
U' R F U' F2 U' B'
U' R F U2 D R2 B'
U' R F U2 D B' R2
U' R F U2 B' D R2
U' R F D U2 R2 B'
U' R F D U2 B' R2
U' R F D' L2 F U2
L2 U' R F U' F2 U'
L2 U' R F U2 D R2
L2 U' R F D U2 R2
L2 U' R F D' L2 U2
U' R F2 U' F U' B'
L2 U' D' R F L' U2
R U' F' U2 R' U B'
U R' D' B' D' L2 R2
U R' D' B' D' R2 L2
U R' D2 B' L2 D' R2
F2 R' B R U L' B2
F2 R' B R U B2 L'
U R' B' D' R2 D' L2
U R' B' D2 L2 D R2
U2 R2 U R' U2 B' R'
U2 R2 U' B2 L B R'
U' D R U2 B R' B2
F2 U R' B' L' D' R2
F2 U R' B' D' L' R2
F2 U R' B' D' R2 L'
D U R' B R' B2 L
U D R' B R' B2 L
B2 U D B R' D2 L2
F2 U D B L' R' B2
F2 U D B R' L' B2
F2 U D B R' B2 L'
F2 U D B' L' D2 R2
D U B R' B2 D2 L2
D U B R2 B2 L R
D U B R2 B2 R L
U D B R' B2 D2 L2
U D B R2 B2 L R
U D B R2 B2 R L
D U B' U2 L R U2
D U B' U2 R L U2
U D B' U2 L R U2
U D B' U2 R L U2
U' D' L2 R F L' U2
D' U' L2 R F L' U2
F2 U B2 L' D B R'
F2 U B2 D L' B R'
F2 U B2 D B L' R'
F2 U B2 D B R' L'
L2 D' U' R F L' U2
U' D' R L2 F L' U2
D' U' R L2 F L' U2
D' U' R F' U2 R B'
U' D' R F' U2 R B'
D' U' R F' U2 B' R
U' D' R F' U2 B' R
U' D' R F2 U2 B' R'
D' U' R F2 U2 B' R'
D U' R U2 B R' B2
R' D' B R F2 U B2
B U' R U' F' U' B2
D' U' F2 U2 B' L' R'
D' U' F2 U2 B' R' L'
U' D' F2 U2 B' L' R'
U' D' F2 U2 B' R' L'
B' U2 R U' F' U' F
R' D2 B R U L2 B2
R' D2 B R U B2 L2
F2 U2 R2 U' B' L' R'
F2 U2 R2 U' B' R' L'
B2 D U B R' D2 L2
F2 D U B L' R' B2
F2 D U B R' L' B2
F2 D U B R' B2 L'
F2 D U B' L' D2 R2
B2 D F2 U L' B R'
B2 D F2 U B L' R'
B2 D F2 U B R' L'
U2 F' R F' U' B' L'
F2 D B U L' R' B2
F2 D B U R' L' B2
F2 D B U R' B2 L'
F' D' F' U R B' L'
F' D' F' U B' L' R
F' D' F' U B' R L'
U2 F2 R2 U' B' L' R'
U2 F2 R2 U' B' R' L'
D F2 U B L' R' B2
D F2 U B R' L' B2
D F2 U B R' B2 L'
D F2 U B' L' D2 R2
D F2 B U L' R' B2
D F2 B U R' L' B2
D F2 B U R' B2 L'
R' B R U' R U2 B2
R' B R F2 U L' B2
R' B R F2 U B2 L'
D B U R' B2 D2 L2
D B U R2 B2 L R
D B U R2 B2 R L
D B U' R U2 R2 B2
D B U' R U2 B2 R2
R' B D' R F2 L' U
D B F2 U L' R' B2
D B F2 U R' L' B2
D B F2 U R' B2 L'
R' B' R' D' R2 F2 L'
U B' U2 R U' F' U'
B2 F2 U L' D B R'
F2 B2 U L' D B R'
B2 F2 U D L' B R'
B2 F2 U D B L' R'
B2 F2 U D B R' L'
F2 B2 U D L' B R'
F2 B2 U D B L' R'
F2 B2 U D B R' L'
R B2 U' L F' U' B
R B2 U' F' L U' B
U B2 D B R' D2 L2
B2 F2 D U L' B R'
B2 F2 D U B L' R'
B2 F2 D U B R' L'
F2 B2 D U L' B R'
F2 B2 D U B L' R'
F2 B2 D U B R' L'
