B L B' U' R B U'
F' L' F B' R' D B2
F2 L' B' U R' F L'
F2 L' B' U F L' R'
F2 L' B' U F R' L'
F' L' B' F R' D B2
B' R F' U' L' R2 F
B' R F' U' L' F R2
B' R F' U' R2 L' F
L' U' R B U' F R
B' R' F' L' D F B2
B' R' F' L' D B2 F
B' R' F' L' F D B2
F2 U L' U F L' R
F2 U L' U F R L'
F2 U' L' B' U F L'
R F' B' U' L' R' F
R F' B' U' L' F R'
R F' B' U' R' L' F
B' F' L' F R' D B2
F2 B' L' U R' F L'
F2 B' L' U F L' R'
F2 B' L' U F R' L'
F' B' L' F R' D B2
L B' U' R B U' R2
B' F' U L' R' F B'
B' F' U L' R' B' F
B' F' U L' F R' B'
B' F' U R' L' F B'
B' F' U R' L' B' F
F' B' U L' R' F B'
F' B' U L' R' B' F
F' B' U L' F R' B'
F' B' U R' L' F B'
F' B' U R' L' B' F
R B' F' U' L' R' F
R B' F' U' L' F R'
R B' F' U' R' L' F
B' F2 L' U R' F L'
B' F2 L' U F L' R'
B' F2 L' U F R' L'
