B' L F' R D F2 B2
B' L F' R D B2 F2
B' L' R' F' U' L2 R
B' L' R' F' U' R L2
D' L' D' F U' L' B'
D' L' F B' R' B U'
B' L' F' R' U' L2 R2
B' L' F' R' U' R2 L2
U' L' F' U' R B' L
U' L' F' U' B' L R
U' L' F' U' B' R L
D' L' B' R' F B U'
D' L' B' R' B F U'
D' L' B' F R' B U'
B' R' L' F' U' L2 R
B' R' L' F' U' R L2
B' R' D' L' F U' L2
F U' L' U2 B' L F
L' F' U' L' R B' L
L' F' U' L' B' L R
L' F' U' L' B' R L
L' F' U' R L' B' L
B' D' L' R' F U' L2
B' D' L' F R' U' L2
B' D' R' L' F U' L2
L' F' B' R' U' L R2
L' F' B' R' U' R2 L
D' B' L' R' F B U'
D' B' L' R' B F U'
D' B' L' F R' B U'
D' B' R' L' F B U'
D' B' R' L' B F U'
D' B' R' B L' F U'
L' B' R' F' U' L R
L' B' R' F' U' R L
L' B' F' R' U' L R2
L' B' F' R' U' R2 L
