F L2 B' U F U
L2 U F U F B'
L2 U F U B' F
B' U L2 U2 F2 B'
B' U L2 U2 B' F2
B' U F L2 B' U2
B' U' F2 D2 R2 B
F2 D2 R2 B D L2
D' B' L2 F U' B'
L2 R U F U F B'
L2 R U F U B' F
B' L U L U2 F2 B'
B' L U L U2 B' F2
L2 R' U F U F B'
L2 R' U F U B' F
F L' D' L' B' U2 L
R' L2 U F U F B'
R' L2 U F U B' F
L2 R2 U F U F B'
L2 R2 U F U B' F
R2 L2 U F U F B'
R2 L2 U F U B' F
R L2 U F U F B'
R L2 U F U B' F
F L2 R B' U F U
F L2 R' B' U F U
F L2 R2 B' U F U
U' L2 U F U F B'
U' L2 U F U B' F
U2 L2 U F U F B'
U2 L2 U F U B' F
F L2 U F U' B' U2
U L2 U F U F B'
U L2 U F U B' F
F L2 U' L2 B' U' F
B' L2 U' F2 D R2 B'
B' L2 U' F2 D B' R2
B' L2 U' F2 B' D R2
B' L2 U' B' F2 D R2
B2 L2 U' B U' F2 B2
B2 L2 U' B U' B2 F2
B L2 U' B2 U' F2 B
B L2 U' B2 U' B F2
D' L2 U2 F B2 U B
B' L2 U2 F2 D' B' L2
B' L2 U2 F2 B' D' L2
B' L2 U2 B' F2 D' L2
D' L2 U2 B2 F U B
B2 L2 U2 F2 B' D L2
B2 L2 U2 B' F2 D L2
B L2 U2 F2 D B' L2
F L2 U2 F' D' L2 F
F L2 D B' U F U
F L2 D' B' U F U
F L2 D2 B' U F U
F2 L2 F' U F2 U F'
F2 L2 F' U2 D' F L2
F2 L2 F' D R2 U2 F
F2 L2 F' D' U2 F L2
L2 U R F U F B'
L2 U R F U B' F
F' L2 F2 U F' U F2
F' L2 F2 U2 F D' L2
L2 U R' F U F B'
L2 U R' F U B' F
L2 U R2 F U F B'
L2 U R2 F U B' F
F L2 B' R U F U
F L2 B' R' U F U
F L2 B' R2 U F U
F L2 B' U D F U
F L2 B' U D' F U
F L2 B' U D2 F U
F L2 B' U F U D
F L2 B' U F U D'
F L2 B' U F U D2
F L2 B' U F D U
F L2 B' U F D' U
F L2 B' U F D2 U
L2 U D R2 F U B'
F L2 B' D U F U
L2 U D F R2 U B'
F L2 B' D' U F U
F L2 B' D2 U F U
L2 U F R U F B'
L2 U F R U B' F
L2 U F R' U F B'
L2 U F R' U B' F
L2 U F R2 U F B'
L2 U F R2 U B' F
L2 U F U D F B'
L2 U F U D B' F
L2 U F U D' F B'
L2 U F U D' B' F
L2 U F U D2 F B'
L2 U F U D2 B' F
L2 U F U F D B'
L2 U F U F D' B'
L2 U F U F D2 B'
L2 U F U F B' D
L2 U F U F B' D'
L2 U F U F B' D2
L2 U F U B' D F
L2 U F U B' D' F
L2 U F U B' D2 F
L2 U F U B' F D
L2 U F U B' F D'
L2 U F U B' F D2
L2 U F D U F B'
L2 U F D U B' F
L2 U F D' U F B'
L2 U F D' U B' F
L2 U F D2 U F B'
L2 U F D2 U B' F
B' R U L2 U2 F2 B'
B' R U L2 U2 B' F2
F R L2 B' U F U
B' R U F L2 B' U2
B' R U' F2 D2 R2 B
D' R B' L2 F U' B'
B' R' U L2 U2 F2 B'
B' R' U L2 U2 B' F2
B' R' U F L2 B' U2
F R' L2 B' U F U
B' R' U' F2 D2 R2 B
D' R' B' L2 F U' B'
B' R2 U L2 U2 F2 B'
B' R2 U L2 U2 B' F2
B' R2 U F L2 B' U2
L2 U2 F' D' F' B' L2
L2 U2 F' D' B' L2 F'
L2 U2 F' D' B' F' L2
F R2 L2 B' U F U
L2 U2 F' B' D' L2 F'
L2 U2 F' B' D' F' L2
L2 U2 F2 U' F' U B'
B' R2 U' F2 D2 R2 B
L2 U2 F2 B' U' F' U
L2 U2 B' U' F U F
L2 U2 B' F' D' L2 F'
L2 U2 B' F' D' F' L2
L2 U2 B' F2 U' F' U
F2 R2 D B D L2 R2
F2 R2 D B D R2 L2
