D F' R' U B R2
F' L R' D B' U B'
F' L R' D2 B' L2 U
F' L R' B' U D B2
F' L R' B' U2 R2 U'
F' L R' B' D U B2
F' L R' B' D2 L2 U
F L R' F2 B' L2 U
F L R' B' L2 F2 U
F L R' B' F2 L2 U
D L F' R' U B R2
F L F2 R' B' L2 U
F L' R F2 R2 B U
F' L' R' U2 R2 F U'
F' L' R' U2 F R2 U'
F' L' R' D2 L2 B' U
F L' R' F2 U2 F' U'
D L' F' R' U B R2
F L' F2 R2 B R U
D L2 F' R' U B R2
F R L' F2 R2 B U
F' R' L D B' U B'
F' R' L D2 B' L2 U
F' R' L B' U D B2
F' R' L B' U2 R2 U'
F' R' L B' D U B2
F' R' L B' D2 L2 U
F' R' L' U2 R2 F U'
F' R' L' U2 F R2 U'
F' R' L' D2 L2 B' U
F R' L F2 B' L2 U
F R' L B' L2 F2 U
F R' L B' F2 L2 U
F R' L' F2 U2 F' U'
D2 R' B U2 R' B U'
F' R2 B2 L R B' U
F' R2 B2 L B' R U
F' R2 B2 R L B' U
L D F' R' B' U B2
U' D F' R' U B R2
U2 D F' R' U B R2
D U F' R' U B R2
U D F' R' U B R2
D U' F' R' U B R2
D U2 F' R' U B R2
L D2 F' R' B' L U
L2 F L' R' F2 B' U
L2 F L' R' B' F2 U
L2 F L' F2 R' B' U
L2 F R' L' F2 B' U
L2 F R' L' B' F2 U
D F R' F2 U B R
L F R' B' L' F2 U
L' F U2 L' R' F2 U
L' F U2 L' F2 R' U
L' F U2 R' L' F2 U
D F' L R' U B R2
D F' L' R' U B R2
D F' L2 R' U B R2
L' F' R' U D R2 B2
L' F' R' U D B2 R2
L' F' R' U2 R2 F2 U'
L' F' R' U2 F2 R2 U'
L' F' R' D U R2 B2
L' F' R' D U B2 R2
L' F' R' D2 L2 B2 U
L' F' R' D2 B2 L2 U
D2 F' R' B U2 R' U'
D2 F' R' B' L B2 U
D F' R' L U B R2
D F' R' L' U B R2
D F' R' L2 U B R2
D F' R' U B R2 D
D F' R' U B R2 D'
D F' R' U B R2 D2
D F' R' U B' R2 B2
D F' R' U B2 R2 B'
D F' R' D B2 U B'
D F' R' B' U R2 B2
D F' R' B' U B2 R2
D F' R' B2 U R2 B'
D F' R' B2 U B' R2
L F' R' D B' U B'
L F' R' D2 B' L2 U
L F' R' B' U D B2
L F' R' B' U2 R2 U'
L F' R' B' D U B2
L F' R' B' D2 L2 U
R2 F2 L' F B R U'
R2 F2 L' B F R U'
D F2 R' F U B R
F' D2 R' U2 R2 F' U'
F' D2 R' D B U B
F' D2 R' D2 L2 B U
F' D2 R' D2 B L2 U
F' D2 R' B U D B2
F' D2 R' B U2 R2 U'
F' D2 R' B D U B2
F' D2 R' B D2 L2 U
R2 F2 B L' F R U'
R2 B F2 L' F R U'
