B L B U L F L2
U' L' R' B2 U F' B
U' L' R' B2 U B F'
B2 L' U D L F B'
B2 L' U D L B' F
B2 L' D U L F B'
B2 L' D U L B' F
F R B L B U L'
U' R' L' B2 U F' B
U' R' L' B2 U B F'
U' R' B2 L' U F' B'
U' R' B2 L' U B' F'
B' U L R' U' F R
B' U R' L U' F R
B U' L B R' U F'
F U' L' R B2 U B
F U' R L' B2 U B
F U' R B2 L' U B'
F U' B2 L' R U B'
F U' B2 R L' U B'
B2 D2 F L' R U L
B2 D2 F R L' U L
B F L B R U L'
F B L B R U L'
B F U' L B R U
F B U' L B R U
U' B2 L' R' U F' B'
U' B2 L' R' U B' F'
U' B2 R' L' U F' B'
U' B2 R' L' U B' F'
