F2 L' R F' B R
F2 L' R B F' R
F2 L' F' R F' B
F2 L' F' R B F'
F2 R L' F' B R
F2 R L' B F' R
F R F L' F2 B
F R F L' B F2
F R F B L' F2
F2 R B L' F' R
F R B F L' F2
R U2 F' B' R' B2
R U2 B' F' R' B2
R F U2 B R F2
R' F' L' R2 U2 F'
R' F' L' B R2 U2
R' F' R2 L' U2 F'
R' F' B L' R2 U2
R' F' B R2 L' U2
R' B F' L' R2 U2
R' B F' R2 L' U2
R B2 U2 F' B' R'
R B2 U2 B' F' R'
F2 L R F' L2 B R
F L R F L' F2 B
F L R F L' B F2
F2 L R F' B L2 R
F2 L R F' B R L2
F L R F B L' F2
F2 L R B L2 F' R
F2 L R B F' L2 R
F2 L R B F' R L2
F L R B F L' F2
L' R U2 F' B' R' B2
L' R U2 B' F' R' B2
L2 R U2 F' B' R' B2
L R U2 F' B' R' B2
L2 R U2 B' F' R' B2
R L U2 F' B' R' B2
L R U2 B' F' R' B2
R L U2 B' F' R' B2
L' R F U2 B R F2
L R F U2 B R F2
L2 R F U2 B R F2
R L F U2 B R F2
R' L F' L' R2 U2 F'
R' L F' L' B R2 U2
R' L F' R2 L' U2 F'
R' L F' B L' R2 U2
R' L F' B R2 L' U2
F2 L F' L2 R F' B
F2 L F' L2 R B F'
R' L B F' L' R2 U2
R' L B F' R2 L' U2
F2 L F' R L2 F' B
F2 L F' R L2 B F'
F2 L F' R F' L2 B
F2 L F' R F' B L2
F2 L F' R B L2 F'
F2 L F' R B F' L2
L' R B2 U2 F' B' R'
L' R B2 U2 B' F' R'
L R B2 U2 F' B' R'
L2 R B2 U2 F' B' R'
L R B2 U2 B' F' R'
L2 R B2 U2 B' F' R'
R L B2 U2 F' B' R'
R L B2 U2 B' F' R'
F' L' R U2 F' B L
F' L' R U2 B L F'
F' L' R U2 B F' L
R L' U2 F' B' R' B2
F2 L' R D2 F' B R'
F2 L' R D2 B F' R'
R L' U2 B' F' R' B2
F2 L' R F' D B R
F2 L' R F' D' B R
F2 L' R F' D2 B R
F2 L' R F' B R D
F2 L' R F' B R D'
F2 L' R F' B R D2
F2 L' R F' B D R
F2 L' R F' B D' R
F2 L' R F' B D2 R
F L' R F L' F2 B
F L' R F L' B F2
F2 L' R F' B' R B2
F2 L' R F' B2 R B'
F L' R F B L' F2
F2 L' R B F' R D
F2 L' R B F' R D'
F2 L' R B F' R D2
F2 L' R B F' D R
F2 L' R B F' D' R
F2 L' R B F' D2 R
F2 L' R B' F' R B2
F L' R B F L' F2
F2 L' R B2 F' R B'
F' L' R' F' B U2 L'
F' L' R' B F' U2 L'
R L' F U2 B R F2
R' L' F' L' R2 U2 F'
R' L' F' L' B R2 U2
L' R' F' L' R2 U2 F'
L' R' F' L' B R2 U2
R' L' F' R2 L' U2 F'
L2 R' F' L' R2 U2 F'
L R' F' L' R2 U2 F'
L' R' F' R2 L' U2 F'
L2 R' F' L' B R2 U2
L R' F' L' B R2 U2
L2 R' F' R2 L' U2 F'
L R' F' R2 L' U2 F'
R' L' F' B L' R2 U2
R' L' F' B R2 L' U2
L' R' F' B L' R2 U2
L' R' F' B R2 L' U2
L2 R' F' B L' R2 U2
L R' F' B L' R2 U2
L2 R' F' B R2 L' U2
L R' F' B R2 L' U2
R' L' B F' L' R2 U2
R' L' B F' R2 L' U2
L' R' B F' L' R2 U2
L' R' B F' R2 L' U2
L2 R' B F' L' R2 U2
L2 R' B F' R2 L' U2
L R' B F' L' R2 U2
L R' B F' R2 L' U2
F' L' F R U2 F' B
F' L' F R U2 B F'
R L' B2 U2 F' B' R'
R L' B2 U2 B' F' R'
F2 L' F' R D F' B
F2 L' F' R D B F'
F2 L' F' R D' F' B
F2 L' F' R D' B F'
F2 L' F' R D2 F' B
F2 L' F' R D2 B F'
F2 L' F' R F' D B
F2 L' F' R F' D' B
F2 L' F' R F' D2 B
F2 L' F' R F' B D
F2 L' F' R F' B D'
F2 L' F' R F' B D2
F2 L' F' R B D F'
F2 L' F' R B D' F'
F2 L' F' R B D2 F'
F2 L' F' R B F' D
F2 L' F' R B F' D'
F2 L' F' R B F' D2
F2 L' F' B R F' B
F2 L' F' B R B F'
F2 L' F' B' R F' B
F2 L' F' B' R B F'
F2 L' F' B2 R F' B
F2 L' F' B2 R B F'
D2 L' F2 L' F' R B
F2 L' B R F' B R
F2 L' B R B F' R
F2 L' B F' R F' B
F2 L' B F' R B F'
R L2 U2 F' B' R' B2
R L2 U2 B' F' R' B2
F2 L' B' R F' B R
F2 L' B' R B F' R
F2 L' B' F' R F' B
F2 L' B' F' R B F'
F2 L' B2 R F' B R
F2 L' B2 R B F' R
F2 L' B2 F' R F' B
F2 L' B2 F' R B F'
F2 L2 R F' L B R
F L2 R F L' F2 B
F L2 R F L' B F2
F L2 R F B L' F2
F L2 R B F L' F2
R' L2 F' L' R2 U2 F'
R' L2 F' L' B R2 U2
R L2 F U2 B R F2
R' L2 F' R2 L' U2 F'
R' L2 F' B L' R2 U2
R' L2 F' B R2 L' U2
R' L2 B F' L' R2 U2
R' L2 B F' R2 L' U2
R L2 B2 U2 F' B' R'
R L2 B2 U2 B' F' R'
R U L' B' U F' B2
R U L' B' U B2 F'
F2 L2 F' L R F' B
F2 L2 F' L R B F'
F2 L2 F' R L F' B
F2 L2 F' R L B F'
F2 L2 F' R F' L B
F2 R L F' L2 B R
F2 R L F' B L2 R
F2 R L F' B R L2
F2 R L B L2 F' R
F2 R L B F' L2 R
F2 R L B F' R L2
F R L F L' F2 B
F R L F L' B F2
F' R L' U2 F' B L
F' R L' U2 B L F'
F' R L' U2 B F' L
F R L F B L' F2
F R L B F L' F2
F2 R L' D2 F' B R'
F2 R L' D2 B F' R'
F2 R L' F' D B R
F2 R L' F' D' B R
F2 R L' F' D2 B R
F2 R L' F' B R D
F2 R L' F' B R D'
F2 R L' F' B R D2
F2 R L' F' B D R
F2 R L' F' B D' R
F2 R L' F' B D2 R
F2 R L' F' B' R B2
F2 R L' F' B2 R B'
F2 R L' B F' R D
F2 R L' B F' R D'
F2 R L' B F' R D2
