F2 L2 U R' U'
L2 U R' U' F2
R' U' L2 R F2
R' U' R L2 F2
R' U' R F2 L2
U R' U' L2 F2
U R' U' F2 L2
F2 U R' U' L2
L2 F2 U R' U'
R' L U' L R F2
R' L U' R L F2
R' L U' R F2 L
U L R' U' L F2
U L R' U' F2 L
F2 L U R' U' L
L2 R F2 D R' B2
B' L F2 D L B'
R' L' U' L' R F2
L' R' U' L' R F2
R' L' U' R L' F2
L' R' U' R L' F2
L R' U' L R F2
L R' U' R L F2
L R' U' R F2 L
U L' R' U' L' F2
F2 L' U R' U' L'
F2 L' B2 L' D' B2
F2 L2 R D R' B2
D' L2 R' B2 U' R
F2 L2 U R' U' D
F2 L2 U R' U' D'
F2 L2 U R' U' D2
F2 L2 U R' D U'
F2 L2 U R' D' U'
F2 L2 U R' D2 U'
F2 L2 U D R' U'
F2 L2 U D' R' U'
F2 L2 U D2 R' U'
B2 L2 U' L' U F2
R L2 F2 D R' B2
F2 L2 D U R' U'
F2 L2 D' U R' U'
L2 U L R' U' F2
F2 L2 D2 U R' U'
L2 U L' R' U' F2
L2 U L2 R' U' F2
F' L2 F' U R' U'
L' U R' U' L' F2
L2 U R' L U' F2
L2 U R' L' U' F2
L2 U R' L2 U' F2
B2 L2 F2 U R U'
L2 U R' U' F2 D
L2 U R' U' F2 D'
L2 U R' U' F2 D2
L2 U R' D' L2 U'
L U R' U' L F2
L U R' U' F2 L
F2 L2 B2 U' L U
L2 U D' L2 R' U'
L2 U D' R' L2 U'
F2 R L2 D R' B2
R' U' L R F2 L
R' U' L2 R F2 D
R' U' L2 R F2 D'
R' U' L2 R F2 D2
R' U' L2 R' F2 R2
R' U' L2 R2 F2 R'
R' U' R L F2 L
R' U' R L2 F2 D
R' U' R L2 F2 D'
R' U' R L2 F2 D2
R' U' R F' L2 F'
R' U' R F2 L2 D
R' U' R F2 L2 D'
R' U' R F2 L2 D2
R' U' R' L2 F2 R2
R' U' R' F2 L2 R2
R' U' R' F2 R2 L2
R' U' R2 L2 F2 R'
R' U' R2 F2 L2 R'
R' U' R2 F2 R' L2
U R' L U' L F2
U R' L U' F2 L
U R' L' U' L' F2
D' R' L2 B2 U' R
F' R' U' L2 R F'
F' R' U' R L2 F'
F' R' U' R F' L2
U R' U' L F2 L
U R' U' L2 F2 D
U R' U' L2 F2 D'
U R' U' L2 F2 D2
U R' U' F' L2 F'
U R' U' F2 L2 D
U R' U' F2 L2 D'
U R' U' F2 L2 D2
F R' U' R F L2
U R' D' L2 B2 U'
U R' D' B2 L2 U'
U R' B U' L2 F2
U R' B U' F2 L2
D' R' B2 L2 U' R
U R' B' U' L2 F2
U R' B' U' F2 L2
U R' B2 U' L2 F2
U R' B2 U' F2 L2
D R2 F2 L' U R2
D' U L2 R' B2 U'
D' U L2 R' B2 U'
D' U R' L2 B2 U'
F2 U R' U' L2 D
F2 U R' U' L2 D'
F2 U R' U' L2 D2
F2 U R' D' B2 U'
F2 U R' B U' L2
F2 U R' B' U' L2
D' U R' B2 L2 U'
F2 U R' B2 U' L2
U' D R2 F2 L' U
F U R' U' F L2
F2 U D' R' B2 U'
R' D' L2 B2 U' R
L2 D' U L2 R' U'
L2 D' U R' L2 U'
B2 U' L U L F2
B2 U' L U F2 L
U D' L2 R' B2 U'
U D' R' L2 B2 U'
U D' R' B2 L2 U'
D U' R2 F2 L' U
R' D' B2 L2 U' R
L2 F U R' U' F
F2 D' U R' B2 U'
L F2 L U R' U'
L2 F2 R D R' B2
R F2 L2 D R' B2
L2 F2 U R' U' D
L2 F2 U R' U' D'
L2 F2 U R' U' D2
L2 F2 U R' D U'
L2 F2 U R' D' U'
L2 F2 U R' D2 U'
L2 F2 U D R' U'
L2 F2 U D' R' U'
L2 F2 U D2 R' U'
L F2 U R' U' L
L2 F2 D U R' U'
L2 F2 D' U R' U'
L2 F2 D2 U R' U'
L2 F2 B2 U' L U
R' B U' L2 R F2
R' B U' R L2 F2
R' B U' R F2 L2
F2 B' L D L B'
R' B' U' L2 R F2
R' B' U' R L2 F2
R' B' U' R F2 L2
L' B2 L' F2 D' B2
B' F2 L D L B'
B2 F2 L' D' L' B2
B2 F2 L' D' B2 L'
F2 B2 L' D' L' B2
F2 B2 L' D' B2 L'
B2 F2 L2 U' L' U
F2 B2 L2 U' L' U
R' B2 U' L2 R F2
R' B2 U' R L2 F2
R' B2 U' R F2 L2
L2 B2 U' L U F2
B2 F2 U' L U L
F2 B2 U' L U L
L2 B2 F2 U' L U
B2 L R U L R' F2
B2 L R U L F2 R'
B2 L R U R' L F2
B2 L R U R' F2 L
B2 L R U F2 L R'
B2 L R U F2 R' L
F2 L R D L R' B2
F2 L R D R' L B2
L2 R U R2 U' R F2
F' L R' U' L R F'
F' L R' U' R L F'
B2 L R' U L R F2
F' L R' U' R F' L
U' L R' U' L F2 R
B2 L R' U R L F2
B2 L R' U R F2 L
R' L U' L R F2 D
R' L U' L R F2 D'
R' L U' L R F2 D2
R' L U' L R' F2 R2
R' L U' L R2 F2 R'
U2 L R' U' F2 L R
U2 L R' U' F2 R L
R' L U' L' R F2 L2
U L R' U' L F2 D
U L R' U' L F2 D'
U L R' U' L F2 D2
U L R' U' L' F2 L2
R' L U' R L F2 D
R' L U' R L F2 D'
R' L U' R L F2 D2
R' L U' R L' F2 L2
U L R' U' F' L F'
U L R' U' F2 L D
U L R' U' F2 L D'
U L R' U' F2 L D2
U L R' U' F2 D L
U L R' U' F2 D' L
U L R' U' F2 D2 L
R' L U' R F' L F'
R' L U' R F2 L D
R' L U' R F2 L D'
R' L U' R F2 L D2
R' L U' R F2 D L
R' L U' R F2 D' L
R' L U' R F2 D2 L
R' L U' R' L F2 R2
R' L U' R' F2 L R2
R' L U' R' F2 R2 L
R' L U' R2 L F2 R'
R' L U' R2 F2 L R'
R' L U' R2 F2 R' L
U L R' D' L2 U' L'
R' L U' F2 L D2 R2
B2 L R2 U L R2 F2
B2 L R2 U L F2 R2
B2 L R2 U R2 L F2
B2 L R2 U R2 F2 L
B2 L R2 U F2 L R2
B2 L R2 U F2 R2 L
D L R2 F2 L' U R2
D' L U L R' B2 U'
B2 L U L F2 D R2
D' L U R' L B2 U'
F2 L U R' U' L D
F2 L U R' U' L D'
F2 L U R' U' L D2
F2 L U R' U' D L
F2 L U R' U' D' L
F2 L U R' U' D2 L
F2 L U R' D U' L
F2 L U R' D' U' L
F2 L U R' D2 U' L
F2 L U D R' U' L
F2 L U D' R' U' L
F2 L U D2 R' U' L
B2 L U F2 L D R2
B2 L U F2 D L R2
B2 L U F2 D R2 L
D L U' R2 F2 L' U
R' L D' L2 U' L' R
R' L D' L2 U' R L'
U' L U2 R' U' L F2
U' L U2 R' U' F2 L
B' L D L D' F2 B'
B' L D L D' B' F2
B' L D L B' D' F2
F2 L D L U R' U'
B2 L D R2 U L R2
B2 L D R2 U R2 L
F2 L D U R' U' L
F2 L D' L U R' U'
L2 R F D R' F B2
L2 R F D R' B2 F
L2 R F D F R' B2
U L D' L2 R' U' L'
F2 L D' U R' U' L
U L D' R' L2 U' L'
F2 L D2 L U R' U'
L2 R F' D F' R' B2
F2 L D2 U R' U' L
R2 L F2 L R2 D' B2
L R F2 L D R' B2
R L F2 L D R' B2
L2 R F2 R' U R' U'
R2 L F2 R2 L D' B2
L2 R F2 U R2 U' R
L R F2 D L R' B2
L R F2 D R' L B2
L2 R F2 D R B2 R2
L2 R F2 D R' B2 D
L2 R F2 D R' B2 D'
L2 R F2 D R' B2 D2
L2 R F2 D R2 B2 R
R L F2 D L R' B2
L2 R F2 D' R' D2 B2
R L F2 D R' L B2
L2 R F2 D2 R' D' B2
L2 R F2 B2 D B2 R'
B' L F D F L B'
F' L F' L U R' U'
F' L F' U R' U' L
B' L F' D L F' B'
B' L F' D L B' F'
B' L F' D F' L B'
U2 L F2 L R D B2
B2 L F2 L U' L' U
B2 L F2 L2 D' L' B2
B2 L F2 L2 D' B2 L'
U2 L F2 R L D B2
U2 L F2 R D L B2
B' L F2 D L D B'
B' L F2 D L D' B'
B' L F2 D L D2 B'
B' L F2 D L B' D
B' L F2 D L B' D'
B' L F2 D L B' D2
L2 R B2 F2 D B2 R'
L' R' U' L R F2 L2
R' L' U' L R F2 L2
L' R' U' L' R F2 D
L' R' U' L' R F2 D'
L' R' U' L' R F2 D2
L' R' U' L' R' F2 R2
R' L' U' L' R F2 D
R' L' U' L' R F2 D'
R' L' U' L' R F2 D2
L' R' U' L' R2 F2 R'
R' L' U' L' R' F2 R2
R' L' U' L' R2 F2 R'
L' R' U' L2 R F2 L
R' L' U' L2 R F2 L
R' L' U' R L F2 L2
R' L' U' R L' F2 D
R' L' U' R L' F2 D'
R' L' U' R L' F2 D2
L' R' U' R L F2 L2
L R' U' L R F2 D
L R' U' L R F2 D'
L R' U' L R F2 D2
R' L' U' R L2 F2 L
L' R' U' R L' F2 D
L' R' U' R L' F2 D'
L' R' U' R L' F2 D2
L R' U' L R' F2 R2
L' R' U' R L2 F2 L
L R' U' L R2 F2 R'
R' L' U' R' L' F2 R2
L R' U' L' R F2 L2
L' R' U' R' L' F2 R2
R' L' U' R2 L' F2 R'
L' R' U' R2 L' F2 R'
F2 L B' D B L B'
L R' U' R L F2 D
L R' U' R L F2 D'
L R' U' R L F2 D2
L R' U' R L' F2 L2
L R' U' R F' L F'
L R' U' R F2 L D
L R' U' R F2 L D'
L R' U' R F2 L D2
L R' U' R F2 D L
L R' U' R F2 D' L
L R' U' R F2 D2 L
L R' U' R' L F2 R2
L2 R' U' R F2 D' L2
L R' U' R' F2 L R2
L R' U' R' F2 R2 L
L R' U' R2 L F2 R'
L R' U' R2 F2 L R'
L R' U' R2 F2 R' L
F2 L B2 L' D' B2 L
L R' U' F2 L D2 R2
F2 L' R D L' R' B2
F2 L' R D R' L' B2
F2 L' R D R' B2 L'
F' L' R' U' L' R F'
F' L' R' U' R L' F'
U L' R' U' L F2 L2
U L' R' U' L' F2 D
U L' R' U' L' F2 D'
U L' R' U' L' F2 D2
U L' R' U' L2 F2 L
U L' R' D' L2 U' L
R' L' D' L2 U' L R
R' L' D' L2 U' R L
L' R' D' L2 U' L R
L' R' D' L2 U' R L
D' L' R' B2 L' U' R
L R' D' L2 U' L' R
L R' D' L2 U' R L'
L2 R' D' L2 U' L2 R
L2 R' D' L2 U' R L2
U L' R' B U' L' F2
U L' R' B' U' L' F2
U L' R' B2 U' L' F2
D L' R2 F2 L' U R2
D' L' U L' R' B2 U'
D' L' U R' L' B2 U'
D' L' U R' B2 L' U'
F2 L' U R' U' L' D
F2 L' U R' U' L' D'
F2 L' U R' U' L' D2
F2 L' U R' U' D L'
F2 L' U R' U' D' L'
F2 L' U R' U' D2 L'
F2 L' U R' D U' L'
F2 L' U R' D' U' L'
F2 L' U R' D2 U' L'
F2 L' U R' B U' L'
F2 L' U R' B' U' L'
F2 L' U R' B2 U' L'
F2 L' U D R' U' L'
F2 L' U D' R' U' L'
F2 L' U D2 R' U' L'
F2 L' U B U' L' B'
B2 L' U' L2 U L F2
B2 L' U' L2 U F2 L
D L' U' R2 F2 L' U
