D R F' U B R'
D L R F' U B R'
D2 L R B' U L B2
D2 L B' R U L B
F2 L' R F' U' L' B
F2 L' R F' U' B L'
D L' R F' U B R'
F L' D R F' B R'
F L' D R B F' R'
D L2 R F' U B R'
D2 R L B' U L B2
D R L F' U B R'
F2 R L' F' U' L' B
F2 R L' F' U' B L'
D R L' F' U B R'
D R L2 F' U B R'
D R D2 F' U B R
D R F' L U B R'
D R F' L' U B R'
D R F' L2 U B R'
D R F' U B R' D
D R F' U B R' D'
D R F' U B R' D2
D R F' U B D R'
D R F' U B D' R'
D R F' U B D2 R'
D R F' B' U B2 R'
D R B' F' U B2 R'
L' D R F' U B R'
L2 D R F' U B R'
L D R F' U B R'
R F U L' D B R2
R F U L' B D R2
R F U D L' B R2
R F U D B L' R2
R F U D B R2 L'
R F U B L' D R2
R F U B D L' R2
R F U B D R2 L'
F D L' R F' B R'
F D L' R B F' R'
B' D R F' U B R'
R F D U L' B R2
R F D U B L' R2
R F D U B R2 L'
B2 D R F' U B R'
F D R L' F' B R'
F D R L' B F' R'
B D R F' U B R'
F D R B L' F' R'
R F D2 B2 U B' L'
R F' U' R U2 R' B
F D' L' F' R F2 B
F D' L' F' R B F2
D B R F' U B R2
R' B R2 F U L' B
R' B R2 F U B L'
