F' R2 U' R' F'
F' L R2 U' R' F'
F' L' R2 U' R' F'
F2 L' R2 F U' R
F2 L' F R2 U' R'
F' L2 R2 U' R' F'
R2 U' F' R D' F2
R2 U2 D R' B U
F' R2 L U' R' F'
F' R2 L' U' R' F'
F2 R2 L' F U' R
F' R2 L2 U' R' F'
F' R2 U' R' D F'
F' R2 U' R' D' F'
F' R2 U' R' D2 F'
F' R2 U' R' F' D
F' R2 U' R' F' D'
F' R2 U' R' F' D2
F' R2 U' D R' F'
F' R2 U' D' R' F'
F' R2 U' D2 R' F'
F' R2 U' F R' F'
F' R2 U' F' R' F'
F' R2 U' F2 R' F'
F' R2 D U' R' F'
F' R2 D' U' R' F'
F' R2 D2 U' R' F'
F' R2 F' L' U' R'
R2 D U2 R' B U
L' F' R2 U' R' F'
L2 F' R2 U' R' F'
L F' R2 U' R' F'
R2 F' U' R D' F2
R2 F' U2 R' U R2
F' L R2 U' R' D F'
F' L R2 U' R' D' F'
F' L R2 U' R' D2 F'
F' L R2 U' R' F' D
F' L R2 U' R' F' D'
F' L R2 U' R' F' D2
F' L R2 U' D R' F'
F' L R2 U' D' R' F'
R2 L U' F' R D' F2
F' L R2 U' D2 R' F'
F' L R2 U' F R' F'
F' L R2 U' F' R' F'
F' L R2 U' F2 R' F'
F' L R2 D U' R' F'
F' L R2 D' U' R' F'
F' L R2 D2 U' R' F'
F' L R2 F' L' U' R'
F2 L R2 F L2 U' R
R2 L U2 D R' B U
R2 L D U2 R' B U
R2 L F' U' R D' F2
R2 L F' U2 R' U R2
F2 L F L2 R2 U' R'
F2 L F R2 L2 U' R'
R2 L' U' F' R D' F2
R2 L' U2 D R' B U
R2 L' D U2 R' B U
F2 L' R' F R' U' R2
F' L' R2 U' R' D F'
F' L' R2 U' R' D' F'
F' L' R2 U' R' D2 F'
F' L' R2 U' R' F' D
F' L' R2 U' R' F' D'
F' L' R2 U' R' F' D2
F' L' R2 U' D R' F'
F' L' R2 U' D' R' F'
F' L' R2 U' D2 R' F'
F' L' R2 U' F R' F'
F' L' R2 U' F' R' F'
F' L' R2 U' F2 R' F'
F' L' R2 D U' R' F'
F2 L' R2 U2 B' U R'
F' L' R2 D' U' R' F'
F2 L' R2 D F U' R
F' L' R2 D2 U' R' F'
F2 L' R2 D' F U' R
F' L' R2 F' L' U' R'
F2 L' R2 D2 F U' R
F2 L' R2 F U' R D
F2 L' R2 F U' R D'
F2 L' R2 F U' R D2
F2 L' R2 F U' D R
F2 L' R2 F U' D' R
F2 L' R2 F U' D2 R
F2 L' R2 F D U' R
F2 L' R2 F D' U' R
F2 L' R2 F D2 U' R
F2 L' R2 F' U L' U2
R2 L' F' U' R D' F2
R2 L' F' U2 R' U R2
F2 L' D F U' R B2
F2 L' D F U' B2 R
F2 L' F R2 U' R' D
F2 L' F R2 U' R' D'
F2 L' F R2 U' R' D2
F2 L' F R2 U' D R'
F2 L' F R2 U' D' R'
F2 L' F R2 U' D2 R'
F2 L' F R2 D U' R'
F2 L' F R2 D' U' R'
F2 L' F R2 D2 U' R'
F2 L' F R2 F U' R'
F2 L' F R2 F' U' R'
F2 L' F R2 F2 U' R'
F2 L' F U' D R B2
F2 L' F U' D B2 R
F2 L' F D U' R B2
F2 L' F D U' B2 R
F2 L' F' R2 U L' U2
F2 L' F' R2 F2 U' R
F2 L' F2 R2 F' U' R
L' R2 U' F' R D' F2
L2 R2 U' F' R D' F2
R2 L2 U' F' R D' F2
L R2 U' F' R D' F2
L' R2 U2 D R' B U
L2 R2 U2 D R' B U
R2 L2 U2 D R' B U
L R2 U2 D R' B U
L' R2 D U2 R' B U
L2 R2 D U2 R' B U
R2 L2 D U2 R' B U
L R2 D U2 R' B U
F' L2 R2 U' R' D F'
F' L2 R2 U' R' D' F'
F' L2 R2 U' R' D2 F'
F' L2 R2 U' R' F' D
F' L2 R2 U' R' F' D'
F' L2 R2 U' R' F' D2
F' L2 R2 U' D R' F'
F' L2 R2 U' D' R' F'
F' L2 R2 U' D2 R' F'
F' L2 R2 U' F R' F'
F' L2 R2 U' F' R' F'
F' L2 R2 U' F2 R' F'
F' L2 R2 D U' R' F'
F' L2 R2 D' U' R' F'
F' L2 R2 D2 U' R' F'
F' L2 R2 F' L' U' R'
F2 L2 R2 F L U' R
L' R2 F' U' R D' F2
L' R2 F' U2 R' U R2
L2 R2 F' U' R D' F2
R2 L2 F' U' R D' F2
L2 R2 F' U2 R' U R2
L R2 F' U' R D' F2
R2 L2 F' U2 R' U R2
L R2 F' U2 R' U R2
F2 L2 F L R2 U' R'
F2 L2 F R2 L U' R'
U2 R U2 R F' U' R
U2 R U2 D R F' U'
U2 R U2 F' U' R B
F' R D R U' R' F'
U2 R D U2 R F' U'
F' R D' R U' R' F'
F' R D2 R U' R' F'
D R F' U' B2 D2 F2
R2 U' R F D' F2 R
R2 U' R F' D' R F2
D2 R B L2 F U R'
F2 R' L' F R' U' R2
R2 U' F R D' F2 R
R2 U' F' R U' R2 U
R2 U' F' R D' F2 D
R2 U' F' R D' F2 D'
R2 U' F' R D' F2 D2
R2 U' F' R F D' F2
R2 U' F' R F' D' F2
R2 U' F' R F2 D' F2
R2 U' F' U' R' U R2
R2 U' F' D R D' F2
R2 U' F' D' R D' F2
R2 U' F' D2 R D' F2
D R' D' R2 F' U' F'
F' R' F' L' R' U' R'
F' R' F' R' L' U' R'
R2 U2 R' U F' R F
R2 U2 R' U2 F' U' R
R2 U2 R' D2 B U R'
R2 U2 D R' D B U
R2 U2 D R' D' B U
R2 U2 D R' D2 B U
R2 U2 D R' B U D
R2 U2 D R' B U D'
R2 U2 D R' B U D2
R2 U2 D R' B D U
R2 U2 D R' B D' U
R2 U2 D R' B D2 U
F' R2 L U' R' D F'
F' R2 L U' R' D' F'
F' R2 L U' R' D2 F'
F' R2 L U' R' F' D
F' R2 L U' R' F' D'
F' R2 L U' R' F' D2
F' R2 L U' D R' F'
F' R2 L U' D' R' F'
F' R2 L U' D2 R' F'
F' R2 L U' F R' F'
F' R2 L U' F' R' F'
F' R2 L U' F2 R' F'
F' R2 L D U' R' F'
F' R2 L D' U' R' F'
F' R2 L D2 U' R' F'
F' R2 L F' L' U' R'
F2 R2 L F L2 U' R
F' R2 L' U' R' D F'
F' R2 L' U' R' D' F'
F' R2 L' U' R' D2 F'
F' R2 L' U' R' F' D
F' R2 L' U' R' F' D'
F' R2 L' U' R' F' D2
F' R2 L' U' D R' F'
F' R2 L' U' D' R' F'
F' R2 L' U' D2 R' F'
F' R2 L' U' F R' F'
F' R2 L' U' F' R' F'
F' R2 L' U' F2 R' F'
F' R2 L' D U' R' F'
R2 U2 D2 R' B U R'
F' R2 L' D' U' R' F'
F' R2 L' D2 U' R' F'
F' R2 L' F' L' U' R'
F2 R2 L' U2 B' U R'
F2 R2 L' D F U' R
R2 U2 D2 B U R' F'
F2 R2 L' D' F U' R
F2 R2 L' D2 F U' R
F2 R2 L' F U' R D
F2 R2 L' F U' R D'
F2 R2 L' F U' R D2
F2 R2 L' F U' D R
F2 R2 L' F U' D' R
F2 R2 L' F U' D2 R
F2 R2 L' F D U' R
F2 R2 L' F D' U' R
F2 R2 L' F D2 U' R
F2 R2 L' F' U L' U2
F' R2 L2 U' R' D F'
F' R2 L2 U' R' D' F'
F' R2 L2 U' R' D2 F'
F' R2 L2 U' R' F' D
F' R2 L2 U' R' F' D'
F' R2 L2 U' R' F' D2
F' R2 L2 U' D R' F'
F' R2 L2 U' D' R' F'
F' R2 L2 U' D2 R' F'
F' R2 L2 U' F R' F'
F' R2 L2 U' F' R' F'
F' R2 L2 U' F2 R' F'
F' R2 L2 D U' R' F'
F' R2 L2 D' U' R' F'
F' R2 L2 D2 U' R' F'
F' R2 L2 F' L' U' R'
F2 R2 L2 F L U' R
F' R2 U L U2 R' F
F' R2 U L U2 F R'
R2 U2 F' R' F U R2
F' R2 U B2 L U2 F
F' R2 U' L' R' F' L
F' R2 U' L2 R' F' L2
F' R2 U' R F R2 F'
F' R2 U' R F' R2 F'
F' R2 U' R F2 R2 F'
F' R2 U' R' L' F' L
F' R2 U' R' L2 F' L2
F' R2 U' R' D F' D
F' R2 U' R' D F' D'
F' R2 U' R' D F' D2
F' R2 U' R' D' F' D
F' R2 U' R' D' F' D'
F' R2 U' R' D' F' D2
F' R2 U' R' D2 F' D
F' R2 U' R' D2 F' D'
F' R2 U' R' D2 F' D2
F' R2 U' R' F2 D F
F' R2 U' R' F2 D' F
F' R2 U' R' F2 D2 F
F R2 U D' L' U2 F
F' R2 U' D R' D F'
F' R2 U' D R' D' F'
F' R2 U' D R' D2 F'
F' R2 U' D R' F' D
F' R2 U' D R' F' D'
F' R2 U' D R' F' D2
F' R2 U' D F R' F'
F' R2 U' D F' R' F'
F' R2 U' D F2 R' F'
F' R2 U' D' R' D F'
F' R2 U' D' R' D' F'
F' R2 U' D' R' D2 F'
F' R2 U' D' R' F' D
F' R2 U' D' R' F' D'
F' R2 U' D' R' F' D2
F' R2 U' D' F R' F'
F' R2 U' D' F' R' F'
F' R2 U' D' F2 R' F'
F' R2 U' D2 R' D F'
F' R2 U' D2 R' D' F'
F' R2 U' D2 R' D2 F'
F' R2 U' D2 R' F' D
F' R2 U' D2 R' F' D'
F' R2 U' D2 R' F' D2
F' R2 U' D2 F R' F'
F' R2 U' D2 F' R' F'
F' R2 U' D2 F2 R' F'
F' R2 U' F R' D F'
F' R2 U' F R' D' F'
F' R2 U' F R' D2 F'
F' R2 U' F R' F' D
F' R2 U' F R' F' D'
F' R2 U' F R' F' D2
F' R2 U' F D R' F'
F' R2 U' F D' R' F'
F' R2 U' F D2 R' F'
F' R2 U' F' R' D F'
F' R2 U' F' R' D' F'
F' R2 U' F' R' D2 F'
F' R2 U' F' R' F' D
F' R2 U' F' R' F' D'
F' R2 U' F' R' F' D2
F' R2 U' F' D R' F'
F' R2 U' F' D' R' F'
F' R2 U' F' D2 R' F'
F' R2 U' F2 R' D F'
F' R2 U' F2 R' D' F'
F' R2 U' F2 R' D2 F'
F' R2 U' F2 R' F' D
F' R2 U' F2 R' F' D'
F' R2 U' F2 R' F' D2
F' R2 U' F2 D R' F'
F' R2 U' F2 D' R' F'
F' R2 U' F2 D2 R' F'
F R2 U' D F2 R F'
R2 U2 B U R' F' R
B' R2 U2 F' R' U R2
F' R2 D L U' R' F'
F' R2 D L' U' R' F'
F' R2 D L2 U' R' F'
F2 R2 D L' F U' R
F' R2 D U' R' D F'
F' R2 D U' R' D' F'
F' R2 D U' R' D2 F'
F' R2 D U' R' F' D
F' R2 D U' R' F' D'
F' R2 D U' R' F' D2
F' R2 D U' F R' F'
F' R2 D U' F' R' F'
F' R2 D U' F2 R' F'
F' R2 D F' L' U' R'
F' R2 D' L U' R' F'
F' R2 D' L' U' R' F'
F' R2 D' L2 U' R' F'
F2 R2 D' L' F U' R
F R2 D U' F2 R F'
F' R2 D' U' R' D F'
F' R2 D' U' R' D' F'
F' R2 D' U' R' D2 F'
F' R2 D' U' R' F' D
F' R2 D' U' R' F' D'
F' R2 D' U' R' F' D2
F' R2 D' U' F R' F'
F' R2 D' U' F' R' F'
F' R2 D' U' F2 R' F'
F' R2 D' F' L' U' R'
F R2 D F2 U' R F'
F' R2 D2 L U' R' F'
F' R2 D2 L' U' R' F'
F' R2 D2 L2 U' R' F'
F2 R2 D2 L' F U' R
F R2 D' U L' U2 F
R2 D L U2 R' B U
