U L' F B' U
U L' B' F U
F' L' U F L' U
U L' D F B' U
U L' D B' F U
U L' D' F B' U
U L' D' B' F U
U L' D2 F B' U
U L' D2 B' F U
U L' F D B' U
U L' F D' B' U
U L' F D2 B' U
U L' F B' U D
U L' F B' U D'
U L' F B' U D2
U L' F B' D U
U L' F B' D' U
U L' F B' D2 U
U L' B' D F U
U L' B' D' F U
U L' B' D2 F U
U L' B' F U D
U L' B' F U D'
U L' B' F U D2
U L' B' F D U
U L' B' F D' U
U L' B' F D2 U
R' U L' F B' U
R' U L' B' F U
R2 U L' F B' U
R2 U L' B' F U
R U L' F B' U
R U L' B' F U
D' U L' B' U L
U D' L' B' U L
U B L' F B' U
U B L' B' F U
U B' L' F B' U
U B' L' B' F U
U B2 L' F B' U
U B2 L' B' F U
F' L' R U F L' U
B' L' R F U R F'
U L' R F R' B' U
F' L' R' U F L' U
F' L' R2 U F L' U
U L' R' B' R F U
B' L' R2 F U R F2
U L' R2 F R2 B' U
U L' R2 F B' R2 U
U L' R2 B' R2 F U
U L' R2 B' F R2 U
F' L' U F L' U D
F' L' U F L' U D'
F' L' U F L' U D2
F' L' U F L' D U
F' L' U F L' D' U
F' L' U F L' D2 U
F' L' U F D L' U
F' L' U F D' L' U
F' L' U F D2 L' U
U L' D F D B' U
U L' D F D' B' U
U L' D F D2 B' U
U L' D F B' U D
U L' D F B' U D'
U L' D F B' U D2
U L' D F B' D U
U L' D F B' D' U
U L' D F B' D2 U
U L' D B' D F U
U L' D B' D' F U
U L' D B' D2 F U
U L' D B' F U D
U L' D B' F U D'
U L' D B' F U D2
U L' D B' F D U
U L' D B' F D' U
U L' D B' F D2 U
B2 L' D' R2 F U R
B2 L' D' F R2 U R'
U L' D' F D B' U
U L' D' F D' B' U
U L' D' F D2 B' U
U L' D' F B' U D
U L' D' F B' U D'
U L' D' F B' U D2
U L' D' F B' D U
U L' D' F B' D' U
U L' D' F B' D2 U
U L' D' B' D F U
U L' D' B' D' F U
U L' D' B' D2 F U
U L' D' B' F U D
U L' D' B' F U D'
U L' D' B' F U D2
U L' D' B' F D U
U L' D' B' F D' U
U L' D' B' F D2 U
B2 L' D2 F U R F
B L' D2 F U R F'
U L' D2 F D B' U
U L' D2 F D' B' U
U L' D2 F D2 B' U
U L' D2 F B' U D
U L' D2 F B' U D'
U L' D2 F B' U D2
U L' D2 F B' D U
U L' D2 F B' D' U
U L' D2 F B' D2 U
U L' D2 B' D F U
U L' D2 B' D' F U
U L' D2 B' D2 F U
U L' D2 B' F U D
U L' D2 B' F U D'
U L' D2 B' F U D2
U L' D2 B' F D U
U L' D2 B' F D' U
U L' D2 B' F D2 U
B' L' F R2 U F' R'
F' L' F U L' U L
B' L' F U R2 F' R'
B' L' F U' B U2 R
U' L' F U2 L F U'
B2 L' F U R D2 F2
B2 L' F U D2 R F2
B2 L' F U' B2 U2 R
B L' F U D2 R F'
U L' F R' B' R U
U L' F R2 B' R2 U
B2 L' F D' R2 U R'
B2 L' F D2 U R F2
U2 L' F B' U F' R'
B L' F D2 U R F'
U L' F D B' U D
U L' F D B' U D'
U L' F D B' U D2
U L' F D B' D U
U L' F D B' D' U
U L' F D B' D2 U
U L' F D' B' U D
U L' F D' B' U D'
U L' F D' B' U D2
U L' F D' B' D U
U L' F D' B' D' U
U L' F D' B' D2 U
U L' F D2 B' U D
U L' F D2 B' U D'
U L' F D2 B' U D2
U L' F D2 B' D U
U L' F D2 B' D' U
U L' F D2 B' D2 U
U L' F B U D' R2
U L' F B D' U R2
F' L' F' U F2 L' U
U L' F B2 D B U
U L' F B2 D' B U
U L' F B2 D2 B U
U L' F' D' B' U L2
U L' F' B' U D' L2
U L' F' B' D' U L2
U L' F2 D F' B' U
U L' F2 D B' F' U
U L' F2 D' F' B' U
U L' F2 D' B' F' U
U L' F2 D2 F' B' U
U L' F2 D2 B' F' U
U L' F2 B' D F' U
U L' F2 B' D' F' U
U L' F2 B' D2 F' U
U L' B D' F U R2
U L' B F U D' R2
U L' B F D' U R2
U L' B' R F R' U
U L' B' R2 F R2 U
U2 L' B' F U F' R'
U L' B' D F U D
U L' B' D F U D'
U L' B' D F U D2
U L' B' D F D U
U L' B' D F D' U
U L' B' D F D2 U
U L' B' D' F U D
U L' B' D' F U D'
U L' B' D' F U D2
U L' B' D' F D U
U L' B' D' F D' U
U L' B' D' F D2 U
U L' B' D2 F U D
U L' B' D2 F U D'
U L' B' D2 F U D2
U L' B' D2 F D U
U L' B' D2 F D' U
U L' B' D2 F D2 U
U L' B' F' U D' L2
U L' B' F' D' U L2
U L' B' F2 D F' U
U L' B' F2 D' F' U
U L' B' F2 D2 F' U
U L' B2 D F B U
U L' B2 D B F U
U L' B2 D' F B U
U L' B2 D' B F U
U L' B2 D2 F B U
U L' B2 D2 B F U
U L' B2 F D B U
U L' B2 F D' B U
U L' B2 F D2 B U
R' U L' D F B' U
R' U L' D B' F U
R' U L' D' F B' U
R' U L' D' B' F U
R' U L' D2 F B' U
R' U L' D2 B' F U
R' U L' F D B' U
R' U L' F D' B' U
R' U L' F D2 B' U
R' U L' F B' U D
R' U L' F B' U D'
R' U L' F B' U D2
R' U L' F B' D U
R' U L' F B' D' U
R' U L' F B' D2 U
R' U L' B' D F U
R' U L' B' D' F U
R' U L' B' D2 F U
R' U L' B' F U D
R' U L' B' F U D'
R' U L' B' F U D2
R' U L' B' F D U
R' U L' B' F D' U
R' U L' B' F D2 U
L' U L' B' U B L
R2 U L' D F B' U
R2 U L' D B' F U
R2 U L' D' F B' U
R2 U L' D' B' F U
R2 U L' D2 F B' U
R2 U L' D2 B' F U
R2 U L' F D B' U
R2 U L' F D' B' U
R2 U L' F D2 B' U
R2 U L' F B' U D
R2 U L' F B' U D'
R2 U L' F B' U D2
R2 U L' F B' D U
R2 U L' F B' D' U
R2 U L' F B' D2 U
R U L' D F B' U
R U L' D B' F U
R U L' D' F B' U
R U L' D' B' F U
R U L' D2 F B' U
R U L' D2 B' F U
U L2 F L F B' U
R U L' F D B' U
R U L' F D' B' U
