F2 U2 F' R' U
F2 L U2 F' R' U
F2 L' U2 F' R' U
F2 L2 U2 F' R' U
B' L2 F2 B' L U'
B' L2 B' L F2 U'
B2 L2 B' L' F2 U'
B' L2 B' F2 L U'
F R' U2 R F U'
U2 R' D F U R2
U2 R' D2 F B2 U
U2 R' D2 B2 F U
U2 R' F U2 F U'
U2 D R' F U R'
U2 D F R' U R'
D2 U2 R' F B2 U
U2 D2 R' F B2 U
D2 U2 R' B2 F U
U2 D2 R' B2 F U
D U2 R' F U R'
D2 U2 F R' B2 U
U2 D2 F R' B2 U
D U2 F R' U R'
F2 U2 D F' R' U
F2 U2 D' F' R' U
F2 U2 D2 F' R' U
F2 U2 F R' F2 U
F2 U2 F' R' U D
F2 U2 F' R' U D'
F2 U2 F' R' U D2
F2 U2 F' R' D U
F2 U2 F' R' D' U
F2 U2 F' R' D2 U
F2 U2 F' D R' U
F2 U2 F' D' R' U
F2 U2 F' D2 R' U
F2 U2 F2 R' F U
U2 F R' U2 F U'
F2 D U2 F' R' U
R2 F2 L' R2 B U'
F2 D' U2 F' R' U
R2 F2 R2 L' B U'
L' F2 U2 R' F' U
R2 F2 R2 B L' U'
L2 F2 B2 L B U'
L F2 B2 L B' U'
F2 D2 U2 F' R' U
F' D2 F' B2 L U'
F' D2 B2 L F' U'
F' D2 B2 F' L U'
L2 B2 L F2 B U'
L2 B2 L B F2 U'
L B2 L F2 B' U'
L B2 L B' F2 U'
B2 F2 L U2 F' U
F2 B2 L U2 F' U
L2 B2 F2 L B U'
L B2 F2 L B' U'
F2 L U2 D F' R' U
F2 L U2 D' F' R' U
F2 L U2 D2 F' R' U
F2 L U2 F R' F2 U
F2 L U2 F' R' U D
F2 L U2 F' R' U D'
F2 L U2 F' R' U D2
F2 L U2 F' R' D U
F2 L U2 F' R' D' U
F2 L U2 F' R' D2 U
F2 L U2 F' D R' U
F2 L U2 F' D' R' U
F2 L U2 F' D2 R' U
F2 L U2 F2 R' F U
F2 L D U2 F' R' U
B2 L D F U' L' R2
B2 L D F U' R2 L'
F2 L D' U2 F' R' U
F2 L D2 U2 F' R' U
F' L D2 F' B2 L U'
F' L D2 B2 L F' U'
F' L D2 B2 F' L U'
B2 L F D F U' L'
F' L F' U2 F' R' U
B' L F2 L B' L U'
B2 L F2 L B' L' U'
B2 L F2 D' B' U' L
B' L F2 B' L B' U'
B L F2 B L B' U'
B L B L F2 B' U'
B L B L B' F2 U'
B' L B' L F2 B' U'
B' L B' L B' F2 U'
B L B F2 L B' U'
B' L B' F2 L B' U'
F2 L B2 L U2 F' U
D L B2 L B' U' R2
R' L' U2 R F2 B U'
L' R' U2 R F2 B U'
R' L' U2 R B F2 U'
L' R' U2 R B F2 U'
L2 R' U2 R F2 B' U'
L2 R' U2 R B' F2 U'
L2 R' U2 B' R F2 U'
D2 L' U2 R' F' B2 U
D2 L' U2 R' B2 F' U
D L' U2 R' F' U R'
F2 L' U2 D F' R' U
F2 L' U2 D' F' R' U
F2 L' U2 D2 F' R' U
F2 L' U2 F R' F2 U
F2 L' U2 F' R' U D
F2 L' U2 F' R' U D'
F2 L' U2 F' R' U D2
F2 L' U2 F' R' D U
F2 L' U2 F' R' D' U
F2 L' U2 F' R' D2 U
F2 L' U2 F' D R' U
F2 L' U2 F' D' R' U
F2 L' U2 F' D2 R' U
F2 L' U2 F2 R' F U
R2 L' F2 L' R2 B' U'
R2 L' F2 L' B' R2 U'
R2 L' F2 R2 L' B' U'
F2 L' D U2 F' R' U
F2 L' D' U2 F' R' U
F2 L' D2 U2 F' R' U
F' L' D2 F' B2 L U'
F' L' D2 B2 L F' U'
F' L' D2 B2 F' L U'
F' L' F' U2 F' R' U
B' L' F2 L' B' L U'
B2 L' F2 L' B' L' U'
R' L2 U2 R F2 B' U'
R' L2 U2 R B' F2 U'
R' L2 U2 B' R F2 U'
F2 L' B2 L U2 F' U
F L2 R' B' U2 R U'
L' R2 F2 L' R2 B' U'
L' R2 F2 L' B' R2 U'
L' R2 F2 R2 L' B' U'
L2 R2 F2 R2 B' L' U'
R2 L2 F2 R2 B' L' U'
L2 R2 F2 B' L' R2 U'
L2 R2 F2 B' R2 L' U'
R2 L2 F2 B' L' R2 U'
R2 L2 F2 B' R2 L' U'
F2 L2 U2 D F' R' U
F2 L2 U2 D' F' R' U
F2 L2 U2 D2 F' R' U
F2 L2 U2 F R' F2 U
F2 L2 U2 F' R' U D
F2 L2 U2 F' R' U D'
F2 L2 U2 F' R' U D2
F2 L2 U2 F' R' D U
F2 L2 U2 F' R' D' U
F2 L2 U2 F' R' D2 U
F2 L2 U2 F' D R' U
F2 L2 U2 F' D' R' U
F2 L2 U2 F' D2 R' U
F2 L2 U2 F2 R' F U
L2 R2 B' F2 L' R2 U'
L2 R2 B' F2 R2 L' U'
F2 L2 D U2 F' R' U
R2 L2 B' F2 L' R2 U'
R2 L2 B' F2 R2 L' U'
B2 L2 D B' L' U' R2
F2 L2 D' U2 F' R' U
F2 L2 D2 U2 F' R' U
F' L2 D2 F' B2 L U'
F' L2 D2 B2 L F' U'
F' L2 D2 B2 F' L U'
F' L2 F' U2 F' R' U
B' L2 F' B' L F' U'
B' L2 F2 B' L U' D
B' L2 F2 B' L U' D'
B' L2 F2 B' L U' D2
B' L2 F2 B' L D U'
B' L2 F2 B' L D' U'
B' L2 F2 B' L D2 U'
B' L2 F2 B' D L U'
B' L2 F2 B' D' L U'
B' L2 F2 B' D2 L U'
B2 L2 F2 B' U2 R U
B L2 F2 B L B2 U'
B2 L2 B L' F2 B2 U'
B2 L2 B L' B2 F2 U'
B L2 F2 B' U2 R' U
B L2 B L F2 B2 U'
B L2 B L B2 F2 U'
B' L2 B' L U' D R2
B' L2 B' L D U' R2
B' L2 B' L F2 U' D
B' L2 B' L F2 U' D'
B' L2 B' L F2 U' D2
B' L2 B' L F2 D U'
B' L2 B' L F2 D' U'
B' L2 B' L F2 D2 U'
B' L2 B' L' F2 L2 U'
B2 L2 B' L F2 L2 U'
B2 L2 B' L' U' D R2
B2 L2 B' L' D U' R2
B2 L2 B' L' F2 U' D
B2 L2 B' L' F2 U' D'
B2 L2 B' L' F2 U' D2
B2 L2 B' L' F2 D U'
B2 L2 B' L' F2 D' U'
B2 L2 B' L' F2 D2 U'
B L2 B F2 L B2 U'
B2 L2 B' L2 F2 L U'
B' L2 B' D L U' R2
B2 L2 B' D L' U' R2
B' L2 B' F' L F' U'
B' L2 B' F2 L U' D
B' L2 B' F2 L U' D'
B' L2 B' F2 L U' D2
B' L2 B' F2 L D U'
B' L2 B' F2 L D' U'
B' L2 B' F2 L D2 U'
B' L2 B' F2 D L U'
B' L2 B' F2 D' L U'
B' L2 B' F2 D2 L U'
B2 L2 B' F2 U2 R U
F2 L2 B2 L U2 F' U
B2 L2 B2 L' F2 B U'
B2 L2 B2 L' B F2 U'
B L2 B' F2 U2 R' U
D L2 B2 L B U' R2
R2 U F2 L' R2 B U'
R2 U F2 R2 L' B U'
R2 U F2 R2 B L' U'
U2 R F R2 U2 F U'
D2 R F B2 L R2 U
D2 R F B2 R2 L U
U2 R F' R2 F2 B U
U2 R F' R2 B F2 U
D2 R B2 R2 F L U
D2 R B2 F L R2 U
D2 R B2 F R2 L U
F R' L2 B' U2 R U'
R2 U' F2 L' R2 B U'
R2 U' F2 R2 L' B U'
R2 U' F2 R2 B L' U'
F R' U2 R D F U'
F R' U2 R D' F U'
F R' U2 R D2 F U'
F R' U2 R F U' D
F R' U2 R F U' D'
F R' U2 R F U' D2
F R' U2 R F D U'
F R' U2 R F D' U'
F R' U2 R F D2 U'
U2 R' U2 F2 U2 F' U
F R' U2 R' F R2 U'
F R' U2 R2 F R' U'
F R' U2 D R F U'
F R' U2 D' R F U'
F R' U2 D2 R F U'
U2 R' D F U R2 D
U2 R' D F U R2 D'
U2 R' D F U R2 D2
U2 R' D F D B2 U
U2 R' D F B U R2
U2 R' D F B' U R2
U2 R' D F B2 U R2
U2 R' D B F U R2
U2 R' D B' F U R2
U2 R' D B2 F U R2
F R' D U2 R F U'
U R' D F U R2 B
U2 R' D' F U D2 R2
U2 R' D' F U' L2 U2
U2 R' D' F D' B2 U
U2 R' D' F D2 U R2
F R' D' U2 R F U'
U' R' D2 F B2 U B2
U2 R' D2 F U D' R2
U2 R' D2 F D' U R2
U2 R' D2 F B2 U D
U2 R' D2 F B2 U D'
U2 R' D2 F B2 U D2
U' R' D2 B2 F U B2
U2 R' D2 F B2 D U
U2 R' D2 F B2 D' U
U2 R' D2 F B2 D2 U
U' R' F L2 B' U B
U2 R' D2 B2 D F U
U2 R' D2 B2 D' F U
U2 R' D2 B2 D2 F U
U2 R' D2 B2 F U D
U2 R' D2 B2 F U D'
U2 R' D2 B2 F U D2
U2 R' D2 B2 F D U
U2 R' D2 B2 F D' U
U2 R' D2 B2 F D2 U
F R' D2 U2 R F U'
U2 R' F L2 B' L2 U
U2 R' F U2 D F U'
U2 R' F U2 D' F U'
U2 R' F U2 D2 F U'
U2 R' F U2 F U' D
U2 R' F U2 F U' D'
U2 R' F U2 F U' D2
U2 R' F U2 F D U'
U2 R' F U2 F D' U'
U2 R' F U2 F D2 U'
D R' F U D R' B
U2 R' F D U2 F U'
U2 R' F D' U2 F U'
U2 R' F D2 U2 F U'
D R' F D U R' B
U2 R' F B U2 F U'
U2 R' F B' U2 F U'
U2 R' F B2 U2 F U'
D2 R' F2 L' F' B2 U
D2 R' F2 L' B2 F' U
R' U2 R F2 U2 F' U
D R' F2 L' F' U R'
D2 R' F2 B2 L' F' U
L' U2 R' D F' U R2
R' U2 R' F2 R2 B U'
L' U2 R' D2 F' B2 U
L' U2 R' D2 B2 F' U
L' U2 R' F' U2 F' U'
L2 U2 R' U2 F2 B' U'
L2 U2 R' U2 B' F2 U'
U2 R' B D F U R2
U2 R' B D2 F B2 U
U2 R' B D2 B2 F U
U2 R' B F U2 F U'
F R' B U2 R F U'
L' U2 D R' F' U R'
U2 R' B' D F U R2
U2 R' B' D2 F B2 U
U2 R' B' D2 B2 F U
U2 R' B' F U2 F U'
F R' B' U2 R F U'
D2 R' B2 F2 L' F' U
U2 R' B2 D F U R2
U2 R' B2 D2 F B2 U
U2 R' B2 D2 B2 F U
U2 R' B2 F U2 F U'
F R' B2 U2 R F U'
L' U2 D2 R' F' B2 U
L' U2 D2 R' B2 F' U
R' U2 F2 U2 L' F' U
R2 U2 F2 L' R2 B U'
R2 U2 F2 R2 L' B U'
R2 U2 F2 R2 B L' U'
U2 R2 D2 R F B2 U
U2 R2 D2 R B2 F U
F R2 D2 L2 R B' U
F R2 D2 L2 B' R U
F R2 D2 R L2 B' U
U2 R2 D2 B2 R F U
U2 R2 F U2 F L' U'
B2 R2 F2 L R2 B U'
B2 R2 F2 R2 L B U'
B R2 F2 R2 B L U'
F' R2 B R F2 L' U
F2 R2 B R2 U2 R' U
F2 R2 B' R2 B2 L U'
L' D U2 R' F' U R'
R' D F2 L' F' U R2
U2 D R' D F U R'
U2 D R' D' F U R'
U2 D R' D2 F U R'
U2 D R' F U R' D
U2 D R' F U R' D'
U2 D R' F U R' D2
U2 D R' F U D R'
U2 D R' F U D' R'
U2 D R' F U D2 R'
U2 D R' F D U R'
U2 D R' F D' U R'
U2 D R' F D2 U R'
U' D R2 U' R F U
L2 D B2 L B U' R2
U2 D F R' U R' D
U2 D F R' U R' D'
U2 D F R' U R' D2
U2 D F R' U D R'
U2 D F R' U D' R'
U2 D F R' U D2 R'
U2 D F R' D U R'
U2 D F R' D' U R'
U2 D F R' D2 U R'
U2 D F D R' B2 U
D U F R' U R' B
U D F R' U R' B
U2 D F' R' F2 U R'
F2 U' L U' F' R' U
B U' L D R2 F L'
B U' L D F L' R2
B U' L D F R2 L'
F2 U' L' U' F' R' U
D2 U' R' F B2 U B2
D2 U' R' B2 F U B2
