B2 L U F2 B' L
B2 L U B' L F2
B2 L U B' F2 L
B L F2 B' D' R2
B L B' F2 D' R2
B2 U L F2 B' L
B2 U L B' L F2
B2 U L B' F2 L
B2 U F2 L B' L
B2 U F2 B' L B'
B2 U B' L F2 B'
B2 U B' L B' F2
B2 U B' F2 L B'
L' F2 D' R2 B L
F2 B L B' D' R2
B F2 L B' D' R2
B2 L R U F2 B' L
B2 L R U B' L F2
B2 L R U B' F2 L
B2 L R' U F2 B' L
B2 L R' U B' L F2
B2 L R' U B' F2 L
B2 L R2 U F2 B' L
B2 L R2 U B' L F2
B2 L R2 U B' F2 L
B2 L U F' B' L F'
B2 L U F2 B' L D
B2 L U F2 B' L D'
B2 L U F2 B' L D2
B2 L U F2 B' D L
B2 L U F2 B' D' L
B2 L U F2 B' D2 L
B2 L U B' L F2 D
B2 L U B' L F2 D'
B2 L U B' L F2 D2
B2 L U B' L' F2 L2
B2 L U B' F' L F'
B2 L U B' F2 L D
B2 L U B' F2 L D'
B2 L U B' F2 L D2
B2 L U B' F2 D L
B2 L U B' F2 D' L
B2 L U B' F2 D2 L
B2 L U' B' L F2 R
B L U' B U F2 B2
B L U' B U B2 F2
F2 L U' B2 U B L
F2 L D B L B2 R'
B L D B' D' R2 F2
B L D B' D' F2 R2
F2 L D' R2 B L B2
F2 L D' B L R2 B2
F2 L D' B L B2 R2
F2 L D' B R2 L B2
L' R F2 D' R2 B L
B2 L F U F B' L
B2 L F U B' F L
U' L F B2 U F B
U' L F B2 U B F
B L F B' D' R2 F
B L F B' D' F R2
B2 L F' U F' B' L
B2 L F' U B' L F'
B2 L F' U B' F' L
B L F' B' D' F' R2
B L F2 U' B U B2
B L F2 D B' D' R2
B L F2 D' B' D' R2
B L F2 D2 B' D' R2
B L F2 B' R D' R2
B L F2 B' R' D' R2
B L F2 B' R2 D' R2
B L F2 B' U' B2 U
B L F2 B' D' R2 D
B L F2 B' D' R2 D'
B L F2 B' D' R2 D2
B L B' R F2 D' R2
B L B' R' F2 D' R2
B L B' R2 F2 D' R2
B L B' U' B2 U F2
B L B' D' R2 D F2
B L B' F D' R2 F
B L B' F D' F R2
B L B' F' D' F' R2
B L B' F2 R D' R2
B L B' F2 R' D' R2
B L B' F2 R2 D' R2
B L B' F2 U' B2 U
B L B' F2 D' R2 D
B L B' F2 D' R2 D'
B L B' F2 D' R2 D2
U' L B2 F U F B
U' L B2 F U B F
B2 L' U L2 F2 B' L
B2 L' U L2 B' L F2
B2 L' U L2 B' F2 L
R' L' F2 D' R2 B L
L' R' F2 D' R2 B L
R2 L' F2 D' R2 B L
R L' F2 D' R2 B L
B L' B U L2 F2 B'
B L' B U L2 B' F2
L' R2 F2 D' R2 B L
D' L2 B R' U' L R'
D' L2 B R' U' R' L
B2 R L U F2 B' L
B2 R L U B' L F2
B2 R L U B' F2 L
B2 R U L F2 B' L
B2 R U L B' L F2
B2 R U L B' F2 L
B2 R U F2 L B' L
B2 R U F2 B' L B'
B2 R U B' L F2 B'
B2 R U B' L B' F2
B2 R U B' F2 L B'
F2 R B L B' D' R2
B2 R' L U F2 B' L
B2 R' L U B' L F2
B2 R' L U B' F2 L
B2 R' U L F2 B' L
B2 R' U L B' L F2
B2 R' U L B' F2 L
B2 R' U F2 L B' L
B2 R' U F2 B' L B'
B2 R' U B' L F2 B'
B2 R' U B' L B' F2
B2 R' U B' F2 L B'
B R' U' L F2 B' R'
B R' U' L B' R' F2
B R' U' L B' F2 R'
B R' U' F2 L B' R'
L U' B2 U F2 B L
L U' B2 U B L F2
L U' B2 U B F2 L
D2 R' B L D R2 F'
F2 R' B L B' D' R2
D2 R' B D L R2 F'
D2 R' B D R2 L F'
D2 R' B D R2 F' L
B2 R2 L U F2 B' L
B2 R2 L U B' L F2
B2 R2 L U B' F2 L
B2 R2 U L F2 B' L
B2 R2 U L B' L F2
B2 R2 U L B' F2 L
B2 R2 U F2 L B' L
B2 R2 U F2 B' L B'
B2 R2 U B' L F2 B'
B2 R2 U B' L B' F2
B2 R2 U B' F2 L B'
D' R2 D F2 B L B'
D' R2 D B L F2 B'
D' R2 D B L B' F2
D' R2 D B F2 L B'
B R2 F' U' L F' B'
B R2 F' U' L B' F'
B R2 F' U' F' L B'
F2 R2 B L B' D' R2
B2 U L F' B' L F'
B2 U L F2 B' L D
B2 U L F2 B' L D'
B2 U L F2 B' L D2
B2 U L F2 B' D L
B2 U L F2 B' D' L
B2 U L F2 B' D2 L
B2 U L B' L F2 D
B2 U L B' L F2 D'
B2 U L B' L F2 D2
B2 U L B' L' F2 L2
B2 U L B' F' L F'
