F L2 D R2 B' L
F L2 D B' L R2
F L2 D B' R2 L
F' R2 U' F2 B L
F' R2 U' B L F2
F' R2 U' B F2 L
F D L2 R2 B' L
F D L2 B' L R2
F D L2 B' R2 L
F D R2 L2 B' L
F' L R2 U' F2 B L
F' L R2 U' B L F2
F' L R2 U' B F2 L
F' L' R2 U' F2 B L
F' L' R2 U' B L F2
F' L' R2 U' B F2 L
F L' D L' R2 B' L
F L' D L' B' L R2
F L' D L' B' R2 L
F L' D R2 L' B' L
F' L2 R2 U' F2 B L
F' L2 R2 U' B L F2
F' L2 R2 U' B F2 L
F L2 R' B' D L2 R2
F L2 R' B' D R2 L2
F L2 D R B' L R
F L2 D R B' R L
F L2 D R2 B' L D
F L2 D R2 B' L D'
F L2 D R2 B' L D2
F L2 D R2 B' D L
F L2 D R2 B' D' L
F L2 D R2 B' D2 L
F L2 D B' L R2 D
F L2 D B' L R2 D'
F L2 D B' L R2 D2
F L2 D B' R2 L D
F L2 D B' R2 L D'
F L2 D B' R2 L D2
F L2 D B' R2 D L
F L2 D B' R2 D' L
F L2 D B' R2 D2 L
R U F R D' L2 B'
R U F D' L2 R B'
R U F D' L2 B' R
R U F D' R L2 B'
R U' F D' L2 B' R'
F R' L2 B' D L2 R2
F R' L2 B' D R2 L2
F' R' B R' U' F2 B
F' R' B R' U' B F2
F R' B' D L2 R2 B'
F R' B' D L2 B' R2
F R' B' D R2 L2 B'
F' R2 L U' F2 B L
F' R2 L U' B L F2
F' R2 L U' B F2 L
F' R2 L' U' F2 B L
F' R2 L' U' B L F2
F' R2 L' U' B F2 L
F' R2 L2 U' F2 B L
F' R2 L2 U' B L F2
F' R2 L2 U' B F2 L
F' R2 U' L F2 B L
F' R2 U' L B L F2
F' R2 U' L B F2 L
F' R2 U' L' F2 B L
F' R2 U' L' B L F2
F' R2 U' L' B F2 L
F' R2 U' L2 F2 B L
F' R2 U' L2 B L F2
F' R2 U' L2 B F2 L
F' R2 U' F' B L F'
F' R2 U' F2 L B L
F' R2 U' F2 L' B L
F' R2 U' F2 L2 B L
F' R2 U' F2 D B L
F' R2 U' F2 D' B L
F' R2 U' F2 D2 B L
F' R2 U' F2 B L D
F' R2 U' F2 B L D'
F' R2 U' F2 B L D2
F' R2 U' F2 B D L
F' R2 U' F2 B D' L
F' R2 U' F2 B D2 L
