R' L' B D L2
L' R' B D L2
R' L U' F U B
R' L B U' F U
R' L' U B' U' B2
L' R' U B' U' B2
L R' U' F U B
R' L' D B D L2
L' R' D B D L2
L' R' D' B D L2
R' L' D' B D L2
L' R' D2 B D L2
L2 R' D' B' L B2
R' L' D2 B D L2
L' R' B L D L2
L' R' B L' D L2
R' L' B L D L2
L' R' B L2 D L2
R' L' B L' D L2
R' L' B L2 D L2
L' R' B U B2 U'
L' R' B D L2 D
L' R' B D L2 D'
L' R' B D L2 D2
R' L' B U B2 U'
R' L' B D L2 D
R' L' B D L2 D'
R' L' B D L2 D2
L R' B U' F U
L2 R' B2 D' B' L
R' L2 D' B' L B2
R' L2 B2 D' B' L
R' U B' U' B2 L
R' U B2 U' B' L
R' U' F' U L' B
R' U' F' U B L'
L U' F U R' B
R' D L' B D L2
F' U R' F B L
F' U R' B F L
F2 U R' F2 B L
F2 U R' B L F2
F2 U R' B F2 L
F2 U R' B F2 L
R' D' L' B D L2
F' U F R' B L
F2 U F2 R' B L
F U F' R' B L
R' D2 L' B D L2
F U' F' L' R' B
F U' F' R' L' B
F U' F' R' B L'
L F U F' R' B
U' F' U L' R' B
U' F' U R' L' B
U' F' U R' B L'
R' B L U' F U
R' B L' U B' U'
R' B U B U' L
R' B U' F' U L'
L' R U B' U' R2 B
D' L R' U' F L' U
D2 L R' U' F U B'
R' L U' L' U B L
R' L U' D F U B
R' L U' D' F U B
R' L U' D2 F U B
R' L U' F L U B
R' L U' F L' U B
R' L U' F L2 U B
R' L U' F U D B
R' L U' F U D' B
R' L U' F U D2 B
R' L U' F U B D
R' L U' F U B D'
R' L U' F U B D2
R' L U' F D U B
R' L U' F D' U B
D2 L R' B' U' F U
R' L U' F D2 U B
U L R' B L D F2
R' L D L2 B D L2
R' L D U' F U B
R' L D B U' F U
D' L U' F L' U R'
R' L D' L2 B D L2
D2 L U' F U R' B'
R' L D' U' F U B
R' L D' B U' F U
R' L D2 L2 B D L2
R' L D2 U' F U B
R' L D2 B U' F U
L R F U F' R2 B
R L F U F' R2 B
R' L F' D' F L2 B
R' L F' D' F B L2
R' L F' D' B F L2
R' L F' B D' F L2
D' L F L' U F' R'
D2 L F U F' R' B'
F2 L F U R' F B
F2 L F U R' B F
F2 L F U F R' B
R' L B L2 U B' U'
F L F U R' F2 B
F L F U R' B F2
F L F U F2 R' B
L' R B R2 D L2 B
L' R B R2 D B L2
R' L B U' D F U
R' L B U' D' F U
R' L B U' D2 F U
R' L B U' F U D
R' L B U' F U D'
R' L B U' F U D2
R' L B U' F D U
R' L B U' F D' U
R' L B U' F D2 U
R' L B D U' F U
R' L B D' U' F U
R' L B D2 U' F U
R' L B F' D' F L2
F L F' R' D' L2 B
F L F' R' D' B L2
U' L F' U L' R' B
F L F' R' B D' L2
U' L F' U R' L' B
U' L F' U R' B L'
R' L B' U' F U B2
R' L B2 U' F U B'
L' R' U D B' U' B2
R' L' U D B' U' B2
L' R' U D' B' U' B2
R' L' U D' B' U' B2
L' R' U D2 B' U' B2
R' L' U D2 B' U' B2
L' R' U B' R U' B2
L' R' U B' R' U' B2
L' R' U B' R2 U' B2
R' L' U B' R U' B2
R' L' U B' R' U' B2
R' L' U B' R2 U' B2
L' R' U B' U' B2 D
L' R' U B' U' B2 D'
L' R' U B' U' B2 D2
R' L' U B' U' B2 D
R' L' U B' U' B2 D'
R' L' U B' U' B2 D2
L' R' U B' D' R2 U'
R' L' U B' D' R2 U'
L' R' U' L U B L
R' L' U' L U B L
R2 L' U B' U' R B
R' L' U' L2 F U B
L' R' U' L2 F U B
R L' U B' U' R2 B
L R' U' L' U B L
L2 R' U' L' F U B
L2 R' U' L2 U B L
L R' U' D F U B
L R' U' D' F U B
L R' U' D2 F U B
L R' U' F L U B
L R' U' F L' U B
L R' U' F L2 U B
L R' U' F U D B
L R' U' F U D' B
L R' U' F U D2 B
L R' U' F U B D
L R' U' F U B D'
L R' U' F U B D2
L R' U' F D U B
L R' U' F D' U B
L R' U' F D2 U B
L R' D L2 B D L2
R' L' D U B' U' B2
L' R' D U B' U' B2
R2 L' D R B D L2
L R' D U' F U B
R' L' D B L D L2
R' L' D B L' D L2
R' L' D B L2 D L2
L' R' D B L D L2
R' L' D B U B2 U'
L' R' D B L' D L2
L' R' D B L2 D L2
R' L' D B D L2 D
R' L' D B D L2 D'
R' L' D B D L2 D2
L' R' D B U B2 U'
L2 R' D F L' F' B
L2 R' D F L' B F'
L' R' D B D L2 D
L' R' D B D L2 D'
L' R' D B D L2 D2
L2 R' D F B L' F'
L R' D B U' F U
D2 L' R' B D L2 B'
L2 R' D B F L' F'
B' L' R' B R' D L2
F2 L' R' F2 B D L2
B' L' R' B D L2 R'
B' L' R' B D R' L2
L2 R' D B2 D2 B' L
F2 L' R' B F2 D L2
L2 R' D' L B' L B2
L2 R' D' L' B' L B2
L R' D' L2 B D L2
R' L' D' U B' U' B2
L2 R' D' L2 B' L B2
L' R' D' U B' U' B2
R2 L' D' R B D L2
L R' D' U' F U B
R' L' D' B L D L2
R' L' D' B L' D L2
R' L' D' B L2 D L2
R' L' D' B U B2 U'
R' L' D' B D L2 D
R' L' D' B D L2 D'
R' L' D' B D L2 D2
L' R' D' B L D L2
L' R' D' B L' D L2
L' R' D' B L2 D L2
L' R' D' B U B2 U'
L' R' D' B D L2 D
L' R' D' B D L2 D'
L' R' D' B D L2 D2
L R' D' B U' F U
L2 R' D' B U2 R' U2
L2 R' D' B' L B2 D
