F2 L F L U F2
F L F L U F'
L2 U D L2 F L'
L2 U' D' B' U2 L
L2 D U L2 F L'
D' U F B L B
D' U B F L B
D' U B2 D2 F L'
L2 D' U' B' U2 L
U D' F B L B
U D' B F L B
U D' B2 D2 F L'
L F L U' B' U2
U F D' B L B
U F B D' L B2
U F B' D' B2 L
U B D' F L B2
U B F D' L B2
U B' D' F B2 L
U B' D' B2 F L
U B' F D' B2 L
L2 R U D L2 F L'
F L R F L U F'
F L R' F L U F'
L2 R U' D' B' U2 L
F L R2 F L U F'
L2 R D U L2 F L'
L2 R D' U' B' U2 L
F' L D R2 F L U
R' L F L U' B' U2
F' L D F L R2 U
R2 L F L U' B' U2
L R F L U' B' U2
F' L D F R2 L U
F2 L D F L U F2
R L F L U' B' U2
F L D F L U F'
F2 L D' F L U F2
F L D' F L U F'
F2 L D2 F L U F2
F L D2 F L U F'
D' L F L' U F B2
D' L F L' U B2 F
F2 L F L R U F2
F2 L F L R' U F2
F2 L F L R2 U F2
F2 L F L U F2 D
F2 L F L U F2 D'
F2 L F L U F2 D2
F2 L F L D R2 U
F L F L U D F'
F L F L U D' F'
F L F L U D2 F'
F L F L U F' D
F L F L U F' D'
F L F L U F' D2
F L F L D U F'
F L F L D' U F'
F L F L D2 U F'
F2 L F R L U F2
F2 L F R' L U F2
F2 L F R2 L U F2
F2 L F D L R2 U
F2 L F D R2 L U
F L F D L U F'
F L F D' L U F'
F L F D2 L U F'
F' L F' L F2 U F
F2 L F' L F2 U F2
F' L F2 L F' U F
F L F2 L F' U F'
L2 R' U D L2 F L'
L2 R' U' D' B' U2 L
L2 R' D U L2 F L'
L2 R' D' U' B' U2 L
L R' F L U' B' U2
R' L2 U D L2 F L'
R2 L2 U D L2 F L'
L2 R2 U D L2 F L'
R L2 U D L2 F L'
R' L2 U' D' B' U2 L
L2 R2 U' D' B' U2 L
R2 L2 U' D' B' U2 L
R L2 U' D' B' U2 L
U L' B L D' F B2
U L' B L D' B2 F
U L' B L F D' B2
R' L2 D U L2 F L'
L2 R2 D U L2 F L'
R2 L2 D U L2 F L'
R L2 D U L2 F L'
R' L2 D' U' B' U2 L
L2 R2 D' U' B' U2 L
R2 L2 D' U' B' U2 L
R L2 D' U' B' U2 L
L R2 F L U' B' U2
F2 L2 U L' F' D' L2
F2 L2 U D F L' F2
F' L2 U F D F L'
F2 L2 U F2 D F L'
U2 L2 U B' U2 B L
F' L2 U2 L B' U' F2
U2 L2 U' B' R' U2 R
F2 L2 U2 L B' U' F'
F2 L2 U2 L2 U' F' L'
D' L2 D L2 U F L'
F' L2 D R2 F U L'
F2 L2 D U F L' F2
F' L2 D F R2 U L'
F2 L2 D F U L' F2
F L2 D F U L' F'
F L2 D2 R F' U F
F' L2 F U D F L'
F' L2 F D U F L'
F L2 F' U D F L'
F L2 F' D U F L'
F2 L2 F2 U D F L'
F2 L2 F2 D U F L'
L2 U D L' F L' F
L2 U D L2 F L' D
L2 U D L2 F L' D'
L2 U D L2 F L' D2
L2 U D L2 F D L'
L2 U D L2 F D' L'
L2 U D L2 F D2 L'
L2 U D F L2 F L
R' U D' F B L B
L2 U D' L2 D2 F L'
R' U D' B F L B
R' U D' B2 D2 F L'
R2 U D' F B L B
R2 U D' B F L B
R U D' F B L B
R2 U D' B2 D2 F L'
L2 U D2 L2 D' F L'
R U D' B F L B
R U D' B2 D2 F L'
F R L F L U F'
R' U F D' B L B
R' U F B D' L B2
R' U F B' D' B2 L
L2 U F D L2 F L'
R2 U F D' B L B
R2 U F B D' L B2
R2 U F B' D' B2 L
R U F D' B L B
R U F B D' L B2
R U F B' D' B2 L
L2 U F' D L2 F L'
D' R U F B L B
D' R U B F L B
D' R U B2 D2 F L'
L2 U F2 D L2 F L'
R' U B D' F L B2
D2 R U2 R B U' F
R' U B F D' L B2
R2 U B D' F L B2
R2 U B F D' L B2
R U B D' F L B2
R' U B' D' F B2 L
R' U B' D' B2 F L
R U B F D' L B2
R' U B' F D' B2 L
R2 U B' D' F B2 L
R2 U B' D' B2 F L
R2 U B' F D' B2 L
R U B' D' F B2 L
R U B' D' B2 F L
R U B' F D' B2 L
U2 R D' B U' F B
U2 R D' B U' B F
U2 R D2 B R2 U' F
L2 U' R D' B' U2 L
L2 U' R' D' B' U2 L
U2 R B U' D' F B2
U2 R B U' D' B2 F
U2 R B U' F D' B2
U2 R B D' U' F B2
U2 R B D' U' B2 F
U2 R B D2 R2 U' F
L2 U' R2 D' B' U2 L
L2 U' D' R B' U2 L
L2 U' D' R' B' U2 L
L2 U' D' R2 B' U2 L
L2 U' D' B R' B2 U2
L2 U' D' B' R U2 L
L2 U' D' B' R' U2 L
L2 U' D' B' R2 U2 L
L2 U' D' B' U2 L D
L2 U' D' B' U2 L D'
L2 U' D' B' U2 L D2
L2 U' D' B' U2 D L
L2 U' D' B' U2 D' L
L2 U' D' B' U2 D2 L
L2 U' D' B' D U2 L
L2 U' D' B' D' U2 L
L2 U' D' B' D2 U2 L
F R' L F L U F'
D' R' U F B L B
D' R' U B F L B
D' R' U B2 D2 F L'
U2 R' U' F D' L2 B2
U2 R' U' F D' B2 L2
U2 R' U2 F' L2 U F2
L2 U' B2 D' B R' U2
L2 U2 L B' L U' F
U2 R' D2 R2 B U' F
L2 U2 L2 U' F' L' F2
U2 R' F' L2 B' U F2
L2 U2 D L2 U' F L'
F R2 L F L U F'
D' R2 U F B L B
D' R2 U B F L B
D' R2 U B2 D2 F L'
U2 R2 U' D' F L' B2
U2 R2 U' D' F B2 L'
U2 R2 U' D' B2 F L'
U2 R2 D' U' F L' B2
U2 R2 D' U' F B2 L'
U2 R2 D' U' B2 F L'
L2 D R U L2 F L'
L2 D R' U L2 F L'
L2 D R2 U L2 F L'
L2 D U L' F L' F
L2 D U L2 F L' D
L2 D U L2 F L' D'
L2 D U L2 F L' D2
L2 D U L2 F D L'
L2 D U L2 F D' L'
L2 D U L2 F D2 L'
L2 D U F L2 F L
L2 D U2 L2 U' F L'
D' U L' B L F B
D' U L' B L B F
L2 D F U L2 F L
L2 D F U' B' U2 L'
L D F L U D F2
L D F L U2 L2 U'
L D F L D U F2
L D F L D2 R2 U
L2 D F' U' R B' U2
L2 D F' U' B' R U2
L D F' L R F2 U
L D F' R L F2 U
L D F' R F2 L U
D' U F L B L B
D' U F L' B L B
D' U F L2 B L B
U' D F R F U2 F'
D2 U F D B L B
D' U F B L D B
D' U F B L D' B
D' U F B L D2 B
D' U F B L B D
D' U F B L B D'
D' U F B L B D2
D' U F B L' B L2
D' U F B L2 B L'
D' U F B D L B
D' U F B D' L B
D' U F B D2 L B
D2 U F B L D B2
D2 U F B D L B2
D2 U F B' D B2 L
D U F L B L B'
D U F L2 B L B2
U D F L B L B'
D U F U2 F R U2
U D F L2 B L B2
F2 U D' F' B L B
D' U F' B L F2 B
D' U F' B L B F2
D U F B L2 B' L'
F2 U D' B L F' B
F2 U D' B L B F'
D U F B2 L2 B' L
F2 U D' B F' L B
U D F U2 F R U2
U D F B L2 B' L'
U D F B2 L2 B' L
U' D F2 U2 F L' F2
D' U F2 B L F' B
D' U F2 B L B F'
D' U B D F L B
D' U B D' F L B
D2 U B D F L B2
D' U B D2 F L B
D' U B F L D B
D' U B F L D' B
D' U B F L D2 B
D' U B F L B D
D' U B F L B D'
D' U B F L B D2
D' U B F L' B L2
D' U B F L2 B L'
D' U B F D L B
D' U B F D' L B
D' U B F D2 L B
D' U B F' L F2 B
D' U B F' L B F2
D2 U B F L D B2
D' U B F2 L F' B
D' U B F2 L B F'
D2 U B F D L B2
F2 U F' D' B L B
D2 U B' D F B2 L
D2 U B' D B2 F L
F2 U F' B D' L B2
D U B D2 F L B2
D U B F L2 B' L'
F2 U F' B' D' B2 L
D2 U B' F D B2 L
L2 D' R U' B' U2 L
U D B D2 F L B2
U D B F L2 B' L'
F' U F2 D' B L B
F' U F2 B D' L B2
F' U F2 B' D' B2 L
D' U B2 D2 F L' D
D' U B2 D2 F L' D'
D' U B2 D2 F L' D2
D' U B2 D2 F D L'
D' U B2 D2 F D' L'
D' U B2 D2 F D2 L'
D U B' D2 F B2 L
D U B' D2 B2 F L
L2 D' R' U' B' U2 L
U D B' D2 F B2 L
U D B' D2 B2 F L
F' U B F2 D' L B2
F2 U B D' L F' B2
F2 U B D' L B2 F'
F2 U B D' F' L B2
D U B2 D2 F L' B2
D U B2 D2 F B2 L'
F2 U B F' D' L B2
D U B2 D2 B2 F L'
D U B2 F L2 B' L
L2 D' R2 U' B' U2 L
U D B2 D2 F L' B2
U D B2 D2 F B2 L'
U D B2 D2 B2 F L'
U D B2 F L2 B' L
R' D' U F B L B
R' D' U B F L B
F' U B' F2 D' B2 L
R' D' U B2 D2 F L'
F2 U B' D' F' B2 L
F2 U B' D' B2 L F'
F2 U B' D' B2 F' L
L2 D' U L2 D2 F L'
F2 U B' F' D' B2 L
R2 D' U F B L B
R2 D' U B F L B
R2 D' U B2 D2 F L'
L2 D' U' R B' U2 L
L2 D' U' R' B' U2 L
L2 D' U' R2 B' U2 L
L2 D' U' B R' B2 U2
R D' U F B L B
L2 D' U' B' R U2 L
L2 D' U' B' R' U2 L
L2 D' U' B' R2 U2 L
L2 D' U' B' U2 L D
L2 D' U' B' U2 L D'
L2 D' U' B' U2 L D2
L2 D' U' B' U2 D L
L2 D' U' B' U2 D' L
L2 D' U' B' U2 D2 L
L2 D' U' B' D U2 L
L2 D' U' B' D' U2 L
L2 D' U' B' D2 U2 L
U D' L' B L F B
U D' L' B L B F
R D' U B F L B
R D' U B2 D2 F L'
U2 D' R B U' F B
U2 D' R B U' B F
L2 D' F U' B' U2 L
L2 D' F' U' B' U2 L
L2 D' F2 U' B' U2 L
U' D' F' L' F2 B2 R'
D' U' F' L' F2 B2 R'
U' D' F' L' B2 R' F2
U' D' F' L' B2 F2 R'
D' U' F' L' B2 R' F2
D' U' F' L' B2 F2 R'
D U' F R F U2 F'
D' U' F' U2 L' F2 B2
D' U' F' U2 L' B2 F2
U' D' F' U2 L' F2 B2
U' D' F' U2 L' B2 F2
D' U' F' U2 B2 L' F2
U' D' F' U2 B2 L' F2
U D' F L B L B
U D' F L' B L B
U D' F L2 B L B
U D' F B L D B
U D' F B L D' B
U D' F B L D2 B
U D' F B L B D
U D' F B L B D'
U D' F B L B D2
U D' F B L' B L2
U D' F B L2 B L'
U D' F B D L B
U D' F B D' L B
U D' F B D2 L B
U D' F' B L F2 B
U D' F' B L B F2
U' D' B U2 F B L
D' U' B U2 F B L
U' D' B U2 B F L
D' U' B U2 B F L
F2 U' D F2 U2 F L'
D U' F2 U2 F L' F2
B2 U' D' F R2 B2 L
U2 D' B U' F B L
U2 D' B U' B F L
F2 U' D' F' L' B2 R'
U D' F2 B L F' B
U D' F2 B L B F'
U D' B D F L B
U D' B D' F L B
U D' B D2 F L B
U D' B F L D B
U D' B F L D' B
U D' B F L D2 B
U D' B F L B D
U D' B F L B D'
U D' B F L B D2
U D' B F L' B L2
U D' B F L2 B L'
U D' B F D L B
U D' B F D' L B
U D' B F D2 L B
U D' B F' L F2 B
U D' B F' L B F2
U D' B F2 L F' B
U D' B F2 L B F'
B2 U' F D' R2 B2 L
F2 U' F' D' L' B2 R'
U D' B2 D2 F L' D
U D' B2 D2 F L' D'
U D' B2 D2 F L' D2
U D' B2 D2 F D L'
U D' B2 D2 F D' L'
U D' B2 D2 F D2 L'
L2 D2 R F' U' B' U2
L D2 R F L U F2
L2 D2 R2 U' B' R' U2
D' U2 R B U' F B
D' U2 R B U' B F
D2 U2 R B R U' F
L2 D2 U L2 D' F L'
U2 D2 R B R U' F
D2 U2 R2 U' D' F L'
D2 U2 R2 D' U' F L'
U2 D2 R2 U' D' F L'
U2 D2 R2 D' U' F L'
L D2 F L R U F'
L D2 F R L U F'
U D2 F D B L B
U D2 F B L D B2
U D2 F B D L B2
U D2 F B' D B2 L
D' U2 B U' F B L
D' U2 B U' B F L
U D2 B D F L B2
U D2 B F L D B2
U D2 B F D L B2
U D2 B' D F B2 L
U D2 B' D B2 F L
R' F L F L U F'
U D2 B' F D B2 L
D' F L F U F' B2
D' F L F U B2 F'
R2 F L F L U F'
L F L R U' B' U2
L F L R' U' B' U2
L F L R2 U' B' U2
U F L U' L F U
