F R F U B2 D R2
F R F U2 F2 U' B2
F R F D L2 U R2
U' R' F2 B U F B
U' R' F2 B U B F
U' R' B F2 U F B
U' R' B F2 U B F
D' R2 U' L2 R' F' R
D' R2 U' R' L2 F' R
D' R2 U' R' F' L2 R
D' R2 U' R' F' R L2
D' R2 F' L' U' L' R
D' R2 F' L' U' R L'
R' D' R2 F' L' U' L'
R D' F' L' R2 U' L'
R D' F' R2 L' U' L'
B2 U' R' F2 B U F
B2 U' R' B F2 U F
B2 U' F2 R' B U F'
R2 F R F B U B
R2 F R B F U B
D' F' L' R2 U' L' R'
D' F' L' R2 U' R' L'
R F' L' R2 B U' B
R F' L' U2 F' U B2
R F' L' D' R2 B U'
D' F' R2 L' U' L' R'
D' F' R2 L' U' R' L'
R F' R2 L' B U' B
R F' R2 B L' U' B
R F' D' L' R2 B U'
R F' D' R2 L' B U'
R F' D' R2 B L' U'
U' F2 R' B U F' B
U' F2 R' B U B F'
R F2 U2 F L' U' B2
U2 F2 B' R' B U B2
U2 B' R' F2 B U B2
U2 B' R' B F2 U B2
U2 B' F2 R' B U B2
U' B2 D' L2 R' F' R
U' B2 D' R' L2 F' R
U' B2 D' R' F' L2 R
U' B2 D' R' F' R L2
U2 B2 D' L2 R F' R
U2 B2 D' L2 F' R F'
U2 B2 D' R L2 F' R
U2 B2 D' R F' L2 R
U2 B2 D' R F' R L2
U2 B2 D' F' L2 R F'
U2 B2 D' F' R L2 F'
U2 B2 D' F' R F' L2
