B2 L D F' R2 U'
B2 L D2 F' U' B2
B2 L F' R2 U' B
B2 L F' U F' U2
F2 U' F B2 L U'
F2 U' B2 F L U'
B2 D L F' R2 U'
B2 D F' L R2 U'
B2 D F' R2 L U'
B2 D2 L F' U' B2
B2 D2 F' L U' B2
B2 F' L R2 U' B
B2 F' L U F' U2
B2 F' R2 L U' B
F' B2 L R2 U' B
F' B2 L U F' U2
F' B2 R2 L U' B
B2 L R2 D R2 F' U'
B2 L U F2 U' F U'
B2 L D R2 U2 B U
B2 L D F R2 F2 U'
B2 L D F' R2 U' D
B2 L D F' R2 U' D'
B2 L D F' R2 U' D2
B2 L D F' R2 D U'
B2 L D F' R2 D' U'
B2 L D F' R2 D2 U'
B2 L D F' U' D B2
B2 L D F' D U' B2
B2 L D F2 R2 F U'
B2 L D' F' U' D' B2
B2 L D' F' U2 L2 U
B2 L D' F' D' U' B2
B2 L D' F' D2 R2 U'
B2 L D2 F' R U' B2
B2 L D2 F' R' U' B2
B2 L D2 F' R2 U' B2
B2 L D2 F' U' B2 D
B2 L D2 F' U' B2 D'
B2 L D2 F' U' B2 D2
B2 L D2 F' D' R2 U'
B2 L F' R2 U' D B
B2 L F' R2 U' D' B
B2 L F' R2 U' D2 B
B2 L F' R2 U' B D
B2 L F' R2 U' B D'
B2 L F' R2 U' B D2
B2 L F' R2 D U' B
B2 L F' R2 D' U' B
B2 L F' R2 D2 U' B
B2 L F' U D F' U2
B2 L F' U D' F' U2
B2 L F' U D2 F' U2
B2 L F' U F' U2 D
B2 L F' U F' U2 D'
B2 L F' U F' U2 D2
B2 L F' U F' D U2
B2 L F' U F' D' U2
B2 L F' U F' D2 U2
B2 L F' U' R2 B R2
B2 L F' D R2 U' B
B2 L F' D U F' U2
B2 L F' D' R2 U' B
B2 L F' D' U F' U2
B2 L F' D2 R2 U' B
B2 L F' D2 U F' U2
F L F2 B2 L U' B'
F' L B2 L R2 U' B
F' L B2 L U F' U2
F L B2 L F2 U' B'
F' L B2 R2 L U' B
F L B2 F2 L U' B'
B2 L' F L2 F2 U' B'
B2 L' F' L2 R2 U' B
B2 L' F' L2 U F' U2
B2 L' F' R2 L2 U' B
F' L' B2 L R2 U' B
F' L' B2 L U F' U2
F' L' B2 R2 L U' B
B2 L2 D L' F' R2 U'
B2 L2 D2 L' F' U' B2
F L2 F2 B2 L U' B
F' L2 B2 L R2 U' B
F' L2 B2 L U F' U2
F' L2 B2 R2 L U' B
F L2 B2 L F2 U' B
F L2 B2 F2 L U' B
F R' U D L2 R2 B'
F R' U D L2 B' R2
F R' U D R2 L2 B'
F2 R' U2 F B2 U' B2
F2 R' U2 B2 F U' B2
F R' D U L2 R2 B'
F R' D U L2 B' R2
F R' D U R2 L2 B'
B2 R2 L D R2 F' U'
D' R2 U L2 B R U
D' R2 U B L2 R U
D' R2 U B R L2 U
B2 R2 D L R2 F' U'
D R2 U2 B R U L2
B2 R2 D R2 L F' U'
B2 R2 D R2 F' L U'
F' R2 B2 U2 R U B'
F2 U R' U2 F B2 U'
F2 U R' U2 B2 F U'
F' U F' U' B2 L U'
B2 U F2 U' F L U'
F2 U' L' B2 L F U'
R' D2 L F2 B' U B'
R' D2 L B' F2 U B'
F2 U' F L B2 L U'
F2 U' F L' B2 L U'
F2 U' F L2 B2 L U'
F2 U' F B2 L U' D
F2 U' F B2 L U' D'
F2 U' F B2 L U' D2
F2 U' F B2 L D U'
F2 U' F B2 L D' U'
F2 U' F B2 L D2 U'
F2 U' F B2 D L U'
F2 U' F B2 D' L U'
F2 U' F B2 D2 L U'
F2 U' F' B2 L F2 U'
F2 U' F2 B2 L F' U'
F2 U' B2 D F L U'
F2 U' B2 D' F L U'
F2 U' B2 D2 F L U'
F2 U' B2 F L U' D
F2 U' B2 F L U' D'
F2 U' B2 F L U' D2
F2 U' B2 F L D U'
F2 U' B2 F L D' U'
F2 U' B2 F L D2 U'
F2 U' B2 F D L U'
F2 U' B2 F D' L U'
F2 U' B2 F D2 L U'
F2 U' B2 F' L F2 U'
