D' L U2 R2 F L
D' L U2 F L R2
D' L U2 F R2 L
D' L F L R2 B
D' L F R2 L B
D L' R2 B' L' U2
D L' B' L' R2 U2
D L' B' R2 L' U2
D' L' B' U2 L' R2
D' L' B' U2 R2 L'
L U F2 B2 U F'
U2 R D' L2 R2 F'
U2 R D' R2 L2 F'
U2 R D' R2 F' L2
L U B2 F2 U F'
D' R' U2 L2 R' F'
D' R' U2 R' L2 F'
D' R' U2 R' F' L2
U2 R' D' L2 F' R2
U2 R' D' F' L2 R2
U2 R' D' F' R2 L2
L' U2 D' L2 R2 F
L' U2 D' L2 F R2
L' U2 D' R2 L2 F
L U2 D' R2 F L2
L U2 D' F L2 R2
L U2 D' F R2 L2
D R2 L' B' L' U2
L' D L2 R2 U2 F
L' D R2 L2 U2 F
L D L2 R2 B' U2
L' D R2 B' L2 U2
L D L2 B' R2 U2
L D R2 L2 B' U2
L' D B' L2 R2 U2
L' D B' R2 L2 U2
L' D' L2 F R2 B
B' U F2 B' R' U
L' D' U2 L2 R2 F
L' D' U2 L2 F R2
L' D' U2 R2 L2 F
B' U B' R' F2 U
B' U B' F2 R' U
U2 D' L2 R' F' R'
L D' U2 R2 F L2
L D' U2 F L2 R2
L D' U2 F R2 L2
U2 D' R' L2 F' R'
L D' F L2 R2 B
L D' F R2 L2 B
L D' F R2 B L2
U2 D' R' F' L2 R'
U2 D' R' F' R' L2
L' D' B' U2 L2 R2
L' D' B' U2 R2 L2
D' U2 L2 R' F' R'
D' U2 R' L2 F' R'
D' U2 R' F' L2 R'
D' U2 R' F' R' L2
U F2 B' R' B' U
L' B' U F2 B' U
L' B' U B' F2 U
U B' R' F2 B' U
U B' R' B' F2 U
U B' F2 R' B' U
U B' F2 R' B' U
D' L R U2 R F L
U2 L R D' L2 R2 F'
U2 L R D' R2 L2 F'
U2 L R D' R2 F' L2
R' L U F2 B2 U F'
R2 L U F2 B2 U F'
L R U F2 B2 U F'
R' L U B2 F2 U F'
D' L R' U2 R' F L
D' L R' U2 F L R'
D' L R' U2 F R' L
R2 L U B2 F2 U F'
R L U F2 B2 U F'
L R U B2 F2 U F'
U2 L R' D' L2 F' R2
U2 L R' D' F' L2 R2
U2 L R' D' F' R2 L2
R L U B2 F2 U F'
L' R U2 D' L2 R2 F
L' R U2 D' L2 F R2
L' R U2 D' R2 L2 F
R' L U2 D' R2 F L2
R' L U2 D' F L2 R2
R' L U2 D' F R2 L2
D L R2 B' U2 F R
R2 L U2 D' R2 F L2
R2 L U2 D' F L2 R2
R2 L U2 D' F R2 L2
L R U2 D' R2 F L2
L R U2 D' F L2 R2
L R U2 D' F R2 L2
D L R2 B2 U2 R' F
D L R2 B2 U2 F R'
R L U2 D' R2 F L2
R L U2 D' F L2 R2
R L U2 D' F R2 L2
L' R D L2 R2 U2 F
R' L D L2 R2 B' U2
R' L D L2 B' R2 U2
L' R D R2 L2 U2 F
R2 L D L2 R2 B' U2
L' R D R2 B' L2 U2
L R D L2 R2 B' U2
R2 L D L2 B' R2 U2
R' L D R2 L2 B' U2
L R D L2 B' R2 U2
R L D L2 R2 B' U2
R2 L D R2 L2 B' U2
B L U F2 B U F'
L R D R2 L2 B' U2
R L D L2 B' R2 U2
B L U B F2 U F'
R L D R2 L2 B' U2
L' R D B' L2 R2 U2
L' R D B' R2 L2 U2
L' R D' L2 F R2 B
D2 L U' F2 B2 U' F'
L' R D' U2 L2 R2 F
L' R D' U2 L2 F R2
L' R D' U2 R2 L2 F
R' L D' U2 R2 F L2
R' L D' U2 F L2 R2
R' L D' U2 F R2 L2
D2 L U' B2 F2 U' F'
R' L D' F L2 R2 B
R' L D' F R2 L2 B
R' L D' F R2 B L2
R2 L D' U2 R2 F L2
R2 L D' U2 F L2 R2
R2 L D' U2 F R2 L2
L R D' U2 R2 F L2
L R D' U2 F L2 R2
L R D' U2 F R2 L2
R2 L D' F L2 R2 B
R2 L D' F R2 L2 B
R2 L D' F R2 B L2
L R D' F L2 R2 B
L R D' F R2 L2 B
L R D' F R2 B L2
L' R D' B' U2 L2 R2
L' R D' B' U2 R2 L2
R L D' U2 R2 F L2
R L D' U2 F L2 R2
R L D' U2 F R2 L2
D' L U2 R' F L R'
D' L U2 R' F R' L
R L D' F L2 R2 B
R L D' F R2 L2 B
R L D' F R2 B L2
D' L U2 R2 D F L
D' L U2 R2 D' F L
D' L U2 R2 D2 F L
D' L U2 R2 F L D
D' L U2 R2 F L D'
D' L U2 R2 F L D2
D' L U2 R2 F D L
D' L U2 R2 F D' L
D' L U2 R2 F D2 L
D' L U2 R2 F' L F2
D' L U2 R2 F2 L F'
D2 L U2 D R2 F L2
D2 L U2 D F L2 R2
D2 L U2 D F R2 L2
D' L U2 F L R2 D
D' L U2 F L R2 D'
D' L U2 F L R2 D2
D' L U2 F R2 L D
D' L U2 F R2 L D'
D' L U2 F R2 L D2
D' L U2 F R2 D L
D' L U2 F R2 D' L
D' L U2 F R2 D2 L
D' L U2 F' L R2 F2
D' L U2 F' L F2 R2
D' L U2 F' R2 L F2
D' L U2 F' R2 F2 L
D' L U2 F2 L F' R2
D2 L D U2 R2 F L2
D2 L D U2 F L2 R2
D2 L D U2 F R2 L2
D2 L D F L2 R2 B
D2 L D F R2 L2 B
D2 L D F R2 B L2
D2 L D' L2 R2 B' U2
D2 L D' L2 B' R2 U2
U2 L D' L2 R' F' R'
D2 L D' R2 L2 B' U2
U2 L D' R' L2 F' R'
U2 L D' R' F' L2 R'
U2 L D' R' F' R' L2
D' L D2 L2 B' U2 L'
D' L F L R2 D B
D' L F L R2 D' B
D' L F L R2 D2 B
D' L F L R2 B D
D' L F L R2 B D'
D' L F L R2 B D2
D' L F L B R2 B
D' L F L B' R2 B
D' L F L B2 R2 B
D' L F L' R2 B L2
D' L F L2 R2 B L'
D' L F R2 L D B
D' L F R2 L D' B
D' L F R2 L D2 B
D' L F R2 L B D
D' L F R2 L B D'
D' L F R2 L B D2
D' L F R2 L' B L2
D' L F R2 L2 B L'
D' L F R2 D L B
D' L F R2 D' L B
D' L F R2 D2 L B
D' L F B' R2 B L
L' R B' U F2 B' U
L' R B' U B' F2 U
D' L F2 L F' R2 B
B2 L F2 U D2 F' B2
B2 L F2 U D2 B2 F'
B2 L F2 U' F2 U2 F
B2 L F2 D' L2 U F'
B2 L F2 D2 U F' B2
B2 L F2 D2 U B2 F'
L R' U F2 B2 U F'
D L B' R2 U2 F R
L R' U B2 F2 U F'
D' L B' F R2 B L
D' L B2 R' U2 R' F
D' L B2 R' U2 F R'
D L B2 R2 U2 R F
F2 L B2 U D2 F B2
F2 L B2 U D2 B2 F
F2 L B2 U' F2 U2 F'
R' L' U2 D' L2 R2 F
R' L' U2 D' L2 F R2
L' R' U2 D' L2 R2 F
L' R' U2 D' L2 F R2
R' L' U2 D' R2 L2 F
L' R' U2 D' R2 L2 F
F2 L B2 D2 U F B2
F2 L B2 D2 U B2 F
R2 L' U2 D' L2 R2 F
R2 L' U2 D' L2 F R2
L R' U2 D' R2 F L2
R2 L' U2 D' R2 L2 F
L R' U2 D' F L2 R2
L R' U2 D' F R2 L2
R L' U2 D' L2 R2 F
R L' U2 D' L2 F R2
R L' U2 D' R2 L2 F
U2 L' R D' L2 R2 F'
U2 L' R D' R2 L2 F'
U2 L' R D' R2 F' L2
R' L' D L2 R2 U2 F
L' R' D L2 R2 U2 F
R' L' D R2 L2 U2 F
D' L' R B' U2 L' R
D' L' R B' U2 R L'
L' R' D R2 L2 U2 F
L R' D L2 R2 B' U2
R2 L' D L2 R2 U2 F
R' L' D R2 B' L2 U2
L R' D L2 B' R2 U2
L' R' D R2 B' L2 U2
R L' D L2 R2 U2 F
D L' R B' L' R U2
D L' R B' R L' U2
L R' D R2 L2 B' U2
R2 L' D R2 L2 U2 F
R2 L' D R2 B' L2 U2
R L' D R2 L2 U2 F
R L' D R2 B' L2 U2
R' L' D B' L2 R2 U2
R' L' D B' R2 L2 U2
L' R' D B' L2 R2 U2
L' R' D B' R2 L2 U2
U2 L' R' D' L2 F' R2
U2 L' R' D' F' L2 R2
U2 L' R' D' F' R2 L2
R2 L' D B' L2 R2 U2
R2 L' D B' R2 L2 U2
R' L' D' L2 F R2 B
L' R' D' L2 F R2 B
R L' D B' L2 R2 U2
R L' D B' R2 L2 U2
R2 L' D' L2 F R2 B
R' L' D' U2 L2 R2 F
R' L' D' U2 L2 F R2
R' L' D' U2 R2 L2 F
R L' D' L2 F R2 B
L' R' D' U2 L2 R2 F
L' R' D' U2 L2 F R2
L' R' D' U2 R2 L2 F
D L' R2 D B' L' U2
L R' D' U2 R2 F L2
L R' D' U2 F L2 R2
L R' D' U2 F R2 L2
R2 L' D' U2 L2 R2 F
R2 L' D' U2 L2 F R2
R2 L' D' U2 R2 L2 F
D L' R2 D' B' L' U2
L R' D' F L2 R2 B
L R' D' F R2 L2 B
L R' D' F R2 B L2
R' L' D' B' U2 L2 R2
R' L' D' B' U2 R2 L2
D L' R2 D2 B' L' U2
R L' D' U2 L2 R2 F
R L' D' U2 L2 F R2
R L' D' U2 R2 L2 F
L' R' D' B' U2 L2 R2
L' R' D' B' U2 R2 L2
D L' R2 B L' B2 U2
R2 L' D' B' U2 L2 R2
R2 L' D' B' U2 R2 L2
D L' R2 B' L' U2 D
D L' R2 B' L' U2 D'
D L' R2 B' L' U2 D2
D L' R2 B' L' D U2
D L' R2 B' L' D' U2
D L' R2 B' L' D2 U2
D L' R2 B' D L' U2
D L' R2 B' D' L' U2
D L' R2 B' D2 L' U2
R L' D' B' U2 L2 R2
R L' D' B' U2 R2 L2
D L' R2 B2 L' B U2
D' L' U2 L2 R2 F L
D' L' U2 L2 F L R2
D' L' U2 L2 F R2 L
D' L' U2 R2 L2 F L
D2 L' U2 D L2 R2 F
D2 L' U2 D L2 F R2
D2 L' U2 D R2 L2 F
D2 L' D L2 F R2 B
D2 L' D U2 L2 R2 F
D2 L' D U2 L2 F R2
D2 L' D U2 R2 L2 F
D2 L' D B' U2 L2 R2
D2 L' D B' U2 R2 L2
D2 L' D' L2 R2 U2 F
F2 L' D' L2 U R2 F
F2 L' D' L2 U F R2
D2 L' D' R2 L2 U2 F
U2 L' D' L2 R' F' R'
D2 L' D' R2 B' L2 U2
U2 L' D' R' L2 F' R'
U2 L' D' R' F' L2 R'
U2 L' D' R' F' R' L2
D2 L' D' B' L2 R2 U2
D2 L' D' B' R2 L2 U2
B' L' D' B' L U2 L
D' L' D2 L2 U2 F L
R' L' B' U F2 B' U
R' L' B' U B' F2 U
L' R' B' U F2 B' U
L' R' B' U B' F2 U
D L' D2 L' U2 L' F
R2 L' B' U F2 B' U
R2 L' B' U B' F2 U
R L' B' U F2 B' U
R L' B' U B' F2 U
D' L' D2 B' L2 U2 L
D L' D2 B' L' U2 L'
L R2 U F2 B2 U F'
L R2 U B2 F2 U F'
B2 L' F2 U' F2 B' U2
B2 L' F2 U' B' F2 U2
B2 L' F2 D' L2 U F
L' R2 U2 D' L2 R2 F
L' R2 U2 D' L2 F R2
L' R2 U2 D' R2 L2 F
D L' B L' R2 B2 U2
D L' B L' B2 R2 U2
D L' B R2 L' B2 U2
D L' B R2 B2 L' U2
L R2 U2 D' R2 F L2
L R2 U2 D' F L2 R2
L R2 U2 D' F R2 L2
D' L' B' L U2 L2 R2
D' L' B' L U2 R2 L2
L' R2 D L2 R2 U2 F
D' L' B' L2 U2 L R2
D' L' B' L2 U2 R2 L
D' L' B' R U2 L' R
D' L' B' R U2 R L'
L' R2 D R2 L2 U2 F
D' L' B' R' U2 L' R'
D' L' B' R' U2 R' L'
L' R2 D R2 B' L2 U2
D L' B' L' R2 U2 D
D L' B' L' R2 U2 D'
D L' B' L' R2 U2 D2
D L' B' L' R2 D U2
D L' B' L' R2 D' U2
D L' B' L' R2 D2 U2
L R2 D L2 R2 B' U2
D L' B' L' U2 D2 L2
D L' B' L' D2 U2 L2
L R2 D L2 B' R2 U2
D2 L' B' U' F2 B' U'
D2 L' B' U' B' F2 U'
D' L' B' U2 L' R2 D
D' L' B' U2 L' R2 D'
D' L' B' U2 L' R2 D2
D' L' B' U2 R2 L' D
D' L' B' U2 R2 L' D'
D' L' B' U2 R2 L' D2
D' L' B' U2 R2 D L'
D' L' B' U2 R2 D' L'
D' L' B' U2 R2 D2 L'
L R2 D R2 L2 B' U2
B2 L' B' U F2 B U
B2 L' B' U B F2 U
D L' B' R2 L' U2 D
D L' B' R2 L' U2 D'
D L' B' R2 L' U2 D2
D L' B' R2 L' D U2
D L' B' R2 L' D' U2
D L' B' R2 L' D2 U2
D L' B' R2 D L' U2
D L' B' R2 D' L' U2
D L' B' R2 D2 L' U2
D' L' B' D2 L2 U2 L
L' R2 D B' L2 R2 U2
L' R2 D B' R2 L2 U2
B L' B' U F2 B2 U
B L' B' U B2 F2 U
B L' B' U2 D' L2 R2
B L' B' U2 D' R2 L2
B L' B' D L2 R2 U2
B L' B' D R2 L2 U2
L' R2 D' L2 F R2 B
B L' B' D' U2 L2 R2
B L' B' D' U2 R2 L2
D L' B' D2 L' U2 L'
D L' B2 L' R2 U2 F'
L' R2 D' U2 L2 R2 F
L' R2 D' U2 L2 F R2
L' R2 D' U2 R2 L2 F
D L' B2 L' B R2 U2
D' L' B2 U2 L' R2 F'
D' L' B2 U2 R2 L' F'
F2 L' B2 U' F2 B U2
F2 L' B2 U' B F2 U2
D L' B2 R2 L' U2 F'
L' R2 D' B' U2 L2 R2
L' R2 D' B' U2 R2 L2
L R2 D' U2 R2 F L2
L R2 D' U2 F L2 R2
L R2 D' U2 F R2 L2
L R2 D' F L2 R2 B
L R2 D' F R2 L2 B
L R2 D' F R2 B L2
U2 L2 R D' L2 R2 F'
U2 L2 R D' R2 L2 F'
U2 L2 R D' R2 F' L2
D L2 R U2 F2 L' F
D L2 R D2 R U2 F'
U2 L2 R' D' L2 F' R2
U2 L2 R' D' F' L2 R2
U2 L2 R' D' F' R2 L2
D L2 R' D2 R' B U2
D L2 R2 U' L' U' F
D L2 R2 U2 L' F L
D L2 U2 L D2 L2 F
D L2 U2 L' D2 F L2
D L2 U2 L' F D2 L2
L' R2 B' U F2 B' U
L' R2 B' U B' F2 U
U2 L2 D' L2 R' F' R'
U2 L2 D' R' L2 F' R'
U2 L2 D' R' F' L2 R'
U2 L2 D' R' F' R' L2
D L2 D2 R U2 L2 F'
D L2 D2 R U2 F' L2
D L2 D2 R' B U2 L2
L U R F2 B2 U F'
L U R B2 F2 U F'
L U R' F2 B2 U F'
L U R' B2 F2 U F'
L U R2 F2 B2 U F'
L U R2 B2 F2 U F'
D' R L U2 R F L
U2 R L D' L2 R2 F'
U2 R L D' R2 L2 F'
U2 R L D' R2 F' L2
U2 R L' D' L2 R2 F'
U2 R L' D' R2 L2 F'
U2 R L' D' R2 F' L2
D' R L' B' U2 L' R
D' R L' B' U2 R L'
D R L' B' L' R U2
D R L' B' R L' U2
U2 R L2 D' L2 R2 F'
U2 R L2 D' R2 L2 F'
U2 R L2 D' R2 F' L2
D R L2 U2 F2 L' F
D R L2 D2 R U2 F'
B' R U F2 B' R' U
B' R U B' R' F2 U
B' R U B' F2 R' U
R' U F2 B' R' B' U
L' U F2 B2 R2 U F'
L' U F2 B2 U' B U2
L U F2 U D' F' R2
L U F2 U F' D' R2
R2 U F2 B' R' B' U
L U F2 D' U F' R2
D' R U2 L2 R' F' R2
L U F2 B2 U D F'
L U F2 B2 U D' F'
L U F2 B2 U D2 F'
L U F2 B2 U F' D
L U F2 B2 U F' D'
L U F2 B2 U F' D2
L U F2 B2 D U F'
L U F2 B2 D' U F'
L U F2 B2 D2 U F'
R U F2 B' R' B' U
D' R U2 R' L2 F' R2
D' R U2 R' F' L2 R2
D' R U2 R' F' R2 L2
R' U B' R' F2 B' U
R' U B' R' B' F2 U
R2 U B' R' F2 B' U
R2 U B' R' B' F2 U
R' U B' F2 R' B' U
R U B' R' F2 B' U
R U B' R' B' F2 U
L' U B2 R2 F2 U F
R2 U B' F2 R' B' U
R U B' F2 R' B' U
U2 R D' L R2 F' L
U2 R D' L2 R2 D F'
U2 R D' L2 R2 D' F'
U2 R D' L2 R2 D2 F'
U2 R D' L2 R2 F' D
U2 R D' L2 R2 F' D'
U2 R D' L2 R2 F' D2
L U B2 R F2 U F'
U2 R D' L2 F R2 F'
U2 R D' L2 F' R2 F'
L' U B2 F2 R2 U F'
U2 R D' L2 F2 R2 F'
L' U B2 F2 U' B U2
L U B2 R' F2 U F'
L U B2 R2 F2 U F'
U2 R D' R2 L F' L
L U B2 U D' F L2
U2 R D' R2 L2 D F'
U2 R D' R2 L2 D' F'
U2 R D' R2 L2 D2 F'
U2 R D' R2 L2 F' D
U2 R D' R2 L2 F' D'
U2 R D' R2 L2 F' D2
U2 R D' R2 F L2 F2
U2 R D' R2 F' L2 D
U2 R D' R2 F' L2 D'
U2 R D' R2 F' L2 D2
U2 R D' F L2 R2 F'
U2 R D' F R2 L2 F'
U2 R D' F R2 F' L2
L U B2 D' U F L2
U2 R D' F' L2 R2 F'
U2 R D' F' R2 L2 F'
U2 R D' F' R2 F' L2
U2 R D' F2 L2 R2 F'
U2 R D' F2 R2 L2 F'
U2 R D' F2 R2 F' L2
L U B2 F2 U D F'
L U B2 F2 U D' F'
L U B2 F2 U D2 F'
L U B2 F2 U F' D
L U B2 F2 U F' D'
L U B2 F2 U F' D2
L U B2 F2 D U F'
