U L F2 R F' U B
B2 L' D B' L B' R'
D L' B2 D' R' B L
R U' F' L' U B' R'
U' R' B U2 R U B
B U L F2 R F' U
F' U R F' U F2 B
F' U R F' U B F2
F2 U R F' U F' B
F2 U R F' U B F'
B' U R' B U2 B' U
L' D B2 D' R' B L
B' U' R' B U2 R U
B2 D L B' L D2 R2
B2 D' R F' R U2 F
B2 D' F' R F' U2 F2
D B L' D' B2 L R'
D B L' D' B2 R' L
L' B' U R' F' B U'
L' B' U R' B F' U'
B' F' U' R' B U' F
F' B' U' R' B U' F
F2 B' U' R' B U' F2
L' B2 R' U B R' U'
L' B2 D L R' B' L
L' B2 D R' L B' L
L' B2 D R' B' L B'
B' F2 U' R' B U' F2
