L' F2 U F'
L' R F2 U F'
R' L' F2 U F'
L' R' F2 U F'
R2 L' F2 U F'
R L' F2 U F'
L' R2 F2 U F'
L' U D' F L2
L' D' U F L2
L' F2 U D F'
L' F2 U D' F'
L' F2 U D2 F'
L F2 L2 U F
L' F2 U F' D
L' F2 U F' D'
L' F2 U F' D2
L2 F2 L U F
L' F2 D U F'
L' F2 D' U F'
L' F2 D2 U F'
L' R U D' F L2
L' R D' U F L2
U L D' L2 F B2
U L D' L2 F B2
U L D' L2 B2 F
R' L F2 L2 U F
L' R F2 U D F'
L' R F2 U D' F'
L' R F2 U D2 F'
L' R F2 U F' D
L' R F2 U F' D'
L' R F2 U F' D2
R2 L F2 L2 U F
L R F2 L2 U F
L2 R F2 L U F
L' R F2 D U F'
L' R F2 D' U F'
L' R F2 D2 U F'
R L F2 L2 U F
R' L' U D' F L2
L' R' U D' F L2
R2 L' U D' F L2
R L' U D' F L2
L' R' D' U F L2
R' L' D' U F L2
R2 L' D' U F L2
R L' D' U F L2
D' L' U D L' F
F2 L' U2 R U' F
L' R' F2 U D F'
L' R' F2 U D' F'
L' R' F2 U D2 F'
L' R' F2 U F' D
L' R' F2 U F' D'
L' R' F2 U F' D2
R' L' F2 U D F'
R' L' F2 U D' F'
R' L' F2 U D2 F'
R' L' F2 U F' D
R' L' F2 U F' D'
R' L' F2 U F' D2
L' R' F2 D U F'
L' R' F2 D' U F'
L' R' F2 D2 U F'
R' L' F2 D U F'
R' L' F2 D' U F'
R' L' F2 D2 U F'
L2 R' F2 L U F
L R' F2 L2 U F
D' L' D U L' F
R2 L' F2 U D F'
R2 L' F2 U D' F'
R2 L' F2 U D2 F'
R2 L' F2 U F' D
R2 L' F2 U F' D'
R2 L' F2 U F' D2
R2 L' F2 D U F'
R2 L' F2 D' U F'
R2 L' F2 D2 U F'
R L' F2 U D F'
R L' F2 U D' F'
R L' F2 U D2 F'
R L' F2 U F' D
R L' F2 U F' D'
R L' F2 U F' D2
R L' F2 D U F'
R L' F2 D' U F'
R L' F2 D2 U F'
L' R2 U D' F L2
B' L' F2 B U F'
B2 L' F2 B2 U F'
B' L' B F2 U F'
B' L' B F2 U F'
L' R2 D' U F L2
B2 L' B2 F2 U F'
L' R2 F2 U D F'
L' R2 F2 U D' F'
L' R2 F2 U D2 F'
L' R2 F2 U F' D
L' R2 F2 U F' D'
L' R2 F2 U F' D2
R' L2 F2 L U F
L' R2 F2 D U F'
L' R2 F2 D' U F'
L' R2 F2 D2 U F'
L2 R2 F2 L U F
R2 L2 F2 L U F
L R2 F2 L2 U F
R L2 F2 L U F
L' U L2 D' L2 F
L' U D F D2 L2
L' U D' F L2 D
L' U D' F L2 D'
L' U D' F L2 D2
L' U D' F' L2 F2
L' U D' F2 L2 F'
L' U D2 F D L2
L U D' L2 F B2
L U D' L2 B2 F
L' U F U' F U
L' U' D R2 U2 F
L' U2 D2 B2 U' F
L' D U F D2 L2
L' D U' R2 U2 F
L' D' R U F L2
L2 D' L U F L
L' D' R' U F L2
L' D' R2 U F L2
L' D' U F L2 D
L' D' U F L2 D'
L' D' U F L2 D2
L' D' U F' L2 F2
L' D' U F2 L2 F'
L D' U L2 F B2
L D' U L2 B2 F
L' D' F' U L2 F2
L' D' F' U F2 L2
L' D' F2 U L2 F'
L' D' F2 U F' L2
L' D2 U F D L2
L' D2 U2 B2 U' F
F2 U2 L' R U' F
F2 U2 R L' U' F
L' F R F U F'
F2 U2 D2 R U' F'
L' F R' F U F'
L' F R2 F U F'
L' F D F U F'
L' F D' F U F'
L' F D2 F U F'
L2 F' L F' U F2
L F' L2 F' U F2
L' F' D F' R2 U
L2 F2 L R U F
L2 F2 L R' U F
L2 F2 L R2 U F
L2 F2 L U D F
L2 F2 L U D' F
L2 F2 L U D2 F
L2 F2 L U F D
L2 F2 L U F D'
L2 F2 L U F D2
L2 F2 L D U F
L2 F2 L D' U F
L2 F2 L D2 U F
L' F2 R2 U' B U2
L F2 L2 R U F
L F2 L2 R' U F
L F2 L2 R2 U F
L F2 L2 U D F
L F2 L2 U D' F
L F2 L2 U D2 F
L F2 L2 U F D
L F2 L2 U F D'
L F2 L2 U F D2
L2 F2 R L U F
L F2 L2 D U F
L F2 L2 D' U F
L' F2 U L' F' L
L F2 L2 D2 U F
L' F2 U L2 F' L2
L' F2 U D F' D
L' F2 U D F' D'
L' F2 U D F' D2
L' F2 U D' F' D
L' F2 U D' F' D'
L' F2 U D' F' D2
L' F2 U D2 F' D
L' F2 U D2 F' D'
L' F2 U D2 F' D2
L F2 R L2 U F
L' F2 U F2 D F
L' F2 U F2 D' F
L' F2 U F2 D2 F
L2 F2 R' L U F
L F2 R' L2 U F
L' F2 U' B U2 F'
L' F2 U' B' U2 F'
L2 F2 R2 L U F
L' F2 U' B2 U2 F'
L' F2 U2 L U' F'
L' F2 U2 L' U' F'
L' F2 U2 L2 U' F'
L F2 R2 L2 U F
L' F2 D U F' D
L' F2 D U F' D'
L' F2 D U F' D2
L' F2 D' U F' D
L' F2 D' U F' D'
L' F2 D' U F' D2
L' F2 D2 U F' D
L' F2 D2 U F' D'
L' F2 D2 U F' D2
L2 F2 D L U F
L2 F2 D' L U F
L2 F2 D2 L U F
F2 D2 U2 R U' F'
L' R U L2 D' L2 F
F2 L R U' B' U2 B
L' R U D F D2 L2
L' R U D' F L2 D
L' R U D' F L2 D'
L' R U D' F L2 D2
L' R U D' F' L2 F2
L' R U D' F2 L2 F'
L' R U D2 F D L2
R' L U D' L2 F B2
R' L U D' L2 B2 F
L' R U F U' F U
R2 L U D' L2 F B2
R2 L U D' L2 B2 F
L R U D' L2 F B2
L R U D' L2 B2 F
R L U D' L2 F B2
R L U D' L2 B2 F
F2 L R' D2 L2 U F
L' R U' D R2 U2 F
L' R U2 D2 B2 U' F
L' R D U F D2 L2
L' R D U' R2 U2 F
U L U' L2 F2 U F'
U2 L U' D' L2 F B2
U2 L U' D' L2 B2 F
L' R D' R U F L2
L2 R D' L U F L
L' R D' R' U F L2
L' R D' R2 U F L2
L' R D' U F L2 D
L' R D' U F L2 D'
L' R D' U F L2 D2
L' R D' U F' L2 F2
L' R D' U F2 L2 F'
R' L D' U L2 F B2
R' L D' U L2 B2 F
F2 L U' B' U' R U'
U L U' F2 L2 U F
R2 L D' U L2 F B2
R2 L D' U L2 B2 F
L R D' U L2 F B2
L R D' U L2 B2 F
L' R D' F' U L2 F2
L' R D' F' U F2 L2
L' R D' F2 U L2 F'
L' R D' F2 U F' L2
R L D' U L2 F B2
R L D' U L2 B2 F
F2 L U2 L2 R U' F
U2 L U2 L2 F2 U F'
F2 L U2 R L2 U' F
F2 L U2 R U B' U2
U2 L U2 F2 L2 U F
L' R D2 U F D L2
L' R D2 U2 B2 U' F
L' R F R F U F'
L' R F R' F U F'
L' R F R2 F U F'
L' R F D F U F'
L' R F D' F U F'
L' R F D2 F U F'
U' L D' L2 F B2 R'
B2 L D' L2 R2 F B2
B2 L D' L2 R2 B2 F
U' L D' L2 B2 R' F
U' L D' L2 B2 F R'
B2 L D' L2 F R2 B2
B2 L D' L2 F B2 R2
B2 L D' L2 B2 R2 F
B2 L D' L2 B2 F R2
U L D' L' B2 L' F
B2 L D' R2 L2 F B2
B2 L D' R2 L2 B2 F
U L D' L2 F B2 D
U L D' L2 F B2 D'
U L D' L2 F B2 D2
U L D' L2 B2 D F
U L D' L2 B2 D' F
U L D' L2 B2 D2 F
U L D' L2 B2 F D
U L D' L2 B2 F D'
U L D' L2 B2 F D2
U2 L D' U' L2 F B2
U2 L D' U' L2 B2 F
R' L F' L2 F' U F2
L2 R F' L F' U F2
R2 L F' L2 F' U F2
L R F' L2 F' U F2
U L D' F L2 F B2
U L D' F L2 B2 F
R L F' L2 F' U F2
U L D' F' L2 F B2
U L D' F' L2 B2 F
U L D' F2 L2 F B2
U L D' F2 L2 B2 F
B2 L D' B2 L2 R2 F'
L' R F' D F' R2 U
B2 L D' B2 R2 L2 F'
B2 L D' B2 R2 F' L2
R' L F2 L2 R U F
R' L F2 L2 R' U F
R' L F2 L2 R2 U F
R' L F2 L2 U D F
R' L F2 L2 U D' F
R' L F2 L2 U D2 F
R' L F2 L2 U F D
R' L F2 L2 U F D'
R' L F2 L2 U F D2
R' L F2 L2 D U F
R' L F2 L2 D' U F
R' L F2 L2 D2 U F
L2 R F2 L R U F
L2 R F2 L R' U F
L2 R F2 L R2 U F
R' L F2 R L2 U F
L2 R F2 L U D F
L2 R F2 L U D' F
L2 R F2 L U D2 F
L2 R F2 L U F D
L2 R F2 L U F D'
L2 R F2 L U F D2
L2 R F2 L D U F
L2 R F2 L D' U F
L2 R F2 L D2 U F
R' L F2 R' L2 U F
R2 L F2 L2 R U F
L R F2 L2 R U F
R2 L F2 L2 R' U F
L R F2 L2 R' U F
R2 L F2 L2 R2 U F
L R F2 L2 R2 U F
R2 L F2 L2 U D F
R2 L F2 L2 U D' F
R2 L F2 L2 U D2 F
R2 L F2 L2 U F D
R2 L F2 L2 U F D'
R2 L F2 L2 U F D2
L R F2 L2 U D F
L R F2 L2 U D' F
L R F2 L2 U D2 F
L R F2 L2 U F D
L R F2 L2 U F D'
L R F2 L2 U F D2
L R F2 L2 D U F
R2 L F2 L2 D U F
R' L F2 R2 L2 U F
L R F2 L2 D' U F
L' R F2 R2 U' B U2
R2 L F2 L2 D' U F
L R F2 L2 D2 U F
R2 L F2 L2 D2 U F
R2 L F2 R L2 U F
L R F2 R L2 U F
L' R F2 U L' F' L
L2 R F2 R L U F
L' R F2 U L2 F' L2
L' R F2 U D F' D
L' R F2 U D F' D'
L' R F2 U D F' D2
L' R F2 U D' F' D
L' R F2 U D' F' D'
L' R F2 U D' F' D2
R L F2 L2 R U F
L' R F2 U D2 F' D
L' R F2 U D2 F' D'
L' R F2 U D2 F' D2
R L F2 L2 R' U F
R L F2 L2 R2 U F
R L F2 L2 U D F
R L F2 L2 U D' F
R L F2 L2 U D2 F
R L F2 L2 U F D
R L F2 L2 U F D'
R L F2 L2 U F D2
L' R F2 U F2 D F
L' R F2 U F2 D' F
L' R F2 U F2 D2 F
R L F2 L2 D U F
