B2 L B' U' R'
B2 L D B' U' R'
B2 L D' B' U' R'
B2 L D2 B' U' R'
B2 L F B' U' R'
B2 L F' B' U' R'
B2 L F2 B' U' R'
B2 L B' U' R' D
B2 L B' U' R' D'
B2 L B' U' R' D2
B2 L B' U' R' D2
B2 L B' U' D R'
B2 L B' U' D' R'
B2 L B' U' D2 R'
B2 L B' D U' R'
B2 L B' D' U' R'
B2 L B' D2 U' R'
B2 L B' F U' R'
B2 L B' F' U' R'
B2 L B' F2 U' R'
B2 F L B' U' R'
B2 F' L B' U' R'
F' B2 L B' U' R'
B2 F2 L B' U' R'
F2 B2 L B' U' R'
F B2 L B' U' R'
B2 L R' B' R U' R2
B2 L R2 B' R2 U' R
B' L U' B' L U' B
B2 L D F B' U' R'
B2 L D F' B' U' R'
B2 L D F2 B' U' R'
B2 L D B' U' R' D
B2 L D B' U' R' D'
B2 L D B' U' R' D2
B2 L D B' U' D R'
B2 L D B' U' D' R'
B2 L D B' U' D2 R'
B2 L D B' D U' R'
B2 L D B' D' U' R'
B2 L D B' D2 U' R'
B2 L D B' F U' R'
B2 L D B' F' U' R'
B2 L D B' F2 U' R'
B2 L D' F B' U' R'
B2 L D' F' B' U' R'
B2 L D' F2 B' U' R'
B2 L D' B' U' R' D
B2 L D' B' U' R' D'
B2 L D' B' U' R' D2
B2 L D' B' U' D R'
B2 L D' B' U' D' R'
B2 L D' B' U' D2 R'
B2 L D' B' D U' R'
B2 L D' B' D' U' R'
B2 L D' B' D2 U' R'
B2 L D' B' F U' R'
B2 L D' B' F' U' R'
B2 L D' B' F2 U' R'
B2 L D2 F B' U' R'
B2 L D2 F' B' U' R'
B2 L D2 F2 B' U' R'
B2 L D2 B' U' R' D
B2 L D2 B' U' R' D'
B2 L D2 B' U' R' D2
B2 L D2 B' U' D R'
B2 L D2 B' U' D' R'
B2 L D2 B' U' D2 R'
B2 L D2 B' D U' R'
B2 L D2 B' D' U' R'
B2 L D2 B' D2 U' R'
B2 L D2 B' F U' R'
B2 L D2 B' F' U' R'
B2 L D2 B' F2 U' R'
B2 L F D B' U' R'
B2 L F D' B' U' R'
B2 L F D2 B' U' R'
B2 L F B' U' R' D
B2 L F B' U' R' D'
B2 L F B' U' R' D2
B2 L F B' U' D R'
B2 L F B' U' D' R'
B2 L F B' U' D2 R'
B2 L F B' D U' R'
B2 L F B' D' U' R'
B2 L F B' D2 U' R'
B2 L F' D B' U' R'
B2 L F' D' B' U' R'
B2 L F' D2 B' U' R'
B2 L F' B' U' R' D
B2 L F' B' U' R' D'
B2 L F' B' U' R' D2
B2 L F' B' U' D R'
B2 L F' B' U' D' R'
B2 L F' B' U' D2 R'
B2 L F' B' D U' R'
B2 L F' B' D' U' R'
B2 L F' B' D2 U' R'
B2 L F2 D B' U' R'
B2 L F2 D' B' U' R'
B2 L F2 D2 B' U' R'
B2 L F2 B' U' R' D
B2 L F2 B' U' R' D'
B2 L F2 B' U' R' D2
B2 L F2 B' U' D R'
B2 L F2 B' U' D' R'
B2 L F2 B' U' D2 R'
B2 L F2 B' D U' R'
B2 L F2 B' D' U' R'
B2 L F2 B' D2 U' R'
B' L B' L U L' U2
B' L B' L F2 U' R
B2 L B' U L U2 R'
B2 L B' U L' U2 R'
B2 L B' U L2 U2 R'
B2 L B' U' R2 D R
B2 L B' U' R2 D' R
B2 L B' U' R2 D2 R
B2 L B' U' D R' D
B2 L B' U' D R' D'
B2 L B' U' D R' D2
B2 L B' U' D' R' D
B2 L B' U' D' R' D'
B2 L B' U' D' R' D2
B2 L B' U' D2 R' D
B2 L B' U' D2 R' D'
B2 L B' U' D2 R' D2
B2 L B' U' F' R' F
B2 L B' U' F2 R' F2
B2 L B' D U' R' D
B2 L B' D U' R' D'
B2 L B' D U' R' D2
B2 L B' D F U' R'
B2 L B' D F' U' R'
B2 L B' D F2 U' R'
B2 L B' D' U' R' D
B2 L B' D' U' R' D'
B2 L B' D' U' R' D2
B2 L B' D' F U' R'
B2 L B' D' F' U' R'
B2 L B' D' F2 U' R'
B2 L B' D2 U' R' D
B2 L B' D2 U' R' D'
B2 L B' D2 U' R' D2
B2 L B' D2 F U' R'
B2 L B' D2 F' U' R'
B2 L B' D2 F2 U' R'
B2 L B' F U' R' D
B2 L B' F U' R' D'
B2 L B' F U' R' D2
B2 L B' F U' D R'
B2 L B' F U' D' R'
B2 L B' F U' D2 R'
B2 L B' F D U' R'
B2 L B' F D' U' R'
B2 L B' F D2 U' R'
B2 L B' F' U' R' D
B2 L B' F' U' R' D'
B2 L B' F' U' R' D2
