U L2 B' R' F'
U' L F L R B'
U' L F L B' R
U' L F R L B'
B L F U' L B'
U L2 R' F' B' R'
U L2 R' B' F' R'
U L2 D B' R' F'
U L2 D' B' R' F'
U L2 D2 B' R' F'
R' U L2 B' R' F'
U L2 F B' R' F'
R2 U L2 B' R' F'
R U L2 B' R' F'
U L2 F' B' R' F'
U L2 F2 B' R' F'
U L2 B' R' D F'
U L2 B' R' D' F'
U L2 B' R' D2 F'
U L2 B' R' F' D
U L2 B' R' F' D'
U L2 B' R' F' D2
U L2 B' D R' F'
U L2 B' D' R' F'
U L2 B' D2 R' F'
U L2 B' F R' F'
U L2 B' F' R' F'
U L2 B' F2 R' F'
B' R' U L2 B' R'
U R' L2 F' B' R'
U R' L2 B' F' R'
L F U' L F B'
L F U' L B' F
U B' L2 R' F' B'
U B' L2 R' B' F'
U B' R' L2 F' B'
U B' R' L2 B' F'
U' L R F L R B'
U' L R F L B' R
U' L R F R L B'
B L R F U' L B'
U' L R' F L R B'
U' L R' F L B' R
U' L R' F R L B'
B L R' F U' L B'
U L R' F' L B' R'
U' L R2 F L R B'
U' L R2 F L B' R
U' L R2 F R L B'
B L R2 F U' L B'
U2 L U L F R B'
U2 L U L F B' R
U2 L U L B' F R
U2 L U' L B' R' F'
U L U2 L F R B'
U L U2 L F B' R
U L U2 L B' F R
U' L U2 F L B' R'
R' L F U' L F B'
R' L F U' L B' F
R2 L F U' L F B'
R2 L F U' L B' F
L R F U' L F B'
L R F U' L B' F
R L F U' L F B'
R L F U' L B' F
U' L F L R D B'
U' L F L R D' B'
U' L F L R D2 B'
U' L F L R B' D
U' L F L R B' D'
U' L F L R B' D2
U' L F L R' B' R2
U' L F L D R B'
U' L F L D B' R
U' L F L D' R B'
U' L F L D' B' R
U' L F L D2 R B'
U' L F L D2 B' R
U' L F L B R B2
U' L F L B' R D
U' L F L B' R D'
U' L F L B' R D2
U' L F L B' D R
U' L F L B' D' R
U' L F L B' D2 R
U' L F R L D B'
U' L F R L D' B'
U' L F R L D2 B'
U' L F R L B' D
U' L F R L B' D'
U' L F R L B' D2
U L F L B' R' F'
U' L F R' L B' R2
B L F R U' L B'
B L F R' U' L B'
B L F R2 U' L B'
B L F U' L D B'
B L F U' L D' B'
B L F U' L D2 B'
B L F U' L B' D
B L F U' L B' D'
B L F U' L B' D2
U L F' L B' R' F'
U' L F2 L F' R B'
U' L F2 L F' B' R
U' L F2 L B' F' R
U L F2 L B' R' F'
L R' F U' L F B'
L R' F U' L B' F
U L' D L' B' R' F'
U L' D' L' B' R' F'
U L' D2 L' B' R' F'
U L' B' L' R' F' B'
U L' B' L' R' B' F'
U L' B' R' L' F' B'
U L' B' R' L' B' F'
U L2 R B' R' D2 F2
U L2 R B' D2 R' F2
U L2 R B' D2 F2 R'
U L2 R' D F' B' R'
U L2 R' D B' F' R'
U L2 R' D' F' B' R'
U L2 R' D' B' F' R'
U L2 R' D2 F' B' R'
L R2 F U' L F B'
L R2 F U' L B' F
U L2 R' D2 B' F' R'
U L2 R' F B' R' F2
U L2 R' F' R B' R'
U L2 R' F' R' B' R'
U L2 R' F' R2 B' R'
U L2 R' F' D B' R'
U L2 R' F' D' B' R'
U L2 R' F' D2 B' R'
U L2 R' F' B' R' D
U L2 R' F' B' R' D'
U L2 R' F' B' R' D2
U L2 R' F' B' D R'
U L2 R' F' B' D' R'
U L2 R' F' B' D2 R'
U L2 R' F2 B' R' F
U L2 R' B' D F' R'
U L2 R' B' D' F' R'
U L2 R' B' D2 F' R'
U L2 R' B' F R' F2
U L2 R' B' F' R' D
