U2 R F U F' B
U2 R F U B F'
F' L D R2 F L' U2
F' L D F L' R2 U2
F' L D F R2 L' U2
B' L' R2 U' F' B' L'
B' L' R2 U' B' F' L'
B' L' U B U2 L B2
U L' U' L F R U2
B L' U' F' B' L' F
B L' U' B' F' L' F
F L' U2 F' U' F B'
F L' U2 F' U' B' F
U2 R D F U F' B
U2 R D F U B F'
U2 R D' F U F' B
U2 R D' F U B F'
U2 R D2 F U F' B
U2 R D2 F U B F'
U2 R F L U F' B
U2 R F L U B F'
U2 R F L' U F' B
U2 R F L' U B F'
U2 R F L2 U F' B
U2 R F L2 U B F'
U2 R F U D F' B
U2 R F U D B F'
U2 R F U D' F' B
U2 R F U D' B F'
U2 R F U D2 F' B
U2 R F U D2 B F'
U2 R F U F' D B
U2 R F U F' D' B
U2 R F U F' D2 B
U2 R F U F' B D
U2 R F U F' B D'
U2 R F U F' B D2
U2 R F U B D F'
U2 R F U B D' F'
U2 R F U B D2 F'
U2 R F U B F' D
U2 R F U B F' D'
U2 R F U B F' D2
U2 R F D U F' B
U2 R F D U B F'
U2 R F D' U F' B
U2 R F D' U B F'
U2 R F D2 U F' B
U2 R F D2 U B F'
U2 R B U' F B' U
U2 R B U' B' F U
U R' U R F U B
U2 R' F U D2 F' B2
U2 R' F U D2 B2 F'
U2 R' F U' F2 U2 F
U2 R' F D' L2 U F'
U2 R' F D2 U F' B2
U2 R' F D2 U B2 F'
R' U2 R F U F' B
R' U2 R F U B F'
R2 U2 R F U F' B
R2 U2 R F U B F'
R U2 R F U F' B
R U2 R F U B F'
L' U2 R' F' U F B'
L' U2 R' F' U B' F
B' R2 L' U' F' B' L'
B' R2 L' U' B' F' L'
L' U2 F U F' B' L'
L' U2 F U B' F' L'
F R2 U B L U L'
L' U2 B' U' B U L
U2 R2 D' F L' U F'
U2 D R F U F' B
U2 D R F U B F'
B' U B U F L U
U2 D' R F U F' B
U2 D' R F U B F'
F' U' D' F R U' L2
F' U' D2 F R B2 U'
F' U' D2 F B2 R U'
F' U' D2 B2 F R U'
F' U' F R U2 F U
F2 U' F2 U2 F L' U
F U' F' U2 L' U L
D' U2 R F U F' B
D' U2 R F U B F'
D2 U2 R F U F' B
D2 U2 R F U B F'
U2 D2 R F U F' B
U2 D2 R F U B F'
D U2 R F U F' B
D U2 R F U B F'
U F L U' L' U2 B'
L F L U' F' B' U'
L F L U' B' F' U'
U F L' U' L F U2
L F L2 U' F' U' L'
F U2 F' R U' F B
F U2 F' R U' B F
U2 F U F' U' L' U
L' F U' F' U' B' L'
U2 F U2 L' U' F' B'
U2 F U2 L' U' B' F'
U F U2 R' U' R B
U F U2 F R U' R'
F' D R2 U' F R U'
U F B L U' L' U2
U F B' U2 R' U' R
U F' L F2 U R B
U2 F' R F2 U F' B
U2 F' R F2 U B F'
U' F' U' L' F2 U F2
U F' B L F2 U R
F' D' U' F R U' L2
L F2 D F' R U2 R
F' D2 U' F R B2 U'
F' D2 U' F B2 R U'
F' D2 U' B2 F R U'
L' B U B' R' U2 B'
U B U F L U F'
U B F L U' L' U2
U B F' L F2 U R
L2 B' L R2 U' F' B'
L2 B' L R2 U' B' F'
L2 B' L U B U2 B2
L2 B' L U' B' D2 F2
L2 B' L' U F B U2
L2 B' L' U B F U2
L2 B' R2 L U' F' B'
L2 B' R2 L U' B' F'
U2 B' U' F B L U
U2 B' U' B F L U
U B' F U2 R' U' R
L' B2 U B2 U2 B' L
