F2 L U B' U F2
F2 L' U' F U' F
F2 U' L' F U' F
F2 U2 F' D F' R
F' D F' U2 R F2
F D F L' U2 F2
F D F U2 F2 R
L' F2 U' F' U' F'
L F2 U B' U F2
F2 L U R B' U F2
F2 L U R' B' U F2
F2 L U R2 B' U F2
F2 L U D R2 B' U
F2 L U D B' R2 U
F2 L U B' R U F2
F2 L U B' R' U F2
F2 L U B' R2 U F2
F2 L U B' U F2 D
F2 L U B' U F2 D'
F2 L U B' U F2 D2
F2 L U B' D R2 U
F2 L U' L2 F U' F
F2 L U' D' L2 F U'
F2 L U2 F2 U' B' U
F2 L D U R2 B' U
F2 L D U B' R2 U
F2 L D' U' L2 F U'
F2 L D2 B2 U B U
U2 L F2 R U B' U
B' L F2 U B' U F2
B2 L F2 U B' U F2
B L F2 U B' U F2
F2 L B U B2 U F2
F2 L B U2 F2 D' R2
F2 L B' U2 F2 D R2
F2 L B2 U B U F2
F2 L' U' D' F L2 U'
F2 L' U' F U' D F
F2 L' U' F U' D' F
F2 L' U' F U' D2 F
F2 L' U' F U' F D
F2 L' U' F U' F D'
F2 L' U' F U' F D2
F2 L' U' F D U' F
F2 L' U' F D' U' F
F2 L' U' F D2 U' F
F L' U' F R U' F2
F2 L' U2 F' D F' R2
F2 L' U2 F2 U F' U'
F2 L' D' U' F L2 U'
F2 L' D2 B2 U' F U'
U' L' F U F U2 F'
B' L' F2 U' F' U' F'
U2 L' F2 U' F' U' L
B2 L' F2 U' F' U' F'
B L' F2 U' F' U' F'
F2 L' B U' F U' F
F2 L' B' U' F U' F
F2 L' B2 U' F U' F
F2 L2 U B' U R' F2
F2 L2 U B' U F2 R'
F2 L2 U' F U' R F
L' U D F R2 B U'
D2 R U F' U' B2 L
L U B' U' F2 U2 F2
D2 R F' U' F B2 L
D2 R F' U' B2 F L
D2 R B2 L U F' U'
D2 R B2 U F' U' L
L' U' F U F U2 F'
D' R2 B R' D' B2 L
L' D U F R2 B U'
F2 U L B' L' U F2
F U L2 U F' B' R'
F U L2 U B' F' R'
F2 U' L U2 B' U F2
F2 U' L D' L2 F U'
F2 U' L' D' F L2 U'
F2 U' L' F U' D F
F2 U' L' F U' D' F
F2 U' L' F U' D2 F
F2 U' L' F U' F D
F2 U' L' F U' F D'
F2 U' L' F U' F D2
F2 U' L' F D U' F
F2 U' L' F D' U' F
F2 U' L' F D2 U' F
F2 U' L2 U' F R F
F2 U' L2 F U' F R
R2 D' B R' D' L2 B2
R2 D' B R' D' B2 L2
R2 D' B D' L2 R' B2
R2 D' B D' R' L2 B2
R2 D' B D' R' B2 L2
U' D' B L2 F U R'
D' U' B L2 F U R'
R2 D' B' D' B2 L2 R'
R2 D' B' D' B2 R' L2
F2 U' F' L' F U' F2
F2 U' F' U' D F' R
F2 U' F' D U' F' R
R2 D2 L2 B D B R'
F2 U' F2 L' F U' F'
F2 U2 R F' D F' R
R2 D2 B L2 D B R'
F2 U2 R' F' D F' R
F' U2 R2 D' F B R'
F' U2 R2 D' B R' F
F' U2 R2 D' B F R'
F' U2 R2 F D' B R'
F2 U2 R2 F' D F' R
R D2 B D B L R'
R D2 B D B R' L
F2 U2 D F D' F2 R
F2 U2 D F' D' R F2
F' U2 D' R2 F B R'
F' U2 D' R2 B R' F
F' U2 D' R2 B F R'
F U2 D F' R D2 B2
F U2 D F' D2 R B2
F U2 D F' D2 B2 R
D F L' U2 D F' B2
D F L' U2 D B2 F'
D F L' U2 F' D B2
F2 U2 F D F' R F2
D F L' D U2 F' B2
D F L' D U2 B2 F'
D F L' D' F2 U2 F
F2 U2 F' D F' R D
F2 U2 F' D F' R D'
F2 U2 F' D F' R D2
F2 U2 F' D F' D R
F2 U2 F' D F' D' R
F2 U2 F' D F' D2 R
F2 U2 F2 D F' R F
F2 U2 F2 D' B R' B'
F2 U2 F2 B' D' B R'
