B R2 U' F U2 L'
F U B R2 U L'
F L U B R2 U L2
D2 L2 R' U' B' L R'
D2 L2 R' U' B' R' L
B L2 R2 U D2 B' L
D2 L2 R2 F' U' B' L
B L2 R2 D2 U B' L
B L2 R2 F U B' L'
D2 L2 U' B' L D' R2
D2 L2 U' B' D' L R2
D2 L2 U' B' D' R2 L
D2 L2 U2 B U B2 L
B L2 F R2 U B' L'
D2 R' L2 U' B' L R'
D2 R' L2 U' B' R' L
R2 U' F U2 L' D R2
R2 U' F U2 D L' R2
R2 U' F U2 D R2 L'
R2 U' F D U2 L' R2
R2 U' F D U2 R2 L'
R2 U' F D' L2 U2 L
D2 R2 L2 F' U' B' L
B R2 L2 U D2 B' L
B R2 L2 D2 U B' L
B R2 L2 F U B' L'
R2 U2 F' U R F2 U2
R2 U2 F' U F2 U2 L'
B R2 U L2 D2 B' L
B R2 U D2 L2 B' L
B R2 U' R F U2 L'
B R2 U' R' F U2 L'
B R2 U' R2 F U2 L'
B R2 U' F R U2 L'
B R2 U' F R' U2 L'
B R2 U' F R2 U2 L'
B R2 U' F U2 L' D
B R2 U' F U2 L' D'
B R2 U' F U2 L' D2
B R2 U' F U2 D L'
B R2 U' F U2 D' L'
B R2 U' F U2 D2 L'
B R2 U' F D U2 L'
B R2 U' F D' U2 L'
B R2 U' F D2 U2 L'
B R2 U' F' R F2 U2
B R2 D2 L2 U B' L
B R2 D2 U L2 B' L
B R2 F' U' R F2 U2
B R2 F' U' F2 U2 L'
B2 R2 B' U' F U2 L'
B' R2 B2 U' F U2 L'
F U D' B U L' F2
F2 U B R2 U B L
F U B R2 U L' D
F U B R2 U L' D'
F U B R2 U L' D2
F U B R2 U D L'
F U B R2 U D' L'
F U B R2 U D2 L'
F U B R2 D U L'
F U B R2 D' U L'
F U B R2 D2 U L'
F U B U L' D' F2
F U B U D' L' F2
F U B D' U L' F2
F U B' R2 B2 U L'
F U B2 R2 B' U L'
B U' F U R2 U L'
B U' F U2 L' D' F2
B U' F U2 D' L' F2
B U' F D B2 U2 L'
B U' F D' U2 L' F2
F U2 L' U' B R2 U
L' F L' B' D' R2 F2
L' F L' B' D' F2 R2
B U2 D2 L2 U' B' L
F2 U2 B R2 U L B
F U2 B R2 U B' L'
U' F U B R2 U L'
U2 F U B R2 U L'
U F U B R2 U L'
L2 F B R2 U L' B2
L2 F B R2 U B2 L'
L2 F B' L' D' R2 F2
L2 F B' L' D' F2 R2
L2 F B' D' L' R2 F2
L2 F B' D' L' F2 R2
L2 F B' D' R2 L' F2
R2 F' U R F2 U2 F2
R2 F' U F2 U2 L' F2
R2 F' U' R F2 U2 R'
F D B2 U B' U L'
F' D' L2 B U F2 L'
L2 F' B R2 U B2 L
L2 F' B' D' F2 L' R2
L2 F' B' D' F2 R2 L'
F D' U B U L' F2
F' D' B L2 U F2 L'
B' D2 L2 F2 U' B' L
B2 D2 L2 F U' B' L
B D2 U2 L2 U' B' L
U' B R2 U' F U2 L'
U2 B R2 U' F U2 L'
L2 B R2 F U L' B2
L2 B R2 F U B2 L'
U B R2 U' F U2 L'
F' B R2 U D2 B2 L
F' B R2 U' R' F2 U2
F' B R2 U' F2 R' U2
L2 B F R2 U L' B2
L2 B F R2 U B2 L'
F' B R2 D2 U B2 L
F2 B R2 F' U L' B
F2 B R2 F' U B L'
B' F U R2 B2 U L'
L2 B F' R2 U B2 L
B' F U B2 R2 U L'
B2 F U R2 B' U L'
B2 F U B' R2 U L'
B F U R2 U L' R2
B F U R2 U R2 L'
B' F U2 L' D' R2 F2
B' F U2 L' D' F2 R2
F B U R2 U L' R2
F B U R2 U R2 L'
B' F U2 D' L' R2 F2
B' F U2 D' L' F2 R2
B' F U2 D' R2 L' F2
B' F D L2 B2 R' U2
B' F D B2 L2 U2 L
B' F D' U2 L' R2 F2
B' F D' U2 L' F2 R2
F' B D' L2 U F2 L'
B' F D' U2 R2 L' F2
B F' R2 U D2 B2 L
B F' R2 U' R' F2 U2
B F' R2 U' F2 R' U2
B F' R2 D2 U B2 L
L2 B' F L' D' R2 F2
L2 B' F L' D' F2 R2
F B' U R2 B2 U L'
L2 B' F D' L' R2 F2
L2 B' F D' L' F2 R2
L2 B' F D' R2 L' F2
F B' U B2 R2 U L'
L2 B' F' D' F2 L' R2
L2 B' F' D' F2 R2 L'
F B' U2 L' D' R2 F2
F B' U2 L' D' F2 R2
F B' U2 D' L' R2 F2
F B' U2 D' L' F2 R2
F B' U2 D' R2 L' F2
F B' D L2 B2 R' U2
B F' D' L2 U F2 L'
F B' D B2 L2 U2 L
F B' D' U2 L' R2 F2
F B' D' U2 L' F2 R2
F B' D' U2 R2 L' F2
B F2 R2 F' U L' B
B F2 R2 F' U B L'
F B2 U R2 B' U L'
F B2 U B' R2 U L'
