F2 L' B U2 L U'
F2 L' B' R' B2 U
B L2 F2 L' R U
B L2 F2 R L' U
F2 B L' U D F2
F2 B L' U2 L2 U'
F2 B L' D U F2
F2 B L' D2 R2 U
F2 B' L' R' B2 U
F2 B' R' L' B2 U
F2 B' R' B2 L' U
B' F2 L' R' B2 U
B F2 L' U D F2
B F2 L' U2 L2 U'
B F2 L' D U F2
B F2 L' D2 R2 U
B' F2 R' L' B2 U
B' F2 R' B2 L' U
B' L F2 L' R' B2 U
U' L F2 L' B U F'
B L F2 L' U2 L U'
B' L F2 R' L' B2 U
B' L F2 R' B2 L' U
U' L F2 B L' U F'
F2 L B L2 U2 L' U'
U' L B F2 L' U F'
F2 L B' L2 R' B2 U
F2 L B' R' L2 B2 U
F2 L B' R' B2 L2 U
F2 L' R B' R' B U
F2 L' R2 U2 F' L' U'
F2 L' D B U2 L U'
F2 L' D B' R' B2 U
F2 L' D' B U2 L U'
F2 L' D' B' R' B2 U
F2 L' D2 B U2 L U'
F2 L' D2 B' R' B2 U
B' L' F2 L' R' B2 U
B' L' F2 R' L' B2 U
B' L' F2 R' B2 L' U
B L' F2 L' U2 L' U'
B L' F2 D L' U F2
B L' F2 D2 L' R2 U
B L' F2 D2 R2 L' U
F2 L' B R U2 L U'
F2 L' B R' U2 L U'
F2 L' B R2 U2 L U'
F2 L' B U2 L U' D
F2 L' B U2 L U' D'
F2 L' B U2 L U' D2
F2 L' B U2 L D U'
F2 L' B U2 L D' U'
F2 L' B U2 L D2 U'
F2 L' B U2 D L U'
F2 L' B U2 D' L U'
F2 L' B U2 D2 L U'
F2 L' B D U2 L U'
F2 L' B D' U2 L U'
F2 L' B D2 U2 L U'
F2 L' B' R B2 R2 U
F2 L' B' R' U D' R2
F2 L' B' R' D' U R2
F2 L' B' R' B2 U D
F2 L' B' R' B2 U D'
F2 L' B' R' B2 U D2
F2 L' B' R' B2 D U
F2 L' B' R' B2 D' U
F2 L' B' R' B2 D2 U
F2 L' B' R2 B2 R U
F2 L' B' D' R' U R'
B' L2 F2 L' R' B2 U
U' L2 F2 L' B U F
B' L2 F2 R' L' B2 U
B' L2 F2 R' B2 L' U
B L2 F2 L' R U D
B L2 F2 L' R U D'
B L2 F2 L' R U D2
B L2 F2 L' R D U
B L2 F2 L' R D' U
B L2 F2 L' R D2 U
B L2 F2 L' D R U
B L2 F2 L' D' R U
B L2 F2 L' D2 R U
B L2 F2 R L' U D
B L2 F2 R L' U D'
B L2 F2 R L' U D2
B L2 F2 R L' D U
B L2 F2 R L' D' U
B L2 F2 R L' D2 U
B L2 F2 R D L' U
B L2 F2 R D' L' U
B L2 F2 R D2 L' U
U' L2 F2 B L' U F
B L2 F2 D L' R U
B L2 F2 D R L' U
B L2 F2 D' L' R U
B L2 F2 D' R L' U
B L2 F2 D2 L' R U
B L2 F2 D2 R L' U
U' L2 B F2 L' U F
F2 R L' B' R' B U
B' R U' D' L2 R2 F2
B' R U' D' L2 F2 R2
B' R U' D' R2 L2 F2
B' R U' D' R2 F2 L2
B' R U' D' F2 L2 R2
B' R U' D' F2 R2 L2
B' R U2 R2 F2 B2 U
B' R U2 R2 B2 F2 U
B' R U2 F2 R2 B2 U
B' R U2 F2 B2 R2 U
B' R U2 B2 R2 F2 U
B' R U2 B2 F2 R2 U
B' R D' U' L2 R2 F2
B' R D' U' L2 F2 R2
B' R D' U' R2 L2 F2
B' R D' U' R2 F2 L2
B' R D' U' F2 L2 R2
B' R D' U' F2 R2 L2
B' R D2 L2 F2 B2 U'
B' R D2 L2 B2 F2 U'
B' R D2 F2 L2 B2 U'
B' R D2 F2 B2 L2 U'
B' R D2 B2 L2 F2 U'
B' R D2 B2 F2 L2 U'
F2 R B' L' R' B U
F2 R B' R' L' B U
F2 R B' R' B L' U
B' R' F2 B2 U D B2
B' R' F2 B2 U2 R2 U'
B' R' F2 B2 D U B2
B' R' F2 B2 D2 L2 U
B R' F2 U2 L R2 U'
B R' F2 U2 R2 L U'
B' R' B2 F2 U D B2
B' R' B2 F2 U2 R2 U'
B' R' B2 F2 D U B2
B' R' B2 F2 D2 L2 U
F2 R2 L' U2 F' L' U'
B R2 F2 U2 L R' U'
B R2 F2 U2 R' L U'
B' R2 B2 L R F2 U
B' R2 B2 R L F2 U
B' R2 B2 R F2 L U
B' U F2 L' R' B2 U
B' U F2 R' L' B2 U
B' U F2 R' B2 L' U
B' U' F2 L' R' B2 U
B' U' F2 R' L' B2 U
B' U' F2 R' B2 L' U
B U2 L R U' D' L2
B U2 L R U2 F2 U
B U2 L R D' U' L2
B U2 L R D2 B2 U'
B U2 L U2 F2 L' U
B U2 L D' R U' L2
B U2 L D2 R B2 U'
B U2 L D2 B2 R U'
B U2 R L U' D' L2
B U2 R L U2 F2 U
B U2 R L D' U' L2
B U2 R L D2 B2 U'
B U2 R D' L U' L
B U2 R D2 L B2 U'
B U2 D' L R U' L
B U2 D' R L U' L
B U2 D2 L R B2 U'
B U2 D2 L B2 R U'
B U2 D2 R L B2 U'
F U2 F L' B R U
B' U2 F2 L' R' B2 U
B' U2 F2 R' L' B2 U
B' U2 F2 R' B2 L' U
F U2 F B L' R U
F U2 F B R L' U
F U2 B F L' R U
