F' L' U' B' L'
F' L' R U' B' L'
F' L' R' U' B' L'
F' L' R2 U' B' L'
F' L' U' D B' L'
F' L' U' D' B' L'
F' L' U' D2 B' L'
F' L' U' B L' B2
F' L' U' B' L' D
F' L' U' B' L' D'
F' L' U' B' L' D2
F' L' U' B' D L'
F' L' U' B' D' L'
F' L' U' B' D2 L'
F' L' U' B2 L' B
F' L' D U' B' L'
F' L' D' U' B' L'
F' L' D2 U' B' L'
F' L' B U' L' B2
F' L' B U' B2 L'
F' L' B2 U' L' B
F' L' B2 U' B L'
F' R L' U' B' L'
F' R' L' U' B' L'
F' R2 L' U' B' L'
D' F' L' B2 U' B
F' D' L' B2 U' B
D' F' B2 L' U' B'
F' D' B2 L' U' B'
F' B L' U' B' L'
F' B' L' U' B' L'
B' F' L' U' B' L'
B2 F' L' U' B' L'
B F' L' U' B' L'
F' B2 L' U' B' L'
D' B2 F' L' U' B'
L' R U' B' L' R' F'
L' R U' B' R' L' F'
F' L B L2 U' B' L
R L' U' B' L' R' F'
R L' U' B' R' L' F'
F' L' R U' D B' L'
F' L' R U' D' B' L'
F' L' R U' D2 B' L'
F' L' R U' B L' B2
F' L' R U' B' L' D
F' L' R U' B' L' D'
F' L' R U' B' L' D2
F' L' R U' B' D L'
F' L' R U' B' D' L'
F' L' R U' B' D2 L'
F' L' R U' B2 L' B
F' L' R D U' B' L'
F' L' R D' U' B' L'
F' L' R D2 U' B' L'
F' L' R B U' L' B2
F' L' R B U' B2 L'
F' L' R B2 U' L' B
F' L' R B2 U' B L'
F' L' R' U' D B' L'
F' L' R' U' D' B' L'
F' L' R' U' D2 B' L'
F' L' R' U' B L' B2
F' L' R' U' B' L' D
F' L' R' U' B' L' D'
F' L' R' U' B' L' D2
F' L' R' U' B' D L'
F' L' R' U' B' D' L'
F' L' R' U' B' D2 L'
F' L' R' U' B2 L' B
F' L' R' D U' B' L'
F' L' R' D' U' B' L'
F' L' R' D2 U' B' L'
F' L' R' B U' L' B2
F' L' R' B U' B2 L'
F' L' R' B2 U' L' B
F' L' R' B2 U' B L'
F' L' R2 U' D B' L'
F' L' R2 U' D' B' L'
F' L' R2 U' D2 B' L'
F' L' R2 U' B L' B2
F' L' R2 U' B' L' D
F' L' R2 U' B' L' D'
F' L' R2 U' B' L' D2
F' L' R2 U' B' D L'
F' L' R2 U' B' D' L'
F' L' R2 U' B' D2 L'
F' L' R2 U' B2 L' B
F' L' R2 D U' B' L'
F' L' R2 D' U' B' L'
F' L' R2 D2 U' B' L'
F' L' R2 B U' L' B2
F' L' R2 B U' B2 L'
F' L' R2 B2 U' L' B
F' L' R2 B2 U' B L'
F' L' U R U2 B' L'
F' L' U R' U2 B' L'
F' L' U R2 U2 B' L'
F' L' U F2 R U2 B'
F' L' U' R' B' L' R
F' L' U' R' B' R L'
F' L' U' R2 B' L' R2
F' L' U' R2 B' R2 L'
F' L' U' D B L' B2
F' L' U' D B' L' D
F' L' U' D B' L' D'
F' L' U' D B' L' D2
F' L' U' D B' D L'
F' L' U' D B' D' L'
F' L' U' D B' D2 L'
F' L' U' D B2 L' B
F' L' U' D' B L' B2
F' L' U' D' B' L' D
F' L' U' D' B' L' D'
F' L' U' D' B' L' D2
F' L' U' D' B' D L'
F' L' U' D' B' D' L'
F' L' U' D' B' D2 L'
F' L' U' D' B2 L' B
F' L' U' D2 B L' B2
F' L' U' D2 B' L' D
F' L' U' D2 B' L' D'
F' L' U' D2 B' L' D2
F' L' U' D2 B' D L'
F' L' U' D2 B' D' L'
F' L' U' D2 B' D2 L'
F' L' U' D2 B2 L' B
F' L' U' B L B2 L2
F' L' U' B L' B2 D
F' L' U' B L' B2 D'
F' L' U' B L' B2 D2
F' L' U' B' L2 D L
F' L' U' B' L2 D' L
F' L' U' B' L2 D2 L
F' L' U' B' D L' D
F' L' U' B' D L' D'
F' L' U' B' D L' D2
F' L' U' B' D' L' D
F' L' U' B' D' L' D'
F' L' U' B' D' L' D2
F' L' U' B' D2 L' D
F' L' U' B' D2 L' D'
F' L' U' B' D2 L' D2
F' L' U' B2 L B L2
F' L' U' B2 L' D B
F' L' U' B2 L' D' B
F' L' U' B2 L' D2 B
F' L' U' B2 L' B D
F' L' U' B2 L' B D'
F' L' U' B2 L' B D2
F' L' U' B2 D L' B
F' L' U' B2 D B L'
F' L' U' B2 D' L' B
F' L' U' B2 D' B L'
F' L' U' B2 D2 L' B
F' L' U' B2 D2 B L'
F' L' D R U' B' L'
F' L' D R' U' B' L'
F' L' D R2 U' B' L'
F' L' D R2 U' B' L'
F' L' D U' B L' B2
F' L' D U' B' L' D
F' L' D U' B' L' D'
F' L' D U' B' L' D2
F' L' D U' B' D L'
F' L' D U' B' D' L'
F' L' D U' B' D2 L'
F' L' D U' B2 L' B
F' L' D B U' L' B2
F' L' D B U' B2 L'
F' L' D B2 U' L' B
F' L' D B2 U' B L'
F' L' D' R U' B' L'
F' L' D' R' U' B' L'
F' L' D' R2 U' B' L'
F' L' D' U' B L' B2
F' L' D' U' B' L' D
F' L' D' U' B' L' D'
F' L' D' U' B' L' D2
F' L' D' U' B' D L'
F' L' D' U' B' D' L'
F' L' D' U' B' D2 L'
F' L' D' U' B2 L' B
F' L' D' B U' L' B2
F' L' D' B U' B2 L'
F' L' D' B2 U' L' B
F' L' D' B2 U' B L'
F' L' D2 R U' B' L'
F' L' D2 R' U' B' L'
F' L' D2 R2 U' B' L'
F' L' D2 U' B L' B2
F' L' D2 U' B' L' D
F' L' D2 U' B' L' D'
F' L' D2 U' B' L' D2
F' L' D2 U' B' D L'
F' L' D2 U' B' D' L'
F' L' D2 U' B' D2 L'
F' L' D2 U' B2 L' B
F' L' D2 B U' L' B2
F' L' D2 B U' B2 L'
F' L' D2 B2 U' L' B
F' L' D2 B2 U' B L'
D' L' F' B2 L' U' B
F' L' B R U' L' B2
F' L' B R U' B2 L'
F' L' B R' U' L' B2
F' L' B R' U' B2 L'
F' L' B R2 U' L' B2
F' L' B R2 U' B2 L'
F' L' B U' L B2 L2
F' L' B U' L' B2 D
F' L' B U' L' B2 D'
F' L' B U' L' B2 D2
F' L' B U' B L' B
F' L' B U' B2 L' D
F' L' B U' B2 L' D'
F' L' B U' B2 L' D2
F' L' B U' B2 D L'
F' L' B U' B2 D' L'
F' L' B U' B2 D2 L'
F' L' B D' R2 U' L'
F' L' B2 U' L B L2
F' L' B2 U' L' D B
F' L' B2 U' L' D' B
F' L' B2 U' L' D2 B
F' L' B2 U' L' B D
F' L' B2 U' L' B D'
F' L' B2 U' L' B D2
F' L' B2 U' D L' B
F' L' B2 U' D B L'
F' L' B2 U' D' L' B
F' L' B2 U' D' B L'
F' L' B2 U' D2 L' B
F' L' B2 U' D2 B L'
F' L' B2 U' B L' D
F' L' B2 U' B L' D'
F' L' B2 U' B L' D2
F' L' B2 U' B D L'
F' L' B2 U' B D' L'
F' L' B2 U' B D2 L'
F' L' B2 U' B' L' B2
F' L' B2 D U' L' B
F' L' B2 D U' B L'
F' L' B2 D' U' L' B
F' L' B2 D' U' B L'
F' L' B2 D2 U' L' B
F' L' B2 D2 U' B L'
D' L' B2 F' L' U' B
U' L2 U F' L' U' B'
L2 U L F' U' F2 B'
L2 U L F' U' B' F2
F' R L' U' D B' L'
F' R L' U' D' B' L'
F' R L' U' D2 B' L'
F' R L' U' B L' B2
F' R L' U' B' L' D
F' R L' U' B' L' D'
F' R L' U' B' L' D2
F' R L' U' B' D L'
F' R L' U' B' D' L'
F' R L' U' B' D2 L'
F' R L' U' B2 L' B
F' R L' D U' B' L'
F' R L' D' U' B' L'
F' R L' D2 U' B' L'
F' R L' B U' L' B2
F' R L' B U' B2 L'
F' R L' B2 U' L' B
F' R L' B2 U' B L'
L2 U F' L U' F B'
L2 U F' L U' B' F
R2 U B L U F L
F' R D' L' B2 U' B
F' R D' B2 L' U' B'
F2 R F L' U' B' L'
F' R B L' U' B' L'
F' R B' L' U' B' L'
F' R B2 L' U' B' L'
F' R' L' U' D B' L'
F' R' L' U' D' B' L'
F' R' L' U' D2 B' L'
F' R' L' U' B L' B2
F' R' L' U' B' L' D
F' R' L' U' B' L' D'
F' R' L' U' B' L' D2
F' R' L' U' B' D L'
F' R' L' U' B' D' L'
F' R' L' U' B' D2 L'
F' R' L' U' B2 L' B
F' R' L' D U' B' L'
F' R' L' D' U' B' L'
F' R' L' D2 U' B' L'
F' R' L' B U' L' B2
F' R' L' B U' B2 L'
F' R' L' B2 U' L' B
F' R' L' B2 U' B L'
F' R' D' L' B2 U' B
F' R' D' B2 L' U' B'
F2 R' F L' U' B' L'
F' R' B L' U' B' L'
F' R' B' L' U' B' L'
F' R' B2 L' U' B' L'
F' R2 L' U' D B' L'
F' R2 L' U' D' B' L'
F' R2 L' U' D2 B' L'
F' R2 L' U' B L' B2
F' R2 L' U' B' L' D
F' R2 L' U' B' L' D'
F' R2 L' U' B' L' D2
F' R2 L' U' B' D L'
F' R2 L' U' B' D' L'
F' R2 L' U' B' D2 L'
F' R2 L' U' B2 L' B
F' R2 L' D U' B' L'
F' R2 L' D' U' B' L'
F' R2 L' D2 U' B' L'
F' R2 L' B U' L' B2
F' R2 L' B U' B2 L'
F' R2 L' B2 U' L' B
F' R2 L' B2 U' B L'
D2 R2 U B L U F
F' R2 D' L' B2 U' B
F' R2 D' B2 L' U' B'
F2 R2 F L' U' B' L'
F' R2 B L' U' B' L'
F' R2 B' L' U' B' L'
U R2 B L U F L
F' R2 B2 L' U' B' L'
L2 D F' L' R U' L
L2 D F' R L' U' L
F2 U F L' U' L' B'
F U F2 L' U' L' B'
F2 U' F L' R U' L'
F2 U' F R L' U' L'
F' U2 D F2 R U B
F' U2 F2 R U L2 B
F' U2 F2 R U B L2
F' D L' U' D' B' L2
F' D L' U' B' D' L2
F' D L' U2 F2 U B'
F' D L' D' U' B' L2
F' D L' D2 B2 U' B
L F U' F2 L' U' L2
D' F' L B2 L2 U' B'
D' F' L' R B2 U' B
D' F' L' R' B2 U' B
D' F' L' R2 B2 U' B
D2 F' L' U R2 U2 B'
D' F' L' U' D B' L2
D2 F' L' U' D2 B' L2
D2 F' L' U' B' D2 L2
D' F' L' D U' B' L2
F' D U2 F2 R U B
D2 F' L' D B2 U' B
D2 F' L' D2 U' B' L2
D' F' L' B2 U' D B
D' F' L' B2 U' D' B
D' F' L' B2 U' D2 B
D' F' L' B2 U' B D
D' F' L' B2 U' B D'
D' F' L' B2 U' B D2
L2 F' L' U F U2 L
D' F' L' B2 D U' B
