L U F L B2
R' L U F L B2
R2 L U F L B2
L R U F L B2
R L U F L B2
F L U F L B2
F' L U F L B2
F2 L U F L B2
B2 L D' R2 F L
B2 L D' F L R2
B2 L D' F R2 L
B2 L F L D' R2
B2 L F D' L R2
B2 L F D' R2 L
D L F2 L U F'
L R' U F L B2
L R2 U F L B2
U L' B2 D L' F
L' U L2 F L B2
L U F L B2 D
L U F L B2 D'
L U F L B2 D2
L U F L' B2 L2
L U F L2 B2 L'
L U F' L F2 B2
L U F' L B2 F2
L U F2 L F' B2
L U F2 L B2 F'
U2 R U' B2 L2 F
L' U' B' U2 B' L'
U2 R' U' L2 F' B2
U2 R' U' L2 B2 F'
U2 R' U' F' L2 B2
U2 R' U' F' B2 L2
U2 R' U' B2 L2 F'
U2 R' U' B2 F' L2
L' D L2 U F L
L F L B2 D' R2
L F' U L F2 B2
L F' U L B2 F2
L F' U F2 L B2
L F2 U L F' B2
L F2 U L B2 F'
L F2 U F' L B2
L' B2 L' D' R2 F'
U B2 L' D L' F
L' B2 D' L' R2 F'
L' B2 D' R2 L' F'
F' L R U F L B2
L' R U L2 F L B2
F2 L R U F L B2
F L R U F L B2
B2 L R D' R2 F L
B2 L R D' F L R2
B2 L R D' F R2 L
B2 L R F L D' R2
B2 L R F D' L R2
B2 L R F D' R2 L
R' L U F L B2 D
R' L U F L B2 D'
R' L U F L B2 D2
R' L U F L' B2 L2
R' L U F L2 B2 L'
R' L U F' L F2 B2
R' L U F' L B2 F2
R2 L U F L B2 D
R2 L U F L B2 D'
R2 L U F L B2 D2
R2 L U F L' B2 L2
R2 L U F L2 B2 L'
L R U F L B2 D
L R U F L B2 D'
L R U F L B2 D2
L R U F L' B2 L2
R' L U F2 L F' B2
R' L U F2 L B2 F'
L R U F L2 B2 L'
D L R F2 L U F'
R2 L U F' L F2 B2
R2 L U F' L B2 F2
L R U F' L F2 B2
L R U F' L B2 F2
R2 L U F2 L F' B2
R2 L U F2 L B2 F'
L R U F2 L F' B2
L R U F2 L B2 F'
F' L R' U F L B2
R L U F L B2 D
R L U F L B2 D'
R L U F L B2 D2
R L U F L' B2 L2
R L U F L2 B2 L'
R L U F' L F2 B2
R L U F' L B2 F2
U2 L R' U' L F' B2
U2 L R' U' L B2 F'
F2 L R' U F L B2
U2 L R' U' F' L B2
R L U F2 L F' B2
R L U F2 L B2 F'
F L R' U F L B2
B2 L R' D' R2 F L
B2 L R' D' F L R2
B2 L R' D' F R2 L
B2 L R' F L D' R2
B2 L R' F D' L R2
B2 L R' F D' R2 L
D L R' F2 L U F'
F' L R2 U F L B2
L' R U' B' U2 B' L'
F2 L R2 U F L B2
F L R2 U F L B2
B2 L R2 D' R2 F L
B2 L R2 D' F L R2
B2 L R2 D' F R2 L
B2 L R2 F L D' R2
B2 L R2 F D' L R2
B2 L R2 F D' R2 L
D L R2 F2 L U F'
D' L U D F L2 B2
D' L U D F B2 L2
D' L U D F B2 L2
D' L U D B2 F L2
L' R D L2 U F L
F' L U F L B2 D
F' L U F L B2 D'
F' L U F L B2 D2
F' L U F L' B2 L2
F' L U F L2 B2 L'
D2 L U D2 F L2 B2
D2 L U D2 F B2 L2
D2 L U D2 B2 F L2
F' L U F' L F2 B2
F' L U F' L B2 F2
D' L U F D L2 B2
D' L U F D B2 L2
D2 L U F D2 L2 B'
F2 L U F L B2 D
F2 L U F L B2 D'
F2 L U F L B2 D2
F2 L U F L' B2 L2
F' L U F2 L F' B2
F' L U F2 L B2 F'
F2 L U F L2 B2 L'
F2 L U F' L F2 B2
F2 L U F' L B2 F2
F L U F L B2 D
F L U F L B2 D'
F L U F L B2 D2
F L U F L' B2 L2
F L U F L2 B2 L'
F2 L U F2 L F' B2
F2 L U F2 L B2 F'
F L U F' L F2 B2
F L U F' L B2 F2
F L U F2 L F' B2
F L U F2 L B2 F'
D2 L U' R2 F2 U2 F'
B L U' F L B R
D2 L U' F2 R2 B U2
D' L U2 R2 B2 U' F
D' L U2 B2 R2 U' F
D' L D U F L2 B2
D' L D U F B2 L2
R' L F L B2 D' R2
D' L D U B2 F L2
R2 L F L B2 D' R2
L R F L B2 D' R2
B2 L D F D2 L R2
B2 L D F D2 R2 L
R L F L B2 D' R2
B2 L D' R' F L R'
B2 L D' R' F R' L
B2 L D' R2 D F L
B2 L D' R2 D' F L
B2 L D' R2 D2 F L
B2 L D' R2 F L D
B2 L D' R2 F L D'
B2 L D' R2 F L D2
B2 L D' R2 F D L
B2 L D' R2 F D' L
B2 L D' R2 F D2 L
B2 L D' R2 F' L F2
B2 L D' R2 F2 L F'
B2 L D' F L R2 D
B2 L D' F L R2 D'
B2 L D' F L R2 D2
B2 L D' F R2 L D
B2 L D' F R2 L D'
B2 L D' F R2 L D2
B2 L D' F R2 D L
B2 L D' F R2 D' L
B2 L D' F R2 D2 L
D2 L D' F2 L2 U F'
B2 L D' F' L R2 F2
B2 L D' F' L F2 R2
B2 L D' F' R2 L F2
B2 L D' F' R2 F2 L
R' L F' U L F2 B2
R' L F' U L B2 F2
B2 L D' F2 L F' R2
R' L F' U F2 L B2
L R F' U L F2 B2
L R F' U L B2 F2
R2 L F' U L F2 B2
R2 L F' U L B2 F2
R2 L F' U F2 L B2
L R F' U F2 L B2
R L F' U L F2 B2
R L F' U L B2 F2
R L F' U F2 L B2
D2 L D2 U F L2 B2
D2 L D2 U F B2 L2
D2 L D2 U B2 F L2
D' L D2 F2 L2 U F'
R' L F2 U L F' B2
R' L F2 U L B2 F'
R' L F2 U F' L B2
L R F2 U L F' B2
R2 L F2 U L F' B2
L R F2 U L B2 F'
R2 L F2 U L B2 F'
L R F2 U F' L B2
R2 L F2 U F' L B2
F' L F L B2 D' R2
R L F2 U L F' B2
R L F2 U L B2 F'
B2 L F L R D' R2
B2 L F L R' D' R2
B2 L F L R2 D' R2
R L F2 U F' L B2
B2 L F L U' B2 U
B2 L F L D' R2 D
B2 L F L D' R2 D'
B2 L F L D' R2 D2
F2 L F L B2 D' R2
F L F L B2 D' R2
B2 L F L2 D' L' R2
B2 L F L2 D' R2 L'
B2 L F R L D' R2
B2 L F R D' L R2
B2 L F R D' R2 L
B2 L F R' L D' R2
B2 L F R' D' L R2
B2 L F R' D' R2 L
B2 L F R2 L D' R2
B2 L F R2 D' L R2
B2 L F R2 D' R2 L
B2 L F D' L R2 D
B2 L F D' L R2 D'
B2 L F D' L R2 D2
B2 L F D' R2 L D
B2 L F D' R2 L D'
B2 L F D' R2 L D2
B2 L F D' R2 D L
B2 L F D' R2 D' L
B2 L F D' R2 D2 L
B2 L F D2 L D R2
D L F' L F' U F'
B2 L F' L F2 D' R2
F' L F' U L F2 B2
F' L F' U L B2 F2
F' L F' U F2 L B2
F2 L F' U L F2 B2
F2 L F' U L B2 F2
F2 L F' U F2 L B2
F L F' U L F2 B2
F L F' U L B2 F2
F L F' U F2 L B2
D L F2 L U D F'
D L F2 L U D' F'
D L F2 L U D2 F'
D L F2 L U F' D
D L F2 L U F' D'
D L F2 L U F' D2
D L F2 L D U F'
D L F2 L D' U F'
D L F2 L D2 U F'
B2 L F2 L D' F' R2
B2 L F2 L F' D' R2
F' L F2 U L F' B2
F' L F2 U L B2 F'
F' L F2 U F' L B2
L' R B2 L' D' R2 F'
F2 L F2 U L F' B2
F2 L F2 U L B2 F'
F2 L F2 U F' L B2
F L F2 U L F' B2
F L F2 U L B2 F'
F L F2 U F' L B2
D L F2 D L U F'
B2 L F2 D' L F' R2
D L F2 D' L U F'
B2 L F2 D' F' L R2
B2 L F2 D' F' R2 L
D L F2 D2 L U F'
L' R B2 D' L' R2 F'
L' R B2 D' R2 L' F'
R' L' U L2 F L B2
L' R' U L2 F L B2
R2 L' U L2 F L B2
R L' U L2 F L B2
L R' U F L B2 D
L R' U F L B2 D'
L R' U F L B2 D2
L R' U F L' B2 L2
L R' U F L2 B2 L'
L R' U F' L F2 B2
L R' U F' L B2 F2
L R' U F2 L F' B2
L R' U F2 L B2 F'
R' L' U' B' U2 B' L'
L' R' U' B' U2 B' L'
R2 L' U' B' U2 B' L'
R L' U' B' U2 B' L'
B2 L B2 U F B2 L
B2 L B2 U B2 F L
R' L' D L2 U F L
L' R' D L2 U F L
R2 L' D L2 U F L
R L' D L2 U F L
U2 L' R' U' L' F' B2
U2 L' R' U' L' B2 F'
U2 L' R' U' B2 L' F'
F' L' U L2 F L B2
F2 L' U L2 F L B2
D' L' U D L2 F B2
D' L' U D L2 B2 F
F L' U L2 F L B2
D2 L' U D2 L2 F B2
D2 L' U D2 L2 B2 F
L R' F L B2 D' R2
D2 L' U' R2 F2 B' U2
D2 L' U' R2 B' F2 U2
D2 L' U' F2 R2 B' U2
D2 L' U' F2 B' R2 U2
D2 L' U' B' R2 F2 U2
D2 L' U' B' F2 R2 U2
F' L' U' B' U2 B' L'
U' L' U' B2 L' R' F'
F2 L' U' B' U2 B' L'
U' L' U' B2 R' L' F'
U2 L' U' B2 D L' F
F L' U' B' U2 B' L'
L R' F' U L F2 B2
L R' F' U L B2 F2
L R' F' U F2 L B2
D' L' U2 B2 R2 U' F'
F' L' D L2 U F L
F2 L' D L2 U F L
D' L' D U L2 F B2
D' L' D U L2 B2 F
F L' D L2 U F L
L R' F2 U L F' B2
L R' F2 U L B2 F'
L R' F2 U F' L B2
D2 L' D' L2 F2 U F'
D L' D' L' U L' F
B2 L' D' L2 R2 F L
B2 L' D' L2 F L R2
B2 L' D' L2 F R2 L
B2 L' D' R2 L2 F L
D2 L' D' F2 L2 U F
D' L' D2 L2 F2 U F'
D2 L' D2 U L2 F B2
D2 L' D2 U L2 B2 F
D' L' D2 F2 L2 U F
R' L' B2 L' D' R2 F'
L' R' B2 L' D' R2 F'
R2 L' B2 L' D' R2 F'
R L' B2 L' D' R2 F'
R' L' B2 D' L' R2 F'
L' R' B2 D' L' R2 F'
R' L' B2 D' R2 L' F'
L' R' B2 D' R2 L' F'
R2 L' B2 D' L' R2 F'
R2 L' B2 D' R2 L' F'
L' R2 U L2 F L B2
R L' B2 D' L' R2 F'
R L' B2 D' R2 L' F'
L R2 U F L B2 D
L R2 U F L B2 D'
L R2 U F L B2 D2
L R2 U F L' B2 L2
L R2 U F L2 B2 L'
L R2 U F' L F2 B2
L R2 U F' L B2 F2
L R2 U F2 L F' B2
L R2 U F2 L B2 F'
L' R2 U' B' U2 B' L'
U L' B L' D F2 B
U L' B L' D B F2
U L' B L' B D F2
L' R2 D L2 U F L
F' L' B2 L' D' R2 F'
F2 L' B2 L' D' R2 F'
F L' B2 L' D' R2 F'
F' L' B2 D' L' R2 F'
F' L' B2 D' R2 L' F'
F2 L' B2 D' L' R2 F'
F2 L' B2 D' R2 L' F'
F L' B2 D' L' R2 F'
F L' B2 D' R2 L' F'
U L' B2 D L' D F
U L' B2 D L' D' F
U L' B2 D L' D2 F
U L' B2 D L' F D
U L' B2 D L' F D'
U L' B2 D L' F D2
L R2 F L B2 D' R2
U L2 R' B2 D' R F'
L R2 F' U L F2 B2
L R2 F' U L B2 F2
L R2 F' U F2 L B2
D L2 U L D' L2 F
D L2 U L' D' F L2
U L2 U R' U' F' B2
U L2 U R' U' B2 F'
L R2 F2 U L F' B2
L R2 F2 U L B2 F'
L R2 F2 U F' L B2
U L2 U' L U F B2
U L2 U' L U B2 F
L' R2 B2 L' D' R2 F'
L' R2 B2 D' L' R2 F'
L' R2 B2 D' R2 L' F'
B2 L2 D' R D' R F'
L' U L B2 L F L
B2 L2 D2 R D F' R2
B2 L2 D2 R' D R2 F'
L U L B2 L' F L
R' U L' B2 D L' F
L' U L' B2 L' F L
L2 U L' F B2 D L2
L2 U L' B2 D F L2
L2 U L' B2 F D L2
R2 U L' B2 D L' F
L U L' B2 L F L
L' U L2 F L B2 D
L' U L2 F L B2 D'
L' U L2 F L B2 D2
L' U L2 F L' B2 L2
L' U L2 F L2 B2 L'
L' U L2 F' L F2 B2
L' U L2 F' L B2 F2
L' U L2 F2 L F' B2
L' U L2 F2 L B2 F'
R U L' B2 D L' F
D L2 F' D F' R U
L U R F L R' B2
L U R F R' L B2
D L2 F2 U L' F L
D L2 F2 U2 L' U' F
D L2 F2 D2 R U F'
U L2 B U L U' B
L' U R2 B2 L' R2 F'
L' U R2 B2 R2 L' F'
L U R2 F L R2 B2
L U R2 F L B2 R2
L U R2 F R2 L B2
U L2 B' U' R' U B'
L U D F D' L B2
U L2 B2 L D L' F
F' R L U F L B2
U L2 B2 R' D' R F'
F2 R L U F L B2
L U D' F L D B2
U L2 B2 D L' F L
L U D' F D L B2
U L2 B2 D' R F' R'
B2 R L D' R2 F L
B2 R L D' F L R2
B2 R L D' F R2 L
F R L U F L B2
B2 R L F L D' R2
B2 R L F D' L R2
B2 R L F D' R2 L
D R L F2 L U F'
L U D2 F L2 B' L'
L U F L R' B2 R
L U F L R2 B2 R2
L U F L B D B
L U F L B D' B
L U F L B D2 B
L U F L B' D B'
L U F L B' D' B'
L U F L B' D2 B'
L U F L' B L2 B
L U F L' B2 L2 D
L U F L' B2 L2 D'
L U F L' B2 L2 D2
L U F L2 B L' B
L U F L2 B2 L' D
L U F L2 B2 L' D'
L U F L2 B2 L' D2
L U F L2 B2 D L'
L U F L2 B2 D' L'
L U F L2 B2 D2 L'
L U F R' L B2 R
L U F R2 L B2 R2
L' U F' L2 F L' B2
L' U F' L2 F B2 L'
L' U F' L2 B2 F L'
L U F D' L D B2
L U F D2 L D2 B2
L U F B2 U2 R' U2
L U F' L F2 B2 D
L U F' L F2 B2 D'
L U F' L F2 B2 D2
L U F' L B2 F2 D
L U F' L B2 F2 D'
L U F' L B2 F2 D2
L U F' L' F2 L2 B2
L U F' L' F2 B2 L2
L U F' L' B2 L2 F2
L U F' L' B2 F2 L2
L U F' L2 B2 L' F2
U R U L2 R' F' B2
U R U L2 R' B2 F'
U R U R' L2 F' B2
U R U R' L2 B2 F'
U R U R' F' L2 B2
U R U R' F' B2 L2
U2 R U B U2 L2 B
U R U R' B2 L2 F'
U2 R U B U2 B L2
U R U R' B2 F' L2
L U F2 L F' B2 D
L U F2 L F' B2 D'
L U F2 L F' B2 D2
L U F2 L B2 D F'
L U F2 L B2 D' F'
L U F2 L B2 D2 F'
L U F2 L B2 F' D
L U F2 L B2 F' D'
L U F2 L B2 F' D2
L U F2 L' F' L2 B2
L U F2 L' F' B2 L2
L U F2 L' B2 L2 F'
L U F2 L' B2 F' L2
L U F2 L2 B2 L' F'
L' U B L' D2 F2 B
L' U B L' D2 B F2
U2 R U' F B2 L2 F
U2 R U' F' B2 L2 F
U2 R U' F2 B2 L2 F
U2 R U' B2 L2 D F
U2 R U' B2 L2 D' F
U2 R U' B2 L2 D2 F
U2 R U' B2 L2 F D
U2 R U' B2 L2 F D'
U2 R U' B2 L2 F D2
U2 R U' B2 F L2 F
U2 R U' B2 F' L2 F
L' U B D2 L' F2 B
L' U B D2 L' B F2
U2 R U' B2 F2 L2 F
L' U B D2 B L' F2
L U B D2 F L' B
L U B D2 F B L'
L U B D2 B F L'
R' U B2 L' D L' F
L' U B2 L' R2 F' R2
L' U B2 L' U2 B U2
L' U B2 R2 L' F' R2
L2 U B2 L D L2 F
L2 U B2 L' D F L2
L2 U B2 L' F D L2
L' U B2 U2 B U2 L'
R2 U B2 L' D L' F
R U B2 L' D L' F
U2 R D' R2 B2 U' F'
L U B2 U2 R' U2 F
L U B2 F U2 R' U2
L2 U' L' U F B2 R'
L2 U' L' U B2 R' F
L2 U' L' U B2 F R'
L' U' L2 F L B2 R'
L' U' R B' U2 B' L'
L U' R U2 F L B2
L' U' R' B' U2 B' L'
L U' R' U2 F L B2
L' U' R2 B' U2 B' L'
L U' R2 U2 F L B2
U2 R B' U' B' L2 F
F' R' L U F L B2
F2 R' L U F L B2
U2 R' L U' L F' B2
U2 R' L U' L B2 F'
U2 R' L U' F' L B2
B2 R' L D' R2 F L
B2 R' L D' F L R2
B2 R' L D' F R2 L
B2 R' L F L D' R2
L' U' D2 F2 R B' U2
B2 R' L F D' L R2
B2 R' L F D' R2 L
L' U' D2 F2 B' R U2
L' U' D2 B' F2 R U2
F R' L U F L B2
D R' L F2 L U F'
U2 R' L' U' L' F' B2
U2 R' L' U' L' B2 F'
U2 R' L' U' B2 L' F'
L U' D2 F2 U2 L F'
L U' D2 F2 U2 F' L
L U' F L' B2 L2 R'
L U' F L' B2 R' L2
L U' F' L F2 R B2
L U' F' L F2 B2 R
L U' F' L B2 F2 R
L' U' F2 R B' U2 B'
L U' F' U2 L F2 B2
L U' F' U2 L B2 F2
L U' F' U2 F2 L B2
U R' L2 B2 D' R F'
U R' U R B2 L2 F
L' U' F2 B' R U2 B'
U2 R' U' L F' L B2
U2 R' U' L' B2 L' F'
U2 R' U' L2 F' B2 D
U2 R' U' L2 F' B2 D'
U2 R' U' L2 F' B2 D2
U2 R' U' L2 B2 D F'
U2 R' U' L2 B2 D' F'
U2 R' U' L2 B2 D2 F'
U2 R' U' L2 B2 F' D
U2 R' U' L2 B2 F' D'
U2 R' U' L2 B2 F' D2
L U' F2 U2 L F' B2
L U' F2 U2 L B2 F'
L U' F2 U2 F' L B2
U2 R' U' F L2 F2 B2
U2 R' U' F L2 B2 F2
U2 R' U' F B2 L2 F2
U2 R' U' F' L' B2 L'
U2 R' U' F' L2 B2 D
U2 R' U' F' L2 B2 D'
U2 R' U' F' L2 B2 D2
U2 R' U' F' B L2 B
U2 R' U' F' B2 L2 D
U2 R' U' F' B2 L2 D'
U2 R' U' F' B2 L2 D2
U2 R' U' B L2 F' B
U2 R' U' B L2 B F'
U2 R' U' B F' L2 B
D' R' U2 R' B2 U' F'
U2 R' U' B2 L F' L
U2 R' U' B2 L2 D F'
U2 R' U' B2 L2 D' F'
U2 R' U' B2 L2 D2 F'
U2 R' U' B2 L2 F' D
U2 R' U' B2 L2 F' D'
U2 R' U' B2 L2 F' D2
U2 R' U' B2 F L2 F2
U2 R' U' B2 F' L2 D
U2 R' U' B2 F' L2 D'
U2 R' U' B2 F' L2 D2
L' U' B' R U2 B' L'
L' U' B' R' U2 B' L'
L' U' B' R2 U2 B' L'
L' U' B' U2 D B' L'
L' U' B' U2 D' B' L'
L' U' B' U2 D2 B' L'
L' U' B' U2 B L' B2
L' U' B' U2 B' L' D
L' U' B' U2 B' L' D'
L' U' B' U2 B' L' D2
L' U' B' U2 B' D L'
L' U' B' U2 B' D' L'
L' U' B' U2 B' D2 L'
L' U' B' U2 B2 L' B
L' U' B' D U2 B' L'
L' U' B' D' U2 B' L'
L' U' B' D2 U2 B' L'
L' U' B' F2 R U2 B'
L' U2 L2 U' F L B2
R' U2 R U' B2 L2 F
R2 U2 R U' B2 L2 F
R' U2 R' U' L2 F' B2
R' U2 R' U' L2 B2 F'
R' U2 R' U' F' L2 B2
R' U2 R' U' F' B2 L2
R' U2 R' U' B2 L2 F'
R' U2 R' U' B2 F' L2
L U2 R U' F L B2
R U2 R U' B2 L2 F
R2 U2 R' U' L2 F' B2
R2 U2 R' U' L2 B2 F'
R2 U2 R' U' F' L2 B2
R2 U2 R' U' F' B2 L2
R2 U2 R' U' B2 L2 F'
R2 U2 R' U' B2 F' L2
L U2 R' U' F L B2
R U2 R' U' L2 F' B2
R U2 R' U' L2 B2 F'
R U2 R' U' F' L2 B2
R U2 R' U' F' B2 L2
R U2 R' U' B2 L2 F'
R U2 R' U' B2 F' L2
U2 R' B U' L2 F' B
U2 R' B U' L2 B F'
U2 R' B U' F' L2 B
U2 R' B U' F' B L2
U2 R' B U' B L2 F'
U2 R' B U' B F' L2
L U2 R2 U' F L B2
U2 R' B' U' F' B' L2
U2 R' B' U' B' L2 F'
U2 R' B' U' B' F' L2
F' R2 L U F L B2
U R' B2 L2 D' R F'
F2 R2 L U F L B2
B2 R2 L D' R2 F L
B2 R2 L D' F L R2
B2 R2 L D' F R2 L
L U2 D' R2 U' F L
B2 R2 L F L D' R2
B2 R2 L F D' L R2
B2 R2 L F D' R2 L
F R2 L U F L B2
D R2 L F2 L U F'
R' D L F2 L U F'
R2 D L F2 L U F'
R D L F2 L U F'
L' D L2 R U F L
L' D L2 R' U F L
L' D L2 R2 U F L
L' D L2 U D F L
L' D L2 U D' F L
L' D L2 U D2 F L
L' D L2 U F L D
L' D L2 U F L D'
L' D L2 U F L D2
L' D L2 U F D L
L' D L2 U F D' L
L' D L2 U F D2 L
L' D L2 U F' L F2
L' D L2 U F2 L F'
L' D L2 D U F L
L' D L2 D' U F L
L' D L2 D2 U F L
L' D L2 F' U L F2
L' D L2 F' U F2 L
L' D L2 F2 U L F'
L' D L2 F2 U F' L
L' D R L2 U F L
L2 D L2 F' R U L2
L D L2 U L2 F L
L D L2 U' B' U2 L'
L' D R' L2 U F L
L' D R2 L2 U F L
L D U F D' L B2
F' U L' B2 D L' F
L' D F' L2 U F L'
F2 U L' B2 D L' F
L2 D F' L2 R U L2
L2 D F' R L2 U L2
F U L' B2 D L' F
L D F' L2 U L' F2
L D F2 L2 U L' F'
F' U B2 L' D L' F
B U B' R' U L2 B2
B U B' R' U B2 L2
F2 U B2 L' D L' F
L D' U F L D B2
L D' U F D L B2
F U B2 L' D L' F
L D' U2 R2 U' F L
B2 U' F R B2 U L2
B2 U' F B2 R U L2
B2 U' B2 U L F L
L' D2 U' F2 R B' U2
L' D2 U' F2 B' R U2
B2 U' B2 F R U L2
L' D2 U' B' F2 R U2
L D2 U F L2 B' L'
L D2 U' F2 U2 L F'
L D2 U' F2 U2 F' L
F' U2 R U' B2 L2 F
F2 U2 R U' B2 L2 F
F' U2 R' U' L2 F' B2
F' U2 R' U' L2 B2 F'
F' U2 R' U' F' L2 B2
F' U2 R' U' F' B2 L2
F' U2 R' U' B2 L2 F'
F' U2 R' U' B2 F' L2
F2 U2 R' U' L2 F' B2
F2 U2 R' U' L2 B2 F'
F2 U2 R' U' F' L2 B2
F2 U2 R' U' F' B2 L2
F2 U2 R' U' B2 L2 F'
F2 U2 R' U' B2 F' L2
F U2 R U' B2 L2 F
F U2 R' U' L2 F' B2
F U2 R' U' L2 B2 F'
F U2 R' U' F' L2 B2
F U2 R' U' F' B2 L2
F U2 R' U' B2 L2 F'
F U2 R' U' B2 F' L2
R' F L U F L B2
R2 F L U F L B2
L F L R B2 D' R2
L F L R' B2 D' R2
L2 F L' U F L B2
L F L R2 B2 D' R2
R F L U F L B2
L F L B2 R D' R2
L F L B2 R' D' R2
L F L B2 R2 D' R2
L F L B2 U' B2 U
L F L B2 D' R2 D
L F L B2 D' R2 D'
L F L B2 D' R2 D2
U F L' B2 D L' F
L F L' B2 L2 D' R2
L F L2 B2 L' D' R2
L F L2 B2 D' L' R2
L F L2 B2 D' R2 L'
L F R L B2 D' R2
L F R' L B2 D' R2
U' F U R U L2 B2
U' F U R U B2 L2
L F R2 L B2 D' R2
F' D L F2 L U F'
F2 D L F2 L U F'
F D L F2 L U F'
L' F B2 D' R2 F' L'
R' F' L U F L B2
U' F' L' U' B2 L' R'
U' F' L' U' B2 R' L'
U F B2 L' D L' F
R2 F' L U F L B2
L F B2 U' B2 U L
L2 F' L' U F L B2
D F' L F' L U F2
R F' L U F L B2
L' F' L2 U F L' B2
L' F' L2 U F B2 L'
L' F' L2 U B2 F L'
L F' L F2 B2 D' R2
L F' L B2 F2 D' R2
L F' L' U L2 F2 B2
L F' L' U L2 B2 F2
L F' L' U F2 L2 B2
L F' L' U F2 B2 L2
L F' L' U B2 L2 F2
L F' L' U B2 F2 L2
D F' L2 D F' R U
U F' L' B2 D L' F
L F' L2 U L' F2 B2
L F' L2 U L' B2 F2
L F' L2 U B2 L' F2
L F' R U L F2 B2
L F' R U L B2 F2
L F' R U F2 L B2
L F' R' U L F2 B2
L F' R' U L B2 F2
L F' R' U F2 L B2
L' F' U L2 F L' B2
L' F' U L2 F B2 L'
L' F' U L2 B2 F L'
U' F' U' L' U' L' B2
U' F' U' L' U' B2 L'
L F' R2 U L F2 B2
L F' R2 U L B2 F2
L F' R2 U F2 L B2
L F' U L F2 B2 D
L F' U L F2 B2 D'
L F' U L F2 B2 D2
L F' U L B2 F2 D
L F' U L B2 F2 D'
L F' U L B2 F2 D2
L F' U L' F2 L2 B2
B2 D' L R2 D F L2
L F' U L' F2 B2 L2
L F' U L' B2 L2 F2
B2 D' L R2 F D L2
L F' U L' B2 F2 L2
L F' U L2 B2 L' F2
