D2 F' R U' F'
D2 L F' R U' F'
D2 L' F' R U' F'
D2 L2 F' R U' F'
L' D2 F' R U' F2
D2 F' L R U' F'
D2 F' L' R U' F'
D2 F' L2 R U' F'
D2 F' R L U' F'
D2 F' R L' U' F'
D2 F' R L2 U' F'
D2 F' R U' D F'
D2 F' R U' D' F'
D2 F' R U' D2 F'
D2 F' R U' F' D
D2 F' R U' F' D'
D2 F' R U' F' D2
D2 F' R U' F' D2
D2 F' R D U' F'
D2 F' R D' U' F'
D2 F' R D2 U' F'
F' L U B' U L U
D' L D' F' R U' F'
D2 L F' L R U' F'
D2 L F' L' R U' F'
D2 L F' L2 R U' F'
D2 L F' R L U' F'
D2 L F' R L' U' F'
D2 L F' R L2 U' F'
D2 L F' R U' D F'
D2 L F' R U' D' F'
D2 L F' R U' D2 F'
D2 L F' R U' F' D
D2 L F' R U' F' D'
D2 L F' R U' F' D2
D2 L F' R D U' F'
D2 L F' R D' U' F'
D2 L F' R D2 U' F'
D L F' U2 R U B'
F' L' D' R' U' F B
F' L' D' R' U' B F
D' L' D' F' R U' F'
U' L' F D L R2 B'
U' L' F D L B' R2
U' L' F D R2 L B'
D2 L' F' L R U' F'
D2 L' F' L' R U' F'
D2 L' F' L2 R U' F'
D2 L' F' R L U' F'
D2 L' F' R L' U' F'
D2 L' F' R L2 U' F'
D2 L' F' R U' D F'
D2 L' F' R U' D' F'
D2 L' F' R U' D2 F'
D2 L' F' R U' F' D
D2 L' F' R U' F' D'
D2 L' F' R U' F' D2
D2 L' F' R D U' F'
D2 L' F' R D' U' F'
D2 L' F' R D2 U' F'
F' L' B R' B' U' F
F' L2 D L U' F B'
F' L2 D L U' B' F
D' L2 D' F' R U' F'
D L2 F L' F2 U' B'
D2 L2 F' L R U' F'
D2 L2 F' L' R U' F'
D2 L2 F' L2 R U' F'
D2 L2 F' R L U' F'
D2 L2 F' R L' U' F'
D2 L2 F' R L2 U' F'
D2 L2 F' R U' D F'
D2 L2 F' R U' D' F'
D2 L2 F' R U' D2 F'
D2 L2 F' R U' F' D
D2 L2 F' R U' F' D'
D2 L2 F' R U' F' D2
D2 L2 F' R D U' F'
D2 L2 F' R D' U' F'
D2 L2 F' R D2 U' F'
D L2 F' U2 R U B
R2 U2 D' B R' U B
U2 R2 D' B R' U B
L2 D L F' U' F2 B'
L2 D L F' U' B' F2
L' D F' L U' F2 B'
L' D F' L U' B' F2
L2 D F' L U' F B'
L2 D F' L U' B' F
F' U' L' D F L B'
R2 D' U2 B R' U B
F' U' L' F D L B'
L' D' F' R' U' F2 B
L' D' F' R' U' B F2
L2 D2 L F' R U' F2
L D2 L2 F' R U' F2
L' D2 F' L R U' F2
L' D2 F' L' R U' F2
L' D2 F' L2 R U' F2
L' D2 F' R L U' F2
L' D2 F' R L' U' F2
L' D2 F' R L2 U' F2
L' D2 F' R U' F2 D
L' D2 F' R U' F2 D'
L' D2 F' R U' F2 D2
L' D2 F' R D' L2 U'
L2 D2 F' L R U' F
L' D2 F' D' L2 R U'
L' D2 F' D' R L2 U'
L2 D2 F' R L U' F
F2 U2 L2 B' L U F
L D2 F' L2 R U' F
L D2 F' R L2 U' F
L D2 F' R U B' U2
D F L' F2 R2 U' B
D F L' F2 U F' U2
D2 F R F2 R U' F
D2 F' L R U' D F'
D2 F' L R U' D' F'
D2 F' L R U' D2 F'
D2 F' L R U' F' D
D2 F' L R U' F' D'
D2 F' L R U' F' D2
D2 F' L R D U' F'
D2 F' L R D' U' F'
D2 F' L R D2 U' F'
D2 F' L' R U' D F'
D2 F' L' R U' D' F'
D2 F' L' R U' D2 F'
D2 F' L' R U' F' D
D2 F' L' R U' F' D'
D2 F' L' R U' F' D2
D2 F' L' R D U' F'
D2 F' L' R D' U' F'
D2 F' L' R D2 U' F'
D F' L U2 R U B'
D2 F' L2 R U' D F'
D2 F' L2 R U' D' F'
D2 F' L2 R U' D2 F'
D2 F' L2 R U' F' D
D2 F' L2 R U' F' D'
D2 F' L2 R U' F' D2
D2 F' L2 R D U' F'
D2 F' L2 R D' U' F'
D2 F' L2 R D2 U' F'
F2 D F L' U F U2
D2 F' R L U' D F'
D2 F' R L U' D' F'
D2 F' R L U' D2 F'
D2 F' R L U' F' D
D2 F' R L U' F' D'
D2 F' R L U' F' D2
D2 F' R L D U' F'
D2 F' R L D' U' F'
D2 F' R L D2 U' F'
D2 F' R L' U' D F'
D2 F' R L' U' D' F'
D2 F' R L' U' D2 F'
D2 F' R L' U' F' D
D2 F' R L' U' F' D'
D2 F' R L' U' F' D2
D2 F' R L' D U' F'
D2 F' R L' D' U' F'
D2 F' R L' D2 U' F'
D2 F' R L2 U' D F'
D2 F' R L2 U' D' F'
D2 F' R L2 U' D2 F'
D2 F' R L2 U' F' D
D2 F' R L2 U' F' D'
D2 F' R L2 U' F' D2
D2 F' R L2 D U' F'
D2 F' R L2 D' U' F'
D2 F' R L2 D2 U' F'
D2 F' R U B U2 F'
D2 F' R U B' U2 F'
D2 F' R U B2 U2 F'
D2 F' R U' L' F' L
D2 F' R U' L2 F' L2
D2 F' R U' D F' D
D2 F' R U' D F' D'
D2 F' R U' D F' D2
D2 F' R U' D' F' D
D2 F' R U' D' F' D'
D2 F' R U' D' F' D2
D2 F' R U' D2 F' D
D2 F' R U' D2 F' D'
D2 F' R U' D2 F' D2
D2 F' R U' F2 D F
D2 F' R U' F2 D' F
D2 F' R U' F2 D2 F
D2 F' R D L U' F'
D2 F' R D L' U' F'
D2 F' R D L2 U' F'
D2 F' R D U' F' D
D2 F' R D U' F' D'
D2 F' R D U' F' D2
D2 F' R D' L U' F'
D2 F' R D' L' U' F'
D2 F' R D' L2 U' F'
D2 F' R D' U' F' D
D2 F' R D' U' F' D'
D2 F' R D' U' F' D2
D2 F' R D2 L U' F'
D2 F' R D2 L' U' F'
D2 F' R D2 L2 U' F'
D2 F' R D2 U' F' D
D2 F' R D2 U' F' D'
D2 F' R D2 U' F' D2
D F' L2 U2 R U B
D2 F' R2 D R' U' F'
D2 F' R2 D' R' U' F'
D2 F' R2 D2 R' U' F'
L F' U B' U L U
D F' U2 L R U B'
D F' U2 R L U B'
L2 F' D L U' F B'
L2 F' D L U' B' F
L' F' D' L2 R' U' B
L' F' D' R' L2 U' B
D2 F' D2 L' R U' F
D2 F' D2 R L' U' F
D2 F' B R B' U' F'
L' F' B R' B' U' F2
D2 F' B2 R B2 U' F'
D2 F2 R F R U' F2
B D' F' R' B' L U'
D2 F2 D' F L' R U'
D2 F2 D' F R L' U'
F' D2 F' R F U' F2
F2 D2 F' R F2 U' F
F' B R' D' B' L U'
F' B R' B' L' U' F
D2 B F' R B' U' F'
L' B F' R' B' U' F2
F' B D' R' B' L U'
B F' R' D' B' L U'
B F' R' B' L' U' F
B F' D' R' B' L U'
D2 B2 F' R B2 U' F'
