D F R2 B2 L R'
D F R2 B2 R' L
F D R2 B2 L R'
D F B2 R' D2 L2
F D R2 B2 R' L
F D R2 B2 R' L
F D B2 R' D2 L2
D F' B2 L' R' F2
D F' B2 L' R' F2
D F' B2 L' F2 R'
D F' B2 R' L' F2
D B2 R' F' L' F2
D B2 F R' D2 L2
D B2 F' L' R' F2
D B2 F' L' F2 R'
D B2 F' R' L' F2
F' L U' R2 U' L2 F2
F' L U' R2 U' F2 L2
F' L U2 L2 F2 D B2
F' L U2 F2 L2 D B2
F L D' R F2 U2 F2
F L D' F2 U2 L' F2
D L F' L' F B2 R'
D L F' L' B2 R' F
D L F' L' B2 F R'
D L F' U2 L' F B2
D L F' U2 L' B2 F
D L F' U2 B2 L' F
D' L F2 U2 L' F L'
D' L F2 U2 F L' F
F L' D2 R2 D' B2 L
F' L' F2 D B2 D R2
F' L' F2 D2 R2 D' B2
F' L2 R2 U' F2 L R
F' L2 R2 U' F2 R L
F' L2 F2 L D R B2
F' L2 F2 L D B2 R
F' L2 F2 D L R B2
F' L2 F2 D L B2 R
F' L2 F2 D R L B2
D R F R2 B2 L R'
D R F R2 B2 R' L
D R F B2 R' D2 L2
D R F' B2 L' R' F2
D R F' B2 L' F2 R'
D R F' B2 R' L' F2
D R B2 R' F' L' F2
D R B2 F R' D2 L2
D R B2 F' L' R' F2
D R B2 F' L' F2 R'
D R B2 F' R' L' F2
D R' F R2 B2 L R'
D R' F R2 B2 R' L
D R' F B2 R' D2 L2
D R' F' B2 L' R' F2
D R' F' B2 L' F2 R'
D R' F' B2 R' L' F2
D R' B2 R' F' L' F2
D R' B2 F R' D2 L2
D R' B2 F' L' R' F2
D R' B2 F' L' F2 R'
D R' B2 F' R' L' F2
F' R2 L2 U' F2 L R
F' R2 L2 U' F2 R L
F' R2 U L U2 L2 F2
F' R2 U L U2 F2 L2
F' R2 U' L' F2 D2 R2
F' R2 U' L2 F2 L R
F' R2 U' L2 F2 R L
D R2 F R2 B2 L R'
D R2 F R2 B2 R' L
D R2 F B2 R' D2 L2
D R2 F' B2 L' R' F2
D R2 F' B2 L' F2 R'
D R2 F' B2 R' L' F2
F' R2 B2 U' L' R' F2
F' R2 B2 U' L' F2 R'
F' R2 B2 U' R' L' F2
D R2 B2 R' F' L' F2
D R2 B2 F R' D2 L2
D R2 B2 F' L' R' F2
D R2 B2 F' L' F2 R'
D R2 B2 F' R' L' F2
F U R2 U L R' U2
F U R2 U R' L U2
F U R2 B2 U' L R'
F U R2 B2 U' R' L
U2 D F B L B R'
U2 D B F L B R'
U' D B2 R' F D' L2
U2 D B2 R' D2 F L'
U2 D B2 D2 R' F L'
U2 D B2 D2 F L' R'
U2 D B2 D2 F R' L'
U2 D' F2 L U2 F' L'
D U' B2 R' F D' L2
F U2 L R U' R U'
F U2 L D R U2 B2
F U2 L D' R F2 U2
F U2 L D' F2 U2 L'
D' U2 F2 L U2 F' L'
D U2 F B L B R'
F U2 R L U' R U'
D U2 B F L B R'
D U2 B2 R' D2 F L'
F U2 D L R U2 B2
F U2 D R L U2 B2
F U2 D R U2 B2 R'
D U2 B2 D2 R' F L'
D U2 B2 D2 F L' R'
D U2 B2 D2 F R' L'
F U2 D' L R F2 U2
F U2 D' L F2 U2 L'
F U2 D' R L F2 U2
F U2 D' R F2 L U2
F U2 D' F2 L U2 L2
D' F R F L U2 F'
D2 F R2 D' B2 L R'
D2 F R2 D' B2 R' L
D F R' B2 D2 L2 R'
D F R' B2 D2 R' L2
R2 F R2 D B2 L R'
R2 F R2 D B2 R' L
D F R2 B2 L R' D
D F R2 B2 L R' D'
D F R2 B2 L R' D2
D F R2 B2 L D R'
D F R2 B2 L D' R'
D F R2 B2 L D2 R'
D F R2 B2 R' L D
D F R2 B2 R' L D'
D F R2 B2 R' L D2
D F R2 B2 R' D L
D F R2 B2 R' D' L
D F R2 B2 R' D2 L
D F R2 B2 D L R'
D F R2 B2 D R' L
D F R2 B2 D' L R'
D F R2 B2 D' R' L
D F R2 B2 D2 L R'
D F R2 B2 D2 R' L
D' F U2 R F L U2
D F U2 L R U2 B2
D F U2 R L U2 B2
D F U2 R U2 B2 R'
D2 F D' R2 B2 L R'
D2 F D' R2 B2 R' L
U2 F D B L B R'
D2 F D' B2 R' D2 L2
B2 D R F R2 B2 L
B2 D R' F' L' F2 B2
B2 D R' F' L' B2 F2
B2 D R' F' B2 L' F2
B2 D R' B2 F' L' F2
F' D R2 U B2 L' R'
F' D R2 U B2 R' L'
D' F B2 R' D2 L2 B'
F D R' B2 D2 L2 R'
F D R' B2 D2 R' L2
D' F' L U2 F2 L2 B'
D F B2 L R' D2 L2
D F B2 L' R' D2 L2
F D R2 B2 L R' D
F D R2 B2 L R' D'
F D R2 B2 L R' D2
F D R2 B2 L D R'
F D R2 B2 L D' R'
F D R2 B2 L D2 R'
D F B2 L2 R' D2 L2
F D R2 B2 R' L D
F D R2 B2 R' L D'
F D R2 B2 R' L D2
F D R2 B2 R' D L
F D R2 B2 R' D' L
F D R2 B2 R' D2 L
F D R2 B2 D L R'
F D R2 B2 D R' L
D' F' L F' U2 L2 F'
D' F' L F' U2 F' L2
F D R2 B2 D' L R'
F D R2 B2 D' R' L
F D R2 B2 D2 L R'
F D R2 B2 D2 R' L
D F B2 R' L D2 L2
D F B2 R' L' D2 L2
D F B2 R' L2 D2 L2
D F B2 R' U2 R2 U2
D F B2 R' D2 L2 D
D F B2 R' D2 L2 D'
D F B2 R' D2 L2 D2
D F B2 U2 R U2 R2
D F B2 D R' D2 L2
D F B2 D' R' D2 L2
D F B2 D2 R' D2 L2
D F' L U2 L2 F2 B2
D F' L U2 L2 B2 F2
D F' L U2 F2 L2 B2
D F' L U2 F2 B2 L2
D F' L U2 B2 L2 F2
D F' L U2 B2 F2 L2
D2 F' L2 U F2 L R
D2 F' L2 U F2 R L
B2 D F R' B2 D2 L2
B2 D F R2 B2 L R
B2 D F R2 B2 R L
F D U2 L R U2 B2
F D U2 R L U2 B2
F D U2 R U2 B2 R'
B2 D F' L' R' F2 B2
B2 D F' L' R' B2 F2
B2 D F' L' F2 R' B2
D F' L' F2 B2 D2 R2
B2 D F' R' L' F2 B2
B2 D F' R' L' B2 F2
B2 D F' R' B2 L' F2
L F' L' D F B2 R'
D F' L' B2 F2 D2 R2
L F' L' D B2 R' F
L F' L' D B2 F R'
R2 F' L2 U' F2 L R
R2 F' L2 U' F2 R L
L F' L' F D B2 R'
D F' L2 F2 L R B2
D F' L2 F2 L B2 R
D F' L2 F2 R L B2
D F' R B2 L' R' F2
D F' R B2 L' F2 R'
D F' R B2 R' L' F2
F D F2 B2 L' R' F2
F D F2 B2 L' F2 R'
F D F2 B2 R' L' F2
D F' R' B2 L' R' F2
D F' R' B2 L' F2 R'
D F' R' B2 R' L' F2
F' D B2 L' D' R' F2
F' D B2 L' D' F2 R'
R2 F' U L U2 L2 F2
R2 F' U L U2 F2 L2
D F' R2 B2 L' R' F2
D F' R2 B2 L' F2 R'
D F' R2 B2 R' L' F2
F' D B2 D' L' R' F2
F' D B2 D' L' F2 R'
F' D B2 D' R' L' F2
R2 F' U' L' F2 D2 R2
F D B2 L R' D2 L2
R2 F' U' L2 F2 L R
R2 F' U' L2 F2 R L
D F' U B2 L' R' F2
D F' U B2 L' F2 R'
D F' U B2 R' L' F2
F D B2 L' R' D2 L2
F D B2 L2 R' D2 L2
F D B2 R' L D2 L2
F D B2 R' L' D2 L2
F D B2 R' L2 D2 L2
F D B2 R' U2 R2 U2
F D B2 R' D2 L2 D
F D B2 R' D2 L2 D'
F D B2 R' D2 L2 D2
F D B2 U2 R U2 R2
F D B2 D R' D2 L2
F D B2 D' R' D2 L2
F D B2 D2 R' D2 L2
F D B2 F2 L' R' F2
F D B2 F2 L' F2 R'
F D B2 F2 R' L' F2
L F' U' R2 U' L' F
D F' U' B2 L' R' F2
D F' U' B2 L' F2 R'
F D' L R F2 U2 F2
D F' U' B2 R' L' F2
L F' U2 L' D F B2
L F' U2 L' D B2 F
F D' L F2 U2 L' F2
L F' U2 L' F D B2
D F' U2 B2 L' R' F2
D F' U2 B2 L' F2 R'
D F' U2 B2 R' L' F2
F D' L' D2 R2 B2 L
F D' R L F2 U2 F2
F D' R F2 L U2 F2
D F' B L' F2 B R'
D F' B L' B R' F2
D F' B L' B F2 R'
F D' R' D2 B2 L2 R'
F D' R' D2 B2 R' L2
D' F2 L U2 F L' F2
F D' R2 D2 B2 L R'
F D' R2 D2 B2 R' L
D F' B2 L R' F2 L2
D F' B2 L F2 L2 R'
D F' B2 L F2 R' L2
D F' B2 L' R F2 R2
D F' B2 L' R' F2 D
D F' B2 L' R' F2 D'
D F' B2 L' R' F2 D2
D F' B2 L' F R' F
