B2 L' U' R F U'
D2 U' R F' U' F'
B2 U' D2 R F' U'
U' D2 R F' U' F'
B2 D2 U' R F' U'
L' B2 U' R F U'
U' L R D L2 F U'
B2 L U B' U2 R U'
F2 L U B' L2 U F
D2 L U' R F' U' F'
B2 L U' R U2 B' U
U' L D L2 R F U'
U' L D R L2 F U'
L' R F U R' B2 U2
L' R F U B2 U2 L
B2 L F2 U B' L' U
F2 L B2 U L2 B U
F2 L B2 U B L2 U
U' L' R D F L2 U'
U' L' R D2 F U' F
U' L' R F U B2 U2
U' L' R F U' D2 F2
U' L' R F D L2 U'
U' L' R F D2 U' F2
D2 L' U' R F' U' F'
B2 L' U' R D F U'
B2 L' U' R D' F U'
B2 L' U' R D2 F U'
B2 L' U' R F U' D
B2 L' U' R F U' D'
B2 L' U' R F U' D2
B2 L' U' R F D U'
B2 L' U' R F D' U'
B2 L' U' R F D2 U'
B2 L' U' R' F R2 U'
B2 L' U' R2 F R' U'
B2 L' U' D R F U'
B2 L' U' D' R F U'
R L' F U R' B2 U2
R L' F U B2 U2 L
B2 L' U' D2 R F U'
U' L' D R F L2 U'
B2 L' D U' R F U'
B2 L' D' U' R F U'
U' L' D2 R F U' F
B2 L' D2 U' R F U'
B L' B U' R F U'
D2 L2 U' R F' U' F'
B2 L2 U' R F U' R
U' R L D L2 F U'
U' R L' D F L2 U'
U' R L' D2 F U' F
U' R L' F U B2 U2
U' R L' F U' D2 F2
U' R L' F D L2 U'
U' R L' F D2 U' F2
U' R D L2 F' U' R
U' R D F' L2 U' R
D2 R F' B2 U' L F'
D2 R F' B2 U' F' L
L' U' R D F L2 U'
L' U' R D2 F U' F
L' U' R F U B2 U2
L' U' R F U' D2 F2
L' U' R F D L2 U'
L' U' R F D2 U' F2
L U' R D L2 F U'
L' U' D R F L2 U'
L U' D L2 R F U'
L U' D R L2 F U'
D2 R B2 F' U' L F'
D2 R B2 F' U' F' L
L' U' D2 R F U' F
L' D U' R F L2 U'
L D U' L2 R F U'
L D U' R L2 F U'
B2 U L B' U2 R U'
F2 U L B' L2 U F
B2 U L' U2 R F U'
U' D L2 R F' U' R
U' D L2 D R F' U'
U' D L2 F' U' R B
U' D R L2 F' U' R
U' D R F' L2 U' R
U' D F' L2 U' R B
D2 U' L R F' U' F'
D2 U' L' R F' U' F'
D2 U' L2 R F' U' F'
D2 U' R L F' U' F'
D U' L2 R F' U' R
D2 U' R L' F' U' F'
D2 U' R L2 F' U' F'
D U' L2 D R F' U'
D2 U' R D' L2 F' U'
D2 U' R D' F' L2 U'
D2 U' R F' L U' F'
D2 U' R F' L' U' F'
D2 U' R F' L2 U' F'
D2 U' R F' U' D F'
D2 U' R F' U' D' F'
D2 U' R F' U' D2 F'
D2 U' R F' U' F' D
D2 U' R F' U' F' D'
D2 U' R F' U' F' D2
D2 U' R F' D U' F'
D2 U' R F' D' U' F'
D2 U' R F' D2 U' F'
D U' L2 F' U' R B
B2 U' L' R F L U'
D U' R L2 F' U' R
B' U' L2 R U' F R
D U' R F' L2 U' R
B' U' R L2 U' F R
B2 U' R L' F L U'
B2 U' R D F' U' R
D U' F' L2 U' R B
B2 U' D R F' U' R
B2 U' D F' U' R B
B2 U' D2 R D F' U'
B2 U' D2 R D' F' U'
B2 U' D2 R D2 F' U'
B2 U' D2 R F' U' D
B2 U' D2 R F' U' D'
B2 U' D2 R F' U' D2
B2 U' D2 R F' D U'
B2 U' D2 R F' D' U'
B2 U' D2 R F' D2 U'
U' D2 L R F' U' F'
U' D2 L' R F' U' F'
U' D2 L2 R F' U' F'
U' D2 R L F' U' F'
U' D2 R L' F' U' F'
U' D2 R L2 F' U' F'
U' D2 R D' L2 F' U'
U' D2 R D' F' L2 U'
U' D2 R F' L U' F'
U' D2 R F' L' U' F'
U' D2 R F' L2 U' F'
U' D2 R F' U' D F'
U' D2 R F' U' D' F'
U' D2 R F' U' D2 F'
U' D2 R F' U' F' D
U' D2 R F' U' F' D'
U' D2 R F' U' F' D2
U' D2 R F' D U' F'
U' D2 R F' D' U' F'
U' D2 R F' D2 U' F'
L' D2 U' R F U' F
B2 U2 D' B R' D B2
D F D' L' F B2 U2
D F D' L' B2 F U2
D F D' B2 L' F U2
B2 D U' R F' U' R
B2 D U' F' U' R B
B2 D F D' L' F U2
B2 D F2 U L' B' U
B2 D' U2 B R' D B2
B' D' B' L U' R U'
B D' B U' R U' R2
B D' B U2 R' D B2
B2 D2 L U' R F' U'
B2 D2 L' U' R F' U'
B2 D2 L2 U' R F' U'
B2 D2 U' R D F' U'
B2 D2 U' R D' F' U'
B2 D2 U' R D2 F' U'
B2 D2 U' R F' U' D
B2 D2 U' R F' U' D'
B2 D2 U' R F' U' D2
B2 D2 U' R F' D U'
B2 D2 U' R F' D' U'
B2 D2 U' R F' D2 U'
L F2 B2 U L' B U
L F2 B2 U B L' U
B' D2 B' U' R F' U'
B D2 B U' R F' U'
D2 B U' R F' U' F'
B' F D' B' L U2 B'
D2 B' U' R F' U' F'
