F' L U' L2 B2
F' L U' B2 L2
L F' U' L' B2
L F' U' B2 L'
F' L R U' L2 B2
F' L R U' B2 L2
F' L R' U' L2 B2
F' L R' U' B2 L2
F' L R2 U' L2 B2
F' L R2 U' B2 L2
F' L U' L' B2 L'
F' L U' L2 B2 D
F' L U' L2 B2 D'
F' L U' L2 B2 D2
F' L U' B L2 B
F' L U' B2 L2 D
F' L U' B2 L2 D'
F' L U' B2 L2 D2
F' L D' R2 B2 U'
F' L D' B2 R2 U'
D' L F' R2 U' L'
F L F2 U' L' B2
F L F2 U' B2 L'
F' L B U' L2 B
F' L B U' B L2
F' L B' U' B' L2
F' R L U' L2 B2
F' R L U' B2 L2
F' R' L U' L2 B2
F' R' L U' B2 L2
F' R2 L U' L2 B2
F' R2 L U' B2 L2
F' U' L' B2 D F2
L D' F' R2 U' L'
L' F' L2 U' L B2
D' F' L R2 U' L2
L F' R U' L' B2
L F' R U' B2 L'
D' F' R2 L U' L2
L F' R' U' L' B2
L F' R' U' B2 L'
L F' R2 U' L' B2
L F' R2 U' B2 L'
F' D' L R2 U' L2
L F' U' L B2 L2
L F' U' L' B2 D
L F' U' L' B2 D'
L F' U' L' B2 D2
L F' U' B L' B
L F' U' B2 L' D
L F' U' B2 L' D'
L F' U' B2 L' D2
L F' U' B2 D L'
L F' U' B2 D' L'
L F' U' B2 D2 L'
L F' D' R2 U' L'
F' D' R2 L U' L2
L F' B U' L' B
L F' B U' B L'
L F' B' U' B' L'
L B F' U' L' B
L B F' U' B L'
L B' F' U' B' L'
F' L R U' L' B2 L'
F' L R U' L2 B2 D
F' L R U' L2 B2 D'
F' L R U' L2 B2 D2
F' L R U' B L2 B
F' L R U' B2 L2 D
F' L R U' B2 L2 D'
F' L R U' B2 L2 D2
F' L R D' R2 B2 U'
F' L R D' B2 R2 U'
F' L R B U' L2 B
F' L R B U' B L2
F' L R B' U' B' L2
F' L R' U' L' B2 L'
F' L R' U' L2 B2 D
F' L R' U' L2 B2 D'
F' L R' U' L2 B2 D2
F' L R' U' B L2 B
F' L R' U' B2 L2 D
F' L R' U' B2 L2 D'
F' L R' U' B2 L2 D2
F' L R' D' R2 B2 U'
F' L R' D' B2 R2 U'
F' L R' B U' L2 B
F' L R' B U' B L2
F' L R' B' U' B' L2
F' L R2 U' L' B2 L'
F' L R2 U' L2 B2 D
F' L R2 U' L2 B2 D'
F' L R2 U' L2 B2 D2
F' L R2 U' B L2 B
F' L R2 U' B2 L2 D
F' L R2 U' B2 L2 D'
F' L R2 U' B2 L2 D2
D' L R2 U2 B U L
F' L R2 D' R2 B2 U'
F' L R2 D' B2 R2 U'
F' L R2 B U' L2 B
F' L R2 B U' B L2
F' L R2 B' U' B' L2
F L R2 F2 U' B2 L
F' L U R U2 L2 B2
F' L U R U2 B2 L2
F' L U R' U2 L2 B2
F' L U R' U2 B2 L2
F' L U R2 U2 L2 B2
F' L U R2 U2 B2 L2
R2 L U2 B U L B
F' L U D2 R2 F2 U2
F' L U D2 F2 R2 U2
F' L U F U2 L2 B2
F' L U F U2 B2 L2
F' L U F' U2 L2 B2
F' L U F' U2 B2 L2
F' L U F2 U2 L2 B2
F' L U F2 U2 B2 L2
F' L U' L' B L' B
F' L U' L' B2 L' D
F' L U' L' B2 L' D'
F' L U' L' B2 L' D2
F' L U' L' B2 D L'
F' L U' L' B2 D' L'
F' L U' L' B2 D2 L'
F' L U' L2 R' B2 R
F' L U' L2 R2 B2 R2
F' L U' L2 B D B
F' L U' L2 B D' B
F' L U' L2 B D2 B
F' L U' L2 B' D B'
F' L U' L2 B' D' B'
F' L U' L2 B' D2 B'
F' L U' R' L2 B2 R
F' L U' R' B2 L2 R
F' L U' R' B2 R L2
F' L U' R2 L2 B2 R2
F' L U' R2 B2 L2 R2
F' L U' R2 B2 R2 L2
F' L U' F L2 F' B2
F' L U' F L2 B2 F'
F' L U' F B2 L2 F'
F' L U' F2 L2 F2 B2
F' L U' F2 L2 B2 F2
F' L U' F2 B2 L2 F2
F' L U' B L' B L'
F' L U' B L2 D B
F' L U' B L2 D' B
F' L U' B L2 D2 B
F' L U' B L2 B D
F' L U' B L2 B D'
F' L U' B L2 B D2
F' L U' B2 L D L
F' L U' B2 L D' L
F' L U' B2 L D2 L
F' L U' B2 L' D L'
F' L U' B2 L' D' L'
F' L U' B2 L' D2 L'
R2 L D' R2 F' U' L'
F' L U' B2 F L2 F'
F' L U' B2 F2 L2 F2
F' L U2 L U L B2
F' L U2 L' U L' B2
F' L U2 L' U B2 L'
F' L U2 D L2 F2 U
F' L U2 D F2 L2 U
F' L U2 F U L2 B2
F' L U2 F U B2 L2
F' L U2 F' U L2 B2
F' L U2 F' U B2 L2
F' L U2 F2 U L2 B2
F' L U2 F2 U B2 L2
F' L D U2 L2 F2 U
F' L D U2 F2 L2 U
D2 L D F' R2 U' L'
D' L D F' U' L' B2
D' L D F' U' B2 L'
F' L D' R B2 R U'
F' L D' R2 U' D L2
F' L D' R2 D U' L2
F' L D' R2 B2 U' D
F' L D' R2 B2 U' D'
F' L D' R2 B2 U' D2
F' L D' R2 B2 D U'
F' L D' R2 B2 D' U'
F' L D' R2 B2 D2 U'
F' L D' B' R2 B' U'
F' L D' B2 R2 U' D
F' L D' B2 R2 U' D'
F' L D' B2 R2 U' D2
F' L D' B2 R2 D U'
F' L D' B2 R2 D' U'
F' L D' B2 R2 D2 U'
F' L D' B2 U' D B2
F' L D' B2 D U' B2
F' L D2 U R2 F2 U2
F' L D2 U F2 R2 U2
D2 L D2 F' U' L' B2
D2 L D2 F' U' B2 L'
D2 L F' R2 U' L' B
D2 L F' R2 U' B L'
D' L F' R2 U' L' D
D' L F' R2 U' L' D'
D' L F' R2 U' L' D2
D' L F' R2 U' D L'
D' L F' R2 U' D' L'
D' L F' R2 U' D2 L'
D' L F' R2 D U' L'
D' L F' R2 D' U' L'
U' L F' R B U' B
D' L F' R2 D2 U' L'
D' L F' R2 B U' L'
D' L F' R2 B' U' L'
D' L F' R2 B2 U' L'
D' L F' U' L' D B2
D' L F' U' D L' B2
D' L F' U' D B2 L'
D L F' U' L' D' B2
U' L F' U' B L B
D' L F' D U' L' B2
D' L F' D U' B2 L'
D L F' U2 L U L2
D' L F' B R2 U' L'
U L F' U' B2 D' L2
D' L F' B' R2 U' L'
U L F' U2 F2 U B2
D' L F' B2 R2 U' L'
U2 L F' B U' L B
U' L F' B U' B L
D L F' B' U' L' B'
U L F' D' R2 U' L2
D L F' B2 R' U' L'
D' L F2 R2 F U' L'
F L F2 R U' L' B2
F L F2 R U' B2 L'
F L F2 R' U' L' B2
F L F2 R' U' B2 L'
F L F2 R2 U' L' B2
F L F2 R2 U' B2 L'
F L F2 U' L B2 L2
F L F2 U' L' B2 D
F L F2 U' L' B2 D'
F L F2 U' L' B2 D2
F L F2 U' B L' B
F L F2 U' B2 L' D
F L F2 U' B2 L' D'
F L F2 U' B2 L' D2
F L F2 U' B2 D L'
F L F2 U' B2 D' L'
F L F2 U' B2 D2 L'
F L F2 D' R2 U' L'
F L F2 B U' L' B
F L F2 B U' B L'
F L F2 B' U' B' L'
F' L B U' L' B L'
F' L B U' L2 D B
F' L B U' L2 D' B
F' L B U' L2 D2 B
F' L B U' L2 B D
F' L B U' L2 B D'
F' L B U' L2 B D2
F' L B U' B L2 D
F' L B U' B L2 D'
F' L B U' B L2 D2
F' L B U' B' L2 B2
F' L B D' B2 U' B'
D' L B F' R2 U' L'
U' L B F' U' B L
U2 L B F' U' L B
F L B F2 U' L' B
F L B F2 U' B L'
F' L B' R U' B' L2
F' L B' R' U' B' L2
F' L B' R2 U' B' L2
F' L B' U' B L2 B2
F' L B' U' B' L2 D
F' L B' U' B' L2 D'
F' L B' U' B' L2 D2
F' L B' U' B2 L2 B
F' L B' D' B2 U' B
D' L B' F' R2 U' L'
D L B' F' U' L' B'
F L B' F2 U' B' L'
F' L B2 U' L2 D' B2
F' L B2 D' B2 U' B2
D' L B2 F' R2 U' L'
D L B2 F' R' U' L'
D' L' F' L2 R2 U' L
D' L' F' R2 L2 U' L
F L' F2 L2 U' L B2
F' L' F2 B2 D R2 F2
F' L' F2 B2 D F2 R2
F' L' B L2 U' L2 B
F' L' B L2 U' B L2
L R2 U2 B U L B
F' L' B' L2 U' L2 B'
F' L' B2 D F2 D R2
L R2 D' R2 F' U' L'
F' L' B2 F2 D R2 F2
F' L' B2 F2 D F2 R2
F L' B2 D F2 L' R2
F L' B2 D F2 R2 L'
F' L2 U' L B2 D F2
F' L2 D' L' R2 U' L2
F' L2 D' R2 L' U' L2
L2 U L' F' B' U' B'
L2 U L' B' F' U' B'
F' R L U' L' B2 L'
F' R L U' L2 B2 D
F' R L U' L2 B2 D'
F' R L U' L2 B2 D2
F' R L U' B L2 B
F' R L U' B2 L2 D
F' R L U' B2 L2 D'
F' R L U' B2 L2 D2
F' R L D' R2 B2 U'
F' R L D' B2 R2 U'
F' R L B U' L2 B
F' R L B U' B L2
F' R L B' U' B' L2
F' R U' L' B2 D F2
F R U' L F2 U' B2
F R U' F2 L U' B2
F' R D' L R2 U' L2
F' R D' R2 L U' L2
F2 R F L U' L2 B2
F2 R F L U' B2 L2
F' R' L U' L' B2 L'
F' R' L U' L2 B2 D
F' R' L U' L2 B2 D'
F' R' L U' L2 B2 D2
F' R' L U' B L2 B
F' R' L U' B2 L2 D
F' R' L U' B2 L2 D'
F' R' L U' B2 L2 D2
F' R' L D' R2 B2 U'
F' R' L D' B2 R2 U'
F' R' L B U' L2 B
F' R' L B U' B L2
F' R' L B' U' B' L2
F' R' U' L' B2 D F2
F' R' D' L R2 U' L2
F' R' D' R2 L U' L2
L U' B2 U F' U' L'
F2 R' F L U' L2 B2
F2 R' F L U' B2 L2
F' R2 L U' L' B2 L'
F' R2 L U' L2 B2 D
F' R2 L U' L2 B2 D'
F' R2 L U' L2 B2 D2
D' R2 L U2 B U L
F' R2 L U' B L2 B
F' R2 L U' B2 L2 D
F' R2 L U' B2 L2 D'
F' R2 L U' B2 L2 D2
F' R2 L D' R2 B2 U'
F' R2 L D' B2 R2 U'
F' R2 L B U' L2 B
F' R2 L B U' B L2
F' R2 L B' U' B' L2
F R2 L F2 U' B2 L
F' R2 U' L' B2 D F2
F' R2 D' L R2 U' L2
F' R2 D' R2 L U' L2
F2 R2 F L U' L2 B2
F2 R2 F L U' B2 L2
F R2 F2 L U' B2 L
F' U L U' L2 B2 R'
F U L F2 U' L' B2
F U L F2 U' B2 L'
F' U L' B2 R' D F2
F' U L' B2 D R' F2
F' U L' B2 D F2 R'
L D F' U' D' L' B2
L D F' U' D' B2 L'
L D F' U2 L2 U L
L D F' D' U' L' B2
L D F' D' U' B2 L'
L D F' D2 R2 U' L'
R2 D' L R2 F' U' L'
F2 U F L U' L2 B2
F2 U F L U' B2 L2
L2 D' L' F' R2 U' L'
B2 U F' U2 R' F' U
F U F2 L U' L2 B2
F U F2 L U' B2 L2
R2 D' R2 L F' U' L'
R2 D' R2 F' L U' L2
L D' R2 U2 B U L
F' U' L B2 L2 D F2
F' U' L' U L2 U' B2
F' U' L' D F2 D' B2
F' U' L' F B2 D F2
F' U' L' F' B2 D F2
F' U' L' F2 B2 D F2
F' U' L' B D F2 B
F' U' L' B D B F2
F' U' L' B' D F2 B'
F' U' L' B' D B' F2
F' U' L' B2 U L2 U'
F' U' L' B2 D F2 D
F' U' L' B2 D F2 D'
F' U' L' B2 D F2 D2
F' U' L' B2 F D F2
F' U' L' B2 F' D F2
F' U' L' B2 F2 D F2
F U' L F2 U' L' B2
F U' L F2 U' B2 L'
L D' F' R2 U' L' D
L D' F' R2 U' L' D'
L D' F' R2 U' L' D2
L D' F' R2 U' D L'
L D' F' R2 U' D' L'
L D' F' R2 U' D2 L'
L D' F' R2 D U' L'
L D' F' R2 D' U' L'
L D' F' R2 D2 U' L'
L D' F' R2 B U' L'
L D' F' R2 B' U' L'
L D' F' R2 B2 U' L'
L D' F' U' L' D B2
L D' F' U' D L' B2
L D' F' U' D B2 L'
L D' F' D U' L' B2
L D' F' D U' B2 L'
L D' F' B R2 U' L'
L D' F' B' R2 U' L'
L D' F' B2 R2 U' L'
B2 U' R' D' F' U R
L D' F2 R2 F U' L'
B2 U' R2 B R F' U
L D' B F' R2 U' L'
F' U' D' L' D F2 B2
F' U' D' L' D B2 F2
L D' B' F' R2 U' L'
L D' B2 F' R2 U' L'
F2 U' F L U' L2 B2
F2 U' F L U' B2 L2
F U' F2 L U' L2 B2
F U' F2 L U' B2 L2
F' U' B D L' F B
F' U' B D L' B F
F' U' B D B L' F
F' U' B2 L' U' R' U
F' U' B2 U' R' U L'
F U2 L F2 U' L' B2
F U2 L F2 U' B2 L'
L D2 F' R2 U' L' B
L D2 F' R2 U' B L'
D' F L F2 R2 U' L'
F2 U2 F L U' L2 B2
F2 U2 F L U' B2 L2
L' F L2 F2 U' L' B2
L' F L2 F2 U' B2 L'
F U2 F2 L U' L2 B2
F U2 F2 L U' B2 L2
L F R2 F2 U' B2 L
F' D L U2 L U L
F' D L D' B2 R' U'
F' D L B2 R' U' L2
U' F' L R B U' B
L' F B2 D F2 L' R2
L' F B2 D F2 R2 L'
U' F' L U' B L B
D' F' L R2 U' L2 D
D' F' L R2 U' L2 D'
D' F' L R2 U' L2 D2
D2 F' L R2 U' L2 B
D2 F' L R2 U' B L2
D' F' L R2 D' B2 U'
D' F' L R2 B U' L2
D' F' L R2 B' U' L2
D' F' L R2 B2 U' L2
D2 F' L U F' U2 L2
D' F' L U' L2 D B2
U' F' L B U' B L
D' F' L B R2 U' L2
D' F' L B' R2 U' L2
D' F' L B2 R2 U' L2
U2 F' L B U' L B
D F' L U2 L U L
D F' L D' B2 R' U'
U F' L U2 F U B2
L' F' L2 R U' L B2
L' F' L2 R' U' L B2
L' F' L2 R2 U' L B2
D F' L B2 R' U' L2
L' F' L2 U' L B2 D
L' F' L2 U' L B2 D'
L' F' L2 U' L B2 D2
L' F' L2 U' L' B2 L2
L' F' L2 U' L2 B2 L'
L' F' L2 D' R2 U' L
U' F' R L B U' B
L' F' R L2 U' L B2
L' F' R' L2 U' L B2
B D F' U' L' F B
B D F' U' L' B F
B D F' U' B L' F
D' F' R2 L U' L2 D
D' F' R2 L U' L2 D'
D' F' R2 L U' L2 D2
D2 F' R2 L U' L2 B
D2 F' R2 L U' B L2
D' F' R2 L D' B2 U'
D' F' R2 L B U' L2
D' F' R2 L B' U' L2
D' F' R2 L B2 U' L2
L F' R U' L B2 L2
L F' R U' L' B2 D
L F' R U' L' B2 D'
L F' R U' L' B2 D2
L F' R U' B L' B
D' F' R2 U' L' D F2
L F' R U' B2 L' D
L F' R U' B2 L' D'
L F' R U' B2 L' D2
L F' R U' B2 D L'
L F' R U' B2 D' L'
L F' R U' B2 D2 L'
L' F' R2 L2 U' L B2
D' F' R2 D L U' L2
L F' R D' R2 U' L'
D' F' R2 D' L U' L2
D' F' R2 D2 L U' L2
L F' R B U' L' B
L F' R B U' B L'
L F' R B' U' B' L'
L F' R' U' L B2 L2
L F' R' U' L' B2 D
L F' R' U' L' B2 D'
L F' R' U' L' B2 D2
L F' R' U' B L' B
L F' R' U' B2 L' D
L F' R' U' B2 L' D'
L F' R' U' B2 L' D2
L F' R' U' B2 D L'
L F' R' U' B2 D' L'
L F' R' U' B2 D2 L'
L F' R' D' R2 U' L'
L F' R' B U' L' B
L F' R' B U' B L'
L F' R' B' U' B' L'
D' F' U' L' D F2 B2
D' F' U' L' D B2 F2
L F' R2 U' L B2 L2
L F' R2 U' L' B2 D
L F' R2 U' L' B2 D'
L F' R2 U' L' B2 D2
L F' R2 U' B L' B
L F' R2 U' B2 L' D
L F' R2 U' B2 L' D'
L F' R2 U' B2 L' D2
L F' R2 U' B2 D L'
L F' R2 U' B2 D' L'
L F' R2 U' B2 D2 L'
L F' R2 D' R2 U' L'
L F' R2 B U' L' B
L F' R2 B U' B L'
L F' R2 B' U' B' L'
F' D' L R2 U' L2 D
F' D' L R2 U' L2 D'
F' D' L R2 U' L2 D2
F' D' L R2 D' B2 U'
F' D' L R2 B U' L2
F' D' L R2 B' U' L2
F' D' L R2 B2 U' L2
F' D' L U' L2 D B2
L' F' U' B2 D L' F2
L F' U R U2 L' B2
L F' U R U2 B2 L'
L F' U R' U2 L' B2
L F' U R' U2 B2 L'
L F' U R2 U2 L' B2
L F' U R2 U2 B2 L'
L F' U D2 F2 R U2
F' D' L B R2 U' L2
F' D' L B' R2 U' L2
F' D' L B2 R2 U' L2
L F' U F2 R U2 B2
L2 F' U' B2 D' L' F
D' F' D L U' L2 B2
L F' U' L B L2 B
D' F' D L U' B2 L2
L F' U' L B2 L2 D
L F' U' L B2 L2 D'
L F' U' L B2 L2 D2
L F' U' L' R' B2 R
L F' U' L' R2 B2 R2
L F' U' L' B D B
L F' U' L' B D' B
L F' U' L' B D2 B
L F' U' L' B' D B'
L F' U' L' B' D' B'
L F' U' L' B' D2 B'
L F' U' R' L' B2 R
L F' U' R' B2 L' R
L F' U' R' B2 R L'
L F' U' R2 L' B2 R2
L F' U' R2 B2 L' R2
L F' U' R2 B2 R2 L'
L F' U' D' L' D B2
L F' U' D2 L' D2 B2
L F' U' B L B L2
L F' U' B L' D B
L F' U' B L' D' B
L F' U' B L' D2 B
L F' U' B L' B D
L F' U' B L' B D'
L F' U' B L' B D2
L F' U' B D L' B
L F' U' B D B L'
L F' U' B D' L' B
L F' U' B D' B L'
L F' U' B D2 L' B
L F' U' B D2 B L'
L F' U' B' D B' L'
L F' U' B' D' B' L'
L F' U' B' D2 B' L'
L F' U' B2 L2 D L
L F' U' B2 L2 D' L
L F' U' B2 L2 D2 L
L F' U' B2 D L' D
L F' U' B2 D L' D'
L F' U' B2 D L' D2
L F' U' B2 D' L' D
L F' U' B2 D' L' D'
L F' U' B2 D' L' D2
L F' U' B2 D2 L' D
L F' U' B2 D2 L' D'
L F' U' B2 D2 L' D2
L F' U2 L U L2 B2
L F' U2 L U B2 L2
L F' U2 L2 U L B2
L F' U2 D L2 U L
L2 F' D' R2 U' L' F
D F' D' L U' L2 B2
D F' D' L U' B2 L2
L F' D U2 L2 U L
L' F' B L2 U' L B
L F' D' R2 U' L' D
L F' D' R2 U' L' D'
L F' D' R2 U' L' D2
L F' D' R2 U' D L'
L F' D' R2 U' D' L'
L F' D' R2 U' D2 L'
L F' D' R2 D U' L'
L F' D' R2 D' U' L'
L F' D' R2 D2 U' L'
L F' D' R2 B U' L'
L F' D' R2 B' U' L'
D F' D2 L R2 U' L2
L F' D' R2 B2 U' L'
L F' D' U' L' D B2
F' D' R2 L U' L2 D
F' D' R2 L U' L2 D'
F' D' R2 L U' L2 D2
D F' D2 R2 L U' L2
F' D' R2 L D' B2 U'
F' D' R2 L B U' L2
F' D' R2 L B' U' L2
F' D' R2 L B2 U' L2
L F' D' B R2 U' L'
L F' D' B' R2 U' L'
L F' D' B2 R2 U' L'
F' D' R2 U' L' D F2
F' D' R2 D L U' L2
F' D' R2 D' L U' L2
F' D' R2 D2 L U' L2
L F' D2 U F2 R U2
L F' D2 U' L' D2 B2
F2 D' R2 F L B' U'
L F' B U' L B L2
L F' B U' L' D B
L F' B U' L' D' B
L F' B U' L' D2 B
L F' B U' L' B D
L F' B U' L' B D'
L F' B U' L' B D2
L F' B U' D L' B
L F' B U' D B L'
L F' B U' D' L' B
L F' B U' D' B L'
L F' B U' D2 L' B
L F' B U' D2 B L'
L F' B U' B L' D
L F' B U' B L' D'
L F' B U' B L' D2
L F' B U' B D L'
L F' B U' B D' L'
L F' B U' B D2 L'
L F' B U' B' L' B2
L F' B D U' L' B
L F' B D U' B L'
F' D' U' L' D F2 B2
F' D' U' L' D B2 F2
L F' B D' U' L' B
L F' B D' U' B L'
L F' B D2 U' L' B
L F' B D2 U' B L'
L F' B' R U' B' L'
L F' B' R' U' B' L'
L F' B' R2 U' B' L'
L F' B' U' D B' L'
L F' B' U' D' B' L'
L F' B' U' D2 B' L'
L F' B' U' B L' B2
L F' B' U' B' L' D
L F' B' U' B' L' D'
L F' B' U' B' L' D2
L F' B' U' B' D L'
L F' B' U' B' D' L'
L F' B' U' B' D2 L'
L F' B' U' B2 L' B
L F' B' D U' B' L'
L F' B' D' U' B' L'
L F' B' D2 U' B' L'
F2 D' F L R2 B' U'
F2 D' F L B' R2 U'
F2 D' F R2 L B' U'
D' F2 R2 F L U' L2
L F2 R F U' L' B2
L F2 R F U' B2 L'
L F2 R' F U' L' B2
L F2 R' F U' B2 L'
D2 F2 U' F L U' L2
L F2 R2 F U' L' B2
L F2 R2 F U' B2 L'
F' D2 L U F2 U2 L2
F' D2 L U' L2 D2 B2
L2 B L' F' U' L' B
L2 B L' F' U' B L'
L' B L2 F' U' L' B
L' B L2 F' U' B L'
L B D F' U' L' B
L B D F' U' B L'
L B D' F' U' L' B
L B D' F' U' B L'
L' B F' L2 U' L B
L B D2 F' U' L' B
L B D2 F' U' B L'
F' B U' D L' F B
F' B U' D L' B F
F' B U' D B L' F
L B F' U' L B L2
L B F' U' L' D B
L B F' U' L' D' B
L B F' U' L' D2 B
L B F' U' L' B D
L B F' U' L' B D'
L B F' U' L' B D2
L B F' U' D L' B
L B F' U' D B L'
L B F' U' D' L' B
L B F' U' D' B L'
L B F' U' D2 L' B
L B F' U' D2 B L'
L B F' U' B L' D
L B F' U' B L' D'
L B F' U' B L' D2
L B F' U' B D L'
L B F' U' B D' L'
L B F' U' B D2 L'
L B F' U' B' L' B2
L B F' D U' L' B
L B F' D U' B L'
L B F' D' U' L' B
L B F' D' U' B L'
L B F' D2 U' L' B
L B F' D2 U' B L'
F' B D U' L' F B
F' B D U' L' B F
F' B D U' B L' F
B2 F' L' U' R' U R
L B' D F' U' B' L'
B' F' U' B' L F L2
B2 F' U' R' U L' R
B2 F' U' R' U R L'
L B' D' F' U' B' L'
F' B' U' B' L F L2
B F' U' D L' F B
B F' U' D L' B F
L B' D2 F' U' B' L'
B F' U' D B L' F
L B' F' R U' B' L'
L B' F' R' U' B' L'
L B' F' R2 U' B' L'
L B' F' U' D B' L'
L B' F' U' D' B' L'
L B' F' U' D2 B' L'
L B' F' U' B L' B2
L B' F' U' B' L' D
L B' F' U' B' L' D'
L B' F' U' B' L' D2
L B' F' U' B' D L'
L B' F' U' B' D' L'
L B' F' U' B' D2 L'
L B' F' U' B2 L' B
L B' F' D U' B' L'
L B' F' D' U' B' L'
L B' F' D2 U' B' L'
B F' D U' L' F B
B F' D U' L' B F
B F' D U' B L' F
F' B2 L' U' R' U R
L2 B2 U L' F' B' U'
L2 B2 U L' B' F' U'
R' B2 U' R' F' B U
R' B2 U' R' B F' U
R2 B2 U' R' F' B' U
R2 B2 U' R' B' F' U
F' B2 U' R' U L' R
F' B2 U' R' U R L'
L' B2 F D F2 L' R2
L' B2 F D F2 R2 L'
