U L R2 F' U L'
U2 L R2 F U R2
U2 L F R2 U R2
U L F' R2 U L'
R' U L F' R' U
R' U F' L R' U
R' U F' R' L U
U2 R2 L F U R2
U R2 L F' U L'
U R2 F' L U L2
U F' L R2 U L2
U F' R2 L U L2
D' L R' F' U F' R
U L R' F' R' U L'
U2 L R2 D F B2 U
U2 L R2 D B2 F U
U L R2 U2 B U' L
U L R2 D F' U L'
U2 L R2 F U R2 D
U2 L R2 F U R2 D'
U2 L R2 F U R2 D2
U2 L R2 F D B2 U
U2 L R2 F B U R2
U2 L R2 F B' U R2
U2 L R2 F B2 U R2
U L R2 D' F' U L'
U L R2 D2 F' U L'
U L R2 F U' R U2
U2 L R2 B F U R2
U L R2 F' U L' D
U L R2 F' U L' D'
U L R2 F' U L' D2
U L R2 F' U D L'
U L R2 F' U D' L'
U L R2 F' U D2 L'
U L R2 F' D U L'
U L R2 F' D' U L'
U L R2 F' D2 U L'
U2 L R2 B' F U R2
U2 L R2 B2 F U R2
D' L U F' L' F' R
U2 L U' F R2 U B
U L D' F' U L' F'
R' L F' D R' B U
R' L F2 R' F U R2
U2 L F R2 U R2 D
U2 L F R2 U R2 D'
U2 L F R2 U R2 D2
U2 L F R2 D B2 U
U2 L F R2 B U R2
U2 L F R2 B' U R2
U2 L F R2 B2 U R2
U' L F R2 B U L
U L F R2 U' R' U2
U L F U D' F2 L'
U2 L F B R2 U R2
U2 L F B' R2 U R2
U L F D' U F2 L'
U2 L F B2 R2 U R2
D' L F' U F' L' R
D' L F' U F' R L'
U2 L F' R2 F2 U R2
U L F' R2 U L' D
U L F' R2 U L' D'
U L F' R2 U L' D2
U L F' R2 U D L'
U L F' R2 U D' L'
U L F' R2 U D2 L'
U L F' R2 D U L'
U L F' R2 D' U L'
U L F' R2 D2 U L'
U L F' U L' D' F2
U L F' U D' L' F2
U L F' D' U L' F2
U L F2 R2 F U L'
U2 L B R2 F U R2
U2 L B F R2 U R2
U2 L B' R2 F U R2
U2 L B' F R2 U R2
U2 L B2 R2 F U R2
U2 L B2 F R2 U R2
U L' R2 F' L2 U L
U2 L' U' L2 R2 F U
U2 L' U' L2 F R2 U
U2 L' U' R2 L2 F U
L R' F' D R' B U
L R' F2 R' F U R2
U L' F' L2 R2 U L
U L' F' R2 L2 U L
L2 R2 D2 L' F U R2
R2 L2 D2 L' F U R2
U2 L2 U' L' R2 F U
U2 L2 U' L' F R2 U
U2 L2 U' R2 L' F U
D2 L2 D F2 R B U'
R' U L D F' R' U
R' U L D' F' R' U
R2 U L R F' U F
R' U L D2 F' R' U
R' U L F R' F2 U
R' U L F' R' U D
R' U L F' R' U D'
R' U L F' R' U D2
R' U L F' R' D U
R' U L F' R' D' U
R' U L F' R' D2 U
R' U L F' D R' U
R' U L F' D' R' U
R' U L F' D2 R' U
R' U L F2 R' F U
R U L R2 F' R' U
R' U L' F' L2 R' U
R' U L' F' R' L2 U
R2 U R L F' U F
R U R2 L F' R' U
R' U D L F' R' U
R U R2 F' L R' U
R U R2 F' R' L U
R' U D F' L R' U
R' U D F' R' L U
R' U D' L F' R' U
R' U D' F' L R' U
R' U D' F' R' L U
R' U D2 L F' R' U
L U D' F' L' F' R
R' U D2 F' L R' U
R' U D2 F' R' L U
R' U F L R' F2 U
R' U F L F2 R' U
R' U F R' L F2 U
R' U F R' F2 L U
R' U F' L R' U D
R' U F' L R' U D'
R' U F' L R' U D2
R' U F' L R' D U
R' U F' L R' D' U
R' U F' L R' D2 U
R' U F' L D R' U
R' U F' L D' R' U
R' U F' L D2 R' U
R' U F' R' L U D
R' U F' R' L U D'
R' U F' R' L U D2
R' U F' R' L D U
R' U F' R' L D' U
R' U F' R' L D2 U
R' U F' R' D L U
R' U F' R' D' L U
R' U F' R' D2 L U
R' U F' D L R' U
R' U F' D R' L U
R' U F' D' L R' U
R' U F' D' R' L U
R' U F' D2 L R' U
R' U F' D2 R' L U
R' U F2 R' F L U
D R B2 U' R' B' U'
D' R' L F' U F' R
U R' L F' R' U L'
D' R' U L F' U F'
F' R' U L F' R' U
F2 R' U L F' R' U
D' R' U F' L U F'
F' R' U F' L R' U
F' R' U F' R' L U
F R' U L F' R' U
F2 R' U F' L R' U
F2 R' U F' R' L U
F R' U F' L R' U
F R' U F' R' L U
B2 R' U2 F' R' U R
R' U2 L F' R' U R
U R' F' L R' U L2
U R' F' R' L U L2
U2 R2 L D F B2 U
U2 R2 L D B2 F U
U2 R2 L F U R2 D
U2 R2 L F U R2 D'
U2 R2 L F U R2 D2
U2 R2 L F D B2 U
U2 R2 L F B U R2
U2 R2 L F B' U R2
U2 R2 L F B2 U R2
U2 R2 L B F U R2
U2 R2 L B' F U R2
U2 R2 L B2 F U R2
U R2 L U2 B U' L
U R2 L D F' U L'
U R2 L D' F' U L'
U R2 L D2 F' U L'
U R2 L F U' R U2
U R2 L F' U L' D
U R2 L F' U L' D'
U R2 L F' U L' D2
U R2 L F' U D L'
U R2 L F' U D' L'
U R2 L F' U D2 L'
U R2 L F' D U L'
U R2 L F' D' U L'
U R2 L F' D2 U L'
R' U2 F' L R' U R
R' U2 F' R' L U R
U R2 L' F' L2 U L
U2 R2 D L F B2 U
U2 R2 D L B2 F U
U R2 D L F' U L'
R2 U2 B2 R' B U' R
U R2 D F' L U L2
U R2 D' L F' U L'
U R2 D' F' L U L2
U R2 D2 L F' U L'
U2 R2 F L F U R2
U R2 D2 F' L U L2
U R2 F L U' R U2
U R2 F L F2 U L'
U2 R2 F' L F U R2
U R2 F' L U L2 D
U R2 F' L U L2 D'
U R2 F' L U L2 D2
U R2 F' L D F2 U
U R2 F' L F U L2
U R2 F' L F' U L2
U R2 F' L F2 U L2
U2 R2 F2 L F U R2
U R2 F' U L' D' B2
U R2 F' D L U L2
U R2 F' D' L U L2
U R2 F' D2 L U L2
U R2 F2 L F U L'
R' D U L F' R' U
R' D U F' L R' U
R' D U F' R' L U
F' U L R2 F' U L'
D R2 B2 U' R' B U'
F2 U L R2 F' U L'
D' U L F' U L' F'
F' U L F' R2 U L'
F2 U L F' R2 U L'
F U L R2 F' U L'
F U L F' R2 U L'
F' U R2 L F' U L'
F2 U R2 L F' U L'
F' U R2 F' L U L2
B2 U R2 F' U L' B'
F2 U R2 F' L U L2
F U R2 L F' U L'
F U R2 F' L U L2
D' U F' L U L2 F'
D' U F' L U F' L2
F' U F' L R2 U L2
F2 U F' L R2 U L2
F' U F' R2 L U L2
F2 U F' R2 L U L2
F U F' L R2 U L2
F U F' R2 L U L2
R' D' U L F' R' U
L D' R' F' U F' R
R' D' U F' L R' U
R' D' U F' R' L U
U D' L F' U L' F'
L D' U F' L' F' R
L D' F' U F' L' R
L D' F' U F' R L'
B2 U' R' B U' L F
U D' F' L U L2 F'
U D' F' L U F' L2
R' D2 U L F' R' U
R' D2 U F' L R' U
R' D2 U F' R' L U
F' U2 L R2 F U R2
