B' L R D F' R U'
L2 R' F B R' U B2
L2 R' B R' F U B2
L2 R' B F R' U B2
R' L2 F B R' U B2
R' L2 B R' F U B2
R' L2 B F R' U B2
B' R L D F' R U'
F R U' F' B' L U'
F R U' B' L F' U'
F R U' B' F' L U'
B' R F' L U F2 U2
B' R F' L U' D2 B2
B' R F' L D R2 U'
B' R F' L D2 U' B2
B' R F' D L R2 U'
B' R F' D R2 L U'
B' R F' D2 L U' B2
B R' D B U L2 B'
F R2 U' B' L U' R'
L2 F R' B R' U B2
D2 F U' B' L' F U'
R2 F U' B' L U' R'
R F U' F2 B' L U'
R F U' B' L F2 U'
R F U' B' F2 L U'
L2 F B R' B U B
R F' B' L U F2 U2
R F' B' L U' D2 B2
R F' B' L D R2 U'
R F' B' L D2 U' B2
R F' B' D L R2 U'
R F' B' D R2 L U'
R F' B' D2 L U' B2
R' B R' U D L2 B'
R' B R' D U L2 B'
L2 B R' F B U B
L2 B R' B F U B
R' B D R' U L2 B'
L2 B F R' B U B
D2 B' L' F L' U' B'
R B' L D F' R U'
D B' U F L B' U2
R B' F' L U F2 U2
R B' F' L U' D2 B2
R B' F' L D R2 U'
R B' F' L D2 U' B2
R B' F' D L R2 U'
R B' F' D R2 L U'
R B' F' D2 L U' B2
