R' U L' F' B U
R' U L' B F' U
R' U B L' F' U
R' L U L2 F' B U
R' L U L2 B F' U
R' L U F' L2 B U
R' L U F' B L2 U
R' L U B L2 F' U
R' L U B F' L2 U
L' R U2 F' B U' F
L' R U2 B F' U' F
R' L F' B L2 U F
R' L B L2 F' U F2
R' L B F' L2 U F
L2 R' U L F' B U
L2 R' U L B F' U
L R' U L2 F' B U
L R' U L2 B F' U
L' R' U F' B U B'
R' L' U F' B U B'
L' R' U B F' U B'
R' L' U B F' U B'
L R' U F' L2 B U
L2 R' U F' L B U
L R' U F' B L2 U
L R' U B L2 F' U
L R' U B F' L2 U
R L' U2 F' B U' F
R L' U2 B F' U' F
D2 L' U2 F U' F' L'
R' L' F' B U' B' U2
L' R' F' B U' B' U2
L R' F' B L2 U F
L R' B L2 F' U F2
R' L' B F' U' B' U2
L' R' B F' U' B' U2
L R' B F' L2 U F
U L' D' F' U L' R
U L' D' F' U R L'
R' L2 U L F' B U
R' L2 U L B F' U
R' L2 U F' L B U
R' U L F' L2 B U
R' U L F' B L2 U
R' U L B L2 F' U
R' U L B F' L2 U
R' U L' D F' B U
R' U L' D B F' U
R' U L' D' F' B U
R' U L' D' B F' U
R' U L' D2 F' B U
R' U L' D2 B F' U
R' U L' F' D B U
R' U L' F' D' B U
R' U L' F' D2 B U
R' U L' F' B U D
R' U L' F' B U D'
R' U L' F' B U D2
R' U L' F' B D U
R' U L' F' B D' U
R' U L' F' B D2 U
R' U L' B D F' U
R' U L' B D' F' U
R' U L' B D2 F' U
R' U L' B F' U D
R' U L' B F' U D'
R' U L' B F' U D2
R' U L' B F' D U
R' U L' B F' D' U
R' U L' B F' D2 U
R U L' U2 F' B U'
R U L' U2 B F' U'
R' U L2 F' L B U
R' U D L' F' B U
R' U D L' B F' U
R' U D B L' F' U
R' U D' L' F' B U
R' U D' L' B F' U
R' U D' B L' F' U
R' U D2 L' F' B U
R' U D2 L' B F' U
R' U D2 B L' F' U
R2 U D2 L' F U R
R' U B L F' L2 U
R' U B L' D F' U
R' U B L' D' F' U
R' U B L' D2 F' U
R' U B L' F' U D
R' U B L' F' U D'
R' U B L' F' U D2
R' U B L' F' D U
R' U B L' F' D' U
R' U B L' F' D2 U
R' U B L2 F' L U
F' R U' F' B R U'
F' R U' B F' R U'
F2 R U' F' B U' B'
R' U B D L' F' U
R' U B D' L' F' U
F2 R U' B F' U' B'
R' U B D2 L' F' U
R' U B' L' F' B2 U
R' U B' L' B2 F' U
F2 R F' B L2 U' F
F2 R F' B U B' U2
F2 R B L2 F' U' F2
F2 R B F' L2 U' F
F2 R B F' U B' U2
D' R' U L' F' U R
R U' F' D2 B R' U'
F2 R' U' R2 F' B U'
F2 R' U' R2 B F' U'
R U' F2 B R F U'
R U' B F2 R F U'
R' U2 L' F' B U F
R' U2 L' B F' U F
R' U2 B L' F' U F
R' D U L' F' B U
R' D U L' B F' U
R' D U B L' F' U
D' U L' F' U L' R
D' U L' F' U R L'
R' D' U L' F' B U
R' D' U L' B F' U
R' D' U B L' F' U
U D' L' F' U L' R
U D' L' F' U R L'
F2 U' R F' B U' L
F2 U' R B F' U' L
F2 U' B R F' U' L
R' D2 U L' F' B U
R' D2 U L' B F' U
R' D2 U B L' F' U
R2 D2 U L' F U R
U' F2 R F' B U' L
U' F2 R B F' U' L
U2 F2 R F' U' F' L'
R F2 U' B R F U'
U' F2 B R F' U' L
R' B L' D F' R U
R' B L2 F' L U F2
U' B F2 R F' U' L
