R2 L D' F L2 B
R2 L D' F B L2
R2 L D' B F L2
R2 L B D' F L2
R2 L B D' F L2
R2 L' D' L2 F B
R2 L' D' L2 B F
L' R2 D' L2 F B
L' R2 D' L2 B F
L R2 D' F L2 B
L R2 D' F B L2
L R2 D' B F L2
L R2 B D' F L2
R2 D' L F L B
R2 D' B L F L
R2 B L D' F L2
R2 B L' D' L2 F
R2 B D' L F L
R2 L U' F2 U F' B
R2 L U' F2 U B F'
B' L R2 D' F L2 B
B' L R2 D' F B L2
B' L R2 D' B F L2
B2 L R2 D' F L2 B
B2 L R2 D' F B L2
B2 L R2 D' B F L2
B L R2 D' F L2 B
B L R2 D' F B L2
B L R2 D' B F L2
B' L R2 B D' F L2
B2 L R2 B D' F L2
B L R2 B D' F L2
F' L U F' U R2 F2
F' L U F' U F2 R2
R2 L D F D2 L2 B
R2 L D F D2 B L2
R2 L D F B D2 L2
R2 L D B D2 F L2
R2 L D B F D2 L2
L' R D' L2 R F B
L' R D' L2 R B F
L' R D' R L2 F B
L' R D' R L2 B F
R2 L D' L2 B D2 F2
L R D' R F L2 B
L R D' R F B L2
L R D' R B F L2
R L D' R F L2 B
R L D' R F B L2
R L D' R B F L2
R2 L D' F L' B L'
R2 L D' F L2 D B
R2 L D' F L2 D' B
R2 L D' F L2 D2 B
R2 L D' F L2 B D
R2 L D' F L2 B D'
R2 L D' F L2 B D2
R2 L D' F B L2 D
R2 L D' F B L2 D'
R2 L D' F B L2 D2
R2 L D' F B' L2 B2
R2 L D' F' L2 F2 B
R2 L D' F' L2 B F2
R2 L D' F' B L2 F2
R2 L D' F2 L2 F' B
R2 L D' F2 L2 B F'
R2 L D' F2 B L2 F'
R2 L D' B F L2 D
R2 L D' B F L2 D'
R2 L D' B F L2 D2
R2 L D' B F' L2 F2
R2 L D' B F2 L2 F'
R2 L D' B' F L2 B2
F' L U2 F R2 D' L2
R2 L D2 F D L2 B
R2 L D2 F D B L2
D' L D R2 F L B
R2 L F L2 B D L2
R2 L F U' F U B
R2 L F B U' F U
R' L F2 U F' R' B
F' L F R2 D' L2 B
F' L F R2 D' B L2
F' L F R2 B D' L2
R2 L B L2 D' L2 F
R2 L B U' F2 U F'
R2 L B D F D2 L2
R2 L B D' F L2 D
R2 L B D' F L2 D'
R2 L B D' F L2 D2
R2 L B D' F' L2 F2
R2 L B D' F2 L2 F'
R2 L B D2 F D L2
R2 L B F U' F U
F' L F' U F2 R2 B
R2 L B2 D' F B' L2
R2 L B2 D' B' F L2
R2 L' D B D2 L2 F2
R2 L' D B D2 F2 L2
R2 L' D' L' B L' F
R2 L' D' L2 D F B
R2 L' D' L2 D B F
R2 L' D' L2 D' F B
R2 L' D' L2 D' B F
R2 L' D' L2 D2 F B
R2 L' D' L2 D2 B F
R2 L' D' L2 F D B
R2 L' D' L2 F D' B
R2 L' D' L2 F D2 B
R2 L' D' L2 F B D
R2 L' D' L2 F B D'
R2 L' D' L2 F B D2
R2 L' D' L2 B D F
R2 L' D' L2 B D' F
R2 L' D' L2 B D2 F
R2 L' D' L2 B F D
R2 L' D' L2 B F D'
R2 L' D' L2 B F D2
R L' D' L2 R F B
R L' D' L2 R B F
R L' D' R L2 F B
R L' D' R L2 B F
B' L' R2 D' L2 F B
B' L' R2 D' L2 B F
B2 L' R2 D' L2 F B
B2 L' R2 D' L2 B F
R2 L' D' F L2 F B
R2 L' D' F L2 B F
B L' R2 D' L2 F B
B L' R2 D' L2 B F
R2 L' D' F' L2 F B
R2 L' D' F' L2 B F
R2 L' D' F2 L2 F B
R2 L' D' F2 L2 B F
R2 L' D' B L2 D2 F2
L R' F2 U F' R' B
R2 L' B D' L2 D' F2
R2 L' B D2 F2 D L2
L R2 U' F2 U F' B
L R2 U' F2 U B F'
F' L' B' U F' U R2
L' R2 D B D2 L2 F2
L' R2 D B D2 F2 L2
L R2 D F D2 L2 B
L R2 D F D2 B L2
L R2 D F B D2 L2
L' R2 D' L' B L' F
L' R2 D' L2 D F B
L' R2 D' L2 D B F
L' R2 D' L2 D' F B
L' R2 D' L2 D' B F
L' R2 D' L2 D2 F B
L' R2 D' L2 D2 B F
L' R2 D' L2 F D B
L' R2 D' L2 F D' B
L' R2 D' L2 F D2 B
L' R2 D' L2 F B D
L' R2 D' L2 F B D'
L' R2 D' L2 F B D2
L' R2 D' L2 B D F
L' R2 D' L2 B D' F
L' R2 D' L2 B D2 F
L' R2 D' L2 B F D
L' R2 D' L2 B F D'
L' R2 D' L2 B F D2
L R2 D B D2 F L2
L R2 D B F D2 L2
L' R2 D' F L2 F B
L' R2 D' F L2 B F
L R2 D' L2 B D2 F2
L' R2 D' F' L2 F B
L' R2 D' F' L2 B F
L' R2 D' F2 L2 F B
L' R2 D' F2 L2 B F
L' R2 D' B L2 D2 F2
L R2 D' F L' B L'
L R2 D' F L2 D B
L R2 D' F L2 D' B
L R2 D' F L2 D2 B
L R2 D' F L2 B D
L R2 D' F L2 B D'
L R2 D' F L2 B D2
L R2 D' F B L2 D
L R2 D' F B L2 D'
L R2 D' F B L2 D2
L R2 D' F B' L2 B2
L R2 D' F' L2 F2 B
L R2 D' F' L2 B F2
L R2 D' F' B L2 F2
L R2 D' F2 L2 F' B
L R2 D' F2 L2 B F'
L R2 D' F2 B L2 F'
L R2 D' B F L2 D
L R2 D' B F L2 D'
L R2 D' B F L2 D2
L R2 D' B F' L2 F2
L R2 D' B F2 L2 F'
L R2 D' B' F L2 B2
L R2 D2 F D L2 B
L R2 D2 F D B L2
L R2 F L2 B D L2
L R2 F U' F U B
L R2 F B U' F U
L2 R2 B L D' L2 F
R2 L2 B L D' L2 F
L2 R2 B L' D' F L2
R2 L2 B L' D' F L2
L R2 B L2 D' L2 F
L' R2 B D' L2 D' F2
L' R2 B D2 F2 D L2
L R2 B U' F2 U F'
L R2 B D F D2 L2
L R2 B D' F L2 D
L R2 B D' F L2 D'
L R2 B D' F L2 D2
L R2 B D' F' L2 F2
L R2 B D' F2 L2 F'
L R2 B D2 F D L2
L R2 B F U' F U
L R2 B2 D' F B' L2
L R2 B2 D' B' F L2
L' U R2 D' L2 F B
L' U R2 D' L2 B F
L U R2 D' F L2 B
L U R2 D' F B L2
L U R2 D' B F L2
L U R2 B D' F L2
R' U F2 U R' F' B
R' U F2 U R' B F'
L' U' R2 D' L2 F B
L' U' R2 D' L2 B F
L U' R2 D' F L2 B
L U' R2 D' F B L2
L U' R2 D' B F L2
L U' R2 B D' F L2
R' U2 R' D' L2 F' B
R' U2 R' D' L2 B F'
R' U2 R' D' F' L2 B
R' U2 R' D' F' B L2
R' U2 R' D' B L2 F'
R' U2 R' D' B F' L2
U2 R' F2 U R' F B
U2 R' F2 U R' B F
U2 R' F2 U F R' B
R' U2 R' B D' L2 F'
R' U2 R' B D' F' L2
U R' F2 U R' F' B
U R' F2 U R' B F'
L' U2 R2 D' L2 F B
L' U2 R2 D' L2 B F
L U2 R2 D' F L2 B
L U2 R2 D' F B L2
L U2 R2 D' B F L2
L U2 R2 B D' F L2
B' R2 L D' F L2 B
B' R2 L D' F B L2
B' R2 L D' B F L2
B2 R2 L D' F L2 B
B2 R2 L D' F B L2
B2 R2 L D' B F L2
B' R2 L B D' F L2
B2 R2 L B D' F L2
B R2 L D' F L2 B
B R2 L D' F B L2
B R2 L D' B F L2
B' R2 L' D' L2 F B
B' R2 L' D' L2 B F
B R2 L B D' F L2
B2 R2 L' D' L2 F B
B2 R2 L' D' L2 B F
B R2 L' D' L2 F B
B R2 L' D' L2 B F
B' R2 D' L F L B
B2 R2 D' L F L B
B R2 D' L F L B
B' R2 D' B L F L
B2 R2 D' B L F L
B R2 D' B L F L
R2 D L D2 F L2 B
R2 D L D2 F B L2
R2 D L D2 B F L2
R2 D L F D2 L2 B
R2 D L F D2 B L2
R2 D L F B D2 L2
R2 D L B D2 F L2
R2 D L B F D2 L2
R2 D L' D2 L2 F B
R2 D L' D2 L2 B F
R2 D L' B D2 L2 F2
R2 D L' B D2 F2 L2
B' R2 B L D' F L2
B' R2 B L' D' L2 F
B2 R2 B L D' F L2
B2 R2 B L' D' L2 F
B' R2 B D' L F L
B R2 B L D' F L2
B R2 B L' D' L2 F
B2 R2 B D' L F L
B R2 B D' L F L
R D R2 U2 R' F' B
R D R2 U2 R' B F'
R2 D B L D2 F L2
R2 D B L F D2 L2
R2 D B L' D2 L2 F
R2 D B D2 L F L
R2 D' L D F L B
R2 D' L D' F L B
R2 D' L D2 F L B
R2 D' L F L D B
R2 D' L F L D' B
R2 D' L F L D2 B
R2 D' L F L B D
R2 D' L F L B D'
R2 D' L F L B D2
R2 D' L F L' B L2
R2 D' L F L2 B L'
R2 D' L F D L B
R2 D' L F D' L B
R2 D' L F D2 L B
R2 D' L F' L F2 B
R2 D' L F' L B F2
R2 D' L F2 L F' B
R2 D' L F2 L B F'
R D' L R F L B
R2 D' L B D2 F L'
L' D' L2 D R2 F B
L' D' L2 D R2 B F
R2 D' L' B L' D2 F2
R2 D' L' B D2 L' F2
F' U F' R' U R' F'
F' U F' U R' F' R'
F' U F' B' R' U R'
R2 D' L2 B L' F L
R D' L2 D2 R F' B
R D' L2 D2 R B F'
R D' R L F L B
R D' R B L F L
F' U B' F' R' U R'
R2 D' F L F L B
R2 D' F B L F L
R2 D' F' L F L B
L' D' F2 U' L2 F B'
L' D' F2 U' L2 B' F
R2 D' F' B L F L
R2 D' F2 L F L B
R2 D' F2 B L F L
R2 D' B L D F L
R2 D' B L D' F L
R2 D' B L D2 F L
R2 D' B L F L D
R2 D' B L F L D'
R2 D' B L F L D2
R2 D' B L F D L
R2 D' B L F D' L
R2 D' B L F D2 L
R2 D' B L F' L F2
R2 D' B L F2 L F'
L D' F2 U' L2 F' B'
L D' F2 U' L2 B' F'
R2 D' B F L F L
R2 D' B F' L F L
R2 D' B F2 L F L
R2 D' B' L F L B2
R2 D2 L D F L2 B
R2 D2 L D F B L2
R2 D2 L D B F L2
R2 D2 L F D L2 B
R2 D2 L F D B L2
R2 D2 L' D L2 F B
R2 D2 L' D L2 B F
F2 U' F U R U R
R2 D2 B U B L U'
R2 F L D F L' B
R2 F L D F B L'
R2 F L D B F L'
R2 F L B D F L'
R2 F B L D F L'
R2 F B U' F R U
R2 F' L F D' L2 B
R2 F' L F D' B L2
R2 F' L F B D' L2
R2 F' L B F D' L2
D' F' U' F' L' U' L'
L F' U F' U F' R2
R2 F' B L F D' L2
L' F' B' U F' U R2
R' F2 L U R' F B
R' F2 L U R' B F
R' F2 L U F R' B
D' F2 L U' F L B'
L' F2 L2 U R2 F B'
L' F2 L2 U R2 B' F
L' F2 L2 U F R2 B'
L' F2 L2 U F B' R2
L' F2 L2 U B' R2 F
L' F2 L2 U B' F R2
L F2 L2 U F' R2 B'
L F2 L2 U F' B' R2
L F2 L2 U B' F' R2
L' F2 U' F B' U2 R2
L' F2 U' B' F U2 R2
L F2 U F' R2 D2 B2
L F2 U F2 R2 F B
L F2 U F2 R2 B F
L F2 U' F U2 R2 F2
L F2 U' F U2 F2 R2
R2 B L U' F2 U F'
R2 B L D F D2 L2
R2 B L D' F L2 D
R2 B L D' F L2 D'
R2 B L D' F L2 D2
R2 B L D' F' L2 F2
R2 B L D' F2 L2 F'
R2 B L D2 F D L2
R2 B L F U' F U
R2 B L' D' L2 D F
R2 B L' D' L2 D' F
R2 B L' D' L2 D2 F
R2 B L' D' L2 F D
R2 B L' D' L2 F D'
R2 B L' D' L2 F D2
R2 B L' D' F L2 F
R2 B L' D' F' L2 F
R2 B L' D' F2 L2 F
L B R2 D' F L2 B
L B R2 D' F B L2
L B R2 D' B F L2
L B R2 B D' F L2
R2 B U' F R F U
R2 B D L D2 F L2
R2 B D L F D2 L2
R2 B D L' D2 L2 F
R2 B D' L D F L
R2 B D' L D' F L
R2 B D' L D2 F L
R2 B D' L F L D
R2 B D' L F L D'
R2 B D' L F L D2
R2 B D' L F D L
R2 B D' L F D' L
R2 B D' L F D2 L
R2 B D' L F' L F2
R2 B D' L F2 L F'
R2 B D' F L F L
R2 B D' F' L F L
R2 B D' F2 L F L
R2 B D2 L D F L2
R2 B D2 L F D L2
R2 B D2 L' D L2 F
R2 B F L D F L'
R2 B F U' F R U
R2 B F' L F D' L2
R2 B' L B2 D' F L2
L' B' R2 D' B L2 F
L' B' R2 B D' L2 F
U B' R' F2 U R' B
L B' R2 D' F L2 B
L B' R2 D' F B L2
L B' R2 D' B F L2
L B' R2 B D' F L2
L' B' U2 R2 D' L2 B
L' B' U2 R2 D' B L2
L' B' U2 R2 B D' L2
L' B' F' U F' U R2
L' B2 R2 D' L2 F' B
L' B2 R2 D' L2 B F'
L' B2 R2 D' F' L2 B
L' B2 R2 D' F' B L2
L' B2 R2 D' B L2 F'
L' B2 R2 D' B F' L2
L' B2 R2 B D' L2 F'
L' B2 R2 B D' F' L2
L B2 R2 D' F L2 B
L B2 R2 D' F B L2
L B2 R2 D' B F L2
L B2 R2 B D' F L2
R2 B2 D' B' L F L
