B L' R2 F L' U
B L' F L' R2 U
B L' F R2 L' U
F L' F B R2 U
F L' B R2 F U
F L' B F R2 U
B R2 L' F L' U
B R2 F L' F U
L' F L' B R2 U
L' F B L' R2 U
L' F B R2 L' U
L' B R2 F L' U
L' B F L' R2 U
L' B F R2 L' U
B F L' R2 F U
F B L' R2 F U
B F L' F R2 U
F B L' F R2 U
B F R2 L' F U
F B R2 L' F U
R2 L U2 F' R B' U'
R2 L U2 F' B' R U'
R2 L U2 B' F' R U'
D' L F2 B' L D' R2
D' L F2 B' D' L R2
D' L F2 B' D' R2 L
D' L B U F2 B2 L
D' L B U B2 L F2
D' L B U B2 F2 L
D' L B' L F2 D' R2
D' L B' F2 L D' R2
D' L B' F2 D' L R2
D' L B' F2 D' R2 L
B L' R' F L' R' U
B L' R' F R' L' U
B' L' R2 F L' B2 U
B' L' R2 F B2 L' U
F L' R2 F U D R2
F L' R2 F U2 F2 U'
F L' R2 F D U R2
F L' R2 F D2 B2 U
B L' R2 F L' U D
B L' R2 F L' U D'
B L' R2 F L' U D2
B L' R2 F L' D U
B L' R2 F L' D' U
B L' R2 F L' D2 U
B L' R2 F D L' U
B L' R2 F D' L' U
B L' R2 F D2 L' U
B' L' R2 B2 F L' U
R2 L' F L' U D R2
R2 L' F L' U2 F2 U'
R2 L' F L' D U R2
R2 L' F L' D2 B2 U
R2 L' F U2 F2 R U'
R2 L' F D L' U R2
R2 L' F D2 L' B2 U
R2 L' F D2 B2 L' U
F L' D' F B U F
F L' D' B F U F
B' L' F L' R2 B2 U
U' L' F L' B R2 U
B' L' F L' B2 R2 U
U2 L' F L' B R2 U
B L' F L' R2 U D
B L' F L' R2 U D'
B L' F L' R2 U D2
B L' F L' R2 D U
B L' F L' R2 D' U
B L' F L' R2 D2 U
B L' F L' U D' F2
B' L' F R2 L' B2 U
B L' F L' D' U F2
B' L' F R2 B2 L' U
U L' F L' B R2 U
B L' F R2 L' U D
B L' F R2 L' U D'
B L' F R2 L' U D2
B L' F R2 L' D U
B L' F R2 L' D' U
B L' F R2 L' D2 U
B L' F R2 D L' U
B L' F R2 D' L' U
B L' F R2 D2 L' U
F L' F R2 U2 F' U'
U' L' F B L' R2 U
U' L' F B R2 L' U
U2 L' F B L' R2 U
B L' F D' L' U F2
B' L' F B2 L' R2 U
U2 L' F B R2 L' U
B' L' F B2 R2 L' U
F L' F D' B U F2
F L' F B R2 U D
F L' F B R2 U D'
F L' F B R2 U D2
F L' F B R2 D U
F L' F B R2 D' U
F L' F B R2 D2 U
F L' F B U D' F2
F L' F B D' U F2
F L' F B' R2 B2 U
U L' F B L' R2 U
U L' F B R2 L' U
F L' F B2 R2 B' U
F L' F' B R2 F2 U
U' L' B R2 F L' U
U2 L' B R2 F L' U
F L' B R' F R' U
F L' B R2 D F U
F L' B R2 D' F U
F L' B R2 D2 F U
F L' B R2 F U D
F L' B R2 F U D'
F L' B R2 F U D2
F L' B R2 F D U
F L' B R2 F D' U
F L' B R2 F D2 U
L2 R2 U2 F' R B U'
R2 L2 U2 F' R B U'
U L' B R2 F L' U
U' L' B F L' R2 U
L R2 U2 F' R B' U'
U' L' B F R2 L' U
L R2 U2 F' B' R U'
U2 L' B F L' R2 U
U2 L' B F R2 L' U
F L' B D' F U F
L R2 U2 B' F' R U'
F L' B F R2 U D
F L' B F R2 U D'
F L' B F R2 U D2
F L' B F R2 D U
F L' B F R2 D' U
F L' B F R2 D2 U
F L' B F U D' F2
F L' B F D' U F2
F L' B F' R2 F2 U
U L' B F L' R2 U
U L' B F R2 L' U
F L' B' R2 F B2 U
F L' B' R2 B2 F U
F L' B' F R2 B2 U
B' L' B2 R2 F L' U
F L' B2 R2 F B' U
F L' B2 R2 B' F U
B' L' B2 F L' R2 U
B' L' B2 F R2 L' U
F L' B2 F R2 B' U
L' R2 F L' U D R2
L' R2 F L' U2 F2 U'
L' R2 F L' D U R2
L' R2 F L' D2 B2 U
D2 L2 R' B R' F' U'
L' R2 F U2 F2 R U'
L' R2 F D L' U R2
L' R2 F D2 L' B2 U
L' R2 F D2 B2 L' U
L' U F L' B R2 U
L' U F B L' R2 U
L' U F B R2 L' U
L' U B R2 F L' U
L' U B F L' R2 U
L' U B F R2 L' U
L' U' F L' B R2 U
L' U' F B L' R2 U
L' U' F B R2 L' U
B R' L' F L' R' U
B R' L' F R' L' U
D2 R' L2 B R' F' U'
L' U' B R2 F L' U
L' U' B F L' R2 U
L' U' B F R2 L' U
B R' F L' R' F U
B R' F L' F R' U
B R' F R' L' F U
D2 R' B L2 R' F' U'
D2 R' B R' L2 F' U'
D2 R' B R' F' L2 U'
L' U2 F L' B R2 U
B' R2 L' F L' B2 U
B' R2 L' F B2 L' U
B' R2 L' B2 F L' U
L' U2 F B L' R2 U
L' U2 F B R2 L' U
B R2 L' F L' U D
B R2 L' F L' U D'
B R2 L' F L' U D2
B R2 L' F L' D U
B R2 L' F L' D' U
B R2 L' F L' D2 U
B R2 L' F D L' U
B R2 L' F D' L' U
B R2 L' F D2 L' U
F R2 L' F U D R2
F R2 L' F U2 F2 U'
F R2 L' F D U R2
F R2 L' F D2 B2 U
B R2 U D' L B' L
B R2 U D' B' L B'
L' U2 B R2 F L' U
L' U2 B F L' R2 U
L' U2 B F R2 L' U
B R2 D' L U B' L
B2 R2 D' B' U L B'
B R2 D' U L B' L
B R2 D' U B' L B'
B' R2 F L' F B2 U
B' R2 F L' B2 F U
B R2 F L' D F U
B R2 F L' D' F U
B R2 F L' D2 F U
B R2 F L' F U D
B R2 F L' F U D'
B R2 F L' F U D2
B R2 F L' F D U
B R2 F L' F D' U
B R2 F L' F D2 U
B' R2 F B2 L' F U
B2 R2 F B' L' F U
B2 R2 B' L' F L' U
B2 R2 B' F L' F U
B' R2 B2 L' F L' U
B' R2 B2 F L' F U
F U L' F B R2 U
F U L' B R2 F U
F U L' B F R2 U
B U D' L F2 B' L
B U D' L B' L F2
B U D' L B' F2 L
B U D' F2 L B' L
B U D' F2 B' L B'
B U D' B' L F2 B'
B U D' B' L B' F2
B U D' B' F2 L B'
F U B L' R2 F U
F U B L' F R2 U
F U B R2 L' F U
F U' L' F B R2 U
F U' L' B R2 F U
F U' L' B F R2 U
F U' B L' R2 F U
F U' B L' F R2 U
F U' B R2 L' F U
F U2 L' F B R2 U
F U2 L' B R2 F U
F U2 L' B F R2 U
L' F L B L2 R2 U
L' F L B R2 L2 U
L' F L' R2 U2 F' U'
U' F L' F B R2 U
U' F L' B R2 F U
L' F L' D' B U F2
U' F L' B F R2 U
L' F L' B R2 U D
L' F L' B R2 U D'
L' F L' B R2 U D2
L' F L' B R2 D U
L' F L' B R2 D' U
L' F L' B R2 D2 U
L' F L' B U D' F2
L' F L' B D' U F2
L' F L' B' R2 B2 U
L' F L' B2 R2 B' U
U2 F L' F B R2 U
R2 F L' D F U R2
U2 F L' B R2 F U
U2 F L' B F R2 U
R2 F L' D2 F B2 U
R2 F L' D2 B2 F U
R2 F L' F U2 F U'
U F L' F B R2 U
U F L' B R2 F U
U F L' B F R2 U
L' F R2 L' U2 F' U'
F U2 B L' R2 F U
F U2 B L' F R2 U
F U2 B R2 L' F U
L' F D' L' B U F2
L' F D' B L' U F2
U' F B L' R2 F U
U' F B L' F R2 U
U' F B R2 L' F U
L' F B L' R2 U D
L' F B L' R2 U D'
L' F B L' R2 U D2
L' F B L' R2 D U
L' F B L' R2 D' U
L' F B L' R2 D2 U
L' F B L' U D' F2
L' F B L' D' U F2
L' F B R2 L' U D
L' F B R2 L' U D'
L' F B R2 L' U D2
L' F B R2 L' D U
L' F B R2 L' D' U
L' F B R2 L' D2 U
L' F B R2 D L' U
L' F B R2 D' L' U
L' F B R2 D2 L' U
U2 F B L' R2 F U
U2 F B L' F R2 U
L' F B D' L' U F2
U2 F B R2 L' F U
L' F B' L' R2 B2 U
L' F B' L' B2 R2 U
L' F B' R2 L' B2 U
L' F B' R2 B2 L' U
U F B L' R2 F U
U F B L' F R2 U
U F B R2 L' F U
L' F B2 R2 B' L' U
R2 F' R B2 L B' U'
B' D' L R2 F2 B' L
B' D' L R2 B' L F2
B' D' L R2 B' F2 L
B' D' L F2 R2 B' L
B' D' L F2 B' L R2
B' D' L F2 B' R2 L
B' D' L B' L R2 F2
B' D' L B' L F2 R2
B' D' L B' R2 L F2
B' D' L B' R2 F2 L
B' D' L B' F2 L R2
B' D' L B' F2 R2 L
B D' L U F2 B' L
B D' L U B' L F2
B D' L U B' F2 L
B' D' R2 L F2 B' L
B' D' R2 L B' L F2
B' D' R2 L B' F2 L
B' D' R2 F2 L B' L
B' D' R2 F2 B' L B'
B' D' R2 B' L F2 B'
B' D' R2 B' L B' F2
B' D' R2 B' F2 L B'
B D' U L F2 B' L
B D' U L B' L F2
B D' U L B' F2 L
D' F2 L B' L D' R2
D' F2 L B' D' L R2
D' F2 L B' D' R2 L
B D' U F2 L B' L
B D' U F2 B' L B'
B D' U B' L F2 B'
B D' U B' L B' F2
B D' U B' F2 L B'
B' D' F2 L R2 B' L
B' D' F2 L B' L R2
B' D' F2 L B' R2 L
B' D' F2 R2 L B' L
B' D' F2 R2 B' L B'
B' D' F2 B' L R2 B'
B' D' F2 B' L B' R2
B' D' F2 B' R2 L B'
B' D' B' L R2 F2 B'
B' D' B' L R2 B' F2
B' D' B' L F2 R2 B'
B' D' B' L F2 B' R2
B' D' B' L B' R2 F2
B' D' B' L B' F2 R2
B' D' B' R2 L F2 B'
B' D' B' R2 L B' F2
B' D' B' R2 F2 L B'
B' D' B' F2 L R2 B'
B' D' B' F2 L B' R2
B2 D' B' U L F2 B'
B2 D' B' U L B' F2
B' D' B' F2 R2 L B'
B2 D' B' U F2 L B'
D' F2 B' L D' R2 B'
D' F2 B' L D' B' R2
U' B L' R2 F L' U
L2 B L R2 F L' U
U' B L' F L' R2 U
U' B L' F R2 L' U
L2 B L F L' R2 U
L2 B L F R2 L' U
U2 B L' R2 F L' U
U2 B L' F L' R2 U
U2 B L' F R2 L' U
U B L' R2 F L' U
U B L' F L' R2 U
U B L' F R2 L' U
L' B R' F L' R' U
L' B R' F R' L' U
D2 B R' B L2 F U'
U' B R2 L' F L' U
U' B R2 F L' F U
L' B R2 F L' U D
L' B R2 F L' U D'
L' B R2 F L' U D2
L' B R2 F L' D U
L' B R2 F L' D' U
L' B R2 F L' D2 U
L' B R2 F D L' U
L' B R2 F D' L' U
L' B R2 F D2 L' U
L2 B R2 L F L' U
U2 B R2 L' F L' U
U2 B R2 F L' F U
D' B U F2 B2 L B'
D' B U B2 L F2 B'
D' B U B2 L B' F2
D' B U B2 F2 L B'
U B R2 L' F L' U
U B R2 F L' F U
D2 B U2 L2 R' B U'
D2 B U2 R' L2 B U'
D2 B U2 R' B L2 U'
B' F L' R2 F B2 U
B' F L' R2 B2 F U
B' F L' F R2 B2 U
B' F L' F B2 R2 U
B' F L' B2 R2 F U
B' F L' B2 F R2 U
B F L' R' F R' U
B F L' R2 D F U
B F L' R2 D' F U
B F L' R2 D2 F U
B F L' R2 F U D
B F L' R2 F U D'
B F L' R2 F U D2
B F L' R2 F D U
B F L' R2 F D' U
B F L' R2 F D2 U
B F L' D' F U F
F B L' R' F R' U
B F L' F R2 U D
B F L' F R2 U D'
B F L' F R2 U D2
B F L' F R2 D U
B F L' F R2 D' U
B F L' F R2 D2 U
B F L' F U D' F2
B F L' F D' U F2
F B L' R2 D F U
F B L' R2 D' F U
F B L' R2 D2 F U
F B L' R2 F U D
F B L' R2 F U D'
F B L' R2 F U D2
F B L' R2 F D U
F B L' R2 F D' U
F B L' R2 F D2 U
B F L' F' R2 F2 U
F B L' D' F U F
F B L' F R2 U D
F B L' F R2 U D'
F B L' F R2 U D2
F B L' F R2 D U
F B L' F R2 D' U
F B L' F R2 D2 U
F B L' F U D' F2
F B L' F D' U F2
F B L' F' R2 F2 U
U' B F L' R2 F U
U' B F L' F R2 U
U' B F R2 L' F U
L' B F L' R2 U D
L' B F L' R2 U D'
L' B F L' R2 U D2
L' B F L' R2 D U
