U2 B' R' F' U'
F' L' D' B' U L
U L' D' B' L R'
U L' D' B' R' L
F' L2 F L B' U
U2 R' F' B' R' U'
U2 R' F' B' R' U'
U2 R' B' F' R' U'
U2 D B' R' F' U'
U2 D' B' R' F' U'
U2 D' B' R' F' U'
D' U2 B' R' F' U'
U2 D2 B' R' F' U'
D2 U2 B' R' F' U'
D U2 B' R' F' U'
U2 F B' R' F' U'
L' F' B' L' F U
U2 F' B' R' F' U'
U2 F2 B' R' F' U'
U2 B' R' D F' U'
U2 B' R' D' F' U'
U2 B' R' D2 F' U'
U2 B' R' F' U' D
U2 B' R' F' U' D'
U2 B' R' F' U' D2
U2 B' R' F' D U'
U2 B' R' F' D' U'
U2 B' R' F' D2 U'
U2 B' D R' F' U'
L' B' F' L' F U
U2 B' D' R' F' U'
U2 B' D2 R' F' U'
U2 B' F R' F' U'
U2 B' F' R' F' U'
U2 B' F2 R' F' U'
F L U2 R F B U'
F L U2 R B F U'
B' L F R U2 R' U
B L F R B2 L U'
U L' R D' B' L R'
U L' R D' B' R' L
U L' R' D' B' L R'
U L' R' D' B' R' L
U L' R2 D' B' L R'
U L' R2 D' B' R' L
F' L' D F B' U L'
F' L' D B' F U L'
F' L' D' F B' U L
F' L' D' F' B' U L
U L' D' R B' L R'
U L' D' R B' R' L
F' L' D' F2 B' U L
U L' D' R' B' L R'
U L' D' R' B' R' L
U L' D' R2 B' L R'
U L' D' R2 B' R' L
F' L' D' B' U L D
F' L' D' B' U L D'
F' L' D' B' U L D2
F' L' D' B' U D L
F' L' D' B' U D' L
F' L' D' B' U D2 L
F' L' D' B' D U L
F' L' D' B' D' U L
F' L' D' B' D2 U L
F' L' D' B' F U L
F' L' D' B' F' U L
F' L' D' B' F2 U L
F2 L' D' B' U L B'
U L' D' B' L R' D
U L' D' B' L R' D'
U L' D' B' L R' D2
U L' D' B' L D R'
U L' D' B' L D' R'
U L' D' B' L D2 R'
U L' D' B' R' L D
U L' D' B' R' L D'
U L' D' B' R' L D2
U L' D' B' R' D L
U L' D' B' R' D' L
U L' D' B' R' D2 L
U L' D' B' D L R'
U L' D' B' D R' L
U L' D' B' D' L R'
U L' D' B' D' R' L
U L' D' B' D2 L R'
U L' D' B' D2 R' L
F' L' F D' B' U L
F2 L' F B' L' F U
F' L' F' D' B' U L
D' L' F' B' L' F U
D2 L' F' B' L' F U
D L' F' B' L' F U
F' L' F2 D' B' U L
F L' F2 B' L' F U
F' L' B' L' F L U
F2 L' B' L' F L' U
F' L' B' D F U L'
D2 L' B' F' L' F U
D' L' B' F' L' F U
B L' B' U2 B' R' U'
F2 L' B' F L' F U
D L' B' F' L' F U
F L' B' F2 L' F U
F' L2 F L D B' U
F' L2 F L D' B' U
F' L2 F L D2 B' U
F' L2 F L B' U D
F' L2 F L B' U D'
F' L2 F L B' U D2
F' L2 F L B' D U
F' L2 F L B' D' U
F' L2 F L B' D2 U
F2 L2 F L B' L2 U
F2 L2 F L' U2 F U'
F' L2 F' L F2 B' U
F' L2 F' L B' F2 U
F' L2 F2 L F' B' U
F' L2 F2 L B' F' U
U R L' D' B' L R'
U R L' D' B' R' L
U R U B' R' F' U'
U' R B D L2 F R
U2 R B' R' U' D' R2
U2 R B' R' U2 B2 U
U2 R B' R' D' U' R2
U2 R B' R' D2 F2 U'
U2 R B' U2 B2 L U
U2 R B' D' R' U' R'
U2 R B' D2 R' F2 U'
U2 R B' D2 F2 R' U'
B R B2 L F R U'
F R B2 L F B U'
F R B2 L B F U'
U R' L' D' B' L R'
U R' L' D' B' R' L
U R' U B' R' F' U'
B' R' U2 R B L U
U2 R' D F' B' R' U'
U2 R' D B' F' R' U'
U2 R' D' F' B' R' U'
U2 R' D' B' F' R' U'
U2 R' D2 F' B' R' U'
U2 R' D2 B' F' R' U'
U2 R' F B' R' F2 U'
U2 R' F' R B' R' U'
U2 R' F' R' B' R' U'
U2 R' F' R2 B' R' U'
U2 R' F' D B' R' U'
U2 R' F' D' B' R' U'
U2 R' F' D2 B' R' U'
U2 R' F' B' R' U' D
U2 R' F' B' R' U' D'
U2 R' F' B' R' U' D2
U2 R' F' B' R' D U'
U2 R' F' B' R' D' U'
U2 R' F' B' R' D2 U'
U2 R' F' B' D R' U'
U2 R' F' B' D' R' U'
U2 R' F' B' D2 R' U'
U2 R' F2 B' R' F U'
U2 R' B' D F' R' U'
U2 R' B' D' F' R' U'
U2 R' B' D2 F' R' U'
U2 R' B' F R' F2 U'
U2 R' B' F' R' U' D
U2 R' B' F' R' U' D'
U2 R' B' F' R' U' D2
