F2 L' D F R F
F2 L' F R D F2
F2 L' F D R F2
F2 L' F' D F2 R
F' R F' L' D F2
F2 U L F U' L2
L2 F' D R F' L'
F2 L F L2 R D F2
F2 L F L2 D R F2
F2 L F R L2 D F2
F' L' R D F' L' F'
F2 L' R D F R F
F' L' R F D F2 L'
F2 L' R F R D F2
F' L' R F' D L' F2
F2 L' R F D R F2
F2 L' R F' D F2 R
F2 L' R' D F R F
F2 L' R' F R D F2
F2 L' R' F D R F2
F2 L' R' F' D F2 R
F2 L' R2 D F R F
F2 L' R2 F R D F2
F2 L' R2 F D R F2
F2 L' R2 F' D F2 R
F2 L' U L F L U'
R' L' F' R D F2 L'
L' R' F' R D F2 L'
F' L' D R F' L' F'
F2 L' D R F R F
F2 L' D R' F R F
F2 L' D R2 F R F
F2 L' D F R D F
F2 L' D F R D' F
F2 L' D F R D2 F
F2 L' D F R F D
F2 L' D F R F D'
F2 L' D F R F D2
F2 L' D F R' F R2
F2 L' D F R2 F R'
F2 L' D F D R F
F2 L' D F D' R F
F2 L' D F D2 R F
F2 L' D' F R D2 F2
F2 L' D' F D2 R F2
F2 L' D' F' D2 F2 R
F2 L' D2 F D' R F2
F2 L' D2 F' D' F2 R
F2 L' F R U L2 U'
F2 L' F R D F2 D
F2 L' F R D F2 D'
F2 L' F R D F2 D2
F2 L' F R F D F2
F2 L' F R F' D F2
F2 L' F R F2 D F2
F2 L' F R2 D R' F2
F2 L' F R2 D F2 R'
F2 L' F U L2 U' R
F2 L' F D R F2 D
F2 L' F D R F2 D'
F2 L' F D R F2 D2
F2 L' F D R' F2 R2
F2 L' F D R2 F2 R'
F2 L' F D' R D2 F2
F2 L' F' R D F2 R
F2 L' F' R' D F2 R
F2 L' F' R2 D F2 R
F2 L' F' D R F2 R
F2 L' F' D R' F2 R
F2 L' F' D R2 F2 R
F2 L' F' D F2 R D
F2 L' F' D F2 R D'
F2 L' F' D F2 R D2
F2 L' F' D F2 D R
F2 L' F' D F2 D' R
F2 L' F' D F2 D2 R
F' L2 R U L' B' U'
F' L2 R F' D' L' F
F' L2 U L' B' U' R
F' L2 F' D' L' F R
F' R L' D F' L' F'
F' R L' F D F2 L'
F2 R L' D F R F
F' R L' F' D L' F2
F2 R L' F R D F2
F2 R L' F D R F2
F2 R L' F' D F2 R
F' R L2 U L' B' U'
F' R L2 F' D' L' F
F' R U L U2 F U
F' R U L' B' L2 U'
F2 R U L F U' L2
U2 R U' L F' U' R
U2 R U' F' L U' R
F' R D F' L' D F2
F' R D' F' L' D F2
F' R D2 F' L' D F2
F' R F L' D F2 L'
F' R F' L' U L2 U'
F' R F' L' D F2 D
F' R F' L' D F2 D'
F' R F' L' D F2 D2
F' R F' L' F D F2
F' R F' L' F' D F2
F' R F' L' F2 D F2
F' R F' U L U' L2
F' R F' D L' D F2
F' R F' D' L' D F2
F' R F' D2 L' D F2
F2 R' L' D F R F
F2 R' L' F R D F2
F2 R' L' F D R F2
F2 R' L' F' D F2 R
F2 R' U L F U' L2
F' R' F' L' R2 D F2
F' R' F' R2 L' D F2
F2 R2 L' D F R F
F2 R2 L' F R D F2
F2 R2 L' F D R F2
F2 R2 L' F' D F2 R
F2 R2 U L F U' L2
F' R2 F' L' R' D F2
F' R2 F' L' D R' F2
F' R2 F' L' D F2 R'
F' R2 F' R' L' D F2
F2 U L D' F B2 U'
F2 U L D' B2 F U'
F2 U L F U' L2 D
F2 U L F U' L2 D'
F2 U L F U' L2 D2
F2 U L F D' B2 U'
F2 U L F B U' L2
F2 U L F B' U' L2
F2 U L F B2 U' L2
F2 U L B F U' L2
F2 U L B' F U' L2
F2 U L B2 F U' L2
F' U L' B' L2 U' R
L' D F' D' F' L' R
L' D F' D' F' R L'
U2 D R U' L F' U'
U2 D R U' F' L U'
F2 U D L F U' L2
F2 U D' L F U' L2
F2 U D2 L F U' L2
F2 U F' L F U' L'
D U2 R U' L F' U'
D U2 R U' F' L U'
F' U' B2 R' F' U R2
R F L' D' B2 U2 B2
F2 D L' D F R F
F2 D L' F R D F2
F2 D L' F D R F2
F2 D L' F' D F2 R
F' D R F' L' D F2
F2 D U L F U' L2
R' F' L' R D F2 L'
L2 F' L D R F' L'
