F' R' U' B U L
F' U D B U' R'
D' U B U' F' R
D U B U' F' R'
U D B U' F' R'
U D' B U' F' R
B U' D' F' R B'
B U' D' F' B' R
B U' D' B' F' R
B U' B' D' F' R
B' D L2 F' B R'
B' D L2 B F' R'
F' D U B U' R'
B' D F' L2 B R'
B' D F' B L2 R'
B' D F' B R' L2
B' D B L2 F' R'
B' D B F' L2 R'
B' D B F' R' L2
D' F' U B U' R
D F' U B U' R'
B D' U' F' R B'
B D' U' F' B' R
B D' U' B' F' R
D' B U' F' R B'
D' B U' F' B' R
D' B U' B' F' R
D B U' F' R' B'
U B U' D' F' R
U B D' U' F' R
F' B' D L2 B R'
B' F' D L2 B R'
F' B' D B L2 R'
F' B' D B R' L2
B' F' D B L2 R'
B' F' D B R' L2
F' L R' U' B U L
F' L U D B U' R'
D' L U B U' F' R
D L U B U' F' R'
B' L D L2 F' B R'
B' L D L2 B F' R'
F' L D U B U' R'
B' L D F' L2 B R'
B' L D F' B L2 R'
B' L D F' B R' L2
B' L D B L2 F' R'
B' L D B F' L2 R'
B' L D B F' R' L2
U L D B U' F' R'
U L D' B U' F' R
D' L F' U B U' R
D L F' U B U' R'
B' L F' D L2 B R'
B' L F' D B L2 R'
B' L F' D B R' L2
D' L B U' F' R B'
D' L B U' F' B' R
D' L B U' B' F' R
D L B U' F' R' B'
U L B U' D' F' R
U L B D' U' F' R
F' L B' D L2 B R'
F' L B' D B L2 R'
F' L B' D B R' L2
F' L' R' U' B U L
F' L' U D B U' R'
D2 L' U F B U' F2
D2 L' U B F U' F2
D' L' U B U' F' R
D L' U B U' F' R'
B' L' D L2 F' B R'
B' L' D L2 B F' R'
F' L' D U B U' R'
B' L' D F' L2 B R'
B' L' D F' B L2 R'
B' L' D F' B R' L2
B' L' D B L2 F' R'
B' L' D B F' L2 R'
B' L' D B F' R' L2
U L' D B U' F' R'
U L' D' B U' F' R
D2 L' F B U' F2 B'
D2 L' F B U' B' F2
D2 L' F' U F2 B U'
D' L' F' U B U' R
D2 L' F' U B F2 U'
B' L' F' D L2 B R'
B' L' F' D B L2 R'
B' L' F' D B R' L2
D L' F' U B U' R'
D' L' B U' F' R B'
D' L' B U' F' B' R
D' L' B U' B' F' R
D L' B U' F' R' B'
D2 L' B F U' F2 B'
D2 L' B F U' B' F2
U L' B U' D' F' R
U L' B D' U' F' R
F' L' B' D L2 B R'
F' L' B' D B L2 R'
F' L' B' D B R' L2
F' L2 R' U' B U L
F' L2 U D B U' R'
D' L2 U B U' F' R
D L2 U B U' F' R'
B' L2 D L2 F' B R'
B' L2 D L2 B F' R'
F' L2 D U B U' R'
B' L2 D F' L2 B R'
B' L2 D F' B L2 R'
B' L2 D F' B R' L2
B' L2 D B L2 F' R'
B' L2 D B F' L2 R'
B' L2 D B F' R' L2
U L2 D B U' F' R'
U L2 D' B U' F' R
D' L2 F' U B U' R
B' L2 F' D L2 B R'
B' L2 F' D B L2 R'
B' L2 F' D B R' L2
D L2 F' U B U' R'
D' L2 B U' F' R B'
D' L2 B U' F' B' R
D' L2 B U' B' F' R
D L2 B U' F' R' B'
U L2 B U' D' F' R
U L2 B D' U' F' R
F' L2 B' D L2 B R'
F' L2 B' D B L2 R'
F' L2 B' D B R' L2
L' U D B U' F' R'
L2 U D B U' F' R'
L U D B U' F' R'
L' U D' B U' F' R
L2 U D' B U' F' R
L U D' B U' F' R
L' U B U' D' F' R
L' U B D' U' F' R
L2 U B U' D' F' R
L2 U B D' U' F' R
L U B U' D' F' R
L U B D' U' F' R
F2 R D' F L' D R2
F2 R D' F D L' R2
F2 R D' F D R2 L'
B R F' R' U' F' B'
B R F' R' U' B' F'
U R F' R' B U' F'
R' U' D B R' U L
F' R' L U' B U L
F' R' L' U' B U L
F' R' L2 U' B U L
R' U' B R U L F'
R' U' B R U F' L
F' R' U' D B U L
F' R' U' D' B U L
F' R' U' D2 B U L
F' R' U' F B U L
F' R' U' F' B U L
F' R' U' F2 B U L
F' R' U' B U L D
F' R' U' B U L D'
F' R' U' B U L D2
F' R' U' B U D L
F' R' U' B U D' L
F' R' U' B U D2 L
F' R' U' B D U L
F' R' U' B D' U L
F' R' U' B D2 U L
F' R' U' B F U L
F' R' U' B F' U L
F' R' U' B F2 U L
F2 R' U' B U F L
F R' U' B U L F2
F R' U' B U F2 L
F' R' D U' B U L
U' R' D B R' F' U
F' R' D' U' B U L
F' R' D2 U' B U L
F2 R' F U' B U L
F R' F2 U' B U L
F' R2 U' F' B' U R'
F' R2 U' B' F' U R'
B R2 U' R' B' R' F'
B R2 U' R2 F' B' R'
B R2 U' R2 B' F' R'
B R2 U' B' R' D2 F2
B R2 U' B' D2 R' F2
B R2 U' B' D2 F2 R'
U' R2 F' U' B L U2
L' D U B U' F' R'
L2 D U B U' F' R'
R' D U' B R' U L
L D U B U' F' R'
D' U L B U' F' R
D2 U L' F B U' F2
D U L B U' F' R'
D' U L' B U' F' R
D2 U L' B F U' F2
U D L B U' F' R'
L' D F' U B U' R'
D U L' B U' F' R'
D' U L2 B U' F' R
L2 D F' U B U' R'
U D L' B U' F' R'
D U L2 B U' F' R'
F' U R F' R' B U'
L D F' U B U' R'
R' D B R' F' U B'
U D L2 B U' F' R'
L' D B U' F' R' B'
L2 D B U' F' R' B'
L D B U' F' R' B'
B' U D L2 F' B R'
B' U D L2 B F' R'
B' U D F' L2 B R'
F' U D F B U' R'
B' U D F' B L2 R'
B' U D F' B R' L2
F' U D F' B U' R'
B' U D B L2 F' R'
F' U D F2 B U' R'
B' U D B F' L2 R'
B' U D B F' R' L2
F' U D B U' R' D
F' U D B U' R' D'
F' U D B U' R' D2
F' U D B U' D R'
F' U D B U' D' R'
F' U D B U' D2 R'
F' U D B D U' R'
F' U D B D' U' R'
F' U D B D2 U' R'
F' U D B F U' R'
F' U D B F' U' R'
F' U D B F2 U' R'
D' U F B U' F2 R
F2 U D B U' R' F
F2 U D B U' F R'
F' U D' F' B U' R
F' U D' B F' U' R
D U F B U' R' F2
D U F B U' F2 R'
U D F B U' R' F2
U D F B U' F2 R'
D' U B L U' F' R
D' U B L' U' F' R
D' U B L2 U' F' R
D2 U B L' F U' F2
F' U F D B U' R'
D' U B U' F' R D
D' U B U' F' R D'
D' U B U' F' R D2
D' U B U' F' D R
D' U B U' F' D' R
D' U B U' F' D2 R
D2 U B U' D F' R
D2 U B D U' F' R
D U F2 B U' R' F
D U F2 B U' F R'
D' U B F U' F2 R
D U B L U' F' R'
D U B L' U' F' R'
D U B L2 U' F' R'
B' U F' D L2 B R'
B' U F' D B L2 R'
B' U F' D B R' L2
U D F2 B U' R' F
U D F2 B U' F R'
F' U F' D B U' R'
U D B L U' F' R'
U D B L' U' F' R'
D U B U' D F' R'
D U B U' D' F' R'
D U B U' D2 F' R'
D U B U' F R' F2
D U B U' F' R' D
D U B U' F' R' D'
D U B U' F' R' D2
D U B U' F' D R'
D U B U' F' D' R'
D U B U' F' D2 R'
D U B U' F2 R' F
U D B L2 U' F' R'
D U B D U' F' R'
D U B D' U' F' R'
D U B D2 U' F' R'
D U B F U' R' F2
D U B F U' F2 R'
U D B U' D F' R'
U D B U' D' F' R'
U D B U' D2 F' R'
U D B U' F R' F2
U D B U' F' R' D
U D B U' F' R' D'
U D B U' F' R' D2
U D B U' F' D R'
U D B U' F' D' R'
U D B U' F' D2 R'
U D B U' F2 R' F
D U B F2 U' R' F
D U B F2 U' F R'
U D B D U' F' R'
U D B D' U' F' R'
U D B D2 U' F' R'
F' U F2 D B U' R'
U D B F U' R' F2
U D B F U' F2 R'
U D B F2 U' R' F
U D B F2 U' F R'
F' U B R F' R' U'
F' U B D' F' U' R
L' D' U B U' F' R
U D' L B U' F' R
L2 D' U B U' F' R
L D' U B U' F' R
U D' L' B U' F' R
U D' L2 B U' F' R
L' D' F' U B U' R
L2 D' F' U B U' R
L D' F' U B U' R
L' D' B U' F' R B'
L' D' B U' F' B' R
L' D' B U' B' F' R
L2 D' B U' F' R B'
L2 D' B U' F' B' R
L2 D' B U' B' F' R
U D' F B U' F2 R
L D' B U' F' R B'
L D' B U' F' B' R
L D' B U' B' F' R
B' U' D L2 F' B R'
B' U' D L2 B F' R'
B' U' D F' L2 B R'
B' U' D F' B L2 R'
B' U' D F' B R' L2
B' U' D B L2 F' R'
B' U' D B F' L2 R'
B' U' D B F' R' L2
B U' D F' B R' B2
B U' D B F' R' B2
U D' B L U' F' R
U D' B L' U' F' R
U D' B L2 U' F' R
B U' D' F' R D B'
B U' D' F' R D' B'
B U' D' F' R D2 B'
B U' D' F' R B' D
B U' D' F' R B' D'
B U' D' F' R B' D2
B U' D' F' R' B' R2
U D' B U' F' R D
U D' B U' F' R D'
U D' B U' F' R D2
U D' B U' F' D R
U D' B U' F' D' R
U D' B U' F' D2 R
B U' D' F' D R B'
B U' D' F' D B' R
B U' D' F' D' R B'
B U' D' F' D' B' R
B U' D' F' D2 R B'
B U' D' F' D2 B' R
B U' D' F' B R B2
B U' D' F' B' R D
B U' D' F' B' R D'
B U' D' F' B' R D2
B U' D' F' B' D R
B U' D' F' B' D' R
B U' D' F' B' D2 R
B U' D' B F' R B2
B U' D' B' F' R D
B U' D' B' F' R D'
B U' D' B' F' R D2
B U' D' B' F' D R
