F R B U2 L'
F' R F2 B U2
F' R B F2 U2
F R' U2 L' F'
F U2 L F L2
R' F U2 L' F2
R F B U2 L'
R B F U2 L'
U2 L F L B' L2
U2 L2 F B' L' F
U2 L2 B' L' F L'
U2 L2 B' F L' F
F R D B U2 L'
F' R D2 B U2 B
F R D' B U2 L'
B' R F B U2 L'
F R D2 B U2 L'
D2 R F B R' U2
B2 R F B U2 L'
B R F B U2 L'
F' R F2 D B U2
F' R F2 D' B U2
F' R F2 D2 B U2
F' R F2 B U2 D
F' R F2 B U2 D'
F' R F2 B U2 D2
F' R F2 B D U2
F' R F2 B D' U2
F' R F2 B D2 U2
F' R B U2 D2 B2
D2 R B R' F U2
F' R B D2 U2 B2
F' R B F2 U2 D
F' R B F2 U2 D'
F' R B F2 U2 D2
F' R B F2 D U2
F' R B F2 D' U2
F' R B F2 D2 U2
B' R B F U2 L'
D2 R B F R' U2
B2 R B F U2 L'
F R B R U2 L'
F R B R' U2 L'
F R B R2 U2 L'
B R B F U2 L'
F R B U2 L' D
F R B U2 L' D'
F R B U2 L' D2
F R B U2 D L'
F R B U2 D' L'
F R B U2 D2 L'
F R B D U2 L'
F R B D' U2 L'
F R B D2 U2 L'
F R' U2 L F' L2
F R' U2 L' D F'
F R' U2 L' D' F'
F R' U2 L' D2 F'
F R' U2 L' F' D
F R' U2 L' F' D'
F R' U2 L' F' D2
F R' U2 L2 F' L
F R' U2 D L' F'
F R' U2 D' L' F'
F R' U2 D2 L' F'
F R' D U2 L' F'
F R' D' U2 L' F'
B' R' F U2 L' F2
F R' D2 U2 L' F'
B2 R' F U2 L' F2
B R' F U2 L' F2
F' R' F2 R2 U2 F
F R' B U2 L' F'
F R' B' U2 L' F'
F R' B2 U2 L' F'
F R2 U2 D2 L' F
F R2 D2 U2 L' F
F' R2 F2 R' B U2
F U' L2 U' L F
F U' B L U' L2
F U2 L F L2 D
F U2 L F L2 D'
F U2 L F L2 D2
F U2 L F' L2 F2
F U2 L F2 L2 F'
F U2 L' U2 B' U2
R D2 F B R' U2
