U2 B' L U F' R'
D L F U' R F2 B'
D L F U' R B' F2
D L F U' B' R F2
U2 L B' L U F' R'
U L' U B' L U F'
U2 L' B' L U F' R'
U2 L2 B' L U F' R'
D' R' F U' B R F'
B R' F B' U' R F'
B R' B' F U' R F'
L' U2 B' L U F' R'
F R2 U' F2 D' R' B
L2 U2 B' L U F' R'
L U2 B' L U F' R'
R U2 B' L U R' F
R U2 B' L U F R'
U' R2 D' R2 F' R B
F R2 D' L2 U' R' B
F U' R2 F2 D' R' B
U2 D' B' U F' R' B
F U' B R F2 D B2
D' U2 B' U F' R' B
D F L U' R F2 B'
D F L U' R B' F2
D F L U' B' R F2
D' F R' U' F2 B R2
D' F R' U' B R2 F2
D' F R' U' B F2 R2
F U2 B' L U R F2
D' F U' R' F2 B R2
D' F U' R' B R2 F2
D' F U' R' B F2 R2
D2 F U2 L' U R F2
F U2 B2 U R F2 B
F U2 B2 U R B F2
D2 F' R F2 U' R F2
U' F' U' B' L U R'
F D' L2 R' U' B R2
F D' L2 U' R' B R2
F D' R' L2 U' B R2
D2 F2 U' F' R F2 B
D2 F2 U' F' R B F2
F' D2 F2 U' R F2 B
F' D2 F2 U' R B F2
R2 B U' R' F' B' U'
R2 B U' R' B' F' U'
B F R' B' U' R2 F2
B F R' B' U' F2 R2
F B R' B' U' R2 F2
F B R' B' U' F2 R2
U2 B' L U D F' R'
U2 B' L U D' F' R'
U2 B' L U D2 F' R'
U2 B' L U F R' F2
U2 B' L U F' R' D
U2 B' L U F' R' D'
U2 B' L U F' R' D2
U2 B' L U F' D R'
U2 B' L U F' D' R'
U2 B' L U F' D2 R'
U2 B' L U F2 R' F
U2 B' L D U F' R'
U2 B' L D' U F' R'
U2 B' L D2 U F' R'
U2 B' D L U F' R'
U2 B' D' L U F' R'
U2 B' D2 L U F' R'
U2 B2 U R B R' F'
U2 B2 U D2 F' R B
U2 B2 U F' R B R'
U2 B2 D2 U F' R B
