U R B' U F' B
U R B' U B F'
B R B2 U L F'
B R B2 U F' L
B' R' U' B R U2
R' B' U D2 F2 L'
R' B' U' R B2 U2
R' B' U' B2 R U2
D B' U2 L U' L'
R' B' D2 U F2 L'
U2 L U' L' F R F'
U2 L U' D2 L' F R
U2 L U' F R F' L'
U2 L D2 U' L' F R
D2 L2 U L2 B' R' U
L' U L R B' U F'
U2 L2 D' F L' B2 U'
U2 L2 D' F B2 L' U'
U2 L2 D' B2 F L' U'
L' U L B' R U F'
L2 U L2 R B' U F'
L' U R L B' U F'
L2 U L2 B' R U F'
L2 U R L2 B' U F'
B' R U F' U2 R' U2
B' R U F' B2 L B2
B' R U B2 L F' B2
B' R U B2 L B2 F'
B' R U B2 F' L B2
B' R U' R2 B R U2
B' R U' B U2 F' L'
B' R U' B2 U2 L F'
B' R U' B2 U2 F' L
U' R U2 B' U F' B
U' R U2 B' U B F'
B' R U2 B2 U' L F'
B' R U2 B2 U' F' L
U R D B' U F' B
U R D B' U B F'
U R D' B' U F' B
U R D' B' U B F'
B' R F R2 U F2 L'
B' R F U' R' U2 F2
U R D2 B' U F' B
U R D2 B' U B F'
B R F B2 U L F2
B R F B2 U F2 L
U R F' U' F B' U
U R F' U' B' F U
B' R F2 U' R' U2 F
B R F2 B2 U F L
U R B' L U F' B
U R B' L U B F'
U R B' L' U F' B
U R B' L' U B F'
U R B' L2 U F' B
U R B' L2 U B F'
U R B' U D F' B
U R B' U D B F'
U R B' U D' F' B
U R B' U D' B F'
U R B' U D2 F' B
U R B' U D2 B F'
U R B' U F' D B
U R B' U F' D' B
U R B' U F' D2 B
U R B' U F' B D
U R B' U F' B D'
U R B' U F' B D2
U R B' U B D F'
U R B' U B D' F'
U R B' U B D2 F'
U R B' U B F' D
U R B' U B F' D'
U R B' U B F' D2
U R B' D U F' B
U R B' D U B F'
U R B' D' U F' B
U R B' D' U B F'
U R B' D2 U F' B
U R B' D2 U B F'
B R B2 U L D F'
B R B2 U L D' F'
B R B2 U L D2 F'
B R B2 U L F' D
B R B2 U L F' D'
B R B2 U L F' D2
B R B2 U L' F' L2
B R B2 U D L F'
B R B2 U D F' L
B R B2 U D' L F'
B R B2 U D' F' L
B R B2 U D2 L F'
B R B2 U D2 F' L
B R B2 U F L F2
B R B2 U F' L D
B R B2 U F' L D'
B R B2 U F' L D2
B R B2 U F' D L
B R B2 U F' D' L
B R B2 U F' D2 L
L2 U' D' F L' U' B2
B R B2 D U L F'
B R B2 D U F' L
B R B2 D' U L F'
B R B2 D' U F' L
B R B2 D2 U L F'
B R B2 D2 U F' L
B R B2 F U L F2
B R B2 F U F2 L
B R B2 F2 U F L
L U' F U' R F' B
L U' F U' R B F'
B' R' U' D B R U2
L U' F2 R U' F' R
R' U' B R U B2 U
R' U' B R U2 D' R2
R' U' B R D L2 U2
R' U' B R D' U2 R2
B' R' U' D' B R U2
B' R' U' D2 B R U2
B' R' U' B R U2 D
B' R' U' B R U2 D'
B' R' U' B R U2 D2
B' R' U' B R D U2
B' R' U' B R D' U2
B' R' U' B R D2 U2
B' R' U' B D R U2
B' R' U' B D' R U2
B' R' U' B D2 R U2
B' R' U' B' R B2 U2
R' U' B D L2 R U2
R' U' B D R L2 U2
B' R' U' B2 R B' U2
R' U' B D' R U2 R
B2 R' U' B L R U2
B2 R' U' B R L U2
B' R' D U' B R U2
B' R' D' U' B R U2
B' R' D2 U' B R U2
B' R' F2 R2 U L' F'
B' R' F2 U' B U2 L'
D2 R' F2 B' U L' F
D2 R' B' U F2 L' F
F' R' B' U D2 F2 L'
F' R' B' U' R B2 U2
F' R' B' U' B2 R U2
F2 R' B' U D2 F2 L'
F' R' B' D2 U F2 L'
F2 R' B' U' R B2 U2
D2 R' B' F2 U L' F
F2 R' B' U' B2 R U2
F2 R' B' D2 U F2 L'
F R' B' U D2 F2 L'
F R' B' U' R B2 U2
F R' B' U' B2 R U2
U R' B' U D2 F2 B
U R' B' U D2 B F2
U R' B' U' B2 U2 B'
F R' B' D2 U F2 L'
U R' B' D2 U F2 B
U R' B' D2 U B F2
B R' B2 U' R B' U2
B R' B2 U' B' R U2
B' R2 D' R' F2 U F
B' R2 D' F2 R' U F'
B' R2 D2 R' U L2 F'
B' R2 D2 R' U F' L2
D R2 B R' B2 U L
F' U R B' U F' B
F' U R B' U B F'
F2 U R B' U F' B
F2 U R B' U B F'
B U R B2 U F' B2
B U R B2 U B2 F'
F U R B' U F' B
F U R B' U B F'
R' D B' U D2 F2 L'
R' D B' U' R B2 U2
R' D B' U' B2 R U2
R' D B' D2 U F2 L'
B2 U D B R' U B'
D2 U B' L' U F B
D2 U B' L' U B F
D U B R' B2 U B
U D B R' B2 U B
D U B' U2 L U' B
U D B' U2 L U' B
B2 U B R U F' B'
B2 U B R U B' F'
R2 D' R' F2 B' U F
R2 D' R' B' F2 U F
B U B2 R U F' B2
B U B2 R U B2 F'
L2 D' U' F L' U' B2
U2 D' L2 F L' U' L'
R2 D' F2 R' B' U F'
R2 D' F2 B' R' U F'
B' U' R' B U' B' U'
R' D' B' U D2 F2 L'
R' D' B' U' R B2 U2
R' D' B' U' B2 R U2
R' D' B' D2 U F2 L'
R2 D' B' R' F2 U F
R2 D' B' F2 R' U F'
D' U2 L2 F L' U' L'
R2 D2 R' B' U L2 F'
R2 D2 R' B' U F' L2
B' U2 L U' D2 L' F
B' U2 L D2 U' L' F
R' D2 B' U D2 F2 L'
R' D2 B' U' R B2 U2
R' D2 B' U' B2 R U2
R' D2 B' D2 U F2 L'
R2 D2 B' R' U L2 F'
R2 D2 B' R' U F' L2
U D2 B' L' U F B
U D2 B' L' U B F
B' U2 D B' L U' L'
B' U2 D2 L' U' F L
R F R2 B' U F2 L'
D' F B' U2 L' U' L
B2 D U B R' U B'
D F B' U2 L U' L'
B' D U2 B' L U' L'
B2 D B R' U' R U2
B2 D B R' F2 U L'
D' F' U R B' U B
F' D B' U2 L U' L'
F2 D B' U2 L U' L'
F D B' U2 L U' L'
D' F' B R B2 U L
D' F' B' R U' R' U2
D F' B' U2 L U' L'
B' D' F U2 L' U' L
B' D' F' R U' R' U2
R' F2 R2 B' U L' F'
B' D2 R' U F2 L' F
B' D2 R' F2 U L' F
R' F2 B' U L' D2 F2
R' F2 B' U D2 L' F2
R' F2 B' U' B2 U2 L'
R' F2 B' D' R2 U L'
R' F2 B' D2 U L' F2
D F2 B' U2 L U' L'
B' D2 U2 L' U' F L
R F2 B' U D2 F L'
R F2 B' D2 U F L'
R' B R U B2 U B2
D B R B2 R2 U L
U B R B2 U F' B
U B R B2 U B F'
R2 B R' B2 U L F'
R2 B R' B2 U F' L
D B R' F2 B2 U L'
D B R' B2 U' R U2
D B R' B2 F2 U L'
D B U R' B2 U B2
B' F R' U' B R U2
F' B R B2 U L F'
F' B R B2 U F' L
F2 B R B2 U L F'
F2 B R B2 U F' L
B F R B2 U L F'
B F R B2 U F' L
D' B F' R B2 U L
F B R B2 U L F'
F B R B2 U F' L
R' B' R' U D2 L2 F2
R' B' R' U D2 F2 L2
D2 B' R' U F2 L' F
R' B' R' U' R2 B2 U2
R' B' R' U' B2 R2 U2
R' B' R' D' R2 F2 U
R' B' R' D' F2 R2 U
R' B' R' D2 U L2 F2
R' B' R' D2 U F2 L2
R2 B' R U' B R U2
D2 B' R' F2 U L' F
R' B' R2 U' R' B2 U2
R' B' R2 U' B2 U2 L
R' B' U L D2 F2 L'
R' B' U L' D2 F2 L'
R' B' U L2 D2 F2 L'
R' B' U D2 L F2 L'
R' B' U D2 L' F2 L'
R' B' U D2 L2 F2 L'
R' B' U D2 F2 L' D
R' B' U D2 F2 L' D'
R' B' U D2 F2 L' D2
R' B' U D2 F2 D L'
R' B' U D2 F2 D' L'
R' B' U D2 F2 D2 L'
R' B' U F2 L' D2 F2
R' B' U F2 D2 L' F2
R' B' U' R U2 D2 F2
R' B' U' R D2 U2 F2
R' B' U' R B2 U2 D
R' B' U' R B2 U2 D'
R' B' U' R B2 U2 D2
R' B' U' R B2 D U2
R' B' U' R B2 D' U2
R' B' U' R B2 D2 U2
R' B' U' R' B2 R2 U2
R' B' U' R2 B2 U2 L
R' B' U' D2 R U2 F2
R' B' U' B' R B' U2
R' B' U' B2 R U2 D
R' B' U' B2 R U2 D'
R' B' U' B2 R U2 D2
R' B' U' B2 R D U2
R' B' U' B2 R D' U2
R' B' U' B2 R D2 U2
R' B' U' B2 D R U2
R' B' U' B2 D' R U2
R' B' U' B2 D2 R U2
R B' R2 U' B R' U2
D2 B' U2 L' U' F L
U B' U R F' R' B
U B' U B R F' R'
B' F' R' U' B R U2
R B' U D2 F L' F2
R B' U F' B' L B
R B' U F2 D2 F L'
D B' U2 L U' L' D
D B' U2 L U' L' D'
D B' U2 L U' L' D2
D B' U2 L U' D L'
D B' U2 L U' D' L'
D B' U2 L U' D2 L'
D B' U2 L D U' L'
D B' U2 L D' U' L'
D B' U2 L D2 U' L'
F' B' R' U' B R U2
R B' U B' L F' B
R B' U B' L B F'
D B' U2 L B U' L'
D B' U2 L B' U' L'
D B' U2 L B2 U' L'
R B' U B' F' L B
F2 B' R' U' B R U2
D B' U2 D L U' L'
D B' U2 D' L U' L'
D B' U2 D2 L U' L'
R B' U' R2 B R' U2
R' B' D' R2 U' R' U2
B F' R B2 U L F'
