D2 R2 U L B' R'
R' L U F L U' B
R2 L U F L R U'
R2 L U F R L U'
R' L F L U' L' B
R' L F L U' B L'
L R' U F L U' B
L2 R' U' D' L' B R'
L2 R' U' D' B L' R'
L2 R' U' D' B R' L'
L2 R' D' U' L' B R'
L2 R' D' U' B L' R'
L2 R' D' U' B R' L'
D2 L' R2 B' U L2 B'
L R' F L U' L' B
L R' F L U' B L'
L R2 U F L R U'
L R2 U F R L U'
R' L2 U' D' L' B R'
R' L2 U' D' B L' R'
R' L2 U' D' B R' L'
D2 L' B' R2 U L2 B'
D L' B' L U L F2
D L' B' L U F2 L
R' L2 D' U' L' B R'
R' L2 D' U' B L' R'
R' L2 D' U' B R' L'
U2 L2 U' L' B' R' B
U2 L2 U' B' L' R' B
U2 L2 U' B' R' L' B
U2 L2 U' B' R' B L'
L U R' F L U' B
U L2 B' U' L' R' B
U L2 B' U' R' L' B
U L2 B' U' R' B L'
L U D2 F L U' B'
L U F L R' U' B
L U F R' L U' B
L U F D2 L U' B'
L2 U' R' D' L' B R'
L2 U' R' D' B L' R'
L2 U' R' D' B R' L'
U2 R' F' L2 U' L' B
U2 R' F' L2 U' B L'
D2 R2 L' B' U L2 B'
D2 R2 U L R B' R'
D2 R2 U L R' B' R'
D2 R2 U L R2 B' R'
D2 R2 U L D B' R'
D2 R2 U L D' B' R'
D2 R2 U L D2 B' R'
D2 R2 U L B' R' D
D2 R2 U L B' R' D'
D2 R2 U L B' R' D2
D2 R2 U L B' D R'
D2 R2 U L B' D' R'
D2 R2 U L B' D2 R'
D2 R2 U R L B' R'
D2 R2 U R' L B' R'
D2 R2 U R2 L B' R'
D2 R2 F U L B' R'
D2 R2 F' U L B' R'
D2 R2 F2 U L B' R'
D2 U L D' F2 B' R'
D2 U L D' B' R' F2
D2 U L D' B' F2 R'
D2 U L B' D' R' F2
D2 U L B' D' F2 R'
L' D F2 R B' L U
L' D F2 B' L R U
L' D F2 B' R L U
L' D B' F2 L R U
L' D B' F2 R L U
D U F2 D L B' R'
U D F2 D L B' R'
U D2 L D' F2 B' R'
U D2 L D' B' R' F2
U D2 L D' B' F2 R'
U D2 L B' D' R' F2
U D2 L B' D' F2 R'
L D2 U F L U' B'
L D2 F L U' B' L'
D' F L' B' U L2 F
L F L R' U' L' B
L F L R' U' B L'
D2 F R2 U L B' R'
L F R' L U' L' B
L F R' L U' B L'
L F D2 L U' B' L'
D2 F' R2 U L B' R'
D2 F2 R2 U L B' R'
F' D2 R2 U L B' R'
F2 D2 R2 U L B' R'
F D2 R2 U L B' R'
U B' R' D F2 B L
U B' R' D B L F2
U B' R' D B F2 L
U B' R' B D L F2
U B' R' B D F2 L
