D' L' R2 F' R B2
D' L' R2 F' B2 R
D' L' R2 B2 F' R
D' R2 L' F' R B2
D' R2 L' F' B2 R
D' R2 L' B2 F' R
D' R2 B2 L' F' R
D F2 B R U2 R2
D B F2 R U2 R2
D' L R2 F' L2 R B2
D' L R2 F' L2 B2 R
D' L R2 F' R L2 B2
D' L R2 F' R B2 L2
D' L R2 F' B2 L2 R
D' L R2 F' B2 R L2
D' L R2 B2 L2 F' R
D' L R2 B2 F' L2 R
D' L R2 B2 F' R L2
D' L F' B2 L2 R F
D' L F' B2 R L2 F
D' L F2 B2 L2 F R
D L F2 B U2 L2 R'
D L F2 B U2 R' L2
D L B F2 U2 L2 R'
D L B F2 U2 R' L2
D' L B2 L2 F' R F2
D' L B2 F' L2 R F
D' L B2 F' R L2 F
D' L B2 F2 L2 F R
D' L' R F' R F' B2
D' L' R F' R B2 F'
D' L' R F' B2 R F'
D' L' R B2 R F' R
D' L' R B2 F' R F'
D' L' R' B2 R' F' R
D' L' R2 F' R B2 D
D' L' R2 F' R B2 D'
D' L' R2 F' R B2 D2
D' L' R2 F' R' B2 R2
D' L' R2 F' B' R B'
D' L' R2 F' B2 R D
D' L' R2 F' B2 R D'
D' L' R2 F' B2 R D2
D' L' R2 F' B2 D R
D' L' R2 F' B2 D' R
D' L' R2 F' B2 D2 R
D L' R2 D2 F' R B2
D L' R2 D2 F' B2 R
D L' R2 D2 B2 F' R
D L' R2 F' R2 B R'
D' L' R2 B' F' R B'
D' L' R2 B2 F' R D
D' L' R2 B2 F' R D'
D' L' R2 B2 F' R D2
D' L' R2 B2 F' D R
D' L' R2 B2 F' D' R
D' L' R2 B2 F' D2 R
D2 L' U R2 F U' F2
D2 L' U F R2 U' F'
D L' U2 F2 B U2 R'
D L' U2 B F2 U2 R'
D L' D2 R2 F' R B2
D L' D2 R2 F' B2 R
D L' D2 R2 B2 F' R
R2 L2 U L F R F2
L2 R2 U L F R F2
D' L' F' R2 F' R' B2
D2 L' F' D R2 F' B2
D2 L' F' D R2 B2 F'
D L' F' R2 F' B R'
D L' F' R2 B F' R'
L2 R2 U F L R F2
R2 L2 U F L R F2
L2 R2 U F R L F2
L2 R2 U F R F2 L
R2 L2 U F R L F2
R2 L2 U F R F2 L
L2 R2 U F' L D2 R2
R2 L2 U F' L D2 R2
D L' B' D2 F2 B2 R'
D L' B' D2 B2 R' F2
D L' B' D2 B2 F2 R'
B2 L2 R2 U F L R
B2 L2 R2 U F R L
D' L2 R2 F' L R B2
D' L2 R2 F' L B2 R
D' L2 R2 F' R L B2
L2 R2 F2 U F L R
L2 R2 F2 U F R L
R2 L2 F2 U F L R
R2 L2 F2 U F R L
L2 U L D' R2 F' R
L2 U D' L R2 F' R
L2 U D' R2 L F' R
L2 U D' R2 F' L R
L2 U D' R2 F' R L
D' R L' F' R F' B2
D' R L' F' R B2 F'
D' R L' F' B2 R F'
D' R L' B2 R F' R
D' R L' B2 F' R F'
R' U B L2 U L F
D' R B2 L' R F' R
D' R B2 L' F' R F'
D' R B2 R L' F' R
D' R' L' B2 R' F' R
B R' U B L2 U L
D R' F2 R B U2 R'
B R' B L2 U F L
D' R' B2 L' R' F' R
D' R' B2 R' L' F' R
D' R2 L F' L2 R B2
D' R2 L F' L2 B2 R
D' R2 L F' R L2 B2
D' R2 L F' R B2 L2
D' R2 L F' B2 L2 R
D' R2 L F' B2 R L2
D' R2 L B2 L2 F' R
D' R2 L B2 F' L2 R
D' R2 L B2 F' R L2
D' R2 L' F' R B2 D
D' R2 L' F' R B2 D'
D' R2 L' F' R B2 D2
D' R2 L' F' R' B2 R2
D' R2 L' F' B' R B'
D' R2 L' F' B2 R D
D' R2 L' F' B2 R D'
D' R2 L' F' B2 R D2
D' R2 L' F' B2 D R
D' R2 L' F' B2 D' R
D' R2 L' F' B2 D2 R
D' R2 L' B' F' R B'
D' R2 L' B2 F' R D
D' R2 L' B2 F' R D'
D' R2 L' B2 F' R D2
D' R2 L' B2 F' D R
D' R2 L' B2 F' D' R
D' R2 L' B2 F' D2 R
D R2 L' D2 F' R B2
D R2 L' D2 F' B2 R
D R2 L' D2 B2 F' R
B2 R2 L2 U F L R
B2 R2 L2 U F R L
D R2 L' F' R2 B R'
D' R2 L2 F' L R B2
D' R2 L2 F' L B2 R
D' R2 L2 F' R L B2
D' R2 U L' F' R B2
D' R2 U L' F' B2 R
D' R2 U L' B2 F' R
D' R2 U B2 L' F' R
