F' B2 U2 R
B2 F' U2 R
B2 L F' U2 R
F' L B2 U2 R
B2 L' F' U2 R
F L' F2 B2 U2
F L' B2 F2 U2
F' L' B2 U2 R
B2 L2 F' U2 R
F' L2 B2 U2 R
F' U2 R D2 F2
F' U2 D2 R F2
L' F' B2 U2 R
L F' B2 U2 R
L2 F' B2 U2 R
F' D2 U2 R F2
B2 F L' F2 U2
B2 F' L U2 R
B2 F' L' U2 R
B2 F' L2 U2 R
B2 F' U2 R D
B2 F' U2 R D'
B2 F' U2 R D2
B2 F' U2 D R
B2 F' U2 D' R
B2 F' U2 D2 R
F B2 L' F2 U2
B2 F' D U2 R
F' B2 L U2 R
B2 F' D' U2 R
F' B2 L' U2 R
B2 F' D2 U2 R
F' B2 L2 U2 R
L' B2 F' U2 R
F' B2 U2 R D
F' B2 U2 R D'
F' B2 U2 R D2
F' B2 U2 D R
F' B2 U2 D' R
F' B2 U2 D2 R
F' B2 D U2 R
L B2 F' U2 R
F' B2 D' U2 R
F' B2 D2 U2 R
L2 B2 F' U2 R
F' L U2 R D2 F2
F' L U2 D2 R F2
F' L D2 U2 R F2
B2 L F L' F2 U2
B2 L F' L U2 R
B2 L F' L' U2 R
B2 L F' L2 U2 R
B2 L F' U2 R D
B2 L F' U2 R D'
B2 L F' U2 R D2
B2 L F' U2 D R
B2 L F' U2 D' R
B2 L F' U2 D2 R
B2 L F' D U2 R
B2 L F' D' U2 R
B2 L F' D2 U2 R
B L F' B U2 R
F L F2 L2 B2 U2
F L F2 B2 L2 U2
B L B F' U2 R
F' L B2 L U2 R
F' L B2 L' U2 R
F' L B2 L2 U2 R
F' L B2 U2 R D
F' L B2 U2 R D'
F' L B2 U2 R D2
F' L B2 U2 D R
F' L B2 U2 D' R
F' L B2 U2 D2 R
F L B2 L2 F2 U2
F' L B2 D U2 R
F' L B2 D' U2 R
F' L B2 D2 U2 R
F L B2 F2 L2 U2
F' L' U2 R D2 F2
F' L' U2 D2 R F2
F L' U2 D2 F2 B2
F L' U2 D2 B2 F2
F' L' D2 U2 R F2
F L' D2 U2 F2 B2
F L' D2 U2 B2 F2
B2 L' F L' F2 U2
B2 L' F' L U2 R
B2 L' F' L' U2 R
B2 L' F' L2 U2 R
B2 L' F' U2 R D
B2 L' F' U2 R D'
B2 L' F' U2 R D2
B2 L' F' U2 D R
B2 L' F' U2 D' R
B2 L' F' U2 D2 R
B2 L' F' D U2 R
B2 L' F' D' U2 R
B2 L' F' D2 U2 R
B L' F' B U2 R
F L' F2 U2 D2 F2
F L' F2 D2 U2 F2
F L' F2 B2 U2 D
F L' F2 B2 U2 D'
F L' F2 B2 U2 D2
F L' F2 B2 D U2
F L' F2 B2 D' U2
F L' F2 B2 D2 U2
B L' B F' U2 R
F' L' B2 L U2 R
F' L' B2 L' U2 R
F' L' B2 L2 U2 R
F' L' B2 U2 R D
F' L' B2 U2 R D'
F' L' B2 U2 R D2
F' L' B2 U2 D R
F' L' B2 U2 D' R
F' L' B2 U2 D2 R
F' L' B2 D U2 R
F' L' B2 D' U2 R
F' L' B2 D2 U2 R
F L' B2 U2 D2 B2
F L' B2 D2 U2 B2
F L' B2 F2 U2 D
F L' B2 F2 U2 D'
F L' B2 F2 U2 D2
F L' B2 F2 D U2
F L' B2 F2 D' U2
F L' B2 F2 D2 U2
F' L2 U2 R D2 F2
F' L2 U2 D2 R F2
F' L2 D2 U2 R F2
B2 L2 F L' F2 U2
B2 L2 F' L U2 R
B2 L2 F' L' U2 R
B2 L2 F' L2 U2 R
B' L2 F' U2 R F2
B2 L2 F' U2 R D
B2 L2 F' U2 R D'
B2 L2 F' U2 R D2
B2 L2 F' U2 D R
B2 L2 F' U2 D' R
B2 L2 F' U2 D2 R
B2 L2 F' D U2 R
B2 L2 F' D' U2 R
B2 L2 F' D2 U2 R
B L2 F' B U2 R
F L2 F2 L B2 U2
F L2 F2 B2 U2 R'
B L2 B F' U2 R
F' L2 B2 L U2 R
F' L2 B2 L' U2 R
F' L2 B2 L2 U2 R
F' L2 B2 U2 R D
F' L2 B2 U2 R D'
F' L2 B2 U2 R D2
F' L2 B2 U2 D R
F' L2 B2 U2 D' R
F' L2 B2 U2 D2 R
F' L2 B2 D U2 R
F' L2 B2 D' U2 R
F' L2 B2 D2 U2 R
F L2 B2 F2 U2 R'
F' R' B2 R U2 R
U2 R2 D2 F2 B R'
U2 R2 D2 B R' F2
U2 R2 D2 B F2 R'
U2 R2 B R2 F' R
F' R2 B2 L R2 U2
F' R2 B2 R2 L U2
F' U D' R2 U R'
F' U' D L2 U' R
R2 D2 L2 F2 B R'
R2 D2 L2 B R' F2
R2 D2 L2 B F2 R'
U2 D2 R2 F2 B R'
U2 D2 R2 B R' F2
D2 U2 R2 F2 B R'
D2 U2 R2 B R' F2
U2 D2 R2 B F2 R'
D2 U2 R2 B F2 R'
F' U2 R U2 B2 U2
F' U2 R D2 F2 D
F' U2 R D2 F2 D'
F' U2 R D2 F2 D2
F' U2 R F D2 F2
F' U2 R F' D2 F2
F' U2 R F2 D2 F2
R2 D2 F2 L2 B R'
R2 D2 F2 B L2 R'
R2 D2 F2 B R' L2
R2 D2 B L2 R' F2
R2 D2 B L2 F2 R'
R2 D2 B R' L2 F2
R2 D2 B R' F2 L2
F' U2 R2 D2 R' F2
F' U2 R2 D2 F2 R'
R2 D2 B F2 L2 R'
R2 D2 B F2 R' L2
B2 U2 R2 D2 B R'
F' U2 D R D F2
L' F L' F2 B2 U2
L' F L' B2 F2 U2
B U2 R2 F' B R
B U2 R2 B F' R
F' U2 D2 R F2 D
F' U2 D2 R F2 D'
F' U2 D2 R F2 D2
F' U2 D2 R' F2 R2
F' U2 D2 R2 F2 R'
B2 U2 D2 R2 B R'
L2 F L' F2 B2 U2
L2 F L' B2 F2 U2
L F L' F2 B2 U2
F U2 D2 F2 R B2
F U2 D2 F2 B2 R
L F L' B2 F2 U2
F U2 D2 B2 F2 R
F' U2 F2 D2 F2 R
L' F B2 L' F2 U2
U2 F D2 F2 R B2
U2 F D2 F2 B2 R
U2 F D2 B2 F2 R
L' F' L B2 U2 R
L' F' L' B2 U2 R
F' D U' L2 U' R
L2 F B2 L' F2 U2
L' F' L2 B2 U2 R
L F B2 L' F2 U2
F' D U2 R D F2
L2 F' L B2 U2 R
L F' L B2 U2 R
L2 F' L' B2 U2 R
L F' L' B2 U2 R
L2 F' L2 B2 U2 R
L F' L2 B2 U2 R
L' F' U2 R D2 F2
L' F' U2 D2 R F2
L2 F' U2 R D2 F2
D2 F' U2 D2 F' R
L' F' D2 U2 R F2
L2 F' U2 D2 R F2
L F' U2 R D2 F2
L F' U2 D2 R F2
L' F' B2 L U2 R
L' F' B2 L' U2 R
L' F' B2 L2 U2 R
L' F' B2 U2 R D
L' F' B2 U2 R D'
L' F' B2 U2 R D2
L' F' B2 U2 D R
L' F' B2 U2 D' R
L' F' B2 U2 D2 R
L' F' B2 D U2 R
D2 F' D2 U2 F' R
L' F' B2 D' U2 R
L' F' B2 D2 U2 R
L2 F' D2 U2 R F2
L F' D2 U2 R F2
D2 F' B U2 F' R'
D2 F' B' L U2 F'
F' D' U R2 U R'
L2 F' B2 L U2 R
L2 F' B2 L' U2 R
L2 F' B2 L2 U2 R
L2 F' B2 U2 R D
L2 F' B2 U2 R D'
L2 F' B2 U2 R D2
L2 F' B2 U2 D R
L F' B2 L U2 R
L2 F' B2 U2 D' R
L2 F' B2 U2 D2 R
L2 F' B2 D U2 R
L F' B2 L' U2 R
L2 F' B2 D' U2 R
L F' B2 L2 U2 R
L2 F' B2 D2 U2 R
L F' B2 U2 R D
L F' B2 U2 R D'
L F' B2 U2 R D2
L F' B2 U2 D R
L F' B2 U2 D' R
L F' B2 U2 D2 R
L F' B2 D U2 R
L F' B2 D' U2 R
L F' B2 D2 U2 R
F' D2 L U2 R F2
F' D2 L' U2 R F2
F' D2 L2 U2 R F2
F D2 L' U2 F2 B2
F D2 L' U2 B2 F2
F' D2 U2 R F2 D
F' D2 U2 R F2 D'
F' D2 U2 R F2 D2
F' D2 U2 R' F2 R2
F' D2 U2 R2 F2 R'
F' D2 U2 R2 F2 R'
B2 D2 U2 R2 B R'
F2 D2 F U2 R F
B' D2 F' B' L U2
F D2 U2 F2 R B2
