R F' R U B R'
L' R F' R U B R'
L R F' R U B R'
L2 R F' R U B R'
R L F' R U B R'
B' L F' U R F' U
R L' F' R U B R'
R L2 F' R U B R'
U' R F' R U B R'
U2 R F' R U B R'
B R F' R U B R
U R F' R U B R'
F' U R D2 F' U R
F' U R F' B U R'
F' U R B F' U R'
F' U B R F' U R2
R' F L' B U' R' B
R2 F L' U' B L R'
R2 F L' U' B R' L
R' F B L' U' R' B
R F' L R U B R'
R F' L' R U B R'
R F' L2 R U B R'
R F' R L U B R'
R F' R L' U B R'
R F' R L2 U B R'
R F' R U B R' D
R F' R U B R' D'
R F' R U B R' D2
R F' R U B D R'
R F' R U B D' R'
R F' R U B D2 R'
R F' R B' U B2 R'
B' D' L F' R B' U2
B' D' L F' B' R U2
B' D' L B' F' R U2
R F' B R U B R2
B' D' F' L R B' U2
B' D' F' L B' R U2
B' D' F' R L B' U2
R2 F2 U' B L R' F'
R2 F2 U' B R' L F'
R2 F2 U' B R' F' L
R' F2 B U' R' F' B
R' F2 B U' R' B F'
R2 B R' U' F' R U
R' B F L' U' R' B
F' B U R F' U R2
R' B F2 U' R' F' B
R' B F2 U' R' B F'
R B F' R U B R2
B' F' L U R F' U
F' B' L U R F' U
B2 F' U R F' B U
B2 F' U R B F' U
B F' U R F' U R2
F' B2 U R F' B U
F' B2 U R B F' U
