L' D2 B2 U F L
R2 F2 R U' L' F
F2 L R U R2 B' U2
F2 L R U B' R2 U2
F2 L R U' D2 L2 F
F2 L R D2 U' L2 F
R' L D F2 B' U2 R2
R' L D B' F2 U2 R2
R' L D' L2 U2 F B2
R' L D' L2 U2 B2 F
R' L D' B' L2 F U2
L' R D2 B2 U F L2
B2 L D' B2 D2 R2 F'
R' L B' D F2 U2 R2
R' L B' D' L2 U2 B2
F2 L' R U R2 U2 F
F2 L' R U' D2 F L2
F2 L' R U' F D2 L2
R2 L' U2 F2 U' L' F'
F2 L' R D B2 U' F
F2 L' R D2 U' F L2
L R' D F2 B' U2 R2
L R' D B' F2 U2 R2
L R' D' L2 U2 F B2
L R' D' L2 U2 B2 F
L R' D' B' L2 F U2
R L' D2 B2 U F L2
B2 L' U2 F2 U' L2 F'
B2 L' U2 F2 U' F' L2
B2 L' D F2 U F' R2
L R' B' D F2 U2 R2
L R' B' D' L2 U2 B2
B' L' D2 B2 U F L'
U' L' D2 B2 U F L
U2 L' D2 B2 U F L
U L' D2 B2 U F L
B2 L' F2 U' F' L2 B'
L' R2 U2 F2 U' L' F'
D2 L' B2 R U L F'
D2 L' B2 R U F' L
F2 L' B2 R U' F L
R' U L' U D R2 F
R' U L' U D F R2
R' U L' U2 F2 U' F'
R' U L' D U R2 F
R' U L' D U F R2
R' U L' D2 B2 U F
L' U D R2 F2 L' F'
L' U D F' R2 F2 L'
F2 R L U R2 B' U2
F2 R L U B' R2 U2
F2 R L U' D2 L2 F
F2 R L D2 U' L2 F
F2 R L' U R2 U2 F
F2 R L' U' D2 F L2
F2 R L' U' F D2 L2
F2 R L' D B2 U' F
F2 R L' D2 U' F L2
R2 U F2 R U' L' F
F2 R U' L D2 L2 F
F2 R U' L' D2 F L2
F2 R U' L' F D2 L2
L' U' R' U' F2 U' F'
L' U' R' U2 D R2 F
L' U' R' U2 D F R2
L' U' R' D U2 R2 F
L' U' R' D U2 F R2
L' U' R' D' L2 B' U2
L' U' D R' U2 R' F
L' U' D R' U2 F R'
L' U' D' L2 R' B' U2
L' U' D' R' L2 B' U2
R' U' F2 L' R U' F
R' U' F2 R L' U' F
R' U' F2 D2 R U' F'
R2 U' F2 R U' L' F
D2 R' B U L' B U
D2 R' B U B L' U
R2 U2 F2 R U' L' F
L' U2 F2 B2 U' L F'
L' U2 F2 B2 U' F' L
L' U2 B2 F2 U' L F'
L' U2 B2 F2 U' F' L
U' R2 F2 R U' L' F
U2 R2 F2 R U' L' F
U R2 F2 R U' L' F
L' D U R2 F2 L' F'
L' D U F' R2 F2 L'
L' D U' R' U2 R' F
L' D U' R' U2 F R'
L' D F' U R2 F2 L'
L' D B2 U R2 F L
L' D B2 U F L R2
L' D B2 U F R2 L
L D' L B2 L R' F
L D' L B2 L F R'
L D' L B2 R' L F
L D' L2 R' U2 F B2
L D' L2 R' U2 B2 F
L D' L2 U2 F B2 L
L D' L2 U2 B2 F L
L D' R' L2 U2 F B2
L D' R' L2 U2 B2 F
L D' R' B' L2 F U2
L' D' U' L2 R' B' U2
L' D' U' R' L2 B' U2
L D' B2 D2 L R2 F'
L D' B2 D2 R2 L F'
L D' B2 D2 R2 F' L
L2 D2 L B2 U F L
L' D2 F' B2 U L F2
L' D2 F' B2 U F2 L
L' D2 F2 B2 U L F'
L' D2 F2 B2 U F' L
L' D2 B2 R U F L
L' D2 B2 R' U F L
L' D2 B2 R2 U F L
L' D2 B2 U D F L
L' D2 B2 U D' F L
L' D2 B2 U D2 F L
L' D2 B2 U F L D
L' D2 B2 U F L D'
L' D2 B2 U F L D2
L' D2 B2 U F D L
L' D2 B2 U F D' L
L' D2 B2 U F D2 L
L' D2 B2 U F' L F2
L' D2 B2 U F2 L F'
L' D2 B2 D U F L
L' D2 B2 D' U F L
L' D2 B2 D2 U F L
L' D2 B2 F' U L F2
L' D2 B2 F' U F2 L
L' D2 B2 F2 U L F'
L' D2 B2 F2 U F' L
L' F' R2 B U F2 L'
R2 F2 L R U' L2 F
R2 F2 R L U' L2 F
R2 F2 R U' L' D F
R2 F2 R U' L' D' F
R2 F2 R U' L' D2 F
R2 F2 R U' L' F D
R2 F2 R U' L' F D'
R2 F2 R U' L' F D2
R2 F2 R B U' L' F
R2 F2 R B' U' L' F
R2 F2 R B2 U' L' F
R F2 R U' F2 L' F
F2 D' B2 R U' L F
L' F2 U' R' U2 R F'
F2 D2 R U R2 B U2
F2 D2 R U' D2 L2 F'
F2 D2 R U' D2 F' L2
F2 D2 R U' F' D2 L2
F2 D2 R D B2 U' F'
F2 D2 R D2 U' L2 F'
F2 D2 R D2 U' F' L2
R2 F2 D2 R U' L' F'
R2 F2 B R U' L' F
R F2 D2 R U' L2 F'
R F2 D2 R U' F' L2
R2 F2 B' R U' L' F
R2 F2 B2 R U' L' F
F2 D2 B2 R U' L F'
F2 D2 B2 R U' F' L
R2 B F2 R U' L' F
L' B' D2 B2 U F L'
R2 B' F2 R U' L' F
D2 B2 L' R U L2 F'
