F' U' L2 F2 R
B2 U' R' F L2
B2 U' F L2 R'
B2 U' F R' L2
U' F' L2 F2 R
D' B2 U' R' F
D' B2 U' F R'
U L U2 L' F L2
F' L' U' L' F2 R
U' L2 U2 B' L' U2
U L2 B' L' U2 L
U' R F' L2 F2 R
U' R' F' L2 F2 R
U' R2 F' L2 F2 R
F' U L U2 L F2
F' U L U2 F2 L
F2 U L U2 L F'
F2 U L U2 F' L
F' U' L2 R F2 R
F' U' L2 R' F2 R
F' U' L2 R2 F2 R
F' U' L2 F2 R D
F' U' L2 F2 R D'
F' U' L2 F2 R D2
F' U' L2 F2 D R
F' U' L2 F2 D' R
F' U' L2 F2 D2 R
F' U' R L2 F2 R
F2 U' L2 F2 R F
B2 U' R F L2 R2
B2 U' R F R2 L2
F' U' R' L2 F2 R
B2 U' R' F L2 D
B2 U' R' F L2 D'
B2 U' R' F L2 D2
B2 U' R' F' L2 F2
B2 U' R' F2 L2 F'
F' U' R2 L2 F2 R
B2 U' F L2 R' D
B2 U' F L2 R' D'
B2 U' F L2 R' D2
B2 U' F L2 D R'
B2 U' F L2 D' R'
B2 U' F L2 D2 R'
B2 U' F R' L2 D
B2 U' F R' L2 D'
B2 U' F R' L2 D2
F2 U' F L2 F2 R
B2 U' F' L2 R' F2
B2 U' F' L2 F2 R'
B2 U' F' R' L2 F2
B2 U' F' R' F2 L2
B2 U' F2 L2 F' R'
U' F L' D2 L' R2
U' F L' D2 R2 L'
U' F L2 U2 L' U2
U' F L2 F2 R F2
U' F U2 L U2 L
U' F B2 L2 R' B2
U' F B2 R' L2 B2
U' F B2 R' B2 L2
U' F' L2 R F2 R
U' F' L2 R' F2 R
U' F' L2 R2 F2 R
U' F' L2 F2 R D
U' F' L2 F2 R D'
U' F' L2 F2 R D2
U' F' L2 F2 D R
U' F' L2 F2 D' R
U' F' L2 F2 D2 R
U' F' R L2 F2 R
U' F' R' L2 F2 R
U' F' R2 L2 F2 R
U F' L2 F2 R B'
U F' L2 F2 B' R
U F' L2 B' F2 R
U2 F' U L2 F2 R
D' F' B2 U' R' F2
D' F' B2 U' F2 R'
U' F2 L2 F2 R F
F' D' B2 L2 U' R'
F2 D' B2 U' F' R'
D' F2 B2 U' F' R'
U B' U2 F L2 R
U B' U2 F R L2
B2 F' U' L2 R' F2
B2 F' U' L2 F2 R'
B2 F' U' R' L2 F2
B2 F' U' R' F2 L2
B2 F' U' F2 L2 R'
B2 F' U' F2 R' L2
U' B2 R' F L2 B2
U' B2 R' F B2 L2
U' B2 R' B2 F L2
U2 B2 U R' F L2
U2 B2 U F L2 R'
U2 B2 U F R' L2
D' B2 U' R F R2
D' B2 U' R' D F
D' B2 U' R' D' F
D' B2 U' R' D2 F
D' B2 U' R' F D
D' B2 U' R' F D'
D' B2 U' R' F D2
D' B2 U' D R' F
D' B2 U' D F R'
D' B2 U' D' R' F
D' B2 U' D' F R'
D' B2 U' D2 R' F
D' B2 U' D2 F R'
D' B2 U' F R' D
D' B2 U' F R' D'
D' B2 U' F R' D2
D' B2 U' F D R'
D' B2 U' F D' R'
D' B2 U' F D2 R'
D' B2 U' F' R' F2
F' B2 U' L2 R' F2
F' B2 U' L2 F2 R'
F' B2 U' R' L2 F2
F' B2 U' R' F2 L2
F' B2 U' F2 L2 R'
F' B2 U' F2 R' L2
D' B2 D U' R' F
D' B2 D U' F R'
