B L D' R2 F2 B'
B L D' R2 B' F2
B L D' F2 R2 B'
B L D' F2 B' R2
B L D' B' R2 F2
B L D' B' F2 R2
R2 B' U B2 L B'
B' L R2 U' R U2 B'
U' L R2 F U B' R'
B' L R2 F2 U B' L'
B L U' R2 B2 U B
B L D' R B' R F2
B L D' R' F2 R' B'
B L D' R2 F2 D B'
B L D' R2 F2 D' B'
B L D' R2 F2 D2 B'
B L D' R2 F2 B' D
B L D' R2 F2 B' D'
B L D' R2 F2 B' D2
B L D' R2 B' F2 D
B L D' R2 B' F2 D'
B L D' R2 B' F2 D2
B L D' F R2 F B'
B L D' F R2 B' F
B L D' F B' R2 F
B L D' F2 R B' R
B L D' F2 R2 D B'
B L D' F2 R2 D' B'
B L D' F2 R2 D2 B'
B L D' F2 R2 B' D
B L D' F2 R2 B' D'
B L D' F2 R2 B' D2
B L D' F2 B R2 B2
B L D' F2 B' R2 D
B L D' F2 B' R2 D'
B L D' F2 B' R2 D2
B L D' B R2 F2 B2
B L D' B R2 B2 F2
B L D' B F2 R2 B2
B L D' B' R' F2 R'
B L D' B' R2 F2 D
B L D' B' R2 F2 D'
B L D' B' R2 F2 D2
B L D' B' F R2 F
B L D' B' F2 R2 D
B L D' B' F2 R2 D'
B L D' B' F2 R2 D2
B L D2 B' D R2 F2
B L D2 B' D F2 R2
U' L F R2 U B' R'
B L F D' R2 F2 B'
B L F D' R2 B' F2
B L F D' F2 R2 B'
B L F D' F2 B' R2
B L F D' B' R2 F2
B L F D' B' F2 R2
B L F' D' R2 F2 B'
B L F' D' R2 B' F2
B L F' D' F2 R2 B'
B L F' D' F2 B' R2
B L F' D' B' R2 F2
B L F' D' B' F2 R2
B L F2 D' R2 F2 B'
B L F2 D' R2 B' F2
B L F2 D' F2 R2 B'
B L F2 D' F2 B' R2
B L F2 D' B' R2 F2
B L F2 D' B' F2 R2
B2 L B' L D' R2 F2
B2 L B' L D' F2 R2
B L B' U' R2 B' U
B L B' U' B' R2 U
B2 L B' D' L R2 F2
B2 L B' D' L F2 R2
B2 L B' D' R2 L F2
B2 L B' D' R2 F2 L
B2 L B' D' F2 L R2
B2 L B' D' F2 R2 L
B' L' R2 U' R F U2
B L' R2 B2 U L2 B'
B L' B2 R2 U L2 B'
B L2 D' L' R2 F2 B'
B L2 D' L' R2 B' F2
B L2 D' L' F2 R2 B'
B L2 D' L' F2 B' R2
B L2 D' L' B' R2 F2
B L2 D' L' B' F2 R2
B L2 D' R2 L' F2 B'
B L2 D' R2 L' B' F2
B' R2 L U' R U2 B'
U' R2 L F U B' R'
B' R2 L F2 U B' L'
B' R2 L' U' R F U2
B R2 L' B2 U L2 B'
B R2 U L D' R2 B'
B R2 U L D' B' R2
B' R2 U' D2 R F' U2
B' R2 D F2 U L' B'
U' R2 D' B' L F U
B' R2 D2 U' R F' U2
B' R2 F2 L U B' L2
B' R2 F2 U L B' L2
U' R2 B' L F U B'
U' R2 B' U B L B'
F' R2 B' U B2 L B'
F2 R2 B' U B2 L B'
F R2 B' U B2 L B'
B R2 B2 U B2 L B'
B U L D' R2 F2 B'
B U L D' R2 B' F2
B U L D' F2 R2 B'
B U L D' F2 B' R2
B U L D' B' R2 F2
B U L D' B' F2 R2
B' U B2 L D' F2 B'
B' U B2 L D' B' F2
B' U B2 L B' D' F2
B U' L D' R2 F2 B'
B U' L D' R2 B' F2
B U' L D' F2 R2 B'
B U' L D' F2 B' R2
B U' L D' B' R2 F2
B U' L D' B' F2 R2
L' D' F2 R2 B L R'
L' D' F2 R2 B R' L
R2 D' B' L U' R' U2
U' D' B' L F U F
D' U' B' L F U F
R' D2 R' B' U B2 L
B U2 L D' R2 F2 B'
B U2 L D' R2 B' F2
B U2 L D' F2 R2 B'
B U2 L D' F2 B' R2
B U2 L D' B' R2 F2
B U2 L D' B' F2 R2
R2 D2 B' U' R' U2 B
R2 F B' U B2 L B'
R2 F' B' U B2 L B'
B D' R2 F2 D L B'
B D' F2 R2 D L B'
D' F2 U' B' L F U
R2 F2 B' U B2 L B'
R2 B L' B2 U L2 B'
R2 B U L D' R2 B'
R2 B U L D' B' R2
F' B L D' R2 F2 B'
F' B L D' R2 B' F2
F' B L D' F2 R2 B'
F' B L D' F2 B' R2
F' B L D' B' R2 F2
F' B L D' B' F2 R2
F2 B L D' R2 F2 B'
F2 B L D' R2 B' F2
F2 B L D' F2 R2 B'
F2 B L D' F2 B' R2
F2 B L D' B' R2 F2
F2 B L D' B' F2 R2
B F L D' R2 F2 B'
B F L D' R2 B' F2
B F L D' F2 R2 B'
B F L D' F2 B' R2
B F L D' B' R2 F2
B F L D' B' F2 R2
F B L D' R2 F2 B'
F B L D' R2 B' F2
F B L D' F2 R2 B'
F B L D' F2 B' R2
F B L D' B' R2 F2
F B L D' B' F2 R2
D B D' L R2 F' B'
D B D' L R2 B' F'
D B D' R2 L F' B'
D B D' R2 L B' F'
D B D' R2 F' L B'
U' B' L R2 F U B'
D' B' L R2 U F2 L'
U' B' L F R2 U B'
D' B' L U' R' U2 F2
R2 B' L U B2 L B
R2 B' L U' R' U2 B'
R2 B' L' U' R' F U2
R2 B' L' U' F R' U2
U' B' R2 L F U B'
U' B' R2 U B L B'
D' B' R2 L U F2 L'
B F' L D' R2 F2 B'
B F' L D' R2 B' F2
B F' L D' F2 R2 B'
B F' L D' F2 B' R2
B F' L D' B' R2 F2
B F' L D' B' F2 R2
R2 B' U L B2 L B
R2 B' U B' L B' L
R2 B' U B2 L D B'
R2 B' U B2 L D' B'
R2 B' U B2 L D2 B'
R2 B' U B2 L B' D
R2 B' U B2 L B' D'
R2 B' U B2 L B' D2
R2 B' U' D2 R' U2 B
R2 B' U2 B2 U' L B'
R2 B' D2 U' R' U2 B
R2 B' F U B2 L B'
R2 B' F' U B2 L B'
R2 B' F2 U B2 L B'
R2 B2 L B U B2 L
B F2 L D' R2 F2 B'
B F2 L D' R2 B' F2
B F2 L D' F2 R2 B'
B F2 L D' F2 B' R2
B F2 L D' B' R2 F2
B F2 L D' B' F2 R2
