U' B' L2 R' F'
U' B' R' L2 F'
U' B' R' F' L2
F R B U L2 B2
F R B U B2 L2
U' R' F' B' L2 R'
U' R' F' B' R' L2
U' R' B' L2 F' R'
U' R' B' F' L2 R'
U' R' B' F' R' L2
U' F B' L2 R' F'
U' F B' R' L2 F'
U' F B' R' F' L2
U' F' B' L2 R' F'
U' F' B' R' L2 F'
U' F' B' R' F' L2
U' F2 B' L2 R' F'
U' F2 B' R' L2 F'
U' F2 B' R' F' L2
U' B' L R' F' L
U' B' L2 R' D F'
U' B' L2 R' D' F'
U' B' L2 R' D2 F'
U' B' L2 R' F' D
U' B' L2 R' F' D'
U' B' L2 R' F' D2
U' B' L2 D R' F'
U' B' L2 D' R' F'
U' B' L2 D2 R' F'
U' B' L2 F R' F'
U' B' L2 F' R' F'
U' B' L2 F2 R' F'
U B' L F L R
U B' L F R L
U' B' R' L F' L
U' B' R' L2 D F'
U' B' R' L2 D' F'
U' B' R' L2 D2 F'
U' B' R' L2 F' D
U' B' R' L2 F' D'
U' B' R' L2 F' D2
U' B' R' F L2 F2
U' B' R' F' L2 D
U' B' R' F' L2 D'
U' B' R' F' L2 D2
U' B' F L2 R' F'
U' B' F R' L2 F'
U' B' F R' F' L2
U' B' F' L2 R' F'
U' B' F' R' L2 F'
U' B' F' R' F' L2
U' B' F2 L2 R' F'
U' B' F2 R' L2 F'
U' B' F2 R' F' L2
U' B2 L2 B R' F'
B2 L U L F B R
B2 L U L B F R
B L U L F R B2
B L U L F B2 R
B L U L B2 F R
U' L U2 L F R B
R' L F' L' U' B' L2
U L F L' R B' L2
U L F L' B' L2 R
U L F L' B' R L2
U L F R L' B' L2
F' L' U' L B' L2 R'
F' L' U' L B' R' L2
L R' F' L' U' B' L2
L' U L F R B' L2
L' U L F B' L2 R
L' U L F B' R L2
L' U L B' F L2 R
L' U L B' F R L2
U' L2 B' R' F' D2 B2
U2 R U B' L2 R' F'
U2 R U B' R' L2 F'
U2 R U B' R' F' L2
F R U B' L2 D' R2
U R U2 B' L2 R' F'
U R U2 B' R' L2 F'
U R U2 B' R' F' L2
F R D F2 B U B2
F R D B F2 U B2
L' U' L B' L2 R' F'
L' U' L B' R' L2 F'
L' U' L B' R' F' L2
F R F B U L2 B2
F R F B U B2 L2
F R F' B U L2 B2
F R F' B U B2 L2
U' R B L U2 L B2
F R F2 B U L2 B2
F R F2 B U B2 L2
U' R B U2 B2 L2 R'
U' R B U2 B2 R' L2
F R B L U L B2
F R B L' U L' B2
F R B L' U B2 L'
F R B U L' B2 L'
F R B U L2 B2 D
F R B U L2 B2 D'
F R B U L2 B2 D2
U' R B' L2 R' D2 F2
U' R B' L2 D2 R' F2
U' R B' L2 D2 F2 R'
F R B U B L2 B
F R B U B2 L2 D
F R B U B2 L2 D'
F R B U B2 L2 D2
U' R B' R' L2 D2 F2
F R B D L2 F2 U
F R B D F2 L2 U
F R B F U L2 B2
F R B F U B2 L2
F R B F' U L2 B2
F R B F' U B2 L2
F R B F2 U L2 B2
F R B F2 U B2 L2
U R B' L F L R
U R B' L F R L
U' R B2 L2 F B R'
U' R B2 L2 B R' F
U' R B2 L2 B F R'
U2 R' U B' L2 R' F'
U2 R' U B' R' L2 F'
U2 R' U B' R' F' L2
U R' U2 B' L2 R' F'
U R' U2 B' R' L2 F'
U R' U2 B' R' F' L2
U' R' F B' L2 R' F2
U' R' F B' L2 F2 R'
U' R' F B' R' L2 F2
U' R' F B' R' F2 L2
U' R' F' R B' L2 R'
U' R' F' R B' R' L2
U' R' F' R' B' L2 R'
U' R' F' R' B' R' L2
U' R' F' R2 B' L2 R'
U' R' F' R2 B' R' L2
B R' F' L' U' L' B2
B R' F' L' U' B2 L'
D' R' F' B2 L' U' B
U' R' F' B' L2 R' D
U' R' F' B' L2 R' D'
U' R' F' B' L2 R' D2
U' R' F' B' L2 D R'
U' R' F' B' L2 D' R'
U' R' F' B' L2 D2 R'
U' R' F' B' R' L2 D
U' R' F' B' R' L2 D'
U' R' F' B' R' L2 D2
U' R' F' B2 L2 B R'
U' R' F2 B' R' F L2
U' R' B' L F' L R'
U' R' B' L F' R' L
U' R' B' L2 D F' R'
U' R' B' L2 D' F' R'
U' R' B' L2 D2 F' R'
U' R' B' L2 F R' F2
U' R' B' L2 F' R' D
U' R' B' L2 F' R' D'
U' R' B' L2 F' R' D2
U' R' B' L2 F' D R'
U' R' B' L2 F' D' R'
U' R' B' L2 F' D2 R'
U' R' B' L2 F2 R' F
U' R' B' F L2 R' F2
U' R' B' F L2 F2 R'
U' R' B' F R' L2 F2
U' R' B' F R' F2 L2
U' R' B' F' L2 R' D
U' R' B' F' L2 R' D'
U' R' B' F' L2 R' D2
U' R' B' F' L2 D R'
U' R' B' F' L2 D' R'
U' R' B' F' L2 D2 R'
U' R' B' F' R' L2 D
U' R' B' F' R' L2 D'
U' R' B' F' R' L2 D2
U' R' B' F2 R' F L2
U R' B' L F L R
U R' B' L F R L
U' R' B2 L2 F' B R'
U' R' B2 L2 B F' R'
D' R' B2 F' L' U' B
U' R' B2 F' L2 B R'
U2 R2 U B' L2 R' F'
U2 R2 U B' R' L2 F'
U2 R2 U B' R' F' L2
U R2 U2 B' L2 R' F'
U R2 U2 B' R' L2 F'
U R2 U2 B' R' F' L2
U' R2 B' L2 R F' R2
U' R2 B' R L2 F' R2
U' R2 B' R F' L2 R2
U' R2 B' R F' R2 L2
U R2 B' L F L R
U R2 B' L F R L
B2 U L F L B R
B U L F L R B2
B U L F L B2 R
B U L F R L B2
D2 U R2 U2 B' R' F'
U2 D F2 U B' R' F'
U' D B' R' D' L2 F'
U' D B' R' D' F' L2
U' D B' D' L2 R' F'
U' D B' D' R' L2 F'
U' D B' D' R' F' L2
B2 U B L F L R
B2 U B L F R L
B U B2 L F L R
B U B2 L F R L
R' D' F' B2 L' U' B
B2 U' L2 B' R' F' B2
B2 U' L2 B' R' B2 F'
B U' L2 B' R' F' B'
B U' L2 B' R' B' F'
R' D' B2 F' L' U' B
D2 U' B' D2 L2 R' F'
D2 U' B' D2 R' L2 F'
D2 U' B' D2 R' F' L2
D U' B' R' D' L2 F'
D U' B' R' D' F' L2
D U' B' D' L2 R' F'
D U' B' D' R' L2 F'
D U' B' D' R' F' L2
B2 U' B' L2 R' F' B2
B2 U' B' L2 R' B2 F'
B2 U' B' R' L2 F' B2
B2 U' B' R' L2 B2 F'
B2 U' B' R' F' L2 B2
B2 U' B' R' F' B2 L2
B2 U' B' R' B2 L2 F'
B2 U' B' R' B2 F' L2
B U' B' R' F' B' L2
B U' B' R' B' L2 F'
B U' B' R' B' F' L2
F U' B' L2 R' D' F2
F U' B' R' L2 D' F2
U D2 R2 U2 B' R' F'
D U2 F2 U B' R' F'
F U2 R U B' L2 R'
F U2 R U B' R' L2
U' D2 B' D2 L2 R' F'
U' D2 B' D2 R' L2 F'
U' D2 B' D2 R' F' L2
U' F R' F' B' L2 R'
U' F R' F' B' R' L2
U' F R' B' L2 F' R'
U' F R' B' F' L2 R'
U' F R' B' F' R' L2
D F R F B U B2
D F R B F U B2
U F R B' L F L
U2 F U B' L2 R' F'
U2 F U B' R' L2 F'
U2 F U B' R' F' L2
U' F B' L R' F' L
U' F B' L2 R' D F'
U' F B' L2 R' D' F'
U' F B' L2 R' D2 F'
U' F B' L2 R' F' D
U' F B' L2 R' F' D'
U' F B' L2 R' F' D2
U' F B' L2 D R' F'
U' F B' L2 D' R' F'
U' F B' L2 D2 R' F'
U' F B' L2 F R' F'
U' F B' L2 F' R' F'
U' F B' L2 F2 R' F'
U' F B' R' L F' L
