F2 L' D' F' B2 U
F2 L' D' B2 F' U
F2 L' D2 F' U R2
F2 L' F' U D2 R2
F2 L' F' U' L2 U2
F2 L' F' D' B2 U
F2 L' F' D2 U R2
F U D B2 R' B
F U B2 D R' B
F U' D' L U2 B'
F D U B2 R' B
F D B2 U R' B
F D' U' L U2 B'
B2 F U D R' B
B2 F D U R' B
B2 F D U R' B
B2 F2 L' F' U R'
F2 B2 L' F' U R'
F B2 U D R' B
F B2 D U R' B
F2 L U L2 F' U F
U' L U F2 L' F U
F L U2 F' R U' R'
F2 L F' L2 U D2 R2
F2 L F' L2 U' L2 U2
F2 L F' L2 D' B2 U
F2 L F' L2 D2 U R2
B2 L F2 L' F U R'
U' L F2 U L' F U
F2 L' U' L2 U F' U
B2 L' U2 R B U' R2
B L' U2 R B U' R'
F2 L' D F' U2 F' U'
F L' D' L B2 U B
F2 L' D' F' U D' R2
F2 L' D' F' D' U R2
F2 L' D' F' B2 U D
F2 L' D' F' B2 U D'
F2 L' D' F' B2 U D2
F2 L' D' F' B2 D U
F2 L' D' F' B2 D' U
F2 L' D' F' B2 D2 U
F2 L' D' B2 D F' U
F2 L' D' B2 D' F' U
F2 L' D' B2 D2 F' U
F2 L' D' B2 F' U D
F2 L' D' B2 F' U D'
F2 L' D' B2 F' U D2
F2 L' D' B2 F' D U
F2 L' D' B2 F' D' U
F2 L' D' B2 F' D2 U
F L' D' B2 L U B'
F2 L' D2 F' U R2 D
F2 L' D2 F' U R2 D'
F2 L' D2 F' U R2 D2
F2 L' D2 F' D B2 U
F2 L' D2 F' B U R2
F2 L' D2 F' B' U R2
F2 L' D2 F' B2 U R2
F2 L' D2 B F' U R2
F2 L' D2 B' F' U R2
F2 L' D2 B2 F' U R2
F L' D2 B' L U R2
F2 L' F D' B2 U L2
F2 L' F' U R D2 R2
F2 L' F' U R' D2 R2
F2 L' F' U R2 D2 R2
F2 L' F' U D2 R2 D
F2 L' F' U D2 R2 D'
F2 L' F' U D2 R2 D2
F2 L' F' U' L2 U2 D
F2 L' F' U' L2 U2 D'
F2 L' F' U' L2 U2 D2
F2 L' F' U' L2 D U2
F2 L' F' U' L2 D' U2
F2 L' F' U' L2 D2 U2
F2 L' F' U2 D F2 U'
F2 L' F' D U2 F2 U'
F2 L' F' D' B2 U D
F2 L' F' D' B2 U D'
F2 L' F' D' B2 U D2
F2 L' F' D' B2 D U
F2 L' F' D' B2 D' U
F2 L' F' D' B2 D2 U
F2 L' F' D2 U R2 D
F2 L' F' D2 U R2 D'
F2 L' F' D2 U R2 D2
F2 L' F' D2 B U R2
F2 L' F' D2 B' U R2
F2 L' F' D2 B2 U R2
F2 L' F' B U D2 R2
F2 L' F' B U' L2 U2
F2 L' F' B D' B2 U
F2 L' F' B D2 U R2
F2 L' F' B' U D2 R2
F2 L' F' B' U' L2 U2
F2 L' F' B' D' B2 U
F2 L' F' B' D2 U R2
F2 L' F' B2 U D2 R2
F2 L' F' B2 U' L2 U2
F2 L' F' B2 D' B2 U
F2 L' F' B2 D2 U R2
F2 L' F2 D' F B2 U
F2 L' F2 D' B2 F U
F2 L' F2 D2 F U R2
F2 L' B D' F' B2 U
F2 L' B D' B2 F' U
F2 L' B D2 F' U R2
F2 L' B F' U D2 R2
F2 L' B F' U' L2 U2
F2 L' B F' D' B2 U
F2 L' B F' D2 U R2
F2 L' B' D' F' B2 U
F2 L' B' D' B2 F' U
F2 L' B' D2 F' U R2
F2 L' B' F' U D2 R2
F2 L' B' F' U' L2 U2
F2 L' B' F' D' B2 U
F2 L' B' F' D2 U R2
F2 L' B2 D' F' B2 U
F2 L' B2 D' B2 F' U
F2 L' B2 D2 F' U R2
F2 L' B2 F' U D2 R2
F2 L' B2 F' U' L2 U2
F2 L' B2 F' D' B2 U
F2 L' B2 F' D2 U R2
F L2 U' D' L' F U2
B2 L2 U2 R B' U' R2
F L2 U2 F2 U' R B
F L2 D' U' L' F U2
F' L2 F' L' F' U R
F2 L2 F' D' L B' U
L U F2 L' F U F
B' R U2 R' F U R
B2 R U2 R' F U R'
B' R U2 F R' U R2
B2 R U2 F R' U R'
U2 R U2 F U' L U2
U2 R U2 F B2 U R'
U2 R U2 B2 F U R'
U2 R F U L U2 L'
L' U' L2 U' R B U'
U2 R F' D2 B2 U' R'
U2 R B' U2 F U R
U2 R B2 U2 F U R'
L' U2 R D F2 B U'
L' U2 R D B F2 U'
L' U2 R D2 B U' R2
L' U2 R B U L2 U2
L' U2 R B U' D2 R2
L' U2 R B D F2 U'
L' U2 R B D2 U' R2
L2 U2 R F2 B' U' R
L2 U2 R B' U L' U2
L2 U2 R B' F2 U' R
R U2 R' F U' L U2
R U2 R' F B2 U R'
R U2 R' B2 F U R'
L' U2 D R F2 B U'
L' U2 D R B F2 U'
L' U2 D2 R B U' R
R U2 F R' U' L U2
R U2 F R' B2 U R'
L2 U2 B' R U L' U2
L2 U2 B' R F2 U' R
R' D R F U B2 R'
L' D U2 R F2 B U'
L' D U2 R B F2 U'
F U R D B2 R' B
F U R B2 D R' B
F U R' D B2 R' B
F U R' B2 D R' B
F U R2 D B2 R' B
F U R2 B2 D R' B
F U D R' B2 R' B'
F U D B R' B R'
F U D B2 R' D B
F U D B2 R' D' B
F U D B2 R' D2 B
F U D B2 R' B D
F U D B2 R' B D'
F U D B2 R' B D2
F U D' B2 D2 R' B
F U B' D B' R' B
F2 U' L U L2 F' U
F2 U' L U F' L2 U
F U B2 D R' D B
F U B2 D R' D' B
F U B2 D R' D2 B
F U B2 D R' B D
F U B2 D R' B D'
F U B2 D R' B D2
F U' L F U L' U
F U' L F' U' R U'
F U' L2 D' L' F U2
L' D' B2 U2 R B U'
F U' D' L U2 D B'
F U' D' L U2 D' B'
F U' D' L U2 D2 B'
F U' D' L U2 B' D
F U' D' L U2 B' D'
F U' D' L U2 B' D2
F U' D' L D U2 B'
F U' D' L D' U2 B'
F U' D' L D2 U2 B'
F U' D' L F U2 B'
F U' D' L F' U2 B'
F U' D' L F2 U2 B'
F U' D' L' F L2 U2
F U' D' F L U2 B'
F U' D' F' L U2 B'
F U' D' F2 L U2 B'
F U' F L U L2 U
F U' F L U2 D' B2
F U' F L D F2 U2
F U' F L D' U2 B2
F U' F' L U' R U'
L' D2 U2 R B U' R
B2 U2 R U2 F U R2
L2 F L2 F L' U R
F U2 F' R U L U2
F U2 F2 U L F U2
D' F U D B2 R' B
D2 F U D B2 R' B
D' F U B2 D R' B
D2 F U B2 D R' B
D' F U' D' L U2 B'
D2 F U' D' L U2 B'
D F U D B2 R' B
D F U B2 D R' B
D F U' D' L U2 B'
D' F D U B2 R' B
D2 F D U B2 R' B
F2 D L' D' F' B2 U
F2 D L' D' B2 F' U
F2 D L' D2 F' U R2
F2 D L' F' U D2 R2
F2 D L' F' U' L2 U2
F2 D L' F' D' B2 U
F2 D L' F' D2 U R2
D' F D B2 U R' B
D2 F D B2 U R' B
D' F D' U' L U2 B'
D2 F D' U' L U2 B'
D F D U B2 R' B
D F D B2 U R' B
D F D' U' L U2 B'
D' F B2 U D R' B
D2 F B2 U D R' B
D' F B2 D U R' B
D2 F B2 D U R' B
R2 F B2 L R2 U R
R2 F B2 R2 L U R
D F B2 U D R' B
F D U R' B2 R' B'
D F B2 D U R' B
F D U B R' B R'
F D U B2 R' D B
F D U B2 R' D' B
F D U B2 R' D2 B
F D U B2 R' B D
F D U B2 R' B D'
F D U B2 R' B D2
B2 D F U D R' B
B2 D F D U R' B
B2 D F2 L' F' U R'
F D B U R' B R'
F D B U B R' B
F2 D B2 L' F' U R'
F D B2 L U R' B
F D B2 L' U R' B
F D B2 L2 U R' B
F D B2 U R' D B
F D B2 U R' D' B
F D B2 U R' D2 B
F D B2 U R' B D
F D B2 U R' B D'
F D B2 U R' B D2
F2 D' L' D' F' B2 U
F2 D' L' D' B2 F' U
F2 D' L' D2 F' U R2
F2 D' L' F' U D2 R2
F2 D' L' F' U' L2 U2
F2 D' L' F' D' B2 U
F2 D' L' F' D2 U R2
F D' L' U' L2 U2 B'
F D' L' U' F L2 U2
R F' D2 B2 L U' R'
U' F2 L U L2 F' U
U' F2 L U F' L2 U
D2 F2 L' D' F' B2 U
D2 F2 L' D' B2 F' U
D' F2 L' D' F' B2 U
D' F2 L' D' B2 F' U
D2 F2 L' D2 F' U R2
D' F2 L' D2 F' U R2
D2 F2 L' F' U D2 R2
D2 F2 L' F' U' L2 U2
F D' U B2 D2 R' B
D2 F2 L' F' D' B2 U
D' F2 L' F' U D2 R2
D2 F2 L' F' D2 U R2
D' F2 L' F' U' L2 U2
D' F2 L' F' D' B2 U
D' F2 L' F' D2 U R2
F D' U' L U2 D B'
F D' U' L U2 D' B'
F D' U' L U2 D2 B'
F D' U' L U2 B' D
F D' U' L U2 B' D'
F D' U' L U2 B' D2
F D' U' L D U2 B'
F D' U' L D' U2 B'
F D' U' L D2 U2 B'
F D' U' L F U2 B'
F D' U' L F' U2 B'
F D' U' L F2 U2 B'
F D' U' L' F L2 U2
F D' U' F L U2 B'
F D' U' F' L U2 B'
F D' U' F2 L U2 B'
B2 D' F U D R' B
B2 D' F D U R' B
D F2 L' D' F' B2 U
D F2 L' D' B2 F' U
D F2 L' D2 F' U R2
D F2 L' F' U D2 R2
D F2 L' F' U' L2 U2
D F2 L' F' D' B2 U
D F2 L' F' D2 U R2
L F2 L' F U' L U2
L F2 L' F B2 U R'
L F2 L' B2 F U R'
B2 D' F2 L' F' U R'
F2 D' B2 L' F' U R'
L F2 U L' F U F'
F D' B2 L U R' B'
F D' B2 U D2 R' B
F D' B2 D2 U R' B
F2 D2 L' D' F' B2 U
F2 D2 L' D' B2 F' U
F2 D2 L' D2 F' U R2
F2 D2 L' F' U D2 R2
F2 D2 L' F' U' L2 U2
F2 D2 L' F' D' B2 U
F2 D2 L' F' D2 U R2
D2 F2 B2 L' F' U R'
D' F2 B2 L' F' U R'
D F2 B2 L' F' U R'
B2 D2 F U D R' B
B2 D2 F D U R' B
B2 D2 F2 L' F' U R'
F2 D2 B2 L' F' U R'
F D2 B' L B' U R'
B2 F L U D R' B
B2 F L D U R' B
F D2 B2 U R B R2
B2 F L' U D R' B
B2 F L' D U R' B
F2 B L' D2 F' U R
F2 B L' F' B U R'
F2 B L' B F' U R'
B2 F L2 U D R' B
B2 F L2 D U R' B
L2 B D2 F2 L' U R
B2 F U D R' D B
B2 F U D R' D' B
B2 F U D R' D2 B
B2 F U D R' B D
B2 F U D R' B D'
B2 F U D R' B D2
B F U B D R' B
F B U B D R' B
B2 F U2 F' R U' R2
B2 F D L U R' B
B2 F D L' U R' B
B2 F D L2 U R' B
B' F D B' U R' B
B2 F D U R' D B
B2 F D U R' D' B
B2 F D U R' D2 B
B2 F D U R' B D
B2 F D U R' B D'
B2 F D U R' B D2
B2 F D' L U R' B'
U2 B' R U2 F U R
F2 B D2 L' F' U R
B' F D2 B' L U R'
R B' L2 B' L U' R'
F2 B' L' F' B' U R'
F2 B' L' B' F' U R'
F B' D B' U R' B
B2 F2 L F' L2 U R'
F2 B2 L F' L2 U R'
B' F2 L' F' B' U R'
B' F2 L' B' F' U R'
U2 B2 R U2 F U R2
B2 F2 L' D F' U R'
F B' D2 B' L U R'
B2 F2 L' D' F' U R'
B2 F2 L' D2 F' U R'
F2 B2 L' D F' U R'
F2 B2 L' D' F' U R'
B2 F2 L' F' U R' D
B2 F2 L' F' U R' D'
B2 F2 L' F' U R' D2
B2 F2 L' F' U D R'
B2 F2 L' F' U D' R'
B2 F2 L' F' U D2 R'
B2 F2 L' F' D U R'
B2 F2 L' F' D' U R'
B2 F2 L' F' D2 U R'
F2 B2 L' D2 F' U R'
F B2 L U D R' B
F2 B2 L' F' U R' D
F2 B2 L' F' U R' D'
F2 B2 L' F' U R' D2
F2 B2 L' F' U D R'
F2 B2 L' F' U D' R'
F2 B2 L' F' U D2 R'
F2 B2 L' F' D U R'
F2 B2 L' F' D' U R'
F2 B2 L' F' D2 U R'
F B2 L D U R' B
B F2 L' D2 F' U R
B2 F2 L2 F' L U R'
B F2 L' F' B U R'
F2 B2 L2 F' L U R'
F B2 L' U D R' B
B F2 L' B F' U R'
F B2 L' D U R' B
F B2 L2 U D R' B
F B2 L2 D U R' B
F B2 U D R' D B
