U2 L R U2 F' U'
U2 L R' B R2 U
U2 R L U2 F' U'
U2 R' L B R2 U
R' U2 L B R2 U
U2 D2 L R B' U
D2 U2 L R B' U
U2 D2 L B' R U
U2 D2 L B' R U
D2 U2 L B' R U
D2 U2 L B' R U
D2 U2 R L B' U
U2 D2 R L B' U
L2 F2 L' R F' U'
L2 F2 R L' F' U'
U2 L R U2 D F' U'
U2 L R U2 D' F' U'
U2 L R U2 D2 F' U'
U2 L R U2 F' U' D
U2 L R U2 F' U' D'
U2 L R U2 F' U' D2
U2 L R U2 F' D U'
U2 L R U2 F' D' U'
U2 L R U2 F' D2 U'
U2 L R D U2 F' U'
U2 L R D' U2 F' U'
U2 L R D2 U2 F' U'
U2 L R B U2 F' U'
D2 L R B' U2 B U'
U2 L R B' U2 F' U'
U2 L R B2 U2 F' U'
U2 L R' D' B U F2
U' L R' B R2 U L'
U2 L R' B R2 U D
U2 L R' B R2 U D'
U2 L R' B R2 U D2
U2 L R' B R2 D U
U2 L R' B R2 D' U
U2 L R' B R2 D2 U
U2 L R' B U D' F2
U2 L R' B D' U F2
D2 L R' B' R2 F' U
U2 L R' B' R2 B2 U
U2 L R' B2 R2 B' U
L R U2 F' U2 F U
R L U2 F' U2 F U
U2 L D R B U R'
U2 L D B R U R2
R' L B R2 U2 B' U'
L R B U2 F' B' U'
L R B U2 B' F' U'
R L B U2 F' B' U'
R L B U2 B' F' U'
R' L B' R2 F' B2 U
R' L B' R2 B2 F' U
L R B' U2 F' B U'
L R B' U2 B F' U'
R L B' U2 F' B U'
R L B' U2 B F' U'
L R B2 U2 F' B2 U'
L R B2 U2 B2 F' U'
R L B2 U2 F' B2 U'
R L B2 U2 B2 F' U'
U2 L B R U2 F' U'
U2 L B R' B R2 U
D2 L B' R2 F' R' U
U2 L B' R U2 F' U'
U2 L B' R' B R2 U
U2 L B2 R U2 F' U'
U2 L B2 R' B R2 U
R' L' U2 L2 B R2 U
L' R' U2 L2 B R2 U
L2 R' U2 L' B R2 U
R' L' U2 B L2 R2 U
L' R' U2 B L2 R2 U
R' L' U2 B R2 L2 U
L' R' U2 B R2 L2 U
L2 R' U2 B L' R2 U
L2 R' U2 B R2 L' U
F2 L' R D' F' U' B2
F2 L' R D2 F' R2 U'
F2 L' R F' U' D' B2
F2 L' R F' U2 L2 U
F2 L' R F' D' U' B2
F2 L' R F' D2 R2 U'
F2 L' R' U2 L2 B U
F2 L' R' U2 B L2 U
F2 L' R' D2 R2 F' U'
U2 L' R' B L2 R2 U
U2 L' R' B R2 L2 U
R' L' D2 L2 R2 F' U'
L' R' D2 L2 R2 F' U'
R' L' D2 R2 L2 F' U'
R' L' D2 R2 F' L2 U'
L' R' D2 R2 L2 F' U'
L' R' D2 R2 F' L2 U'
D2 L' U2 L2 R B' U
D2 L' U2 L2 B' R U
D2 L' U2 R L2 B' U
R' L' B L2 R2 F U
R' L' B L2 F R2 U
L' R' B L2 R2 F U
L' R' B L2 F R2 U
R' L' B R2 L2 F U
L' R' B R2 L2 F U
L R' B R2 U2 B' U'
F2 L' D' F' U' R B2
F2 L' D' F' U' B2 R
L R' B' R2 F' B2 U
L R' B' R2 B2 F' U
R' L2 U2 L' B R2 U
L2 R2 U2 L' R' B' U
R2 L2 U2 L' R' B' U
L2 R2 U2 R' L' B' U
R2 L2 U2 R' L' B' U
R' L2 U2 B L' R2 U
R' L2 U2 B R2 L' U
U2 L2 R' B L' R2 U
U2 L2 R' B R2 L' U
D2 L2 U2 L' R B U
D2 L2 U2 R L' B U
D2 L2 U2 R B L' U
F2 L2 F2 L R F' U'
F2 L2 F2 R L F' U'
F2 L2 F2 R F' L U'
F L2 F2 R F' L' U'
U2 R L U2 D F' U'
U2 R L U2 D' F' U'
U2 R L U2 D2 F' U'
U2 R L U2 F' U' D
U2 R L U2 F' U' D'
U2 R L U2 F' U' D2
U2 R L U2 F' D U'
U2 R L U2 F' D' U'
U2 R L U2 F' D2 U'
U2 R L D U2 F' U'
U2 R L D' U2 F' U'
U2 R L D2 U2 F' U'
D2 R L B' U2 B U'
U2 R L B U2 F' U'
U2 R L B' U2 F' U'
U2 R L B2 U2 F' U'
F2 R L' D' F' U' B2
F2 R L' D2 F' R2 U'
F2 R L' F' U' D' B2
F2 R L' F' U2 L2 U
F2 R L' F' D' U' B2
F2 R L' F' D2 R2 U'
B2 R U2 F' R2 B2 U'
B2 R U2 F' B2 R2 U'
U2 R U2 F' U2 L U
B2 R U2 B2 F' R2 U'
U2 R D L U2 F' U'
U2 R D' L U2 F' U'
R' U' L B R2 U L'
U2 R D2 L U2 F' U'
B2 R D2 F2 L2 B' U
F' R F' L' U' D' B2
F' R F' L' U2 L2 U
F' R F' L' D' U' B2
F' R F' L' D2 R2 U'
F R F' U2 L R U
F R F' U2 R L U
U2 R B2 U2 F' R' U'
D2 R' L B' R2 F' U
U2 R' L D' B U F2
U' R' L B R2 U L'
U2 R' L B R2 U D
U2 R' L B R2 U D'
U2 R' L B R2 U D2
U2 R' L B R2 D U
U2 R' L B R2 D' U
U2 R' L B R2 D2 U
U2 R' L B U D' F2
U2 R' L B D' U F2
U2 R' L B' R2 B2 U
U2 R' L B2 R2 B' U
F2 R' L' U2 L2 B U
F2 R' L' U2 B L2 U
F2 R' L' D2 R2 F' U'
U2 R' L' B L2 R2 U
U2 R' L' B R2 L2 U
U2 R' L2 B L' R2 U
U2 R' L2 B R2 L' U
U' R' U' L B R2 U
D2 R' U2 L R2 B' U
D2 R' U2 L B' R2 U
D2 R' U2 R2 L B' U
B2 R' U2 B R2 F' U
U2 R' D' L B U F2
R' U2 L R2 U2 F' U'
R' U2 L D' B U F2
R' U2 L B R2 U D
R' U2 L B R2 U D'
R' U2 L B R2 U D2
R' U2 L B R2 D U
R' U2 L B R2 D' U
R' U2 L B R2 D2 U
R2 U2 L R' U2 F U'
R' U2 L B U D' F2
R' U2 L B D' U F2
R' U2 L B' R2 B2 U
R' U2 L B2 R2 B' U
R U2 L U2 L' F' U'
L2 U2 L' R U2 F' U'
L2 U2 L' R' B R2 U
R' U2 L' B L2 R2 U
R' U2 L' B R2 L2 U
R2 U2 L' R' B' L2 U
L' U2 L2 R U2 F' U'
L' U2 L2 R' B R2 U
R' U2 L2 B L' R2 U
R' U2 L2 B R2 L' U
L' U2 R L2 U2 F' U'
L2 U2 R L' U2 F' U'
L' U2 R' L2 B R2 U
L U2 R U2 F' R' U'
L2 U2 R' L' B R2 U
R2 U2 R' L U2 F U'
R2 U2 R' L' B' L2 U
R' U2 R2 L U2 F' U'
L' U2 R' B L2 R2 U
L' U2 R' B R2 L2 U
L2 U2 R' B L' R2 U
L2 U2 R' B R2 L' U
R' U2 D' L B U F2
B2 R' B2 U2 R2 B' U
B2 R' B2 U2 B' R2 U
B2 R' B2 D2 L2 F U'
R U2 F' U2 F L U
D2 R2 U2 L R' B' U
D2 R2 U2 R' L B' U
U2 D L R B U R'
U2 D L B R U R2
U2 D R L B U R'
U2 D R D L B' U
D2 U' L R B' U L'
D2 U' L B' R U L'
R' D' U2 L B U F2
D2 U' R L B' U L'
U2 D' R D' L B' U
R' D2 L2 U2 L' B U
R' D2 L2 U2 B L' U
U' D2 L R B' U L'
D2 U2 L R D B' U
D2 U2 L R D' B' U
D2 U2 L R D2 B' U
D2 U2 L R B' U D
D2 U2 L R B' U D'
D2 U2 L R B' U D2
D2 U2 L R B' D U
D2 U2 L R B' D' U
D2 U2 L R B' D2 U
D2 U2 L R' B' R2 U
D2 U2 L D R B' U
D2 U2 L D B' R U
D2 U2 L D' R B' U
D2 U2 L D' B' R U
D2 U2 L D2 R B' U
D2 U2 L D2 B' R U
U2 D2 L R D B' U
U2 D2 L R D' B' U
U' D2 L B' R U L'
U' D2 L B' R U L'
U2 D2 L R D2 B' U
U2 D2 L R B' U D
U2 D2 L R B' U D'
U2 D2 L R B' U D2
U2 D2 L R B' D U
U2 D2 L R B' D' U
U2 D2 L R B' D2 U
U2 D2 L R' B' R2 U
D2 U2 L B R B2 U
D2 U2 L B' R U D
D2 U2 L B' R U D'
D2 U2 L B' R U D2
D2 U2 L B' R D U
D2 U2 L B' R D' U
D2 U2 L B' R D2 U
D2 U2 L B' D R U
D2 U2 L B' D' R U
D2 U2 L B' D2 R U
U2 D2 L D R B' U
U2 D2 L D B' R U
U2 D2 L D' R B' U
U2 D2 L D' B' R U
U2 D2 L D2 R B' U
D U2 L R B U R'
U2 D2 L D2 B' R U
U2 D2 L B R B2 U
U2 D2 L B' R U D
U2 D2 L B' R U D'
U2 D2 L B' R U D2
U2 D2 L B' R D U
U2 D2 L B' R D' U
U2 D2 L B' R D2 U
U2 D2 L B' D R U
U2 D2 L B' D' R U
U2 D2 L B' D2 R U
D U2 L B R U R2
U' D2 R L B' U L'
D2 U2 R L D B' U
D2 U2 R L D' B' U
D2 U2 R L D2 B' U
D2 U2 R L B' U D
D2 U2 R L B' U D'
D2 U2 R L B' U D2
D2 U2 R L B' D U
D2 U2 R L B' D' U
D2 U2 R L B' D2 U
D' U2 R D' L B' U
U2 D2 R L D B' U
U2 D2 R L D' B' U
U2 D2 R L D2 B' U
U2 D2 R L B' U D
U2 D2 R L B' U D'
U2 D2 R L B' U D2
U2 D2 R L B' D U
U2 D2 R L B' D' U
U2 D2 R L B' D2 U
D2 U2 R' L B' R2 U
D U2 R L B U R'
D U2 R D L B' U
U2 D2 R' L B' R2 U
F' U2 L B' R' B U
L' D2 F2 L' R2 F U'
L' D2 F2 L' F R2 U'
