R' U' L' F' R U'
R' L U' L2 F' R U'
R' L U' F' L2 R U'
R' L U' F' R L2 U'
L2 R' U' L F' R U'
L R' U' L2 F' R U'
R' L' U' F' R U' F
L' R' U' F' R U' F
L R' U' F' L2 R U'
L R' U' F' R L2 U'
L2 R' U' F' L R U'
L2 R' U' F' R L U'
B2 L' R' F' R U' L2
D' L' U R' F U2 R
D' L' U F R' U2 R2
R' L' F' R U R' U2
R' L' F' R B2 U' L
L' R' F' R U R' U2
L' R' F' R B2 U' L
R2 L' F' R F' U' L'
R' L2 U' L F' R U'
R' L2 U' F' L R U'
R' L2 U' F' R L U'
F L' B2 U L F R
L' R2 F' R F' U' L'
R' U' L F' L2 R U'
R' U' L F' R L2 U'
R' U' L' F' R U' D
R' U' L' F' R U' D'
R' U' L' F' R U' D2
R' U' L' F' R D U'
R' U' L' F' R D' U'
R' U' L' F' R D2 U'
R' U' L' F' D R U'
R' U' L' F' D' R U'
R' U' L' F' D2 R U'
R' U' L2 F' L R U'
R' U' L2 F' R L U'
B2 R' L' F' R U' L2
R' U' F' D R U' F'
D R' U' L' F' U' B
R' U2 L' F' R U' L
L' D' B2 U' L B' R'
B2 D' L' U' L2 B' R'
R' B U' L' F' R U'
R' B' U' L' F' R U'
D' B2 L' U' L2 B' R'
L' B2 R' F' R U' L
R' B2 U' L' F' R U'
L' B2 U' D' L B' R'
L' B2 D' U' L B' R'
