U2 F B U'
U2 B F U'
U2 D F B U'
U2 D B F U'
U2 D' F B U'
U2 D' B F U'
D U2 F B U'
D' U2 F B U'
D U2 B F U'
U2 D2 F B U'
D2 U2 F B U'
D' U2 B F U'
U2 D2 B F U'
D2 U2 B F U'
B' U2 F B2 U'
B2 U2 F B' U'
F' U2 F2 B U'
F2 U2 F' B U'
F' U2 B F2 U'
B' U2 B2 F U'
F2 U2 B F' U'
B2 U2 B' F U'
U2 F D B U'
U2 F D' B U'
U2 F D2 B U'
U2 F B U' D
U2 F B U' D'
U2 F B U' D2
U2 F B D U'
U2 F B D' U'
U2 F B D2 U'
U2 B D F U'
U2 B D' F U'
U2 B D2 F U'
U2 B F U' D
U2 B F U' D'
U2 B F U' D2
U2 B F D U'
U2 B F D' U'
U2 B F D2 U'
U2 L B L' F U'
B2 L2 F B' L2 U
B' L2 B' L2 F U
B2 L2 B' F L2 U
U2 R F R' B U'
F' R2 F' R2 B U
F2 R2 F' B R2 U
F2 R2 B F' R2 U
U2 D F D B U'
U2 D F D' B U'
U2 D F D2 B U'
U2 D F B U' D
U2 D F B U' D'
U2 D F B U' D2
U2 D F B D U'
U2 D F B D' U'
U2 D F B D2 U'
U2 D B D F U'
U2 D B D' F U'
U2 D B D2 F U'
U2 D B F U' D
U2 D B F U' D'
U2 D B F U' D2
U2 D B F D U'
U2 D B F D' U'
U2 D B F D2 U'
U2 D' F D B U'
U2 D' F D' B U'
U2 D' F D2 B U'
U2 D' F B U' D
U2 D' F B U' D'
U2 D' F B U' D2
U2 D' F B D U'
U2 D' F B D' U'
U2 D' F B D2 U'
U2 D' B D F U'
U2 D' B D' F U'
U2 D' B D2 F U'
U2 D' B F U' D
U2 D' B F U' D'
U2 D' B F U' D2
U2 D' B F D U'
U2 D' B F D' U'
U2 D' B F D2 U'
U2 D2 F D B U'
D' U2 F D B U'
D2 U2 F D B U'
D' U2 F D' B U'
U2 D2 F D' B U'
D2 U2 F D' B U'
D' U2 F D2 B U'
U2 D2 F D2 B U'
D2 U2 F D2 B U'
D' U2 F B U' D
D' U2 F B U' D'
D' U2 F B U' D2
D' U2 F B D U'
D' U2 F B D' U'
U2 D2 F B U' D
U2 D2 F B U' D'
U2 D2 F B U' D2
D' U2 F B D2 U'
U2 D2 F B D U'
U2 D2 F B D' U'
U2 D2 F B D2 U'
D2 U2 F B U' D
D2 U2 F B U' D'
D2 U2 F B U' D2
D2 U2 F B D U'
D2 U2 F B D' U'
D2 U2 F B D2 U'
D U2 F D B U'
D U2 F D' B U'
D U2 F D2 B U'
D U2 F B U' D
D U2 F B U' D'
D U2 F B U' D2
D U2 F B D U'
D U2 F B D' U'
D U2 F B D2 U'
D' U2 B D F U'
U2 D2 B D F U'
D' U2 B D' F U'
U2 D2 B D' F U'
D' U2 B D2 F U'
U2 D2 B D2 F U'
D2 U2 B D F U'
D' U2 B F U' D
D' U2 B F U' D'
D' U2 B F U' D2
D' U2 B F D U'
D' U2 B F D' U'
D' U2 B F D2 U'
U2 D2 B F U' D
U2 D2 B F U' D'
U2 D2 B F U' D2
D2 U2 B D' F U'
U2 D2 B F D U'
U2 D2 B F D' U'
U2 D2 B F D2 U'
D2 U2 B D2 F U'
D2 U2 B F U' D
D2 U2 B F U' D'
D2 U2 B F U' D2
D2 U2 B F D U'
D2 U2 B F D' U'
D2 U2 B F D2 U'
D U2 B D F U'
D U2 B D' F U'
D U2 B D2 F U'
D U2 B F U' D
D U2 B F U' D'
D U2 B F U' D2
F' U2 D B U' R2
D U2 B F D U'
D U2 B F D' U'
D U2 B F D2 U'
B2 U2 D F B' U'
B' U2 D F U' L2
B2 U2 D B' F U'
F2 U2 D F' B U'
F2 U2 D B F' U'
B2 U2 D' F B' U'
B2 U2 D' B' F U'
F2 U2 D' F' B U'
F2 U2 D' B F' U'
U2 F L B L' U'
B2 U2 D2 F B' U'
B2 U2 D2 B' F U'
F2 U2 D2 F' B U'
F2 U2 D2 B F' U'
B2 U2 F D B' U'
B' U2 F U' D L2
B2 U2 F D' B' U'
B2 U2 F D2 B' U'
B' U2 F D U' L2
B2 U2 F B' U' D
B2 U2 F B' U' D'
B2 U2 F B' U' D2
B2 U2 F B' D U'
B2 U2 F B' D' U'
B2 U2 F B' D2 U'
B' U2 F B2 U' D
B' U2 F B2 U' D'
B' U2 F B2 U' D2
B' U2 F B2 D U'
B' U2 F B2 D' U'
B' U2 F B2 D2 U'
U2 F L2 B L2 U'
F2 U2 F' D B U'
B U2 F U2 F' U
F2 U2 F' D' B U'
F' U2 F2 D B U'
F2 U2 F' D2 B U'
F' U2 F2 D' B U'
F2 U2 F' B U' D
F2 U2 F' B U' D'
F2 U2 F' B U' D2
F2 U2 F' B D U'
F2 U2 F' B D' U'
F2 U2 F' B D2 U'
F' U2 F2 D2 B U'
F' U2 F2 B U' D
F' U2 F2 B U' D'
F' U2 F2 B U' D2
F' U2 F2 B D U'
F' U2 F2 B D' U'
F' U2 F2 B D2 U'
F' U2 F2 B D2 U'
F' U2 B U' D R2
F' U2 B D U' R2
F' U2 B F2 U' D
F' U2 B F2 U' D'
F' U2 B F2 U' D2
F' U2 B F2 D U'
F' U2 B F2 D' U'
F' U2 B F2 D2 U'
F2 U2 B D F' U'
F2 U2 B D' F' U'
F2 U2 B D2 F' U'
F2 U2 B F' U' D
F2 U2 B F' U' D'
F2 U2 B F' U' D2
F2 U2 B F' D U'
F2 U2 B F' D' U'
F2 U2 B F' D2 U'
B2 U2 B' D F U'
B2 U2 B' D' F U'
B2 U2 B' D2 F U'
B2 U2 B' F U' D
B2 U2 B' F U' D'
B2 U2 B' F U' D2
B2 U2 B' F D U'
B2 U2 B' F D' U'
B2 U2 B' F D2 U'
F U2 B U2 B' U
B' U2 B2 D F U'
B' U2 B2 D' F U'
B' U2 B2 D2 F U'
B' U2 B2 F U' D
B' U2 B2 F U' D'
B' U2 B2 F U' D2
B' U2 B2 F D U'
B' U2 B2 F D' U'
B' U2 B2 F D2 U'
U2 F D B U' D
U2 F D B U' D'
U2 F D B U' D2
U2 F D B D U'
U2 F D B D' U'
U2 F D B D2 U'
U2 F D' B U' D
U2 F D' B U' D'
U2 F D' B U' D2
U2 F D' B D U'
U2 F D' B D' U'
U2 F D' B D2 U'
U2 F D2 B U' D
U2 F D2 B U' D'
U2 F D2 B U' D2
U2 F D2 B D U'
U2 F D2 B D' U'
U2 F D2 B D2 U'
U2 F B' U' D L2
U2 F B' D U' L2
U F B U' F' B'
U F B U' B' F'
U2 F B2 D B' U'
U2 F B2 D' B' U'
U2 F B2 D2 B' U'
F' D U2 B U' R2
B2 D U2 F B' U'
B' D U2 F U' L2
B2 D U2 B' F U'
F2 D U2 F' B U'
F2 D U2 B F' U'
R2 F' R2 U D R2
R2 F' R2 U2 F2 U'
R2 F' R2 D U R2
R2 F' R2 D2 B2 U
D2 F' U2 F2 B U'
D' F' U2 F2 B U'
D2 F' U2 B F2 U'
D' F' U2 B F2 U'
U2 F' D B U' R2
D F' U2 F2 B U'
D F' U2 B F2 U'
U2 F' B U' D R2
U2 F' B D U' R2
B2 D' U2 F B' U'
B2 D' U2 B' F U'
F2 D' U2 F' B U'
F2 D' U2 B F' U'
R2 F2 R2 F B U
R2 F2 R2 B F U
D' F2 U2 F' B U'
D2 F2 U2 F' B U'
D2 F2 U2 B F' U'
D' F2 U2 B F' U'
U2 F2 D F' B U'
U2 F2 D B F' U'
D F2 U2 F' B U'
D F2 U2 B F' U'
U2 F2 D' F' B U'
U2 F2 D' B F' U'
U2 F2 D2 F' B U'
