F' L D' R F2 B
F' L D' R B F2
F' R2 U L R' B
F' R2 U R' L B
L F D' F2 R B
F' D' L R F2 B
F' D' L R B F2
F' D' R L F2 B
F' D' R L B F2
F' D' R F2 L B
F' D' R F2 L B
L F' D' R F2 B
L F' D' R B F2
F D' F2 L R B
F D' F2 R L B
F' L R B U' R U
D' L R F2 B D' R2
D' L R B F2 D' R2
F' L D R D2 F2 B
F' L D R D2 B F2
L R D2 B R' D' F2
R L D2 B R' D' F2
F' L D' R F2 D B
F' L D' R F2 D' B
F' L D' R F2 D2 B
F' L D' R F2 B D
F' L D' R F2 B D'
F' L D' R F2 B D2
F' L D' R B F2 D
F' L D' R B F2 D'
F' L D' R B F2 D2
F' L D' R2 F2 R' B
F2 L D' F R F B
F2 L D' F R B F
F' L D' B R F2 B
F' L D' B R B F2
F' L D' B' R F2 B
F' L D' B' R B F2
F' L D' B2 R F2 B
F' L D' B2 R B F2
F' L D2 R D F2 B
F' L D2 R D B F2
F' L D2 R B D F2
F2 L F D' R F2 B
F2 L F D' R B F2
F2 L F' D' F2 R B
D' L F2 R B D' R2
F' L F2 D' F2 R B
F' L B D' R F2 B
F' L B D' R B F2
F' L B' D' R F2 B
F' L B' D' R B F2
F' L B2 D' R F2 B
F' L B2 D' R B F2
F' L' R2 U L2 R' B
F' L' R2 U R' L2 B
F' L' R2 U R' B L2
D2 L2 R U' L' B R'
D2 L2 R U' B L' R'
D2 L2 R U' B R' L'
F' L2 R2 U L' R' B
F' L2 R2 U R' L' B
F' L2 R2 U R' B L'
F' L2 D' L' R F2 B
F' L2 D' L' R B F2
F' L2 D' R L' F2 B
F' L2 D' R L' B F2
F' L2 D' R B L' F2
R2 U L R' D2 B R'
R2 U R' L D2 B R'
R2 U R' D2 L B R'
D' R L F2 B D' R2
F' R L B U' R U
D' R L B F2 D' R2
R2 U D2 L B R' B2
D2 R L2 U' L' B R'
D2 R L2 U' B L' R'
D2 R L2 U' B R' L'
D' R F2 L B D' R2
F' R F2 L D F2 B
F' R F2 L D B F2
F' R F2 L B D F2
D' R F2 D' L B R'
R2 U' R F' U2 L R
R2 U' R F' U2 R L
B2 R' F' U R' U R2
B2 R' F' U2 R D' F2
F' R2 L' U L2 R' B
F' R2 L' U R' L2 B
F' R2 L' U R' B L2
F' R2 L2 U L' R' B
F' R2 L2 U R' L' B
F' R2 L2 U R' B L'
F' R2 U L R' D B
F' R2 U L R' D' B
F' R2 U L R' D2 B
F' R2 U L R' B D
F' R2 U L R' B D'
F' R2 U L R' B D2
F' R2 U L' R' B L2
F' R2 U L2 R' B L'
F' R2 U R' L D B
F' R2 U R' L D' B
F' R2 U R' L D2 B
F' R2 U R' L B D
F' R2 U R' L B D'
F' R2 U R' L B D2
F' R2 U R' L' B L2
F' R2 U R' L2 B L'
F' R2 U R' D L B
F' R2 U R' D' L B
F' R2 U R' D2 L B
F' R2 U D2 L R' B'
F' R2 U D2 R' L B'
B2 R2 U' R F' U2 R
F' R2 D2 U L R' B'
