F L' B' R' U' R2 U'
F L' B' R' U2 D B2
F L' B' R' D U2 B2
F L' B' R' D' F2 U2
F' R B L D' F B2
F' R B L D' B2 F
F' R B L F D' B2
F2 D R' B L F R
F2 D' B L F R B'
F2 D' B L F B' R
F2 D' B L B' F R
D2 B L F R' D B2
F' B L R D' F B2
F' B L R D' B2 F
F' B L R F D' B2
F' B L D' R F B2
F' B L D' R B2 F
F' B L D' B2 R F
F' B L' U L2 R F
F' B L' U R L2 F
F' B R L D' F B2
F' B R L D' B2 F
F' B R L F D' B2
F2 B D' L F R B'
F2 B D' L F B' R
F2 B D' L B' F R
B F' L R D' F B2
B F' L R D' B2 F
B F' L R F D' B2
B F' L D' R F B2
B F' L D' R B2 F
B F' L D' B2 R F
B F' L' U L2 R F
B F' L' U R L2 F
B F' R L D' F B2
B F' R L D' B2 F
B F' R L F D' B2
B F2 D' L F R B'
B F2 D' L F B' R
B F2 D' L B' F R
