U L U F' L'
U2 F' L' D' B2
U L U L F' L'
U L U L' F' L'
U L U L2 F' L'
U L U D F' L'
U L U D' F' L'
U L U D2 F' L'
U L U F' L' D
U L U F' L' D'
U L U F' L' D2
U L U F' D L'
U L U F' D' L'
U L U F' D2 L'
U L D U F' L'
U L D' U F' L'
U L D2 U F' L'
U2 L' D' F' L' B2
U2 L' D' F' B2 L'
U2 L' D' B2 F' L'
U2 L' F' D' L' B2
U2 L' F' D' B2 L'
D2 U L U F' L'
D' U L U F' L'
U D L U F' L'
D U L U F' L'
U2 D F' L' D' B2
U D' L U F' L'
U2 D' F' L' D' B2
U D2 L U F' L'
D' U2 F' L' D' B2
U2 D2 F' L' D' B2
D2 U2 F' L' D' B2
D U2 F' L' D' B2
B U2 D L F' B'
B U2 D L B' F'
B U2 D F' L B'
B U2 F' D L B'
U2 F' L' U' L2 U
U2 F' L' D' B2 D
U2 F' L' D' B2 D'
U2 F' L' D' B2 D2
U2 F' L' B D' B2
U2 F' L' B' D' B2
U2 F' L' B2 D' B2
B D U2 L F' B'
B D U2 L B' F'
B D U2 F' L B'
U2 F' U' L U L2
U2 F' D L' D' B2
U2 F' D' L' D' B2
U2 F' D2 L' D' B2
R2 B U2 D L B'
R2 B D U2 L B'
U' B' U' F' L' B'
U L R' D' F' R U
U L R' F' R U F'
U L U L D F' L'
U L U L D' F' L'
U L U L D2 F' L'
U L U L F' L' D
U L U L F' L' D'
U L U L F' L' D2
U L U L F' D L'
U L U L F' D' L'
U L U L F' D2 L'
U L U L' D F' L'
U L U L' D' F' L'
U L U L' D2 F' L'
U L U L' F' L' D
U L U L' F' L' D'
U L U L' F' L' D2
U L U L' F' D L'
U L U L' F' D' L'
U L U L' F' D2 L'
U L U L2 D F' L'
U L U L2 D' F' L'
U L U L2 D2 F' L'
U L U L2 F' L' D
U L U L2 F' L' D'
U L U L2 F' L' D2
U L U L2 F' D L'
U L U L2 F' D' L'
U L U L2 F' D2 L'
U L U D L F' L'
U L U D L' F' L'
U L U D L2 F' L'
U L U D F' L' D
U L U D F' L' D'
U L U D F' L' D2
U L U D F' D L'
U L U D F' D' L'
U L U D F' D2 L'
U L U D' L F' L'
U L U D' L' F' L'
U L U D' L2 F' L'
U L U D' F' L' D
U L U D' F' L' D'
U L U D' F' L' D2
U L U D' F' D L'
U L U D' F' D' L'
U L U D' F' D2 L'
U L U D2 L F' L'
U L U D2 L' F' L'
U L U D2 L2 F' L'
U L U D2 F' L' D
U L U D2 F' L' D'
U L U D2 F' L' D2
U L U D2 F' D L'
U L U D2 F' D' L'
U L U D2 F' D2 L'
U L U F L F2 L'
U L U F L' F2 L'
U L U F L2 F2 L'
U L U F' L2 D L
U L U F' L2 D' L
U L U F' L2 D2 L
U L U F' D L' D
U L U F' D L' D'
U L U F' D L' D2
U L U F' D' L' D
U L U F' D' L' D'
U L U F' D' L' D2
U L U F' D2 L' D
U L U F' D2 L' D'
U L U F' D2 L' D2
U L U F' B' L' B
U L U F' B2 L' B2
U L U B' F' L' B
U L U B2 F' L' B2
U L U' R2 B U2 L
U' L U' F' D' L2 B'
U L U' B U2 L F'
U L U' B U2 F' L
U L U2 L' B' U' F'
U L U2 B U' F' L'
U L U2 B' U' F' L'
U L U2 B2 U' F' L'
U L D U L F' L'
U L D U L' F' L'
U L D U L2 F' L'
U L D U F' L' D
U L D U F' L' D'
U L D U F' L' D2
U L D U F' D L'
U L D U F' D' L'
U L D U F' D2 L'
U L D' U L F' L'
U L D' U L' F' L'
U L D' U L2 F' L'
U L D' U F' L' D
U L D' U F' L' D'
U L D' U F' L' D2
U L D' U F' D L'
U L D' U F' D' L'
U L D' U F' D2 L'
U L D2 U L F' L'
U L D2 U L' F' L'
U L D2 U L2 F' L'
U L D2 U F' L' D
U L D2 U F' L' D'
U L D2 U F' L' D2
U L D2 U F' D L'
U L D2 U F' D' L'
U L D2 U F' D2 L'
U' L F R2 B U F2
U L F R' F' U F'
U' L F U2 F' U' F'
U' L F D R2 B U
U L F U F' L' F'
U2 L F' L' U' L U
U2 L F' L2 D' L B2
U L F' R' F' U F
U L F2 R' F' U F2
U L F2 U F' L' F2
F L B U F2 L R
F L B U F2 R L
U L' U D' F' L' B2
U L' U D' F' B2 L'
U L' U D' B2 F' L'
U L' U F' D' L' B2
U L' U F' D' B2 L'
U2 L' U' L2 U F' L'
U' L' U2 L2 F U F2
U2 L' D' L F' L' B2
U2 L' D' L F' B2 L'
U2 L' D' L B2 F' L'
U2 L' D' L' F' L' B2
U2 L' D' L' F' B2 L'
U2 L' D' L' B2 F' L'
U2 L' D' L2 F' L' B2
U2 L' D' L2 F' B2 L'
U2 L' D' L2 B2 F' L'
F' L' D' B L B R'
U2 L' D' F' L B2 L2
U2 L' D' F' L' B2 D
U2 L' D' F' L' B2 D'
U2 L' D' F' L' B2 D2
U2 L' D' F' B L' B
U2 L' D' F' B2 L' D
U2 L' D' F' B2 L' D'
U2 L' D' F' B2 L' D2
U2 L' D' F' B2 D L'
U2 L' D' F' B2 D' L'
U2 L' D' F' B2 D2 L'
U L' D' U F' L' B2
U L' D' U F' B2 L'
U L' D' U B2 F' L'
U' L' D' B' U' F' B'
U' L' D' B' U' B' F'
U2 L' D' B F' L' B
U2 L' D' B2 L F' L'
U2 L' D' B2 L' F' L'
U2 L' D' B2 L2 F' L'
U2 L' D' B2 D F' L'
U2 L' D' B2 D' F' L'
U2 L' D' B2 D2 F' L'
U2 L' D' B2 F' L' D
U2 L' D' B2 F' L' D'
U2 L' D' B2 F' L' D2
U2 L' D' B2 F' D L'
U2 L' D' B2 F' D' L'
U2 L' D' B2 F' D2 L'
U2 L' D2 F' L' D B2
U2 L' D2 F' D L' B2
U2 L' D2 F' D B2 L'
U2 L' F' L' U' L' U
U2 L' F' U' L2 U L
U2 L' F' D L' D2 B2
U2 L' F' D' L B2 L2
U2 L' F' D' L' B2 D
U2 L' F' D' L' B2 D'
U2 L' F' D' L' B2 D2
U2 L' F' D' B L' B
U2 L' F' D' B2 L' D
U2 L' F' D' B2 L' D'
U2 L' F' D' B2 L' D2
U2 L' F' D' B2 D L'
U2 L' F' D' B2 D' L'
U2 L' F' D' B2 D2 L'
U2 L' F' D2 L' D B2
U2 L' F' B D' L' B2
U2 L' F' B D' B2 L'
U2 L' F' B' D' L' B2
U2 L' F' B' D' B2 L'
U2 L' F' B2 D' L' B2
U2 L' F' B2 D' B2 L'
U2 L' B D' F' L' B2
U2 L' B D' F' B2 L'
U2 L' B D' B2 F' L'
U2 L' B F' D' L' B2
U2 L' B F' D' B2 L'
